alias,case,status,w0_restored,terminal_sha256,w0_e,w0_g,w0_l,post_e,post_g,post_l,post_e_new_nll,post_e_old_nll,post_e_margin,post_g_new_nll,post_g_old_nll,post_g_margin,post_l_new_nll,post_l_old_nll,post_l_margin,z8_new_nll,w_z_gap,rho_write_sum,coverage_mean,predicted_progress_sum,actual_progress_sum,realization_ratio_mean,linearization_error_sum,q_mean,equality_residual_max,structural_p_terminal,structural_p_step_mean_auc,cross_term_sum,self_term_sum,functional_p_terminal,capacity_sum,pi_entropy_mean,pi_top1_mean,pi_neff_mean,v_max,target_frozen_count_sum,edit_core_wall_seconds,evaluator_wall_seconds,model_forwards,backwards,processed_tokens,materialization_count,p1r23_status,p1r23_post_e,p1r23_post_g,p1r23_post_l,p1r23_post_e_new_nll,p1r23_post_e_old_nll,p1r23_post_e_margin,p1r23_post_g_new_nll,p1r23_post_g_old_nll,p1r23_post_g_margin,p1r23_post_l_new_nll,p1r23_post_l_old_nll,p1r23_post_l_margin,p1r23_structural_p,p1r23_functional_p,p1r23_capacity,p1r23_realization_ratio,p1r23_edit_core_wall_seconds,p1r23_evaluator_wall_seconds,p1r23_model_forwards,p1r23_backwards,p1r23_processed_tokens,alpha_status,alpha_post_e,alpha_post_g,alpha_post_l,alpha_post_e_new_nll,alpha_post_e_old_nll,alpha_post_e_margin,alpha_post_g_new_nll,alpha_post_g_old_nll,alpha_post_g_margin,alpha_post_l_new_nll,alpha_post_l_old_nll,alpha_post_l_margin,alpha_structural_p,alpha_functional_p,alpha_capacity,alpha_realization_ratio,alpha_edit_core_wall_seconds,alpha_evaluator_wall_seconds,alpha_model_forwards,alpha_backwards,alpha_processed_tokens
qwen2.5-7b-inst,1,COMPLETE,True,ce80364888ec4129fdef7ae1546bc8c4e003948d7d5ce2b8c47fcd8d80f8ae3b,0,3,93,10,17,92,0.08070716857910157,14.56875,14.488042831420898,3.7829681396484376,10.4421875,6.659219360351562,12.526875,5.4780078125,7.048867187499999,0.031786991201806815,0.04892017737729475,28.977412869954065,1.0,28.977412869954065,12.430215988011332,0.332252639790262,-16.3097277646925,14.576893858611584,8.881784197001252e-16,0.13774958804510765,0.0735011720106691,0.0666075899146549,0.07114199803212955,0.0008736181604395807,12.930951159700905,1.3917021298185646,0.3609096959744123,4.070569919932497,0.5426417740691122,16,128.09031618759036,2.219951801933348,180,125,25632,8,COMPLETE,10.0,18.0,92.0,0.04247184991836548,18.2375,18.195028150081633,3.4251102447509765,10.7,7.274889755249023,12.5228125,5.47578125,7.047031250000001,0.004382800777505446,0.0018184576412262558,0.19928765568316478,0.3040206948492401,136.36811095755547,2.206581188365817,26.0,16.0,24160.0,COMPLETE,10.0,20.0,92.0,0.00735931396484375,15.38125,15.373890686035157,2.2670963287353514,13.284375,11.017278671264648,12.4534375,5.4633203125000005,6.9901171875,,,,,26.57675437349826,2.211426661349833,,,
qwen2.5-7b-inst,2,COMPLETE,True,d729988fdae8f4c715890f597fcc831b3615dd8f35a6d05cc379ff8c4a9179fa,1,4,77,10,19,77,0.042226982116699216,16.359375,16.3171480178833,2.59736328125,7.6140625,5.01669921875,9.804746093750001,5.4101953125,4.3945507812499995,0.030914176876831335,0.011312805239867881,36.30890865447177,1.0,36.30890865447177,10.708475943458325,0.2795327251278689,-25.313342468070843,13.732727661728859,8.881784197001252e-16,0.23867181226338444,0.13051868588658436,0.07723999431970373,0.1614318180793098,0.18421090853541233,21.18425453006534,1.3487848437697092,0.3670739749462512,3.8679826516482967,0.6096201477367532,17,112.50968462880701,2.255092798732221,180,125,26865,8,COMPLETE,10.0,19.0,77.0,0.13633588552474976,21.328125,21.19178911447525,2.188316118717194,9.34609375,7.157777631282807,9.8275390625,5.3946484375,4.432890625000001,0.005028733421557389,0.024147865001401432,0.2231709703969576,1.0281202868897403,128.8463674057275,2.2384110391139984,26.0,16.0,25226.0,COMPLETE,10.0,20.0,76.0,0.02397918701171875,15.896875,15.872895812988281,1.0648849487304688,11.446875,10.381990051269531,9.70490966796875,5.5610546874999995,4.14385498046875,,,,,23.28003477398306,2.2497475696727633,,,
qwen2.5-7b-inst,3,COMPLETE,True,c80bb7a00d12fd7378af019103750e1930a6be71e8f9545c7598c5b84bd4e856,1,4,78,10,16,77,1.197165298461914,12.1703125,10.973147201538087,4.878704035282135,8.7556640625,3.876960027217865,8.873329544067383,5.4671484375,3.406181106567383,0.12790747960098087,1.0692578188609332,28.47926779573854,1.0,28.47926779573854,8.725210810452701,0.26576683553938535,-16.524849999306525,12.056074187159538,8.881784197001252e-16,0.11843556757878804,0.06344390800413927,0.04258706201039232,0.07584850546178673,0.001150614661507433,11.548501079934908,1.4797764436819867,0.3052828665387382,4.39253195826474,0.5770164672345295,29,97.7340948600322,2.1127846371382475,180,125,27117,8,COMPLETE,10.0,17.0,78.0,0.40742424726486204,18.49375,18.08632575273514,3.489300584793091,10.21953125,6.730230665206909,8.875674819946289,5.46640625,3.4092685699462892,0.003702787132051063,0.0013985037265375482,0.1774954254049648,0.33126519826485334,131.6499813394621,2.103755042888224,26.0,16.0,25562.0,COMPLETE,10.0,20.0,79.0,0.021802711486816406,15.91875,15.896947288513184,2.941003441810608,12.2265625,9.285559058189392,8.818037033081055,5.4873828125,3.3306542205810543,,,,,21.460744192823768,2.1219290234148502,,,
qwen2.5-7b-inst,4,COMPLETE,True,4bc4425f1c8e82fb7235d1bec1d89a5ac23bd1ec61593df7660f2feef836e95c,1,1,98,10,15,98,1.4378694534301757,11.44375,10.005880546569824,3.504586029052734,8.196875,4.692288970947265,10.7378125,4.705966796875,6.031845703125,1.2551467681041686,0.1827226853260071,28.22415200965916,1.0,28.22415200965916,10.437665462447331,0.320685503730569,-15.85126710301401,11.427201639860868,8.881784197001252e-16,0.20931662892156913,0.10711564584059569,0.08751266612903531,0.12180396239981214,0.0018094372024649974,19.132561174919772,1.249775280451353,0.4502985304475208,3.532221330262746,0.6752020999484994,15,122.77806576807052,2.344586603343487,180,125,26595,8,COMPLETE,9.0,14.0,98.0,1.3822625517845153,14.49375,13.111487448215485,3.305009460449219,8.4455078125,5.140498352050781,10.7484375,4.7252685546875,6.0231689453125,0.003593306512950291,0.001449862370541108,0.15971541896879607,0.8119457919967438,137.9993650931865,2.3402713779360056,26.0,16.0,25018.0,COMPLETE,10.0,18.0,90.0,0.01768341064453125,14.065625,14.047941589355469,1.7923202514648438,11.077734375,9.285414123535157,9.886348876953125,5.347861328125,4.538487548828125,,,,,23.635985262691975,2.3398886900395155,,,
qwen2.5-7b-inst,5,COMPLETE,True,6db8871e76812e6c3474cab1336590ddaf2ee8c15ea4684498676a714de3a6b8,2,5,82,10,17,82,0.45945205688476565,10.065625,9.606172943115235,2.149554443359375,6.7462890625,4.596734619140625,8.46125,5.124716796875,3.3365332031250006,0.11808080291375518,0.3413712539710105,41.488800106776964,1.0,41.488800106776964,7.919048086646944,0.22029094295301488,-28.51829496182987,19.063596040010452,8.881784197001252e-16,0.17481548627987428,0.07505129396900767,0.07465071538726267,0.10016477089469833,0.0012825124750289873,16.445095937793194,1.435861506188125,0.33336565569678944,4.203979626081197,0.5597205789413106,4,103.58142589777708,2.3376525808125734,180,125,24858,8,COMPLETE,10.0,18.0,82.0,0.0497489333152771,13.15,13.100251066684724,2.3096664428710936,7.7923828125,5.482716369628906,8.47078125,5.1276953125,3.3430859374999997,0.0039640445922029584,0.0010152704229150795,0.1856363081564169,0.19352924612667677,137.57295538764447,2.320931240916252,26.0,16.0,23432.0,COMPLETE,10.0,19.0,77.0,0.026730728149414063,13.8,13.773269271850586,1.1919146537780763,10.7140625,9.522147846221923,7.991484375000001,5.2158398437499995,2.7756445312499998,,,,,22.25232053734362,2.3370489617809653,,,
qwen2.5-7b-inst,6,COMPLETE,True,820a4fa14bf1314aed7099f865b62bb30364570071f76f714a9b16732638cacd,2,5,85,10,16,85,0.01951732635498047,13.578125,13.55860767364502,3.6318603515625,7.959521484375,4.3276611328125,10.25828125,4.3755322265625,5.8827490234374995,0.013241755012131762,0.006275571342848708,32.71388565292661,1.0,32.71388565292662,9.317777336970902,0.252029938846515,-21.76223578085748,13.974043905735016,8.881784197001252e-16,0.15812463982114902,0.07410471062662974,0.05962294699803609,0.09850169271121918,0.0022828193829640643,14.7987121530097,1.4023744071755577,0.33437949431127234,4.0661413739513215,0.6346252473682998,16,93.90254219435155,2.012855407781899,180,125,25659,8,COMPLETE,10.0,17.0,85.0,0.00964266061782837,18.115625,18.105982339382173,3.036583137512207,8.98193359375,5.945350456237793,10.26578125,4.3800024414062495,5.88577880859375,0.0038496273530038666,0.0015118545273092494,0.17822882328100115,0.35664925471473163,144.60311564430594,2.014231930486858,26.0,16.0,24212.0,COMPLETE,10.0,19.0,85.0,0.06885604858398438,12.953125,12.884268951416015,2.3217136383056642,11.54921875,9.227505111694336,10.2234375,4.36888671875,5.85455078125,,,,,22.157925463281572,2.0282976431772113,,,
qwen2.5-7b-inst,7,COMPLETE,True,9fd48efb8a88d6339e33ce969760a7ca0f88c93f9c013daaa29ebe734e754093,0,3,96,10,17,96,0.6283798217773438,12.419047546386718,11.790667724609374,3.901513671875,7.95146484375,4.049951171875,11.07375,5.013152923583984,6.060597076416016,0.6432170926011167,-0.014837270823772952,38.94925276767028,1.0,38.94925276767028,9.884689152706413,0.29555063941924714,-26.930030159302273,15.303171247243881,8.881784197001252e-16,0.24940616449732206,0.11720237788810811,0.11473130589335945,0.13467485868544551,0.0018495732988465844,22.260071990845027,1.3519600473957556,0.39822193640076436,3.872929379626639,0.6457653017278961,12,86.77787231188267,2.232551295310259,180,125,27918,8,COMPLETE,10.0,16.0,96.0,0.6071389675140381,17.21894302368164,16.611804056167603,4.328041648864746,9.065087890625,4.737046241760254,11.07875,5.019730529785156,6.059019470214844,0.004435562503883776,0.001975176283216589,0.19648676614628752,0.6672266193407586,142.3051992803812,2.2313972199335694,26.0,16.0,26266.0,COMPLETE,10.0,17.0,96.0,0.08706283569335938,13.83203125,13.74496841430664,1.8160125732421875,11.641796875,9.825784301757812,10.9575,5.030579986572265,5.9269200134277344,,,,,25.114397840574384,2.2414309065788984,,,
qwen2.5-7b-inst,8,COMPLETE,True,bfe1862f77b14489b0eb244b3f195f7e72fb1badc7aca9fd4339059d08bbbe9b,1,3,74,10,15,74,0.012603759765625,12.025,12.012396240234375,4.459912109375,9.59375,5.133837890625,9.766718749999999,5.109951171875,4.656767578125001,0.032542525324970484,-0.019938765559345484,26.07652562411665,1.0,26.076525624116645,9.478060595737771,0.3040408528339311,-14.5438159064733,11.241316851228476,4.440892098500626e-16,0.18899770545549366,0.09142363098651995,0.06554243344997913,0.1234552721873781,0.0015191671812701695,17.21577315823528,1.3522488051826667,0.3855123872021916,3.8899086961989378,0.7766197192712553,20,97.95492815133184,2.268110640347004,180,125,25632,8,COMPLETE,10.0,14.0,74.0,0.026137638092041015,17.36875,17.34261236190796,4.721486616134643,10.476953125,5.755466508865356,9.774843749999999,5.1122265625,4.6626171875,0.004012571664909911,0.001288222086178728,0.17861661170057616,0.7291363508851052,161.07107463944703,2.269895927980542,26.0,16.0,24134.0,COMPLETE,10.0,20.0,73.0,0.025494766235351563,13.8125,13.78700523376465,2.031829071044922,12.953125,10.921295928955079,9.747499999999999,5.11296875,4.63453125,,,,,22.822328196838498,2.3002314483746886,,,
qwen2.5-7b-inst,9,COMPLETE,True,f9a7d055e7f48a455c455548c106faa18a2b0144eb35266931190199edcee66c,0,1,87,10,16,86,0.026055908203125,12.55,12.523944091796874,1.69088134765625,7.01904296875,5.32816162109375,8.9675,4.9953076171875,3.9721923828125,0.018600331712514163,0.007455576490610835,25.661756509374435,1.0,25.661756509374435,9.446912528295071,0.27723188041453317,-15.818167920187317,11.23166417144239,2.220446049250313e-16,0.17904378472414614,0.09711012885275681,0.07095022352010567,0.1080935612761538,0.0018232376294485216,16.851989502424203,1.3298928065389244,0.4096494064419741,3.818484418926526,0.6771394128013007,27,100.53148762881756,2.276361766271293,180,125,25668,8,COMPLETE,10.0,16.0,86.0,0.00026874542236328126,21.18125,21.180981254577638,1.4944730758666993,8.933984375,7.439511299133301,9.01484375,4.9953955078125,4.0194482421875,0.00469193129386174,0.0014847973916146892,0.21266718656527422,0.3639342223595844,185.287176030688,2.271399825811386,26.0,16.0,24238.0,COMPLETE,10.0,19.0,85.0,0.03293304443359375,12.734375,12.701441955566406,0.8760856628417969,10.9953125,10.119226837158203,8.91797378540039,5.21439453125,3.703579254150391,,,,,19.730750309303403,2.2957941107451916,,,
qwen2.5-7b-inst,10,COMPLETE,True,8d0ce636fc5f902421fdaed88030d56c074223cd00601235e1c756094244094f,3,7,79,10,15,77,1.0180526733398438,10.9125,9.894447326660156,5.39951171875,8.3125,2.91298828125,10.664375,6.665068359375001,3.999306640625,0.6742529176524841,0.34379975568735976,42.78872887745218,1.0,42.78872887745218,9.864149493165316,0.27789255501683774,-29.85206134399897,18.29127013683319,8.881784197001252e-16,0.2648349853176642,0.11710941718248434,0.11654513903269481,0.14828984652506705,0.0008044289390860817,24.84168259867524,1.4752773601084663,0.3370979869702021,4.376421006098647,0.43179516156266834,3,131.14899361506104,2.5315377870574594,180,125,26919,8,COMPLETE,10.0,15.0,77.0,0.6671878337860108,14.340625,13.67343716621399,4.9834228515625,8.39765625,3.4142333984375,10.71359375,6.66516357421875,4.048430175781251,0.005158981340231182,0.0007842784955813618,0.2372245869640878,0.4702890518234054,194.3325798213482,2.5275331027805805,26.0,16.0,25356.0,COMPLETE,10.0,20.0,75.0,0.014558029174804688,14.75625,14.741691970825196,1.4187744140625,10.8515625,9.4327880859375,10.4138671875,6.6990380859375,3.7148291015624997,,,,,27.37114946823567,2.553966819308698,,,
