source_table,model,method,metric,availability,n,sum,mean,median,p25,p75,iqr,p90,max,min,batch_index,accepted_edit_count,fork
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,29.437357202566883,0.29437357202566883,0.2853431359191442,0.26740006765548696,0.31724607600408306,0.049846008348596094,0.34591892753820863,0.4178784926956648,0.21075046756066085,45,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,6.770339053799707,0.06770339053799707,0.06573887587498103,0.04572146572545987,0.08160681499328737,0.0358853492678275,0.10494749194556645,0.15875293885555442,0.002002000489415509,46,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,29.487241721431857,0.29487241721431856,0.28999839218823287,0.2694632010293269,0.31802306550908355,0.04855986447975663,0.33910185967131384,0.46847405145501814,0.22413600028140537,46,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,6.5578620931564995,0.065578620931565,0.06486970975448267,0.0495399539130295,0.07823163952063987,0.028691685607610373,0.10768852154221453,0.13348405806883143,-0.0009020580664555226,47,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,29.387228439755585,0.29387228439755586,0.2854044244981896,0.26881845607540855,0.3153274093862467,0.04650895331083815,0.35304996822826235,0.39688525169176914,0.2270356561057,47,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,6.771277400052365,0.06771277400052365,0.06748614763611582,0.050922327409838306,0.08016132125579446,0.029238993845956157,0.09977530178052277,0.18602824208423271,-0.008311772353576987,48,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,29.58505841281261,0.2958505841281261,0.28921430739276344,0.2685016277332912,0.3192309627066312,0.05072933497333998,0.35046914733368445,0.4033571190140715,0.22182817580007744,48,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,6.935070590719133,0.06935070590719133,0.06768046464384045,0.05111888208468397,0.08353747786531032,0.03241859578062635,0.09944767718906822,0.14442758217913565,-0.01199632641882708,49,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,29.82228621665667,0.29822286216656674,0.2880835923374101,0.26682467373932395,0.3173632421190618,0.05053856837973786,0.36187836352914765,0.45296724136760824,0.23670761720813197,49,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,10.852759727575048,0.10852759727575048,0.10563700780144444,0.08425001225398554,0.12946934233391777,0.04521933007993223,0.1535278180244024,0.2491672495909509,0.018281176953620852,5,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,36.82284470511742,0.3682284470511742,0.35608677586216425,0.32700760195564105,0.4038134556136387,0.07680585365799764,0.44523593988929483,0.5294259877630493,0.25902088880129326,5,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,6.990900682139965,0.06990900682139965,0.06869457767856045,0.05023980166686498,0.08886969903267607,0.038629897365811086,0.1018630815994474,0.15205643767371255,0.011625997060700164,50,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,30.114362070048678,0.3011436207004868,0.29318589080117413,0.2720411512951574,0.3274263609569659,0.05538520966180854,0.3576751630654046,0.41470237501967,0.22504887560717934,50,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,6.597145965114414,0.06597145965114415,0.06573301533876674,0.049566237557301794,0.08467515576544488,0.03510891820814308,0.09442883131876018,0.13136974546357466,-0.017621407971084642,51,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,29.594921203149347,0.2959492120314935,0.2922087153026463,0.26072273997898215,0.3172104295865753,0.05648768960759315,0.3442727632088562,0.4137245177782747,0.2322280269211372,51,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,6.656956473096239,0.06656956473096239,0.06776321873812644,0.0514973304964915,0.08631777813558354,0.03482044763909204,0.09751573202411534,0.1312331168001185,-0.016796545763347905,52,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,30.12028176419002,0.30120281764190016,0.29508180368833375,0.2765631168392746,0.32525820437198116,0.04869508753270657,0.34828519720995293,0.4185933828380637,0.22291026998849234,52,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,6.941861362897604,0.06941861362897604,0.07047814895691938,0.05376855151622002,0.08657277604963781,0.03280422453341779,0.0961821778145963,0.13485363972743672,-0.00023357070156180458,53,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,30.573048105030168,0.30573048105030165,0.2959411704611561,0.27161783751589624,0.32076187171395176,0.04914403419805552,0.3633645416438774,0.5232040272961984,0.22047075311406059,53,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,6.654941478018564,0.06654941478018564,0.06841082348037296,0.05449991865431517,0.08369504997640365,0.029195131322088473,0.09614903249147773,0.136914627582018,-0.002182957273633733,54,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,29.664722421021317,0.29664722421021317,0.2867451811135423,0.262655753994912,0.32140002126776335,0.05874426727285137,0.3552893050134551,0.5479391694485163,0.21983069093708837,54,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_parallel,RECORDED,100,7.251008684966186,0.07251008684966186,0.0725120939129753,0.054579024608881095,0.09114817164616384,0.03656914703728275,0.10521313882294511,0.12902582132609955,-0.015248958284932971,55,,
production_request_by_batch,llama3-8b-inst,alphaedit,d_perp,RECORDED,100,30.928457611182097,0.309284576111821,0.2960650899474456,0.27439396503637536,0.3312826841762876,0.056888719139912225,0.3679224381930175,0.586975268597265,0.23171237325999502,55,,
