batch,accepted,actual_norm,actual_sha256,actual_step_norm,armijo_bound,current_loss,decrease,eta,eta0,finite_ideal,finite_weight,ideal_norm,ideal_sha256,loss,nominal_prediction,p_actual,reason,reused_weight_score,round,scalar_a,trial,weight_sha256,guard_reason
6,True,0.09875711256249796,13e1fdb30789e6ae656321f7907027307e6283eec2942b4374c5eff6a192d19d,0.09875711256249796,0.007395583711920725,0.007396323344253739,0.0002016361209539637,1.3186237073715614,1.3186237073715614,True,True,0.09875711270140558,1b5d779fcdfc63bea534f99ad14a443657086cb6937e740b62d4af8d3aa0a9a6,0.007194687223299775,-0.007396323344253738,-0.007396323330135308,FIRST_RESOLVED_ACCEPTED,False,0,,0,c3f2a1a0182784d1ed7fce92074e7557f5830c6deb4de18acc40017371e0932b,
7,True,0.11751891328642097,cad52844de2ca911dca911fffd45002c488ff580e47bd0d5cdab35b81ba40412,0.11751891328642097,0.00875800174488615,0.008758877632649832,0.000897573999512102,1.5767653756099507,1.5767653756099507,True,True,0.11751891328788919,6633fb3c5d439ab64f99ffd72f777f141013d246212371f6515f3dd3656d1112,0.00786130363313773,-0.008758877632649832,-0.008758877636810138,FIRST_RESOLVED_ACCEPTED,False,0,,0,f0af27f8b1b9b87b55cd904ac7472f443d2ae0c682c5119578ce89693544da3a,
8,True,0.11431403371644415,e2981c0bf39957bfef90f3ee38ebeccc40cea300bee0915000626da34bc93b8b,0.11431403371644415,0.009361755901742555,0.009362692170960049,0.001277353178875635,1.3957201746636345,1.3957201746636345,True,True,0.11431403392486321,b4040c80a792dfcdc95f569e4cd22cdb7fdf0faa2c003637034a60dee82db4f6,0.008085338992084414,-0.009362692170960049,-0.009362692174937856,FIRST_RESOLVED_ACCEPTED,False,0,,0,ce16f9594762121ee66df8f45aaf55ceb3f4d7e88956f5c9c50c4484c036f0b9,
9,False,0.12923768316968434,49edba1baf280397651e6654c6493c70445979e54b6606f9f236b51c86ce56bd,0.12923768316968434,0.009602811830889324,0.009603772208112663,0.00014423813356904958,1.7391477454514617,1.7391477454514617,True,True,0.12923768329543092,11d55a7763d21c6c96c2278729dc1267192e73d1fbd5aeb7497e83ac0cbef418,0.009459534074543613,-0.009603772208112663,-0.009603772233392772,QUALITY_GUARD_FAILED,False,0,,0,adbb9f14d97b7015f8c4c70e3ca69aa8d6a33936ebebcb273872f0c188d9087e,CURRENT_AND_PAST_PER_SEQUENCE_EXACT_IDS
9,False,0.06461884171717214,0e59f35397d34d509e05325218915705fb27801d009a9cd6506dd4a34aad0f65,0.06461884171717214,0.009603292019501195,0.009603772208112663,0.002087887139654067,0.8695738727257308,1.7391477454514617,True,True,0.06461884164771546,1e622920e0f9a9896700eb91746cd366cd9ce4bdcb00d4592c687988608ef6c7,0.0075158850684585955,-0.004801886104056331,-0.00480188611468079,QUALITY_GUARD_FAILED,False,0,,1,5b7655a6a1dd4488e11b75fa1315148799f907a43cef4fe09f6e6174f638bd3e,CURRENT_AND_PAST_PER_SEQUENCE_EXACT_IDS
9,True,0.03230942111564996,83e48d368a067b388dbc176ac7108b0d4d279df9d36bfc8c25b3926fff9eba7c,0.03230942111564996,0.009603532113805033,0.009603772208112663,0.0016509142073486919,0.4347869363628654,1.7391477454514617,True,True,0.03230942082385773,f1578d3edff0779d64580dd2dbbfd7a4be1b7fcb7fd69e59ab15c17f2275eb4c,0.00795285800076397,-0.0024009430520281656,-0.002400943076298993,FIRST_RESOLVED_ACCEPTED,False,0,,2,a3cf6df88bbcdedbf7ba2f2ae6bb2cbb723ed5f52e199f776da210725dae9234,
10,False,0.2018070929636594,c3c19a9025b919315f56064299e7903405b278df359eb26bad3f868614f79041,0.2018070929636594,0.009618560227577636,0.009619522179794908,-3.166837965860002e-05,4.2336929066356985,4.2336929066356985,True,True,0.20180709308104583,edfe1c94b620f5fa3e248de3daaf199354d91d82365542a9189d67c160ba8a56,0.009651190559453508,-0.009619522179794908,-0.009619522172731411,ARMIJO_FAILED,False,0,,0,80196c567c209f6f6966e4b02a35e6d8928dffb52e69872a2d3725c6c6e7f071,
10,False,0.10090354657251609,d79ac4f7e643bd1974f06cf07c4f3560537c41cf7fd781efbbc327ad58d09ad9,0.10090354657251609,0.009619041203689628,0.009619522179794908,0.002216252897083924,2.1168464533178493,4.2336929066356985,True,True,0.10090354654052291,212fe98b01639d54f45356fd286bf8e0b143c5770be670a4d6934aa867593375,0.0074032692827109845,-0.004809761089897454,-0.004809761052812811,QUALITY_GUARD_FAILED,False,0,,1,de9a0d01f5d27727844b184d24d4869b287a4792985c03c946a3e860cb9026f1,CURRENT_AND_PAST_PER_SEQUENCE_EXACT_IDS
10,False,0.050451772995084375,166278ead87dc027938af923e07e115765499dda7146798a4dfcad83347c4b58,0.050451772995084375,0.009619281691739935,0.009619522179794908,0.001754359250729998,1.0584232266589246,4.2336929066356985,True,True,0.05045177327026146,383d133c7763dea579c764f2b4cb6a1217066728c8efc961b583bdf66d8731c7,0.00786516292906491,-0.002404880544948727,-0.0024048805497316147,QUALITY_GUARD_FAILED,False,0,,2,cca2743951c6b1fc01ff3493095621cc1aa7168e7a8a4566fc032bff86f96f58,CURRENT_AND_PAST_PER_SEQUENCE_EXACT_IDS
10,True,0.025225886585550666,33b560210cc83a22c892586aeeecbab9d468b53e995b6700ede8535934f5d9d9,0.025225886585550666,0.009619401935766362,0.009619522179794908,0.0010391335737536204,0.5292116133294623,4.2336929066356985,True,True,0.02522588663513073,c7340f6368b1db9792e03ba1ebc53168a813b5281d1ac7b7753d49629d4aa2ce,0.008580388606041288,-0.0012024402724743635,-0.0012024402854729117,FIRST_RESOLVED_ACCEPTED,False,0,,3,86e0aeaa2e6227aea4c251d74a8561d4f6ebeca75e2a02c70f91bb69d68768c6,
