component,unit,value,nesting
official_own-native,model_input_tokens,457261.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_own-native,native_fit_calls,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_own-native,observer_calls,10.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_own-native,observer_seconds,912.9211139027029,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_own-native,physical_installs,10.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_own-native,reduced_metric_pairs_reused,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_selected,attention_mask_valid_entries,1058596.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_selected,backward_calls,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_selected,canonical_microbatches_computed,1660.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_selected,canonical_pair_rows_computed,26000.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_selected,canonical_pair_rows_reused,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_selected,copy_restore_seconds,4.9208071529865265,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_selected,exact_restores,10.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_selected,generated_tokens,32000.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_selected,greedy_requests_computed,1000.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_selected,greedy_requests_reused,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_selected,history_appends,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_selected,model_forward_calls,33660.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_selected,model_input_tokens,457261.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_selected,native_fit_calls,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_selected,observer_calls,10.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_selected,observer_seconds,912.4108761427924,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_selected,physical_installs,10.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
official_selected,reduced_metric_pairs_reused,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,backward_seconds,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,cache_transfer_seconds,14.248291986994445,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,cached_backward_documents,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,cached_input_tokens,559024.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,cached_suffix_forwards,33204.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,cached_suffix_seconds,852.2142462963238,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,comparison_logit_elements,13301173248.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,gradient_sweeps,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,head_positions,228800.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,kl_documents,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,kl_input_tokens,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,kl_scored_positions,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,kl_sweeps,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,physical_backward_documents,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,physical_copy_restore_seconds,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,physical_exact_restores,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,physical_full_forwards,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,physical_full_seconds,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,physical_input_tokens,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,physical_weight_installs,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,prefix_forwards,6156.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,prefix_input_tokens,103708.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,prefix_seconds,31.84736312739551,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,prefix_valid_tokens,103708.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,teacher_bytes_read,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,teacher_documents_read,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_current,teacher_read_seconds,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,backward_seconds,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,cache_transfer_seconds,1.0344474324956536,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,cached_backward_documents,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,cached_input_tokens,12580.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,cached_suffix_forwards,1422.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,cached_suffix_seconds,35.777539279311895,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,comparison_logit_elements,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,gradient_sweeps,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,head_positions,1436.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,kl_documents,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,kl_input_tokens,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,kl_scored_positions,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,kl_sweeps,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,physical_backward_documents,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,physical_copy_restore_seconds,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,physical_exact_restores,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,physical_full_forwards,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,physical_full_seconds,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,physical_input_tokens,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,physical_weight_installs,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,prefix_forwards,583.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,prefix_input_tokens,5145.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,prefix_seconds,3.0936139011755586,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,prefix_valid_tokens,5145.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,teacher_bytes_read,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,teacher_documents_read,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_past,teacher_read_seconds,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,backward_seconds,226.29553093295544,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,cache_transfer_seconds,15.664020268246531,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,cached_backward_documents,576.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,cached_input_tokens,476992.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,cached_suffix_forwards,1856.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,cached_suffix_seconds,180.07370651513338,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,comparison_logit_elements,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,gradient_sweeps,9.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,head_positions,237568.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,kl_documents,1856.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,kl_input_tokens,476992.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,kl_scored_positions,237568.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,kl_sweeps,29.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,physical_backward_documents,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,physical_copy_restore_seconds,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,physical_exact_restores,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,physical_full_forwards,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,physical_full_seconds,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,physical_input_tokens,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,physical_weight_installs,0.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,prefix_forwards,640.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,prefix_input_tokens,164480.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,prefix_seconds,11.277136352844536,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,prefix_valid_tokens,164480.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,teacher_bytes_read,121878085632.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,teacher_documents_read,1856.0,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
oracle_reference,teacher_read_seconds,62.7194377053529,WITHIN_PROGRAM_WALL_NOT_ADDITIVE_WITH_PARENT
B01_native,compute_z,100,REUSE_PRIOR_NOT_NEW
B01_native,compute_z_seconds,273.168323517777,REUSE_PRIOR_NOT_NEW
B01_native,compute_ks,1,REUSE_PRIOR_NOT_NEW
B01_native,compute_ks_seconds,4.22299166303128,REUSE_PRIOR_NOT_NEW
B01_native,solve,1,REUSE_PRIOR_NOT_NEW
B01_native,solve_seconds,0.1525952061638236,REUSE_PRIOR_NOT_NEW
B01_native,seconds,283.1655024467036,REUSE_PRIOR_NOT_NEW
B02_native,compute_z,100,NATIVE_INCLUSIVE_OVERLAP
B02_native,compute_z_seconds,289.83113506343216,NATIVE_INCLUSIVE_OVERLAP
B02_native,compute_ks,1,NATIVE_INCLUSIVE_OVERLAP
B02_native,compute_ks_seconds,3.612651272676885,NATIVE_INCLUSIVE_OVERLAP
B02_native,solve,1,NATIVE_INCLUSIVE_OVERLAP
B02_native,solve_seconds,0.14849241077899933,NATIVE_INCLUSIVE_OVERLAP
B02_native,seconds,298.5543643543497,NATIVE_INCLUSIVE_OVERLAP
B03_native,compute_z,100,NATIVE_INCLUSIVE_OVERLAP
B03_native,compute_z_seconds,279.7347974376753,NATIVE_INCLUSIVE_OVERLAP
B03_native,compute_ks,1,NATIVE_INCLUSIVE_OVERLAP
B03_native,compute_ks_seconds,3.6765469005331397,NATIVE_INCLUSIVE_OVERLAP
B03_native,solve,1,NATIVE_INCLUSIVE_OVERLAP
B03_native,solve_seconds,0.1199241355061531,NATIVE_INCLUSIVE_OVERLAP
B03_native,seconds,293.791592518799,NATIVE_INCLUSIVE_OVERLAP
B04_native,compute_z,100,NATIVE_INCLUSIVE_OVERLAP
B04_native,compute_z_seconds,287.0124729424715,NATIVE_INCLUSIVE_OVERLAP
B04_native,compute_ks,1,NATIVE_INCLUSIVE_OVERLAP
B04_native,compute_ks_seconds,3.678779230453074,NATIVE_INCLUSIVE_OVERLAP
B04_native,solve,1,NATIVE_INCLUSIVE_OVERLAP
B04_native,solve_seconds,0.12009539548307657,NATIVE_INCLUSIVE_OVERLAP
B04_native,seconds,296.4702101480216,NATIVE_INCLUSIVE_OVERLAP
B05_native,compute_z,100,NATIVE_INCLUSIVE_OVERLAP
B05_native,compute_z_seconds,279.962255529128,NATIVE_INCLUSIVE_OVERLAP
B05_native,compute_ks,1,NATIVE_INCLUSIVE_OVERLAP
B05_native,compute_ks_seconds,3.753568509593606,NATIVE_INCLUSIVE_OVERLAP
B05_native,solve,1,NATIVE_INCLUSIVE_OVERLAP
B05_native,solve_seconds,0.12004291266202927,NATIVE_INCLUSIVE_OVERLAP
B05_native,seconds,288.7449497031048,NATIVE_INCLUSIVE_OVERLAP
B06_native,compute_z,100,NATIVE_INCLUSIVE_OVERLAP
B06_native,compute_z_seconds,284.0419960329309,NATIVE_INCLUSIVE_OVERLAP
B06_native,compute_ks,1,NATIVE_INCLUSIVE_OVERLAP
B06_native,compute_ks_seconds,3.8194936187937856,NATIVE_INCLUSIVE_OVERLAP
B06_native,solve,1,NATIVE_INCLUSIVE_OVERLAP
B06_native,solve_seconds,0.12009200733155012,NATIVE_INCLUSIVE_OVERLAP
B06_native,seconds,293.46209126897156,NATIVE_INCLUSIVE_OVERLAP
B07_native,compute_z,100,NATIVE_INCLUSIVE_OVERLAP
B07_native,compute_z_seconds,283.4749805005267,NATIVE_INCLUSIVE_OVERLAP
B07_native,compute_ks,1,NATIVE_INCLUSIVE_OVERLAP
B07_native,compute_ks_seconds,3.7890006406232715,NATIVE_INCLUSIVE_OVERLAP
B07_native,solve,1,NATIVE_INCLUSIVE_OVERLAP
B07_native,solve_seconds,0.11998042464256287,NATIVE_INCLUSIVE_OVERLAP
B07_native,seconds,292.31056885421276,NATIVE_INCLUSIVE_OVERLAP
B08_native,compute_z,100,NATIVE_INCLUSIVE_OVERLAP
B08_native,compute_z_seconds,285.8578614089638,NATIVE_INCLUSIVE_OVERLAP
B08_native,compute_ks,1,NATIVE_INCLUSIVE_OVERLAP
B08_native,compute_ks_seconds,3.8742849342525005,NATIVE_INCLUSIVE_OVERLAP
B08_native,solve,1,NATIVE_INCLUSIVE_OVERLAP
B08_native,solve_seconds,0.12012625858187675,NATIVE_INCLUSIVE_OVERLAP
B08_native,seconds,295.1271262234077,NATIVE_INCLUSIVE_OVERLAP
B09_native,compute_z,100,NATIVE_INCLUSIVE_OVERLAP
B09_native,compute_z_seconds,276.0472159581259,NATIVE_INCLUSIVE_OVERLAP
B09_native,compute_ks,1,NATIVE_INCLUSIVE_OVERLAP
B09_native,compute_ks_seconds,3.501176388002932,NATIVE_INCLUSIVE_OVERLAP
B09_native,solve,1,NATIVE_INCLUSIVE_OVERLAP
B09_native,solve_seconds,0.11997865978628397,NATIVE_INCLUSIVE_OVERLAP
B09_native,seconds,284.2141009317711,NATIVE_INCLUSIVE_OVERLAP
B10_native,compute_z,100,NATIVE_INCLUSIVE_OVERLAP
B10_native,compute_z_seconds,280.94555438589305,NATIVE_INCLUSIVE_OVERLAP
B10_native,compute_ks,1,NATIVE_INCLUSIVE_OVERLAP
B10_native,compute_ks_seconds,3.7838637102395296,NATIVE_INCLUSIVE_OVERLAP
B10_native,solve,1,NATIVE_INCLUSIVE_OVERLAP
B10_native,solve_seconds,0.120071180164814,NATIVE_INCLUSIVE_OVERLAP
B10_native,seconds,290.36392952501774,NATIVE_INCLUSIVE_OVERLAP
program_timing,P_load,4.107723921537399,INCLUSIVE_DO_NOT_SUM_NESTED
program_timing,correction_total_inclusive,8251.672250397503,INCLUSIVE_DO_NOT_SUM_NESTED
program_timing,geometry,721.4874097621068,INCLUSIVE_DO_NOT_SUM_NESTED
program_timing,history_finalize,134.09285956807435,INCLUSIVE_DO_NOT_SUM_NESTED
program_timing,model_load,9.409885039553046,INCLUSIVE_DO_NOT_SUM_NESTED
program_timing,native_fit,2688.872248885222,INCLUSIVE_DO_NOT_SUM_NESTED
scheduler,allocated_GPU_seconds,17814,PARENT_ONLY
program,wall_seconds,17807.506516343914,NOT_ALLOCATION_UTILIZATION
