scope,component,value,provenance,additive
terminal.oracle_work.Dev128,cached_backward_documents,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,cached_input_tokens,263168,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,cached_suffix_forwards,1024,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,cached_suffix_seconds,240.9248419329524,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,comparison_logit_elements,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,gradient_sweeps,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,head_positions,131072,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,kl_documents,1024,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,kl_input_tokens,263168,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,kl_scored_positions,131072,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,kl_sweeps,8,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,physical_backward_documents,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,physical_copy_restore_seconds,0.0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,physical_exact_restores,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,physical_full_forwards,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,physical_full_seconds,0.0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,physical_input_tokens,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,physical_weight_installs,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,prefix_forwards,128,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,prefix_input_tokens,32896,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,prefix_seconds,4.899277839809656,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,prefix_valid_tokens,32896,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,teacher_bytes_read,67243081728,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,teacher_documents_read,1024,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.Dev128,teacher_read_seconds,79.72054170258343,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,backward_seconds,181.45462702400982,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,cache_transfer_seconds,3.062613822519779,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,cached_backward_documents,256,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,cached_input_tokens,296064,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,cached_suffix_forwards,1152,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,cached_suffix_seconds,268.56859852187335,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,comparison_logit_elements,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,gradient_sweeps,4,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,head_positions,147456,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,kl_documents,1152,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,kl_input_tokens,296064,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,kl_scored_positions,147456,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,kl_sweeps,18,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,physical_backward_documents,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,physical_copy_restore_seconds,0.0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,physical_exact_restores,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,physical_full_forwards,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,physical_full_seconds,0.0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,physical_input_tokens,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,physical_weight_installs,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,prefix_forwards,64,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,prefix_input_tokens,16448,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,prefix_seconds,2.7356947381049395,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,prefix_valid_tokens,16448,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,teacher_bytes_read,75648466944,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,teacher_documents_read,1152,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.S64,teacher_read_seconds,44.43829732388258,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,backward_seconds,0.0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,cache_transfer_seconds,1.990101631730795,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,cached_backward_documents,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,cached_input_tokens,322896,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,cached_suffix_forwards,19344,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,cached_suffix_seconds,859.5859665069729,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,comparison_logit_elements,10687315968,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,gradient_sweeps,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,head_positions,176376,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,kl_documents,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,kl_input_tokens,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,kl_scored_positions,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,kl_sweeps,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,physical_backward_documents,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,physical_copy_restore_seconds,0.0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,physical_exact_restores,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,physical_full_forwards,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,physical_full_seconds,0.0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,physical_input_tokens,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,physical_weight_installs,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,prefix_forwards,624,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,prefix_input_tokens,10416,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,prefix_seconds,5.504588216543198,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,prefix_valid_tokens,10416,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,teacher_bytes_read,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,teacher_documents_read,0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.oracle_work.protected,teacher_read_seconds,0.0,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal,peak_gpu_allocated,35241529856,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal,peak_gpu_reserved,37675335680,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal,peak_host_KiB,34578676,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal,requests,100,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.source.launcher,bytes,976,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.technical,bytes,4390,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.timing,P_load,3.402879310771823,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.timing,covariance_objective,47.29338193498552,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal.timing,model_load,16.243131948634982,S1_NEW,NO_OVERLAP_UNRESOLVED
terminal,wall_seconds,9142.141954604536,S1_NEW,NO_OVERLAP_UNRESOLVED
Slurm50098_parent_only,allocated_GPU_seconds,9147,ONE_SACCT_READ,TOTAL_DO_NOT_ADD_COMPONENTS
