model,arm,outer_k,inner_j,post_update_measurement_only,target_new_nll_mean,target_new_nll_median,target_new_nll_p90,target_new_nll_worst,kl_mean,decay_mean,combined_objective_mean,gradient_norm_mean,optimizer_update_norm_mean,delta_norm_mean,clamp_count,target_state_sha256,identity_sha256
Llama,Neutral,1,4,False,0.04299803212634288,0.0043554953299462795,0.12314415872097009,0.2615719735622406,0.8037918508052826,0.034135912778447616,0.12737093558012064,0.18385331983538294,1.2328055045861148,8.413232782685153,10,dbc03534375b6223536a18ed7acfe7e6b24174ade9b11954da9a560d586cf042,fd8433b8f199576989352c9ab5a54581ff7b15ac2526adbe0271e9719592762b
Llama,Neutral,1,5,True,0.01818214428349165,0.003507537883706391,0.0634824439883232,0.07638798654079437,0.8407655000686646,0.03413591310548826,0.10486590114327143,0.11293094983445731,0.0,8.413232890790304,0,a3b010ffc7ce6429aedbf02186db774a47737d4bd4212cbe13799ff150bc49d7,805779e1c4c20f24cc5edf5797a0177ddd1d60d7a940c76010a76ff8b6c12167
Llama,Neutral,2,0,False,0.04260106176516274,0.00640093139372766,0.08102392069995394,0.31375980377197266,0.4120637447165791,0.0135028222467097,0.08185786805665864,0.3446257492204846,6.398390635085016,9.339708735544896,0,e927c7933f5416903284d5a133d781bc36ab29a4176ee2a8480ef59d317967fe,6aa327cd871ce043beab1c26f0ebb611b2082db1fc0f526ef1b769e2f95567ea
Llama,Neutral,2,1,False,0.029318868450172886,0.00326539296656847,0.07097542993724341,0.20137634873390198,3.303792252272251,0.015900553515362605,0.2517064377325512,0.5691362234819662,4.267834734813535,10.948098421345039,1,77ba7deaab79ec31904b0b87ed856fab8924d06e113d60dfd2d2a35391d720ad,b469a23ba2231a925497bec485e4656209ac6358365d8bdcef83dee9308de49a
Llama,Neutral,2,2,False,0.005974505729500379,0.001971711521036923,0.016841341555118558,0.028268111869692802,0.46450223715073663,0.018369651623409762,0.05337554717483117,0.02974833942848476,2.7952089693944315,12.581473595307965,9,c7dec2301293c09742087fec8cc91b1abf4ef4c8d3e3aaecde96cbb813285878,9f6ed8b2513344597f052b589c94bbe82f26f2259b627aa3f952675cf6fd5c55
Llama,Neutral,2,3,False,0.006168059657284175,0.0010386634967289865,0.018864376842975608,0.03765615448355675,0.37359334733337163,0.01951278497806444,0.049030428843684346,0.03372212486999927,2.0276921234861427,13.321908658275277,9,8049756412683bf169059af25f6486b8ce9544efdac8e7120498b771ee3f8945,9ee73c2f64db0c005b25e80bd400e48d12d2bbd628299dba2cbedbeac5b27ff2
Llama,Neutral,2,4,False,0.004662478375939827,0.00043034831469412893,0.013476286828517908,0.031156443059444427,0.3636316627205815,0.019541152499143837,0.04693060979512001,0.029506306474369193,1.6729285517284898,13.347447309463496,9,94f0a3f714033adedd6c7dd53a42b16e2f09b4dd3762c1058ba45f990f7b35ad,7ae90dc3ee77b3ebba70e2cb9da9189623b2a7662b58da91911d0f365450a342
Llama,Neutral,2,5,True,0.0032521757209906356,0.0002671959009603597,0.01004747841507196,0.020509500056505203,0.42505094038497193,0.019640860583697666,0.04945872007874905,0.05070244086805642,0.0,13.437212836963472,0,51e7d7382e2d587a61af0d49b5a42ac43de6838ce514c3cf1ae6756ed5817a1a,f6a641900c4d441bacd0cf78609c1b83be308ff1a6a0cedc75505a9939d01622
Llama,Neutral,3,0,False,4.0237431764602665,2.0361531376838684,8.866185760498047,10.141214370727539,6.104180836677552,0.007442600682038057,4.4126970794346505,2.873497406768659,6.2486198478396915,38.083513167934655,10,27d95c8e6ce710d4b03e88c01a687c3f136f9b2af05d5ab81f18ff5845836c92,61f5a359ad1a77bff84de01c5ad97369751a54eda884c24439f55880ef4506ff
Llama,Neutral,3,1,False,0.40740030525776094,0.007839348050765693,0.5575687825679766,3.8100545406341553,6.054463316500187,0.007442600638106131,0.7932468631771288,0.24734260866806618,4.161092353205381,38.083512887106544,10,9fa5e787bc9d639bd7b78ea5c74f144c000610cba92f9ba27311163c48a05aac,73166e5e0ccda22bacf9b23c9f12bf9995e3debbb538df53ee002333c1eb3de5
Llama,Neutral,3,2,False,0.022364235252462096,0.0030694480519741774,0.04261910766363139,0.1754576414823532,5.99448994398117,0.007442600665723022,0.40446245741700826,0.16064971164629377,3.194285780443358,38.083513132151694,10,d60dc845ad187fcb6d163b0339413311e2bd72428470033b4a8f12c345195c6d,28f189998cb36b592957d2c45d8e6f73f5b4f4a257aa6a527350832d062aed43
Llama,Neutral,3,3,False,0.007360578919178806,0.003567175706848502,0.018265416659414765,0.02226373367011547,4.824178302288056,0.007442600750827084,0.31631432356300937,0.05473860492985412,2.5601774811152973,38.08351342918361,10,311fc4b8940633d2a88fc1f9279c5cfab266c0c9d588bccf75565904e469ee53,d0fba9078034fd88a52f468b852f06737eef5f64233439561c27a1c478349814
Llama,Neutral,3,4,False,0.006459671293850988,0.0029965982539579272,0.01758645251393318,0.026348672807216644,4.518224477767944,0.007442600597123851,0.29629130175147134,0.05444958222276223,2.1598292238160584,38.08351261841891,10,15ed71f663a6b96d0b2a13310bc63199cc50b22c9b931bbb5ef7c7dd1a5490d8,999dba4091661a79a70c23cb1dc0eef9252f4be21e4e66f2da02f3099b3096b8
Llama,Neutral,3,5,True,0.004645463620545342,0.0028696299996227026,0.012843054439872503,0.01586846634745598,4.529911644756794,0.007442600796149446,0.2952075422139944,0.3820945651304014,0.0,38.08351360725101,0,03965779c2fdd98776282253211be11aa79b013946bf3e4664bf442d4a92d752,43e27fafff573becb7feeab811478d98761b73c83d7531e58a1225c4bdf88c69
Llama,Neutral,4,0,False,12.457062244415283,12.62567949295044,14.017118453979492,14.060651779174805,0.5286384254693985,0.0005197722509444939,12.490621918258064,0.01051404244020011,6.395574067832458,563.6625718569563,5,9896fcb92173635206beb32ba71c47965b27663e31b8cda387dc118c44ec78ab,4e59409f6e2d8f83a2501c88c7e8c9dfdab5c78ddf100b22624c0caabeb9ecdf
Llama,Neutral,4,1,False,12.412423133850098,12.54384994506836,13.99107904434204,13.99992561340332,0.34328410401940346,0.0005197571007539327,12.434398147452065,0.01405729450022164,6.089579147232055,563.6452531464573,9,0a23426583f3d6786de4e209a1c5a27187466276d0ffe39d7b0c1f0b725659c6,d081b7f2991484e251a86df891b4c2f1e4c413496ef2a947ad7be597dfb7d119
Llama,Neutral,4,2,False,12.35697374343872,12.492123126983643,13.91418914794922,13.986465454101562,0.1849950909614563,0.0005197649772439225,12.369055701601056,0.013432741226056782,5.906585687804652,563.6517457044624,9,7c0eac03f555d8f93633f3e41893bd415eb17cfb145cad20978c9742e5308d61,315ecbc460daf699ab250a2f113494a21da216e48f469aaef1855e7cefcd573f
Llama,Neutral,4,3,False,12.300575828552246,12.447513580322266,13.830735301971435,13.976768493652344,0.18639376610517502,0.0005197597389127928,12.312745198672733,0.015053814009335493,5.742477073800998,563.6439539799696,9,f93f779df9d797fdc958b89628d9509a654bdc5433b59aca751c67e799283872,d76280d83c78f518ff22e98c8e77ddb875aa0481614fa662e13d4c5e40f409e5
Llama,Neutral,4,4,False,12.2298508644104,12.38975191116333,13.789803409576416,13.965600967407227,0.25617450624704363,0.0005197579745606555,12.246381529025403,0.01772915598818263,5.58914109672064,563.6413235914723,9,735fb8108cfbc0e2adb23c9966c0c97c081978bc95ab9d1ab409f8168a39efe8,84b7aa05a7e77c2ba08318e801729d3d09233e841a781e80f6d204905600fbbd
Llama,Neutral,4,5,True,12.156771278381347,12.337165832519531,13.748565673828125,13.942388534545898,0.34508153796195984,0.0005197592963115514,12.178858633800282,0.021049022559700314,0.0,563.6432978603577,0,c1afcf7fc8ff1805e547b73095c5591f70e1eb7a5c79fd034e14eb14d7dcccfd,0e186501646198cc5379aef681b77385f12cc7fd3c1416132b641eea4587d56c
Llama,Neutral,5,0,False,6.924891638755798,6.072421312332153,10.906783866882325,11.18958568572998,0.4090737754479051,0.004680241474689074,6.955138991195982,0.27334628391765625,6.376843818703152,60.95776497473713,8,1f311435b7932ab61f5352f3e61f286cc3c9ce4bbbff0543fd58ad6b2d49836c,2acd978225ddcd5bfedb9b38a5d6c0668ca450bfd62d40459c967c8677b8736a
Llama,Neutral,5,1,False,5.911780047416687,5.416724443435669,9.76015796661377,11.073345184326172,0.17674549543298781,0.004681275165141156,5.927507916046389,0.23187177890448796,5.6856455459607504,60.994127603141465,8,e19acf9173f63984c34ff8f6fcdec21190dc67611292375ada2bf4b3875da0ec,8f2695c2870f53206e5dee22f0a26ffd845957eb02a5c7c4794a9d2375c2cbc8
Llama,Neutral,5,2,False,5.041733300685882,4.103177547454834,8.591921806335447,10.97723388671875,0.13592403128859587,0.004684014915803148,5.054912567557223,0.2187472319895571,5.3338756789864545,61.094791764074046,8,4ed11f29aba575bfa8616d1b46d4a721e29b3cb14eadc8aea2e6a6751f307100,b07386581e6a508fb4bd77eb7472f26a87953735c4f0f600c667d3d449f8b5af
Llama,Neutral,5,3,False,4.343285357952118,3.3019981384277344,8.032524585723875,10.900973320007324,0.1467735504731536,0.004688254764626186,4.357146959621316,0.1711089007225995,5.0043069863724545,61.252314855890596,8,52812819c7b45874e11d68024fc3943f6971e3a71a59cf8d7ad0b97e4e64564b,a911d323565fe99abbe61ed8468e711774538de5ead288e2f812f981c0867cd3
Llama,Neutral,5,4,False,3.8985173642635345,3.014923572540283,7.6620397567749015,10.869695663452148,0.18976577937137334,0.004693708711036906,3.9150714341852835,0.10311741839294915,4.63645177651531,61.455782415782174,8,1166675601ea3ea5b37ba063a2793425028103aae568c0cdb68aa2373b00941e,10b69f54644f0ea63b2b1d94a23cddf69000fcc0554ab68b91dc1f4f389811c7
Llama,Neutral,5,5,True,3.571658409945667,2.739375352859497,7.179200601577757,10.822421073913574,0.20003993425052613,0.004700173556591707,3.5888610793929168,0.10501178895591753,0.0,61.6975138940423,0,a201d753186eabe0554438da34107328ae77602fdd53375170ad769755f8cc39,342a9f29d0bef2f8a6e87525419051298392d3cbde9509fd021b471dfd2e358c
Llama,Neutral,6,0,False,3.1281870028702543,1.878183364868164,7.641294050216674,10.101219177246094,0.06223447141653082,0.004322467736738971,3.1363991250705263,0.07362769634973942,6.386203804529676,52.70604958233868,1,4a8708b294afdf9bc31669122e3ed16d2585b072f1b2bfbb289ae371bfa0812c,fc771c65476c978f38e40ea07db8b0cd5a4ce9b081c430dad8cfab37b8d640d8
Llama,Neutral,6,1,False,2.7516429114271888,1.4477345943450928,7.045346069335936,8.942399978637695,0.0067539602152635325,0.004253440241275789,2.7563184741819184,0.09088016711712149,5.93464762866826,52.10584140298538,4,7efd0813ca1df77ad6fe93d997ad05d068ab12f47718d01797fe14137c119598,03d90dffe44aba19c14592ebad5d48916a0af4a758e202d6aa01b40fc4acefde
Llama,Neutral,6,2,False,2.3178204732437733,0.9759551286697388,6.3550523757934565,7.495582580566406,0.006080344903780599,0.004215754232819499,2.3224162490330795,0.10446622933546175,5.699510425136355,51.928237723621336,4,d397405f9c468386490b806b6d1622121e45ab0e226a12f602acac31d119fa88,4e442b7b39efe0a041eeedd0246be899487f6e4d857b56f4488ff0f01b52afaa
Llama,Neutral,6,3,False,1.8616930413954833,0.5569028258323669,5.502373123168945,5.879791259765625,0.007115186603071066,0.004194524352014318,1.8663322649101892,0.11053737149010949,5.435493570357834,52.013876101133704,5,d720f4f642c7fbae6ce0f3b1d0a19abc9f302cd71f02de3656813647c32dbb90,f431fd7d1b647eebb65d3a02a25de30c07de0b083e6f47567c558323c8ec5e0d
Llama,Neutral,6,4,False,1.4287676602041757,0.3163260295987129,4.3155357360839846,4.58570671081543,0.008798371292612472,0.004184783896930358,1.4335023423068942,0.10299449141354997,5.14670749311445,52.27262944274912,5,5604913c82ad661b70b71e5bd7dc6eaed7add31e2acf42afba41d48d07fbead7,df99c6b327bd513d02878b5da1c347b3cc801463cd67307319cb053163172f3e
Llama,Neutral,6,5,True,1.0651050787826535,0.2267269641160965,3.1296976566314694,3.6246604919433594,0.009332107590629236,0.004185586031738988,1.069873921538807,0.08516818655872015,0.0,52.68503487054401,0,13bbff1dccf6eafbaa8e422332431c0822f8d6d99875f42e9744b27b5e1bba68,8caf515ecf0fe72c416356e6dde79f93458adc66de47ead87e0b7f404ca7d1c1
Llama,Neutral,7,0,False,9.22940273284912,10.042840003967285,12.974078369140624,12.989177703857422,2.2534021712839603,0.0019668223658240386,9.372207190920193,0.15427423531904189,6.386714382443935,165.67666865855688,2,0a6920d2143ff8b440865cdb477aecf56cdfaabd56fccf35a438f7b0dc96c33d,ebc0946011af018024b6b9f3377fbd0d22c59e33b470be4cc899e7f61a346b10
Llama,Neutral,7,1,False,8.8098140001297,9.262078762054443,12.786463737487793,12.964502334594727,1.1523770297062583,0.0019694264645311104,8.883806990950873,0.12548473814347608,5.73473442730637,165.86560639969468,3,607990963622c7556a47053b6a572ff6c6861ccb09375deca16b81e478f2d59e,dc519547aafea27457fd924c6241dc5a9ec3ba3f7d82155d8781c7f4217da390
Llama,Neutral,7,2,False,8.27332513332367,8.746399879455566,12.5277099609375,12.917312622070312,1.1582246787729673,0.0019875640113695544,8.347701739758351,0.15476269184426356,5.497041578338029,166.36232748190668,3,9503aa1b45caa1865592d87532a1d76e487aaf11d1ef9f579e9edf6b0e38d9e5,3883ee4c59610f940a06f8ec009671634c5faf004cd707d298677b614b921723
Llama,Neutral,7,3,False,7.624624848365784,8.153964042663574,12.225450038909912,12.850456237792969,1.163681305316277,0.0020151688886625332,7.699370098836714,0.18464529326988252,5.349764275794042,167.06185571901858,3,7e93772e13a3d8ac0ef98767e1081905bd142ae1dfc01c1065726a59e769125e,834a30c449cba6209313133dcf862fb2e5d6287892f117281ae680ebb6d3d310
Llama,Neutral,7,4,False,7.042541921138763,7.521711111068726,11.87435245513916,12.78208065032959,1.1650341986794956,0.00205049297891479,7.117407051535146,0.17044028349632712,5.218239517736397,167.94815893811764,3,c2f5420e638c692d6518c1eedf61584258d3a999481a6fa196f3add12d9b2709,8cee2a43a633d9dc4239a45b44faa87ecd32a4bdcd4d69100d9e36246e0534e9
Llama,Neutral,7,5,True,6.481759572029114,6.868757963180542,11.439518356323243,12.66168212890625,1.1666987348929978,0.0020889461759676744,6.5567671891358925,0.16993797082406575,0.0,168.9629430609814,0,78d863f5f5ec2e0ed38eed0aa8ce068404db07e7ff277d23b27fccd1956d8b8e,8040e2aa034c8c4d5ae09e21be48aa5ad7924bffbe9f555e451128840cae90f7
Llama,Soft,0,0,False,8.365490245819093,9.566644191741943,9.87334394454956,9.912435531616211,0.0,0.0,8.365490245819093,6.091354407264503,4.878791052713828,0.0,10,3eaffab8156522d6357694416cebd14a0207746c72caff79a4059a47be1b1ab4,09499863c7dc71efc64f5e49755bbf22394e98ac755e721c3070e6383efb4405
Llama,Soft,0,1,False,4.064122074842453,4.713239431381226,6.835544204711914,7.710670471191406,0.6220977075397969,0.05801024109717504,4.161013422660866,2.717465061201424,1.6008740350104165,4.878791052713828,10,3e71b4b01a708c31a566ac2747a95216d966c371faba9d781671277ffa6cb3b3,e416f246730e1510edfe46ed7a656d810c82ca121bc9fcc1a5d378426d0b8752
Llama,Soft,0,2,False,2.040875215828419,1.500524640083313,4.026945114135741,6.558684349060059,0.4551617346704006,0.058010239258328086,2.127333063503647,1.8623918567668045,1.2017494752676892,4.878790898584884,10,ce5bc8cc9eb5aad820a0a19eeb4fd962494ea2ef3c37b39fb93d6ad00f4da19f,62477b58f1d6b3a83db250008a35f825ee7221b0c843cd24b4764114410b023f
Llama,Soft,0,3,False,0.9897245068103075,0.20946772396564484,2.876666378974914,5.2250075340271,0.5117765352129936,0.058010240207864286,1.0797207804689841,0.7158653758190177,0.8086392688545985,4.878790969930159,10,62616e6830097e866342189103cb4c27224f4c8073a036f70e6dd7459af77d6c,d9c43780805f327263c600c344764025be3831b5a650df26eed612c023d106bb
Llama,Soft,0,4,False,0.6878070100210607,0.08057756721973419,2.1345214724540704,4.087612628936768,0.570781233906746,0.05801024156535349,0.7814910787055858,0.4649681603029068,0.5708461985180172,4.878791072524585,10,b2d35d981ad1393e067a7b2f80c874d10f28de80d6d3ea1e1f839fe3a1308c93,5190d45814d755c2bdf72cc8be8b53763c24564e99cc9668d2cd8d2c9069c6f5
Llama,Soft,0,5,True,0.4732969423290342,0.0473192036151886,1.4740309238433833,2.9039998054504395,0.5563222706317902,0.05801024009788904,0.5660773243414101,0.43830335320081026,0.0,4.878790982560842,0,c97d4148b46f0e5a8c6e5a6182126fea371e02f217b03a05ebec439f6c436c20,51bf84ab3df2e3d6866af7c654001b304f05b6413c3f8438cd7a5617d30f6c53
Llama,Soft,1,0,False,0.5373293856158853,0.055351341143250465,1.8977852463722225,2.9449126720428467,1.1442085415124894,0.03383619293717512,0.6426786123975909,0.7429482670400986,5.606570101936283,8.329927551486026,10,f13a4f0ba1885acd7a93ffb60632985c565a16ee85e17ec8750b8b69957e94d8,91e0c2c6da7947ca6626652697530f0a6d7e7f671ee6fcd711e0ae0cd1a0c7e2
Llama,Soft,1,1,False,0.5012811429427529,0.009395800065249205,1.2416781902313225,2.9159963130950928,1.1965170592069625,0.034135913212326736,0.6101993723555148,2.0627965498462597,3.3880343663025174,8.413232878559326,10,de8df70f658ceb4752138f06fec278aa0cb3832050e3778cc1e376895616cb53,c8bc159846b1d11189841675fc59ab16d6f36b4a4c764ce6105eaa0d3efcf6e2
Llama,Soft,1,2,False,0.1571155260768137,0.006184482714161277,0.36976283788681,1.0925790071487427,1.1219734728336335,0.03413591244323771,0.26137478057215346,0.6581503665584189,2.211002990044789,8.41323276775093,10,8e03fbfd1ae001cae0629f23325b8cd7fb4bfbdfdb96b9fe49f5e1686deeea04,b28be8dc8d12b9b7b869fc831e599428b7f29ed81f975f2cf361def6a39b5a8d
Llama,Soft,1,3,False,0.054505585777224044,0.004446390434168279,0.19249558150768276,0.2721703052520752,1.1888028293848039,0.03413591255723721,0.1629416751710115,0.2743644694670329,1.6798891637605693,8.413232773541095,10,610d7bf78cdb2891194e61b34244399a2a71f0e647b76f136cb56949f4f020a8,2089b8ba2404dff2e62a0e926c26e48362ac87e4656eee0d5c57888d7cdb14c4
Llama,Soft,1,4,False,0.04299803212634288,0.0043554953299462795,0.12314415872097009,0.2615719735622406,0.8037918508052826,0.034135912778447616,0.12737093558012064,0.18385331983538294,1.2328055045861148,8.413232782685153,10,dbc03534375b6223536a18ed7acfe7e6b24174ade9b11954da9a560d586cf042,530fbf426c633f041d81141089e652d93e632bc63f49a59310300e061cebd9ab
Llama,Soft,1,5,True,0.01818214428349165,0.003507537883706391,0.0634824439883232,0.07638798654079437,0.8407655000686646,0.03413591310548826,0.10486590114327143,0.11293094983445731,0.0,8.413232890790304,0,a3b010ffc7ce6429aedbf02186db774a47737d4bd4212cbe13799ff150bc49d7,9ec707b5fb80174f88f565e86c02aaaebd0fce6a1796417960649ffa2546b52e
Llama,Soft,2,0,False,0.04260106176516274,0.00640093139372766,0.08102392069995394,0.31375980377197266,0.4120637447165791,0.0135028222467097,0.08185786805665864,0.3446257492204846,6.398390635085016,9.339708735544896,0,e927c7933f5416903284d5a133d781bc36ab29a4176ee2a8480ef59d317967fe,2134860000e1d3c38e4e74830aa7aaeb30321c05ed9edddc36e66e334011fd07
Llama,Soft,2,1,False,0.029318868450172886,0.00326539296656847,0.07097542993724341,0.20137634873390198,3.303792252272251,0.015900553515362605,0.2517064377325512,0.5691362234819662,4.267834734813535,10.948098421345039,1,77ba7deaab79ec31904b0b87ed856fab8924d06e113d60dfd2d2a35391d720ad,ecbd6e668e34517784e8281128a3e2373f2f748d7ce09bc9779e9b01a25b86ce
Llama,Soft,2,2,False,0.005974505729500379,0.001971711521036923,0.016841341555118558,0.028268111869692802,0.46450223715073663,0.018369651623409762,0.05337554717483117,0.02974833942848476,2.7952089693944315,12.581473595307965,9,c7dec2301293c09742087fec8cc91b1abf4ef4c8d3e3aaecde96cbb813285878,13c690148b39128458b79f9705238a51628621d6f3755347a241cd278ac9a1ea
Llama,Soft,2,3,False,0.006168059657284175,0.0010386634967289865,0.018864376842975608,0.03765615448355675,0.37359334733337163,0.01951278497806444,0.049030428843684346,0.03372212486999927,2.0276921234861427,13.321908658275277,9,8049756412683bf169059af25f6486b8ce9544efdac8e7120498b771ee3f8945,d90af3b1041dfb351012551a6f5235730bcc3d976e95d948356c3975f89e5bb0
Llama,Soft,2,4,False,0.004662478375939827,0.00043034831469412893,0.013476286828517908,0.031156443059444427,0.3636316627205815,0.019541152499143837,0.04693060979512001,0.029506306474369193,1.6729285517284898,13.347447309463496,9,94f0a3f714033adedd6c7dd53a42b16e2f09b4dd3762c1058ba45f990f7b35ad,beb2eceb193da64ef777a9f9b0755f2dad68c63a55370daf4bf19518429f6b23
Llama,Soft,2,5,True,0.0032521757209906356,0.0002671959009603597,0.01004747841507196,0.020509500056505203,0.42505094038497193,0.019640860583697666,0.04945872007874905,0.05070244086805642,0.0,13.437212836963472,0,51e7d7382e2d587a61af0d49b5a42ac43de6838ce514c3cf1ae6756ed5817a1a,1c695d583e5605a0758517acaed0471bd3bd95e1b9ea16b56f047dc59aad6041
Llama,Soft,3,0,False,4.0237431764602665,2.0361531376838684,8.866185760498047,10.141214370727539,6.104180836677552,0.007442600682038057,4.4126970794346505,2.873497406768659,6.2486198478396915,38.083513167934655,10,27d95c8e6ce710d4b03e88c01a687c3f136f9b2af05d5ab81f18ff5845836c92,8d92cd4538bc8fcdeb350b9f98b10ac90af3bf5c0a9fe33653931bd6784f75f6
Llama,Soft,3,1,False,0.40740030525776094,0.007839348050765693,0.5575687825679766,3.8100545406341553,6.054463316500187,0.007442600638106131,0.7932468631771288,0.24734260866806618,4.161092353205381,38.083512887106544,10,9fa5e787bc9d639bd7b78ea5c74f144c000610cba92f9ba27311163c48a05aac,3f490beb5d4d0077982b3444a0a6742d46e7fb0c7fee2a937585439dae44d003
Llama,Soft,3,2,False,0.022364235252462096,0.0030694480519741774,0.04261910766363139,0.1754576414823532,5.99448994398117,0.007442600665723022,0.40446245741700826,0.16064971164629377,3.194285780443358,38.083513132151694,10,d60dc845ad187fcb6d163b0339413311e2bd72428470033b4a8f12c345195c6d,f3f5536f8be622fc6d24cb87f9c0225c83bbc3831ab3a839b2b9737c853fa437
Llama,Soft,3,3,False,0.007360578919178806,0.003567175706848502,0.018265416659414765,0.02226373367011547,4.824178302288056,0.007442600750827084,0.31631432356300937,0.05473860492985412,2.5601774811152973,38.08351342918361,10,311fc4b8940633d2a88fc1f9279c5cfab266c0c9d588bccf75565904e469ee53,8b49fb77a8dc0b669f7f69b9562628c9242ec901876cddcda034987217a09231
Llama,Soft,3,4,False,0.006459671293850988,0.0029965982539579272,0.01758645251393318,0.026348672807216644,4.518224477767944,0.007442600597123851,0.29629130175147134,0.05444958222276223,2.1598292238160584,38.08351261841891,10,15ed71f663a6b96d0b2a13310bc63199cc50b22c9b931bbb5ef7c7dd1a5490d8,186f68c673defb385b1bdedff976537cd127cf6528a04a0878eaa639473dc207
Llama,Soft,3,5,True,0.004645463620545342,0.0028696299996227026,0.012843054439872503,0.01586846634745598,4.529911644756794,0.007442600796149446,0.2952075422139944,0.3820945651304014,0.0,38.08351360725101,0,03965779c2fdd98776282253211be11aa79b013946bf3e4664bf442d4a92d752,98fcdf387a615ae4674064cd00f3ebfb6552eb6bc7f9de34603d1c737fb419d5
Llama,Soft,4,0,False,12.457062244415283,12.62567949295044,14.017118453979492,14.060651779174805,0.5286384254693985,0.0005197722509444939,12.490621918258064,0.01051404244020011,6.395574067832458,563.6625718569563,5,9896fcb92173635206beb32ba71c47965b27663e31b8cda387dc118c44ec78ab,dc6f3ff211ad98ac8c033d699241cb5b6b7a43007fbf2d5e05bd7402332dc29b
