batch,requests,loss_evaluations,Adam_updates,early_stop,zero_updates,origin
45,100,655,555,98,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
46,100,699,599,96,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
47,100,820,720,93,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
48,100,678,578,98,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
49,100,725,625,97,1,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
50,100,679,579,98,1,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
51,100,712,612,96,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
52,100,719,619,98,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
53,100,667,567,97,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
54,100,725,625,98,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
55,100,701,601,98,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
56,100,635,535,99,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
57,100,699,599,97,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
58,100,707,607,97,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
59,100,674,574,97,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
60,100,664,564,98,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
61,100,668,568,98,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
62,100,722,622,98,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
63,100,679,579,99,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
64,100,638,538,98,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
65,100,603,503,98,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
66,100,596,496,100,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
67,100,683,583,98,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
68,100,662,562,97,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
69,100,613,513,99,1,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
70,100,628,528,98,1,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
71,100,673,573,96,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
72,100,600,500,98,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
73,100,628,528,100,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
74,100,678,578,97,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
75,100,664,564,97,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
76,100,642,542,97,1,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
77,100,690,590,98,1,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
78,100,736,636,95,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
79,100,642,542,98,1,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
80,100,606,506,99,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
81,100,651,551,97,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
82,100,640,540,96,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
83,100,762,662,91,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
84,100,743,643,94,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
85,100,591,491,99,1,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
86,100,738,638,94,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
87,100,690,590,96,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
88,100,641,541,97,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
89,100,755,655,94,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
90,100,664,564,98,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
91,100,671,571,96,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
92,100,662,562,95,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
93,100,586,486,100,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
94,100,613,513,95,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
95,100,582,482,99,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
96,100,656,556,93,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
97,100,671,571,97,1,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
98,100,591,491,97,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
99,100,688,588,93,0,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
100,100,603,503,98,1,LOG_RECONSTRUCTED_FROM_NATIVE_PRINT_BOUNDARIES_NOT_NATIVE_COUNTER
