model,scope,component,endpoint_ids,actual_nodes,main_JVP_calls,dictionary_build_count,native_solve_count,wall_seconds,parent_prefix_double_count,JVP_attention_backend_switch_count,JVP_finite_difference_forward_count,JVP_jvp_call_count,JVP_model_forward_invocation_count,JVP_physical_write_count,JVP_temporary_direction_hook_count,JVP_wall_seconds,includes_nested_components,model_forward_invocations,peak_allocated_gpu_bytes,peak_reserved_gpu_bytes,evaluation_seconds,sum_as_total,nested_component_warning,cohort_capture_count,stock_compute_z_request_count,model_load_seconds,allocated_GPU_seconds,authoritative_allocation,sum_nested_components
llama3-8b-inst,SCOPED_RUNTIME_COMPONENT,S-PATH-LAM-0316,,,,,,1001.0395573973656,,,,,,,,,False,373,39082148352,42505076736,98.72265639714897,False,fixed_target_and_entry includes first_fidelity,,,,,,
llama3-8b-inst,SCOPED_RUNTIME_COMPONENT,S-PATH-LAM-1,,,,,,930.7165698893368,,,,,,,,,False,373,39082148352,42505076736,86.96795917116106,False,fixed_target_and_entry includes first_fidelity,,,,,,
llama3-8b-inst,SCOPED_RUNTIME_COMPONENT,S-PATH-N2,,,,,,707.2509186994284,,,,,,,,,False,289,39082148352,42505076736,132.18849454261363,False,fixed_target_and_entry includes first_fidelity,,,,,,
llama3-8b-inst,SCOPED_RUNTIME_COMPONENT,S-PATH-N8,,,,,,1621.7597714215517,,,,,,,,,False,541,39082148352,42505076736,87.72165404632688,False,fixed_target_and_entry includes first_fidelity,,,,,,
llama3-8b-inst,SCOPED_RUNTIME_COMPONENT,S-PATH-T4,,,,,,2152.595215242356,,,,,,,,,False,897,39082148352,42505076736,310.810772459954,False,fixed_target_and_entry includes first_fidelity,,,,,,
llama3-8b-inst,SCOPED_RUNTIME_COMPONENT,first_fidelity,,,,,,413.09258522465825,,,,,,,,,False,130,37430608384,39640367104,NOT_RECORDED_SCHEMA_GAP,False,fixed_target_and_entry includes first_fidelity,,,,,,
llama3-8b-inst,SCOPED_RUNTIME_COMPONENT,fixed_target_and_entry,,,,,,1515.2377892229706,,,,,,,,,True,2823,37430608384,39640367104,108.49337928183377,False,fixed_target_and_entry includes first_fidelity,,,,,,
llama3-8b-inst,NESTED_TARGET_GENERATION,stock_compute_z,,,,,,764.2396516799927,,,,,,,,,,2500,,,,False,,1,100,,,,
llama3-8b-inst,PROCESS_TOTAL,PROCESS,,,,,,10884.95395069383,,,,,,,,,,6283,,,,,,,,4.29743941873312,AUTHORITATIVE_SACCT_RECONCILIATION_AFTER_EXIT,SEPARATE_SCHEDULER_LEDGER_REQUIRED,False
qwen2.5-7b-inst,ACTUAL_PATH,S-PATH-T4,"[""JV-HOR-T1"", ""JV-BASE"", ""JV-HOR-T4""]",8,40,40,40,2740.095355866477,0,0,0,40,40,0,40,109.3455300591886,,,,,,,,,,,,,
qwen2.5-7b-inst,ACTUAL_PATH,S-PATH-N2,"[""JV-RES-N2""]",2,10,10,10,783.0568956751376,0,0,0,10,10,0,10,27.076284900307655,,,,,,,,,,,,,
qwen2.5-7b-inst,ACTUAL_PATH,S-PATH-N8,"[""JV-RES-N8""]",8,40,40,40,1703.9525683205575,0,0,0,40,40,0,40,109.16380642354488,,,,,,,,,,,,,
qwen2.5-7b-inst,ACTUAL_PATH,S-PATH-LAM-001,"[""JV-LAM-001""]",4,20,20,20,1087.3433595262468,0,0,0,20,20,0,20,54.29010478593409,,,,,,,,,,,,,
qwen2.5-7b-inst,ACTUAL_PATH,S-PATH-LAM-1,"[""JV-LAM-1""]",4,20,20,20,1096.0447570756078,0,0,0,20,20,0,20,54.43770049884915,,,,,,,,,,,,,
qwen2.5-7b-inst,ACTUAL_PATH,S-PATH-LAM-00316,"[""JV-LAM-00316""]",4,20,20,20,1321.6204935610294,0,0,0,20,20,0,20,54.502419862896204,,,,,,,,,,,,,
qwen2.5-7b-inst,ACTUAL_PATH,S-PATH-LAM-0316,"[""JV-LAM-0316""]",4,20,20,20,1191.3169884607196,0,0,0,20,20,0,20,54.35435415804386,,,,,,,,,,,,,
qwen2.5-7b-inst,SCOPED_RUNTIME_COMPONENT,O_NATIVE,,,,,,588.2842121571302,,,,,,,,,False,233,40950159872,44098912256,177.80508895218372,False,fixed_target_and_entry includes first_fidelity,,,,,,
qwen2.5-7b-inst,SCOPED_RUNTIME_COMPONENT,S-PATH-LAM-001,,,,,,1228.6288947407156,,,,,,,,,False,373,40950159872,45084573696,113.20494315773249,False,fixed_target_and_entry includes first_fidelity,,,,,,
qwen2.5-7b-inst,SCOPED_RUNTIME_COMPONENT,S-PATH-LAM-00316,,,,,,1472.639251895249,,,,,,,,,False,373,40950159872,45084573696,320.2715480607003,False,fixed_target_and_entry includes first_fidelity,,,,,,
qwen2.5-7b-inst,SCOPED_RUNTIME_COMPONENT,S-PATH-LAM-0316,,,,,,1345.182560686022,,,,,,,,,False,373,40950159872,45084573696,200.75799207761884,False,fixed_target_and_entry includes first_fidelity,,,,,,
qwen2.5-7b-inst,SCOPED_RUNTIME_COMPONENT,S-PATH-LAM-1,,,,,,1255.0513065755367,,,,,,,,,False,373,40950159872,45084573696,119.63277794420719,False,fixed_target_and_entry includes first_fidelity,,,,,,
qwen2.5-7b-inst,SCOPED_RUNTIME_COMPONENT,S-PATH-N2,,,,,,908.2457685694098,,,,,,,,,False,289,40950159872,45084573696,166.28692305088043,False,fixed_target_and_entry includes first_fidelity,,,,,,
qwen2.5-7b-inst,SCOPED_RUNTIME_COMPONENT,S-PATH-N8,,,,,,1878.709774268791,,,,,,,,,False,541,40950159872,45084573696,105.71909527666867,False,fixed_target_and_entry includes first_fidelity,,,,,,
qwen2.5-7b-inst,SCOPED_RUNTIME_COMPONENT,S-PATH-T4,,,,,,2911.9230130966753,,,,,,,,,False,897,40950159872,45084573696,466.43307536654174,False,fixed_target_and_entry includes first_fidelity,,,,,,
qwen2.5-7b-inst,SCOPED_RUNTIME_COMPONENT,first_fidelity,,,,,,515.9725339729339,,,,,,,,,False,130,39043602944,41108373504,NOT_RECORDED_SCHEMA_GAP,False,fixed_target_and_entry includes first_fidelity,,,,,,
qwen2.5-7b-inst,SCOPED_RUNTIME_COMPONENT,fixed_target_and_entry,,,,,,1385.2258400712162,,,,,,,,,True,1659,39043602944,41108373504,163.3121694456786,False,fixed_target_and_entry includes first_fidelity,,,,,,
qwen2.5-7b-inst,NESTED_TARGET_GENERATION,stock_compute_z,,,,,,372.2212897054851,,,,,,,,,,1336,,,,False,,1,100,,,,
qwen2.5-7b-inst,PROCESS_TOTAL,PROCESS,,,,,,13980.086499447003,,,,,,,,,,5120,,,,,,,,4.047392623499036,AUTHORITATIVE_SACCT_RECONCILIATION_AFTER_EXIT,SEPARATE_SCHEDULER_LEDGER_REQUIRED,False
