model,candidate,reference,RS_delta_pp,PS_delta_pp,NS_delta_pp,rewrite_new_nll_mean_delta,rewrite_new_nll_median_delta,rewrite_new_nll_p90_delta,rewrite_new_nll_max_delta,rewrite_true_nll_mean_delta,rewrite_true_nll_median_delta,rewrite_true_nll_p90_delta,rewrite_true_nll_max_delta,rephrase_new_nll_mean_delta,rephrase_new_nll_median_delta,rephrase_new_nll_p90_delta,rephrase_new_nll_max_delta,rephrase_true_nll_mean_delta,rephrase_true_nll_median_delta,rephrase_true_nll_p90_delta,rephrase_true_nll_max_delta,locality_new_nll_mean_delta,locality_new_nll_median_delta,locality_new_nll_p90_delta,locality_new_nll_max_delta,locality_true_nll_mean_delta,locality_true_nll_median_delta,locality_true_nll_p90_delta,locality_true_nll_max_delta,distribution_tail_delta_is_not_paired_delta_quantile
llama3-8b-inst,JV-RES-N2,O_NATIVE,0.0,-1.9999999999999907,-1.6000000000000014,-3.3059329725802e-05,-4.75871202070266e-05,-0.0005886142374947677,0.00558115728199482,0.04415004253387522,0.07080507278442383,-0.3166477203369169,1.2828102111816406,0.23953587612697458,0.4548167586326599,0.22186241149902397,1.4527263641357422,-0.5043827761150901,-0.32442283630371094,-0.05666408538818324,-1.1863727569580078,-0.2568020408153533,-0.2511124610900879,-0.17045803070068466,-0.2116870880126953,0.058953158305724784,0.051772356033325195,0.0543320655822761,-0.8411674499511719,True
llama3-8b-inst,JV-RES-N2,JV-BASE,0.0,3.500000000000003,-0.6000000000000005,-0.0015137887849687103,-0.0004947601701132953,-0.0028319297824054976,-0.0463724248111248,0.8325812292099002,0.8284158706665039,0.6339437484741204,0.21079063415527344,-0.2288575204671357,-0.3705587685108185,-0.23672862052917498,0.5341634750366211,0.4387259630952034,0.20620298385620117,0.4066948890686035,0.8860378265380859,-0.09250361171364752,-0.11707019805908203,-0.10466613769531286,-0.12397384643554688,-0.006673412697041137,-0.01654815673828125,-0.020273399353026633,-0.2028636932373047,True
llama3-8b-inst,JV-RES-N8,O_NATIVE,0.0,-8.499999999999996,-0.7000000000000006,0.004498724770701301,0.000881590909557417,0.00797266240697354,0.13334414921700954,-1.3895682525634765,-1.5150980949401855,-1.3267427444458022,0.8782062530517578,0.6379076742711911,1.0809200704097748,0.6943735599517815,0.6421003341674805,-1.220861027501524,-0.949862003326416,-0.7331024169921871,-2.224275588989258,-0.10915260586142495,-0.0811605453491211,-0.05108957290649485,-0.020566940307617188,0.07158192835090471,0.0723886489868164,0.03320827484130895,-0.5204410552978516,True
llama3-8b-inst,JV-RES-N8,JV-BASE,0.0,-3.0000000000000027,0.30000000000000027,0.0030179953154583932,0.0004344178596511483,0.005729346862062811,0.08139056712388992,-0.6011370658874515,-0.7574872970581055,-0.3761512756347649,-0.19381332397460938,0.16951427767708083,0.2555445432662964,0.23578252792358256,-0.2764625549316406,-0.27775228829123044,-0.4192361831665039,-0.2697434425354004,-0.15186500549316406,0.055145823240280833,0.052881717681884766,0.014702320098876953,0.06714630126953125,0.00595535734813879,0.004068136215209961,-0.041397190093993785,0.11786270141601562,True
llama3-8b-inst,JV-HOR-T1,O_NATIVE,-2.0000000000000018,-18.999999999999993,0.10000000000000009,0.24636571775095037,0.011294419266050681,0.5032908925553804,5.343278577551246,-4.225552347600459,-3.9501876831054688,-4.065838432312011,-0.854949951171875,1.4620073289909485,2.2422559559345245,2.8493813991546633,1.5647363662719727,-2.4282125720847407,-2.287053108215332,-2.810738277435304,-3.228750228881836,0.09046187406778294,0.060727596282958984,0.12258949279785014,0.24840927124023438,0.10525860984029745,0.11114788055419922,0.11546268463134801,-0.047176361083984375,True
llama3-8b-inst,JV-HOR-T1,JV-BASE,-2.0000000000000018,-13.5,1.100000000000001,0.24488498829570746,0.010847246216144413,0.5010475770104696,5.291324995458126,-3.437121160924434,-3.1925768852233887,-3.115246963500974,-1.9269695281982422,0.9936139323968383,1.4168804287910461,2.3907903671264643,0.6461734771728516,-1.4851038328744472,-1.75642728805542,-2.347379302978517,-1.1563396453857422,0.2547603031694887,0.19476985931396484,0.18838138580322195,0.3361225128173828,0.039632038837531525,0.04282736778259277,0.04085721969604528,0.5911273956298828,True
llama3-8b-inst,JV-HOR-T4,O_NATIVE,0.0,-1.9999999999999907,-1.6000000000000014,-1.2066520876032874e-05,-3.710464807227254e-05,-0.000556442141532899,0.006041035056114197,0.023986487388611977,0.020949840545654297,-0.3591701507568388,1.2729759216308594,0.24707810351501402,0.45346832275390625,0.2381888866424564,1.463606834411621,-0.5199574912898246,-0.3312954902648926,-0.08002882003784073,-1.2187480926513672,-0.24933268594741875,-0.25228118896484375,-0.15791692733764684,-0.20676803588867188,0.05968678439623876,0.05196833610534668,0.06049127578735458,-0.8275203704833984,True
llama3-8b-inst,JV-HOR-T4,JV-BASE,0.0,3.500000000000003,-0.6000000000000005,-0.0014927959761189412,-0.00048427769797854125,-0.002799757686443629,-0.045912547037005424,0.8124176740646369,0.7785606384277344,0.5914213180541985,0.2009563446044922,-0.22131529307909625,-0.37190720438957214,-0.22040214538574254,0.5450439453125,0.4231512479204689,0.19933032989501953,0.383330154418946,0.8536624908447266,-0.08503425684571297,-0.11823892593383789,-0.09212503433227504,-0.11905479431152344,-0.005939786606527164,-0.016352176666259766,-0.014114189147948153,-0.18921661376953125,True
qwen2.5-7b-inst,O_NATIVE,JV-BASE,0.0,0.0,-1.100000000000001,0.06748318612313596,0.002133600413799286,0.014775319397449464,4.4915631711483,-0.14669270515442,0.07136297225952148,-1.2576330184936495,-1.4565181732177734,-0.190618393786135,0.01227763295173645,-0.7929408073425304,-0.2600374221801758,0.2809112381935126,0.4413585662841797,-0.4633009910583503,-1.1116447448730469,0.04499133834336,0.05228137969970703,0.27311649322509624,0.9608345031738281,0.16741557743493463,0.11187267303466797,0.2059206962585467,-0.8868427276611328,True
qwen2.5-7b-inst,JV-BASE,O_NATIVE,0.0,0.0,1.100000000000001,-0.06748318612313596,-0.002133600413799286,-0.014775319397449464,-4.4915631711483,0.14669270515442,-0.07136297225952148,1.2576330184936495,1.4565181732177734,0.190618393786135,-0.01227763295173645,0.7929408073425304,0.2600374221801758,-0.2809112381935126,-0.4413585662841797,0.4633009910583503,1.1116447448730469,-0.04499133834336,-0.05228137969970703,-0.27311649322509624,-0.9608345031738281,-0.16741557743493463,-0.11187267303466797,-0.2059206962585467,0.8868427276611328,True
