model,path_id,node,comparator,layer,objective_improvement,joint_objective_improvement,native_cosine,Rturn,physical_coefficient_difference,outcome_evaluation,controller_influence_count
llama3-8b-inst,S-PATH-N2,1,SINGLE_LAYER_SHADOW,8,0.002931701971358239,0.0029325005056673433,0.9998357790501458,0.0003284149311882234,"[0.0008529193949502625, 0.00019371576892252386, 0.0024345449266566566, 0.019535955395525727, -0.015135916816284989]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,0,SINGLE_LAYER_SHADOW,4,0.03918884325203184,0.4873816028302114,0.0,1.0,"[-0.15327404149363513, 0.00032648122673218353, 0.0026663186062493897, 0.03195184143449679, 1.0022216587882604]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,0,SINGLE_LAYER_SHADOW,5,0.08604346881259295,0.4873816028302114,0.0003271165298964098,0.9999998929947759,"[0.0, -0.29023820600847794, 0.0026663186062493897, 0.03195184143449679, 1.0022216587882604]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,0,SINGLE_LAYER_SHADOW,6,0.16287750413348967,0.4873816028302114,0.002504411354092419,0.9999937279237695,"[0.0, 0.00032648122673218353, -0.4665020529174986, 0.03195184143449679, 1.0022216587882604]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,0,SINGLE_LAYER_SHADOW,7,0.26890361378627026,0.4873816028302114,0.030949945605069,0.9990421008670434,"[0.0, 0.00032648122673218353, 0.0026663186062493897, -0.6582308574490167, 1.0022216587882604]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,0,SINGLE_LAYER_SHADOW,8,0.4870633024693084,0.4873816028302114,0.9995177446076626,0.0009642782144113685,"[0.0, 0.00032648122673218353, 0.0026663186062493897, 0.03195184143449679, -0.027815535250274553]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,1,SINGLE_LAYER_SHADOW,4,0.02184183057677161,0.27888503040915363,0.0,1.0,"[-0.15199994897557817, 0.00047203979144995825, 0.0025825993571384565, 0.0317226270360767, 1.0049961609574474]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,1,SINGLE_LAYER_SHADOW,5,0.04776888417892371,0.27888503040915363,0.0004704174085455962,0.9999997787074618,"[0.0, -0.28756671589961635, 0.0025825993571384565, 0.0317226270360767, 1.0049961609574474]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,1,SINGLE_LAYER_SHADOW,6,0.09026969107521511,0.27888503040915363,0.0024154370975944697,0.9999941656636275,"[0.0, 0.00047203979144995825, -0.4633419432427215, 0.0317226270360767, 1.0049961609574474]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,1,SINGLE_LAYER_SHADOW,7,0.15112836075067287,0.27888503040915363,0.03061442075386145,0.9990627572419056,"[0.0, 0.00047203979144995825, 0.0025825993571384565, -0.6586745382866891, 1.0049961609574474]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,1,SINGLE_LAYER_SHADOW,8,0.2787046764867405,0.27888503040915363,0.9995282395275258,0.0009432983870051604,"[0.0, 0.00047203979144995825, 0.0025825993571384565, 0.0317226270360767, -0.027192714827448308]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,2,SINGLE_LAYER_SHADOW,4,0.01210112735001786,0.15961292969351348,0.0,1.0,"[-0.14986939559992915, 0.0005398390639643669, 0.002573404294753598, 0.03128049066414234, 1.0078878967044824]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,2,SINGLE_LAYER_SHADOW,5,0.026443143942617774,0.15961292969351348,0.0005350660812347899,0.9999997137042888,"[0.0, -0.28384693058426747, 0.002573404294753598, 0.03128049066414234, 1.0078878967044824]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,2,SINGLE_LAYER_SHADOW,6,0.04993540811016457,0.15961292969351348,0.00239654371303291,0.9999942565782315,"[0.0, 0.0005398390639643669, -0.4583550633440169, 0.03128049066414234, 1.0078878967044824]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,2,SINGLE_LAYER_SHADOW,7,0.0846556044433489,0.15961292969351348,0.03007481180731051,0.9990955056947549,"[0.0, 0.0005398390639643669, 0.002573404294753598, -0.6563169027034956, 1.0078878967044824]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,2,SINGLE_LAYER_SHADOW,8,0.1595111488504653,0.15961292969351348,0.9995446343096818,0.0009105240227249092,"[0.0, 0.0005398390639643669, 0.002573404294753598, 0.03128049066414234, -0.026445969508704047]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,3,SINGLE_LAYER_SHADOW,4,0.006702164346347742,0.0913699381266224,0.0,1.0,"[-0.1476198975207193, 0.0005525500525722665, 0.00262415777994327, 0.03085557593149736, 1.010712144545964]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,3,SINGLE_LAYER_SHADOW,5,0.014657314674257417,0.0913699381266224,0.0005447513944328181,0.9999997032459182,"[0.0, -0.2801345932804056, 0.00262415777994327, 0.03085557593149736, 1.010712144545964]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,3,SINGLE_LAYER_SHADOW,6,0.027673934793145432,0.0913699381266224,0.002433699084803982,0.9999940771087646,"[0.0, 0.0005525500525722665, -0.4531394758049004, 0.03085557593149736, 1.010712144545964]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,3,SINGLE_LAYER_SHADOW,7,0.047422962963426976,0.0913699381266224,0.029558513658216063,0.999126294270317,"[0.0, 0.0005525500525722665, 0.00262415777994327, -0.6530381928546534, 1.010712144545964]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,3,SINGLE_LAYER_SHADOW,8,0.09131231435192297,0.0913699381266224,0.9995599404863122,0.0008799253750000576,"[0.0, 0.0005525500525722665, 0.00262415777994327, 0.03085557593149736, -0.025768614811160873]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,4,SINGLE_LAYER_SHADOW,4,0.0037198774563228848,0.05231605606858247,0.0,1.0,"[-0.14557170593073004, 0.0005278807084760347, 0.0027213351941461654, 0.03053674470518894, 1.0134110012626365]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,4,SINGLE_LAYER_SHADOW,5,0.008149076706669093,0.05231605606858247,0.0005177371683710998,0.9999997319482244,"[0.0, -0.2768681333225639, 0.0027213351941461654, 0.03053674470518894, 1.0134110012626365]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,4,SINGLE_LAYER_SHADOW,6,0.015387577107324836,0.05231605606858247,0.0025138415927432535,0.9999936806004466,"[0.0, 0.0005278807084760347, -0.4484123542961549, 0.03053674470518894, 1.0134110012626365]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,4,SINGLE_LAYER_SHADOW,7,0.026606722203182064,0.05231605606858247,0.02915122886470948,0.9991502058556774,"[0.0, 0.0005278807084760347, 0.0027213351941461654, -0.6497748793472673, 1.0134110012626365]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,4,SINGLE_LAYER_SHADOW,8,0.05228323829545408,0.05231605606858247,0.9995717174892197,0.00085638159565159,"[0.0, 0.0005278807084760347, 0.0027213351941461654, 0.03053674470518894, -0.025225119760203002]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,5,SINGLE_LAYER_SHADOW,4,0.0020707582709685703,0.029961666882627948,0.0,1.0,"[-0.14383343934751908, 0.00047870254762737553, 0.002854055799498767, 0.03034674734603128, 1.0159818555720928]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-N8,5,SINGLE_LAYER_SHADOW,5,0.004546270638631504,0.029961666882627948,0.00046713934756771705,0.9999997817808299,"[0.0, -0.2741764271707176, 0.002854055799498767, 0.03034674734603128, 1.0159818555720928]",NOT_EXECUTED_SHADOW_ONLY,0
