arm,batch,role,D,documents
G48,8,S64_OWN_N4_ONLINE,0.01547606653002731,64
G48,9,S64_SELECTED_ONLINE,0.01762802591520085,64
G48,9,S64_OWN_N4_ONLINE,0.01762802591520085,64
G48,10,Dev128_OBSERVER,0.01933608908257156,128
G48,10,S64_SELECTED_ONLINE,0.01911654221567005,64
G48,10,S64_OWN_N4_ONLINE,0.01986880016647774,64
C4,1,S64_SELECTED_ONLINE,0.0017209079930182725,64
C4,1,S64_OWN_N4_ONLINE,0.0017209079930182725,64
C4,2,S64_SELECTED_ONLINE,0.0038239335715388734,64
C4,2,S64_OWN_N4_ONLINE,0.0038239335715388734,64
C4,3,S64_SELECTED_ONLINE,0.006022348446322212,64
C4,3,S64_OWN_N4_ONLINE,0.006022348446322212,64
C4,4,S64_SELECTED_ONLINE,0.008421741996926357,64
C4,4,S64_OWN_N4_ONLINE,0.008421741996926357,64
C4,5,Dev128_OBSERVER,0.010870847168916953,128
C4,5,S64_SELECTED_ONLINE,0.010314425840761032,64
C4,5,S64_OWN_N4_ONLINE,0.010314425840761032,64
C4,6,S64_SELECTED_ONLINE,0.012451382564449887,64
C4,6,S64_OWN_N4_ONLINE,0.012474029073018755,64
C4,7,S64_SELECTED_ONLINE,0.014926503998140106,64
C4,7,S64_OWN_N4_ONLINE,0.014926503998140106,64
C4,8,S64_SELECTED_ONLINE,0.016796476810668537,64
C4,8,S64_OWN_N4_ONLINE,0.01682424387036008,64
C4,9,S64_SELECTED_ONLINE,0.018920294328381715,64
C4,9,S64_OWN_N4_ONLINE,0.018920294328381715,64
C4,10,Dev128_OBSERVER,0.02255922802214627,128
C4,10,S64_SELECTED_ONLINE,0.02138809947791742,64
C4,10,S64_OWN_N4_ONLINE,0.02138809947791742,64
C48,1,S64_SELECTED_ONLINE,0.0017209079930182725,64
C48,1,S64_OWN_N4_ONLINE,0.0017209079930182725,64
C48,2,S64_SELECTED_ONLINE,0.0032547404240972355,64
C48,2,S64_OWN_N4_ONLINE,0.0038239335715388734,64
C48,3,S64_SELECTED_ONLINE,0.005218734583650075,64
C48,3,S64_OWN_N4_ONLINE,0.005276400078855659,64
C48,4,S64_SELECTED_ONLINE,0.00714287823734594,64
C48,4,S64_OWN_N4_ONLINE,0.0074947186874965155,64
C48,5,Dev128_OBSERVER,0.00889982987246185,128
C48,5,S64_SELECTED_ONLINE,0.008512684455126873,64
C48,5,S64_OWN_N4_ONLINE,0.008888682651218005,64
C48,6,S64_SELECTED_ONLINE,0.010197149860232457,64
C48,6,S64_OWN_N4_ONLINE,0.01021147222968466,64
C48,7,S64_SELECTED_ONLINE,0.011976437904195336,64
C48,7,S64_OWN_N4_ONLINE,0.01254746800805151,64
C48,8,S64_SELECTED_ONLINE,0.013536208513869497,64
C48,8,S64_OWN_N4_ONLINE,0.013561636475060368,64
C48,9,S64_SELECTED_ONLINE,0.01492671276901092,64
C48,9,S64_OWN_N4_ONLINE,0.015621971071595908,64
C48,10,Dev128_OBSERVER,0.017582472690264694,128
C48,10,S64_SELECTED_ONLINE,0.016007508290385886,64
C48,10,S64_OWN_N4_ONLINE,0.01697105447692593,64
C45678,1,S64_SELECTED_ONLINE,0.0017147403958404084,64
C45678,1,S64_OWN_N4_ONLINE,0.0017209079930182725,64
C45678,2,S64_SELECTED_ONLINE,0.0031375676876450598,64
C45678,2,S64_OWN_N4_ONLINE,0.0037782237768624327,64
C45678,3,S64_SELECTED_ONLINE,0.005060289792936601,64
C45678,3,S64_OWN_N4_ONLINE,0.005071613310065004,64
C45678,4,S64_SELECTED_ONLINE,0.007065245311423496,64
C45678,4,S64_OWN_N4_ONLINE,0.007368347653141427,64
C45678,5,Dev128_OBSERVER,0.009219193145327154,128
C45678,5,S64_SELECTED_ONLINE,0.008303519312221397,64
C45678,5,S64_OWN_N4_ONLINE,0.008937052714031779,64
C45678,6,S64_SELECTED_ONLINE,0.01026197671171758,64
C45678,6,S64_OWN_N4_ONLINE,0.01026197671171758,64
C45678,7,S64_SELECTED_ONLINE,0.01210166074179142,64
C45678,7,S64_OWN_N4_ONLINE,0.012460016821478348,64
C45678,8,S64_SELECTED_ONLINE,0.013819149010487308,64
C45678,8,S64_OWN_N4_ONLINE,0.013819149010487308,64
C45678,9,S64_SELECTED_ONLINE,0.01608941884524029,64
C45678,9,S64_OWN_N4_ONLINE,0.01608941884524029,64
C45678,10,Dev128_OBSERVER,0.01938770240121812,128
C45678,10,S64_SELECTED_ONLINE,0.017642504678406112,64
C45678,10,S64_OWN_N4_ONLINE,0.018516925000312767,64
