arm,batch,candidate,gates,state,phase,own_n4,selected,E,canonical_E,H,B,delta_E,delta_B,delta_H,strict,past_strict,strict_lost,pair_lost,past_strict_lost,feasible,reasons,support,gate_support,active_layers,action_norm
F48,4,1,"[0.75, 0.5]",85f1d3b6942ed6c98b1dd3616e60c2b3f8d45a6e4a5047470cd11ba6a3253cbf,search,False,True,0.010946133208635729,0.005254144608261413,0.0065990713844712445,0.005552629913324836,0.005605639916902874,-0.0007208174460515693,0.0001344221086583275,100,64,0,0,0,False,CURRENT_TRAINING_MEAN;PAST_MEAN,2,2,"[4, 8]",6.264176440931724
F48,5,0,"[1.0, 0.0]",64c557816f09cd0fe9219d8befcc126a4755e4ece7233143426846e2fc9af848,baseline,True,False,0.016246565751207528,0.0016187300861929543,0.005400327946063044,0.00721097913583435,0.0,0.0,0.0,100,64,0,0,0,True,,1,1,[4],7.701814982863435
F48,5,1,"[0.75, 0.5]",2432b5e33efa612f1e789727d91c297e6d0dd0d49041ca9f9180f241250e5cba,search,False,True,0.014436686811386608,0.00753048229678825,0.005256598041341931,0.0067086431486131914,-0.0018098789398209199,-0.0005023359872211586,-0.0001437299047211127,100,64,0,0,0,True,,2,2,"[4, 8]",6.141363608683861
F48,6,0,"[1.0, 0.0]",5daf8288208ab258a8fa8471c9029eca4f346891775ff6d523ba65860a035005,baseline,True,False,0.0025851199711905792,0.001489726626277843,0.006713253352927495,0.008487313965588328,0.0,0.0,0.0,100,64,0,0,0,True,,1,1,[4],8.05503414444233
F48,6,1,"[0.75, 0.5]",85e1a152d454f594530ca1243c1119dde53f69b18e89239105a45fffc7e0591b,search,False,True,0.01124394615588244,0.0066114673131232845,0.0071621098250034265,0.00786569109084212,0.00865882618469186,-0.0006216228747462083,0.0004488564720759314,100,64,0,0,0,False,CURRENT_TRAINING_MEAN;PAST_MEAN,2,2,"[4, 8]",6.4444308281449985
F48,7,0,"[1.0, 0.0]",d9ecdef8764260ef610c687bc0772cbdab66bcee4b6bc2311bcbf9a8e0f7f609,baseline,True,False,0.009205962970445397,0.012724231178053743,0.007349376167439914,0.0096858387780685,0.0,0.0,0.0,99,64,0,0,0,True,,1,1,[4],8.043128296430398
F48,7,1,"[0.75, 0.5]",e7a6b77001b365502fa062b614c63b1a5dbe0e587ae3ff1ccdc64a0a74877b9a,search,False,True,0.011011189298587852,0.008019154658395564,0.007360375921734885,0.00900777247284168,0.0018052263281424542,-0.000678066305226821,1.0999754294971353e-05,100,64,0,0,0,False,CURRENT_TRAINING_MEAN,2,2,"[4, 8]",6.47634221616243
F48,8,0,"[1.0, 0.0]",289d5c82e35b3b7ac55d3391a7c7736464cb9acc3d079e21d8a2d27df665b3c1,baseline,True,False,0.0021985448451596313,0.0014030032369555555,0.007084677143893714,0.010767945578209037,0.0,0.0,0.0,100,64,0,0,0,True,,1,1,[4],7.93800018088825
F48,8,1,"[0.75, 0.5]",ff7e0d7e79b82eefb921b54919e6828dc4e52649ef28b800cbec521578156670,search,False,True,0.010532142065785592,0.007385913963080384,0.007049742453318686,0.010101657478571724,0.00833359722062596,-0.0006662880996373133,-3.493469057502807e-05,100,64,0,0,0,False,CURRENT_TRAINING_MEAN,2,2,"[4, 8]",6.451298203256378
F48,9,0,"[1.0, 0.0]",25cc9f8f2dd17d40e740bcbd893ad323f0f6f6c9aeb3c0a6566cfead9923f0f4,baseline,True,False,0.003269011102092918,0.0021198450060910547,0.007853374018509385,0.012293620368836855,0.0,0.0,0.0,100,64,0,0,0,True,,1,1,[4],8.38292343563505
F48,9,1,"[0.75, 0.5]",2697d8f3be0b219c1076e772814a5224432554bd81595d75e6892114a4f60469,search,False,True,0.009492318058473757,0.006370447778908783,0.007817097088036462,0.011495061131881812,0.006223306956380839,-0.0007985592369550432,-3.6276930472922686e-05,100,64,0,0,0,False,CURRENT_TRAINING_MEAN,2,2,"[4, 8]",6.782777076928054
F48,10,0,"[1.0, 0.0]",b2c08c1bac9274bfa0d9939b364798f2945c8abf1b6057e1e0e7e4b691098ca2,baseline,True,False,0.0307616685226094,0.004579021212521184,0.006237323982759335,0.013174728181184037,0.0,0.0,0.0,100,64,0,0,0,True,,1,1,[4],8.325615260153526
F48,10,1,"[0.75, 0.5]",076e40bfbd94622e64feee847f361dbf759588ad614727510f92636c658265df,search,False,True,0.012439896677678917,0.007995568407532119,0.006329785210141381,0.012498648904056608,-0.01832177184493048,-0.0006760792771274282,9.246122738204576e-05,100,64,0,0,0,True,,2,2,"[4, 8]",6.61302947624142
G48,1,0,"[1.0, 0.0]",4c6fae40832b470ed17c387d746e4243c25a9116f6227514df9cd458f6beb42f,baseline,True,True,0.003404614371538628,0.0014505088787700516,,0.0017209079930182725,0.0,0.0,,100,0,0,0,0,True,,1,1,[4],7.61165279863614
G48,1,1,"[0.75, 0.0]",d0e0f6974f2778d029e5a527f3567ea93d81a2a52df28a7b40a1632756a98044,search,False,False,0.1828003568947315,0.09955010599194793,,0.0009513358722159637,0.17939574252319287,-0.0007695721208023087,,99,0,1,0,0,False,CURRENT_TRAINING_MEAN;CURRENT_STRICT_IDS,1,1,[4],5.708739598792649
G48,1,2,"[0.75, 0.5]",8a40a06a936e65f27bb0a87138dc26cd34e5bcbcecac522a399e390504729a1a,search,False,False,0.012414455455291318,0.006537042994605145,,0.001252664631266498,0.00900984108375269,-0.0004682433617517745,,100,0,0,0,0,False,CURRENT_TRAINING_MEAN,2,2,"[4, 8]",6.8024118178968065
G48,1,3,"[0.75, 1.0]",c6885460bf1276cdc85f8151283ba1c12fb60f08579c12d1f8ff4ce3bf2375d2,search,False,False,0.010280911758527508,0.005857807467255043,,0.002032699220990253,0.00687629738698888,0.00031179122797198033,,100,0,0,0,0,False,CURRENT_TRAINING_MEAN,2,2,"[4, 8]",9.344629620479056
G48,1,4,"[1.0, 0.5]",f5330e09122adeb0df103088d95a8668893d67095126e028a03d3ace3f556dc2,search,False,False,0.003404619010980241,0.001450511850271141,,0.0017209020643065287,4.639441613003836e-09,-5.928711743763415e-09,,100,0,0,0,0,True,,2,2,"[4, 8]",7.611652798686378
G48,1,5,"[1.0, 1.0]",d42cda7ed85b9aa0a7d8a59a5e12acadf5adc39c896856b35ae7f6f2db21e148,search,False,False,0.003404612121521495,0.0014505154178186786,,0.001720909260342296,-2.2500171326794716e-09,1.2673240235017147e-09,,100,0,0,0,0,True,,2,2,"[4, 8]",7.6116527988356335
G48,2,0,"[1.0, 0.0]",437e04c40901e8f4ce64905cf71bde5435a58f4b0f6049af34de20f2469688f6,baseline,True,False,0.026622378780157305,0.006550880679860711,0.0015802247926330892,0.0038239335715388734,0.0,0.0,0.0,100,64,0,0,0,True,,1,1,[4],7.71136987798354
G48,2,1,"[0.75, 0.0]",531ecc56fe3b54166e9a763225d85c1e77da1d201fece430a7203f79418b6ea6,search,False,False,0.4967180401127553,0.44838731016076055,0.0015549881373999597,0.0029851111135030806,0.47009566133259795,-0.0008388224580357928,-2.5236655233129568e-05,94,64,6,5,0,False,CURRENT_TRAINING_MEAN;CURRENT_STRICT_IDS;CURRENT_PAIR_IDS,1,1,[4],5.783527408650132
G48,2,2,"[0.75, 0.5]",526446b7087e575028ee136020d58d090cfae881bc2786ea3c30760270a77494,search,False,True,0.023331979703798425,0.008310651236097328,0.001581409836489911,0.0031558189532461256,-0.0032903990763588804,-0.0006681146182927478,1.1850438568217214e-06,100,64,0,0,0,True,,2,2,"[4, 8]",6.381819381591595
G48,2,3,"[0.75, 1.0]",d69f2d5fc2c0f90a819450cd93ddee3dfdb4b945887c37ba39cace0d76aced5a,search,False,False,0.014000525872470462,0.00688704339276228,0.0016237298762007413,0.0036032857336749657,-0.012621852907686843,-0.00022064783786390763,4.3505083567652036e-05,100,64,0,0,0,True,,2,2,"[4, 8]",7.9096717135555945
G48,2,4,"[1.0, 0.5]",f32f2dd0d0559dba786575e42c1c82e0fd2303c087f49f079504a6ef424194f3,search,False,False,0.003085954939306248,0.0013813498942909063,0.0015957114037519204,0.0038902885252127817,-0.023536423840851056,6.635495367390831e-05,1.5486611118831206e-05,100,64,0,0,0,True,,2,2,"[4, 8]",7.833219159650109
G48,2,5,"[1.0, 1.0]",f0c03d45a8e59c6236cca80a3d7eea94b6ebdc7b737f93912a3fcc36ab4b7e1d,search,False,False,0.002892337050725473,0.0011377887713024393,0.0016189709101581684,0.004043129193178174,-0.02373004172943183,0.00021919562163930095,3.874611752507917e-05,100,64,0,0,0,True,,2,2,"[4, 8]",8.187894322165567
G48,3,0,"[1.0, 0.0]",7ab4882971b945fbc57e4c4cea164c6e0087774ef8501d10def7af5db22bf237,baseline,True,True,0.003083714989479631,0.0015155357079311216,0.005617949943825806,0.0051500841723282065,0.0,0.0,0.0,100,64,0,0,0,True,,1,1,[4],7.723508332755887
G48,3,1,"[0.75, 0.0]",395397d2983ce1e0780d749375687bfe61e10a95d0b81f69de3b5a5d9f1008b7,search,False,False,0.1005607724795118,0.09406222203942889,0.0056103565652847465,0.004383328969936429,0.09747705749003217,-0.0007667552023917779,-7.593378541059792e-06,98,64,2,1,0,False,CURRENT_TRAINING_MEAN;CURRENT_STRICT_IDS;CURRENT_PAIR_IDS,1,1,[4],5.79263125026861
G48,3,2,"[0.75, 0.5]",b211d324df70588eb66ddba9231228989dd0c4bf4b5074cb0f4bfe289614a597,search,False,False,0.011814846454799409,0.005579748568889045,0.005510592941391224,0.004526711896573943,0.008731131465319777,-0.0006233722757542637,-0.00010735700243458268,100,64,0,0,0,False,CURRENT_TRAINING_MEAN,2,2,"[4, 8]",6.4067584444080445
G48,3,3,"[0.75, 1.0]",3ce4880ca5998fe17f17193efa7cf9e1562c573be025e975739df04452b8e1f1,search,False,False,0.011269441797085165,0.0048177593093350875,0.005435890943999766,0.00488020172610959,0.008185726807605534,-0.0002698824462186167,-0.00018205899982604024,100,64,0,0,0,False,CURRENT_TRAINING_MEAN,2,2,"[4, 8]",7.970099413804224
G48,3,4,"[1.0, 0.5]",983ebe794f2cb6ce6c51e9744017fd9c41823d6a4288f6e3dfa16c1bc49705f7,search,False,False,0.0030837198509834707,0.0015155456655156741,0.005617910565433704,0.005150079318354983,4.8615038396836174e-09,-4.853973223362118e-09,-3.9378392102662474e-08,100,64,0,0,0,True,,2,2,"[4, 8]",7.723508332796531
G48,3,5,"[1.0, 1.0]",795fe82bb1ae09175ff39cd53d5a274e1ab637b83be646d612c27be09b5a19ff,search,False,False,0.003083725374599453,0.0015155309692454467,0.005617916579012672,0.005150082808199841,1.0385119821824246e-08,-1.3641283658216707e-09,-3.336481313453987e-08,100,64,0,0,0,True,,2,2,"[4, 8]",7.723508332916987
G48,4,0,"[1.0, 0.0]",c90e35a1174802d63fd9b813156897ab55b3777f8f65eb7d1f83175e7c04ddf5,baseline,True,True,0.007478712622832973,0.0012494850589791894,0.0027940610189034487,0.007352079351562679,0.0,0.0,0.0,100,64,0,0,0,True,,1,1,[4],7.771960994928417
G48,4,1,"[0.75, 0.0]",143039680aeed17cb2334bbd9cc2189425f74e69be4934953d3c68ddf699a836,search,False,False,0.13979881983366796,0.05032388268256909,0.0027915538146316976,0.006534345386853602,0.13232010721083498,-0.0008177339647090776,-2.5072042717511067e-06,98,64,2,0,0,False,CURRENT_TRAINING_MEAN;CURRENT_STRICT_IDS,1,1,[4],5.828970745895769
G48,4,2,"[0.75, 0.5]",ee5d5b1530f970c16e3b579a2fc2cc2d223326946aade334cecf3a99a20f9190,search,False,False,0.012027833141182782,0.005788051829040341,0.0028097622680434142,0.006617162603902216,0.0045491205183498095,-0.0007349167476604634,1.5701249139965512e-05,100,64,0,0,0,False,CURRENT_TRAINING_MEAN,2,2,"[4, 8]",6.319924172562283
G48,4,3,"[0.75, 1.0]",e492f72a69f853577f49aa838fea3d2dce463668751a6dd8b3f3cf47920607af,search,False,False,0.010517902939827763,0.0055765942112338965,0.0028457680618885206,0.006858389292688116,0.0030391903169947904,-0.000493690058874563,5.1707042985071894e-05,100,64,0,0,0,False,CURRENT_TRAINING_MEAN,2,2,"[4, 8]",7.604936969403882
G48,4,4,"[1.0, 0.5]",a71a5f26ec031b3b659256d7b64d24b1d82e72a3987fa3ab72284c04fb00ca42,search,False,False,0.0024699634668650106,0.0011381845310461359,0.002791079432654442,0.007360634094595753,-0.005008749155967962,8.554743033073464e-06,-2.9815862490067957e-06,100,64,0,0,0,True,,2,2,"[4, 8]",7.828080104432342
G48,4,5,"[1.0, 1.0]",9dd4cb0989a85ec70b24280267443cbc532af1d833b5cc686037f3bfaa5de5c0,search,False,False,0.002431763590720948,0.0011348451569574535,0.0027896661431441316,0.007390287821294805,-0.005046949032112025,3.8208469732126105e-05,-4.394875759317074e-06,100,64,0,0,0,True,,2,2,"[4, 8]",7.994074015429858
G48,5,0,"[1.0, 0.0]",a8fb926edac17f60a94fb5fead7fa14f2fe23071d3282543c84543b330144c44,baseline,True,True,0.009681282291712705,0.0012739263128241874,0.002785893719988053,0.009096526172925223,0.0,0.0,0.0,100,64,0,0,0,True,,1,1,[4],7.798191120070013
G48,5,1,"[0.75, 0.0]",91dffc19badc0fb8ece878a6c2be4d3415dc21dcf100d2141bf27101df76c8f4,search,False,False,0.07411370388581418,0.04642836831233581,0.0027177716391406648,0.008430126938264948,0.06443242159410147,-0.0006663992346602754,-6.812208084738813e-05,99,64,1,0,0,False,CURRENT_TRAINING_MEAN;CURRENT_STRICT_IDS,1,1,[4],5.84864333992989
G48,5,2,"[0.75, 0.5]",2beea9b8cd72cb8fe7799dbab8526d814272a35556263d1f1c3a927917dd818c,search,False,False,0.01111455374659272,0.0073976784673868675,0.002752178485764034,0.00855906160268205,0.0014332714548800137,-0.0005374645702431735,-3.3715234224018786e-05,100,64,0,0,0,False,CURRENT_TRAINING_MEAN,2,2,"[4, 8]",6.289299711668325
G48,5,3,"[0.75, 1.0]",e5f009d274058ed187a068cca698e76fd58a6667712f7e89a4225d3bab2ab940,search,False,False,0.010077141622750786,0.007240449625387555,0.002800702297065527,0.008845085572829703,0.00039585933103808077,-0.0002514406000955205,1.4808577077474183e-05,100,64,0,0,0,False,CURRENT_TRAINING_MEAN,2,2,"[4, 8]",7.456626362344798
G48,5,4,"[1.0, 0.5]",fe3c225501a4a84d416fa33bd59a392bc939a8301837f288da733810be99de1c,search,False,False,0.001973637829942163,0.0012364980873826425,0.0028245792886991694,0.009177245653518185,-0.007707644461770542,8.071948059296119e-05,3.86855687111165e-05,100,64,0,0,0,True,,2,2,"[4, 8]",7.858471734298167
G48,5,5,"[1.0, 1.0]",09e7f5ba40b54d401af5e9e6bf5f4ab32b8169ed6f0baad32076989cd0fca31e,search,False,False,0.0019384230006835423,0.0012256434447408537,0.0028679260796593553,0.009292776471511388,-0.007742859291029163,0.00019625029858616472,8.20323596713024e-05,100,64,0,0,0,True,,2,2,"[4, 8]",8.036601132339177
G48,6,0,"[1.0, 0.0]",f294a55abcba07ca8186255f3b3d3209e225d845b475b87c294f5d0fa956fba9,baseline,True,True,0.0045975130995793735,0.0020739314294041834,0.0032627750475171524,0.01128825307932857,0.0,0.0,0.0,100,64,0,0,0,True,,1,1,[4],8.179512669818896
G48,6,1,"[0.75, 0.0]",5ecb08e1cc8e9cd0347284741e238362b57a8728fd6d5005a12a44ea1ffff16d,search,False,False,0.0772848872616305,0.05205148361070314,0.0029490443227473406,0.010397923220580196,0.07268737416205114,-0.0008903298587483732,-0.0003137307247698118,99,64,1,1,0,False,CURRENT_TRAINING_MEAN;CURRENT_STRICT_IDS;CURRENT_PAIR_IDS,1,1,[4],6.13463450224732
G48,6,2,"[0.75, 0.5]",8d236b248f1b5016bebaecaddef544d3340e9bddb5aec9a53ed5d593fd18e2d9,search,False,False,0.01060442029585829,0.007201818569956231,0.0029796125370467053,0.010549264696237515,0.006006907196278917,-0.0007389883830910549,-0.00028316251047044716,100,64,0,0,0,False,CURRENT_TRAINING_MEAN,2,2,"[4, 8]",6.52203336157981
G48,6,3,"[0.75, 1.0]",7a5bc260e60b02add6374db81f980cb33666a49f82d1cbc71b5aff4a1bcf4529,search,False,False,0.01056981470217579,0.007177322960487799,0.0030277018345827855,0.010850881011947422,0.0059723016025964165,-0.00043737206738114764,-0.0002350732129343669,100,64,0,0,0,False,CURRENT_TRAINING_MEAN,2,2,"[4, 8]",7.566138727107053
G48,6,4,"[1.0, 0.5]",8dd682dd312486cb34369693fe83e666307692657a0e863093478b77bc8c7888,search,False,False,0.0027285222520004025,0.0013547091116925002,0.003263197640535509,0.011316515397993498,-0.001868990847578971,2.8262318664928898e-05,4.2259301835656515e-07,100,64,0,0,0,True,,2,2,"[4, 8]",8.220724586202087
G48,6,5,"[1.0, 1.0]",2075556616834a68833387a2f4bc5ab894882ed90ae626bb41923bd50a9c4f1b,search,False,False,0.0026848374982364476,0.0013429729791823775,0.0032649631301637783,0.011365342385488475,-0.001912675601342926,7.708930615990539e-05,2.188082646625844e-06,100,64,0,0,0,True,,2,2,"[4, 8]",8.343138998151957
G48,7,0,"[1.0, 0.0]",1fb4257386f558e66b4fb42d2a446d7ca4f4debaeafd4e9f8a14ef7e53f3604f,baseline,True,True,0.005003682761453092,0.002567800914748659,0.002471399521141393,0.013555037379319401,0.0,0.0,0.0,100,64,0,0,0,True,,1,1,[4],8.179911039680311
G48,7,1,"[0.75, 0.0]",dcea3925f3a671e41d89123c1cc9e5066472d4cdc6c238848d307f826b860ee8,search,False,False,0.06170414067746606,0.02987516019238683,0.00249752226829969,0.012718218284135219,0.05670045791601297,-0.0008368190951841825,2.612274715829699e-05,99,64,1,1,0,False,CURRENT_TRAINING_MEAN;CURRENT_STRICT_IDS;CURRENT_PAIR_IDS,1,1,[4],6.134933279765083
G48,7,2,"[0.75, 0.5]",a99a8aa65401e15535d7e7ec39e4414b778a5a51113d0686dd9a9ab33620c31d,search,False,False,0.008401936236186885,0.0053879454951675145,0.0025722728444179666,0.012826178827708645,0.0033982534747337926,-0.000728858551610756,0.0001008733232765735,100,64,0,0,0,False,CURRENT_TRAINING_MEAN;PAST_MEAN,2,2,"[4, 8]",6.67207028288789
G48,7,3,"[0.75, 1.0]",624bfc5a47037fda109274c612c3d576a830dc6ba3672edf3f5c89c71ab09f51,search,False,False,0.00797337331052404,0.005253906365178409,0.002678608470546351,0.013156673575394962,0.0029696905490709472,-0.0003983638039244397,0.00020720894940495782,100,64,0,0,0,False,CURRENT_TRAINING_MEAN;PAST_MEAN,2,2,"[4, 8]",8.07179462136529
G48,7,4,"[1.0, 0.5]",e3f1013fb55c180c7250695e42bc2065589961018c1efd82b8aa8def38305181,search,False,False,0.0022181965003255756,0.0012343302482258878,0.002473957127790527,0.013561213804678118,-0.0027854862611275165,6.176425358717097e-06,2.557606649133959e-06,100,64,0,0,0,True,,2,2,"[4, 8]",8.229567770374677
G48,7,5,"[1.0, 1.0]",1a20f1344922031388b5e756f0ebe41298420e731c5dd9448e7acc6a5aa3969e,search,False,False,0.0021938995708478616,0.0012276762092915305,0.002477478072478334,0.01358667609110853,-0.0028097831906052305,3.163871178912814e-05,6.078551336941018e-06,100,64,0,0,0,True,,2,2,"[4, 8]",8.37677198574618
G48,8,0,"[1.0, 0.0]",2c90ef7315e0a473407e49d75bdd08fdf6c32ecfaaeb5f0977df08b86a853d5d,baseline,True,True,0.002204031695437152,0.0012392944833845832,0.004764308415474261,0.01547606653002731,0.0,0.0,0.0,100,64,0,0,0,True,,1,1,[4],8.09938863999088
G48,8,1,"[0.75, 0.0]",5137599d987f743e1d6c824b2da1b45a137da5256cd1dcd94d31b934c944052b,search,False,False,0.037529928737203594,0.04427487067412585,0.004671826140565827,0.014690029890516598,0.03532589704176644,-0.0007860366395107121,-9.248227490843419e-05,100,64,0,0,0,False,CURRENT_TRAINING_MEAN,1,1,[4],6.074541479636597
G48,8,2,"[0.75, 0.5]",aa373dd89014d29f19a1f9cc6cb9f7ab938b6cbe2e199b4c3031668546a3ac61,search,False,False,0.01067898396140663,0.00899328556493856,0.004731631376102996,0.014726139741469524,0.008474952265969476,-0.0007499267885577865,-3.267703937126498e-05,100,64,0,0,0,False,CURRENT_TRAINING_MEAN,2,2,"[4, 8]",6.414105527312274
G48,8,3,"[0.75, 1.0]",05dbbfaf30eb168587ca069f97f873a3b6e339ac019cf94d8b34c9b4e796fd7b,search,False,False,0.010549027541419492,0.008896646448592947,0.004800080752602298,0.0148661968023589,0.00834499584598234,-0.0006098697276684106,3.577233712803718e-05,100,64,0,0,0,False,CURRENT_TRAINING_MEAN,2,2,"[4, 8]",7.339130486146086
G48,8,4,"[1.0, 0.5]",8da8c9a49479f447ba397e2c127ac5f97b51931548c05d4b06bb2db1ab799773,search,False,False,0.002204027927655261,0.0012393003993202,0.004764313330383629,0.015476040804060176,-3.767781890737926e-09,-2.5725967134349048e-08,4.914909368380904e-09,100,64,0,0,0,True,,2,2,"[4, 8]",8.09938864003677
G48,8,5,"[1.0, 1.0]",d85e2caf19a6dd8fba3f5601c8740192795844ad0b367ca6435e6a77c57bffbd,search,False,False,0.0022040251892758533,0.0012393027840880678,0.004764300547435596,0.015476054781174753,-6.506161298516083e-09,-1.1748852557502687e-08,-7.868038665037602e-09,100,64,0,0,0,True,,2,2,"[4, 8]",8.099388640173018
G48,9,0,"[1.0, 0.0]",a13adf7fb30188cd62770770a7eeabdd3e2ea1438aa465d484251abdf550b4d5,baseline,True,True,0.002908658735032077,0.0023273993869406696,0.0055403543467491545,0.01762802591520085,0.0,0.0,0.0,100,64,0,0,0,True,,1,1,[4],8.600607318666466
G48,9,1,"[0.75, 0.0]",ddb67f49f51a7d728d44fa0f8f8e4eea5f1c215a3d6cf5e81d59fd0b024693ee,search,False,False,0.050527073617558926,0.07432249351222708,0.005262852529085649,0.016776290100096958,0.04761841488252685,-0.0008517358151038934,-0.0002775018176635058,99,64,1,1,0,False,CURRENT_TRAINING_MEAN;CURRENT_STRICT_IDS;CURRENT_PAIR_IDS,1,1,[4],6.450455488908478
G48,9,2,"[0.75, 0.5]",73ad2192fca20293e97e1443ac4a6790ce468ba47301f36a64b29b24047b8832,search,False,False,0.00882464269263437,0.006598624380785623,0.005368710713128166,0.016872507113930624,0.005915983957602294,-0.0007555188012702274,-0.0001716436336209881,100,64,0,0,0,False,CURRENT_TRAINING_MEAN,2,2,"[4, 8]",6.854160917845372
G48,9,3,"[0.75, 1.0]",e18aa99c064031caef60cebe390ee8143449d211d44ba99f1382f34a2e34539a,search,False,False,0.008546526719546818,0.006408131409643829,0.0055017660674820945,0.01720260401316409,0.005637867984514742,-0.00042542190203676,-3.858827926705999e-05,100,64,0,0,0,False,CURRENT_TRAINING_MEAN,2,2,"[4, 8]",7.943107674021866
