arm,batch,gates,support,gate_support,action_norm,own_n4,feasible,E,H,B,raw_E,raw_B,delta_E,delta_B,stop,candidates,unique_endpoints,incomplete,adequate,completed_search_gate_vectors,completed_unique_state_tokens,distinct_a4,baseline_scores,bound_rejections,commits,completed_suffix_fits,endpoint_cache_hits,endpoints,extra_adam,extra_adam_reserved,fit_cache_hits,gate_cache_hits,incomplete_candidates,l4_adam,l4_fits,pruning_proposals,raw_callback_calls,reduction_cache_hits,search_proposals,suffix_fits,technical_failures,search_fits,search_scores,pruning_scores,pruning_fits
G48,2,"[0.75, 0.5]",2,2,6.381819381591595,False,True,0.023331979703798425,0.001581409836489911,0.0031558189532461256,0.026622378780157305,0.0038239335715388734,-0.0032903990763588804,-0.0006681146182927478,COMPLETE_SIX_POINT_GRID,6,6,0,,5,5,2,1,0,1,2,0,5,576,0,7,1,0,2400,1,0,0,0,5,2,0,2,5,,
G48,3,"[1.0, 0.0]",1,1,7.723508332755887,True,True,0.003083714989479631,0.005617949943825806,0.0051500841723282065,0.003083714989479631,0.0051500841723282065,0.0,0.0,COMPLETE_SIX_POINT_GRID,6,6,0,,5,5,2,1,0,1,2,0,5,456,0,7,1,0,2376,1,0,0,0,5,2,0,2,5,,
G48,4,"[1.0, 0.0]",1,1,7.771960994928417,True,True,0.007478712622832973,0.0027940610189034487,0.007352079351562679,0.007478712622832973,0.007352079351562679,0.0,0.0,COMPLETE_SIX_POINT_GRID,6,6,0,,5,5,2,1,0,1,2,0,5,384,0,7,1,0,2400,1,0,0,0,5,2,0,2,5,,
G48,5,"[1.0, 0.0]",1,1,7.798191120070013,True,True,0.009681282291712705,0.002785893719988053,0.009096526172925223,0.009681282291712705,0.009096526172925223,0.0,0.0,COMPLETE_SIX_POINT_GRID,6,6,0,,5,5,2,1,0,1,2,0,5,336,0,7,1,0,2400,1,0,0,0,5,2,0,2,5,,
G48,6,"[1.0, 0.0]",1,1,8.179512669818896,True,True,0.0045975130995793735,0.0032627750475171524,0.01128825307932857,0.0045975130995793735,0.01128825307932857,0.0,0.0,COMPLETE_SIX_POINT_GRID,6,6,0,,5,5,2,1,0,1,2,0,5,312,0,7,1,0,2400,1,0,0,0,5,2,0,2,5,,
G48,7,"[1.0, 0.0]",1,1,8.179911039680311,True,True,0.005003682761453092,0.002471399521141393,0.013555037379319401,0.005003682761453092,0.013555037379319401,0.0,0.0,COMPLETE_SIX_POINT_GRID,6,6,0,,5,5,2,1,0,1,2,0,5,384,0,7,1,0,2400,1,0,0,0,5,2,0,2,5,,
G48,8,"[1.0, 0.0]",1,1,8.09938863999088,True,True,0.002204031695437152,0.004764308415474261,0.01547606653002731,0.002204031695437152,0.01547606653002731,0.0,0.0,COMPLETE_SIX_POINT_GRID,6,6,0,,5,5,2,1,0,1,2,0,5,216,0,7,1,0,2400,1,0,0,0,5,2,0,2,5,,
G48,9,"[1.0, 0.0]",1,1,8.600607318666466,True,True,0.002908658735032077,0.0055403543467491545,0.01762802591520085,0.002908658735032077,0.01762802591520085,0.0,0.0,COMPLETE_SIX_POINT_GRID,6,6,0,,5,5,2,1,0,1,2,0,5,288,0,7,1,0,2400,1,0,0,0,5,2,0,2,5,,
G48,10,"[0.75, 0.5]",2,2,6.89460920496333,False,True,0.009900057791237487,0.004858339961174352,0.01911654221567005,0.016720298432337587,0.01986880016647774,-0.0068202406411001,-0.0007522579508076888,COMPLETE_SIX_POINT_GRID,6,6,0,,5,5,2,1,0,1,2,0,5,360,0,7,1,0,2400,1,0,0,0,5,2,0,2,5,,
C4,1,[1.0],1,1,7.61165279863614,True,True,0.003404614371538628,,0.0017209079930182725,0.003404614371538628,0.0017209079930182725,0.0,0.0,SOLVER_RETURN,4,4,0,True,3,3,3,1,0,1,0,0,3,0,0,3,1,0,2400,1,0,9,5,3,0,0,,3,,
C4,2,[1.0],1,1,7.71136987798354,True,True,0.026622378780157305,0.0015802247926330892,0.0038239335715388734,0.026622378780157305,0.0038239335715388734,0.0,0.0,SOLVER_RETURN,4,4,0,True,3,3,3,1,0,1,0,0,3,0,0,3,1,0,2400,1,0,9,5,3,0,0,,3,,
C4,3,[1.0],1,1,7.8385920077260876,True,True,0.0026307728864776434,0.012278749113193044,0.006022348446322212,0.0026307728864776434,0.006022348446322212,0.0,0.0,SOLVER_RETURN,4,4,0,True,3,3,3,1,0,1,0,0,3,0,0,3,1,0,2400,1,0,9,5,3,0,0,,3,,
C4,4,[1.0],1,1,7.8014973235883645,True,True,0.003918482569279149,0.024522713774786098,0.008421741996926357,0.003918482569279149,0.008421741996926357,0.0,0.0,SOLVER_RETURN,4,4,0,True,3,3,3,1,0,1,0,0,3,0,0,3,1,0,2400,1,0,9,5,3,0,0,,3,,
C4,5,[1.0],1,1,7.824510436564866,True,True,0.012849908573552966,0.032335318147602266,0.010314425840761032,0.012849908573552966,0.010314425840761032,0.0,0.0,SOLVER_RETURN,4,4,0,True,3,3,3,1,0,1,0,0,3,0,0,3,1,0,2400,1,0,9,5,3,0,0,,3,,
C4,6,[0.9939162177969818],1,1,8.163194634480131,False,True,0.0024970080226194113,0.032779816351308,0.012451382564449887,0.0024117284012027083,0.012474029073018755,8.527962141670299e-05,-2.264650856886874e-05,SOLVER_RETURN,4,4,0,True,3,3,3,1,0,1,0,0,3,0,0,3,1,0,2400,1,0,9,5,3,0,0,,3,,
C4,7,[1.0],1,1,8.210925114217638,True,True,0.0047010132789728236,0.03576544995473796,0.014926503998140106,0.0047010132789728236,0.014926503998140106,0.0,0.0,SOLVER_RETURN,4,4,0,True,3,3,3,1,0,1,0,0,3,0,0,3,1,0,2400,1,0,9,5,3,0,0,,3,,
C4,8,[0.992543352713192],1,1,8.074257771408794,False,True,0.002022530075046234,0.0451630177080915,0.016796476810668537,0.001936274957843125,0.01682424387036008,8.62551172031089e-05,-2.7767059691541363e-05,SOLVER_RETURN,4,4,0,True,3,3,3,1,0,1,0,0,3,0,0,3,1,0,2400,1,0,9,5,3,0,0,,3,,
C4,9,[1.0],1,1,8.629736989456719,True,True,0.007290072553005302,0.05580059866713327,0.018920294328381715,0.007290072553005302,0.018920294328381715,0.0,0.0,SOLVER_RETURN,4,4,0,True,3,3,3,1,0,1,0,0,3,0,0,3,1,0,2400,1,0,9,5,3,0,0,,3,,
C4,10,[1.0],1,1,8.594852788857512,True,True,0.02429452766533359,0.043510414894853966,0.02138809947791742,0.02429452766533359,0.02138809947791742,0.0,0.0,SOLVER_RETURN,4,4,0,True,3,3,3,1,0,1,0,0,3,0,0,3,1,0,2400,1,0,9,5,3,0,0,,3,,
C48,1,"[1.0, 0.0]",1,1,7.61165279863614,True,True,0.003404614371538628,,0.0017209079930182725,0.003404614371538628,0.0017209079930182725,0.0,0.0,EXTRA_ADAM_RESERVE,11,11,1,True,10,10,7,1,1,1,7,0,10,8596,0,14,0,1,2400,1,0,24,12,12,7,0,7,10,,
C48,2,"[0.7537144584968246, 0.7005140165601613]",2,2,6.822826043694378,False,True,0.016081845402077306,0.0016107911561675792,0.0032547404240972355,0.026622378780157305,0.0038239335715388734,-0.010540533378079999,-0.0005691931474416378,EXTRA_ADAM_RESERVE,15,15,1,True,13,13,12,1,0,1,12,0,14,7508,0,16,0,1,2400,1,1,28,14,14,12,0,12,13,1,
C48,3,"[0.9798240760988015, 0.7508154657794086]",2,2,7.627276101581518,False,True,0.0032231097560725176,0.0044687028371299675,0.005218734583650075,0.0033915206996607593,0.005276400078855659,-0.00016841094358824174,-5.7665495205583284e-05,SOLVER_RETURN,22,22,0,True,20,20,19,1,0,1,19,0,21,1824,0,22,0,0,2376,1,1,41,21,20,19,0,19,20,1,
C48,4,"[0.8855367135523794, 0.4939608188363628]",2,2,7.0441368347131865,False,True,0.003928716358786915,0.002707262054059356,0.00714287823734594,0.003829147023498081,0.0074947186874965155,9.95693352888339e-05,-0.00035184045015057563,ENDPOINT_RESERVE,26,26,1,True,24,24,23,1,0,1,23,0,25,2640,0,27,0,1,2400,1,1,50,25,25,23,0,23,24,1,
C48,5,"[0.8224670436115926, 0.5463308075840843]",2,2,6.60944172397694,False,True,0.006930487942881882,0.003048576913670331,0.008512684455126873,0.012077317501243669,0.008888682651218005,-0.005146829558361787,-0.00037599819609113183,SOLVER_RETURN,16,16,0,True,14,14,13,1,0,1,13,0,15,6303,0,16,0,0,2400,1,1,29,15,14,13,0,13,14,1,
C48,6,"[0.9956485901607082, 0.0]",1,1,8.11557277736863,False,True,0.0025469802942825483,0.024549612332975812,0.010197149860232457,0.0024769501510309056,0.01021147222968466,7.003014325164276e-05,-1.432236945220211e-05,SOLVER_RETURN,23,23,0,True,21,21,20,1,0,1,20,0,22,360,0,23,0,0,2400,1,1,43,22,21,20,0,20,21,1,
C48,7,"[0.8391619156540968, 0.6452488792057121]",2,2,7.251108146768026,False,True,0.005616854613181204,0.026539736249617363,0.011976437904195336,0.005528822761552874,0.01254746800805151,8.803185162833006e-05,-0.0005710301038561738,SOLVER_RETURN,21,21,0,True,19,19,18,1,0,1,18,0,20,2880,0,21,0,0,2400,1,1,39,20,19,18,0,18,19,1,
C48,8,"[0.991889955772606, 0.0]",1,1,7.996069676173049,False,True,0.002064116349502001,0.026363759479409055,0.013536208513869497,0.0019760075173689984,0.013561636475060368,8.810883213300263e-05,-2.542796119087143e-05,SOLVER_RETURN,9,9,0,True,7,7,4,1,0,1,4,0,8,240,0,11,0,0,2400,1,1,15,8,7,4,0,4,7,1,
C48,9,"[0.7771192041277266, 0.439650291287238]",2,2,6.887893782423134,False,True,0.008616203475103248,0.027974995030604077,0.01492671276901092,0.008524176327046006,0.015621971071595908,9.202714805724155e-05,-0.000695258302584989,SOLVER_RETURN,18,18,0,True,16,16,15,1,0,1,15,0,17,3452,0,18,0,0,2400,1,1,33,17,16,15,0,15,16,1,
C48,10,"[0.6318417215227365, 0.25692432697079937]",2,2,5.832311724973569,False,True,0.034661303685570605,0.0037437681507981324,0.016007508290385886,0.03526415668457048,0.01697105447692593,-0.0006028529989998768,-0.000963546186540043,EXTRA_ADAM_RESERVE,13,13,1,True,11,11,10,1,0,1,10,0,12,7980,0,14,0,1,2400,1,1,24,12,12,10,0,10,11,1,
C45678,1,"[0.998265282065913, 0.0, 0.0, 0.0, 0.0]",1,1,7.598448608810395,False,True,0.0034614172438159584,,0.0017147403958404084,0.003404614371538628,0.0017209079930182725,5.6802872277330555e-05,-6.1675971778640815e-06,SUFFIX_FIT_CAP,16,16,1,True,11,11,6,1,9,1,32,0,15,888,0,34,0,1,2400,1,4,42,21,21,32,0,32,11,4,
C45678,2,"[0.75, 0.7506035388713365, 0.6875029141412915, 0.0, 0.0]",3,3,6.654990370698607,False,True,0.012470193248518627,0.0015949979260767577,0.0031375676876450598,0.029396445440361275,0.0037782237768624327,-0.01692625219184265,-0.0006406560892173729,SUFFIX_FIT_CAP,15,15,1,True,10,10,5,1,1,1,33,0,14,4904,0,32,0,1,2400,1,4,24,12,12,33,0,32,10,4,1
C45678,3,"[0.9853711658898512, 0.7504283727996336, 0.0, 0.0, 0.0]",2,2,7.668548021188117,False,True,0.0026747359742876143,0.0033374815634488186,0.005060289792936601,0.002938854445819743,0.005071613310065004,-0.0002641184715321287,-1.1323517128403182e-05,SUFFIX_FIT_CAP,16,16,1,True,11,11,6,1,3,1,32,0,15,504,0,36,0,1,2376,1,4,30,15,15,32,0,32,11,4,
C45678,4,"[0.9115807799789352, 0.4654999679216739, 0.0, 0.0, 0.0]",2,2,7.138620521801198,False,True,0.0038936460969853214,0.002625774304760853,0.007065245311423496,0.004277935580466874,0.007368347653141427,-0.00038428948348155287,-0.00030310234171793127,SUFFIX_FIT_CAP,15,15,1,True,10,10,6,1,0,1,32,0,14,720,0,31,0,1,2400,1,4,22,11,11,32,0,32,10,4,
C45678,5,"[0.6373533973051597, 0.526816795207814, 1.0, 0.0, 0.0]",3,3,6.219532006846373,False,True,0.013649344508594367,0.0030067911327478214,0.008303519312221397,0.014675218647025758,0.008937052714031779,-0.0010258741384313909,-0.0006335334018103822,SUFFIX_FIT_CAP,14,14,2,True,10,10,6,1,21,1,32,0,13,7271,0,31,0,2,2400,1,4,64,32,32,32,0,32,10,3,
C45678,6,"[1.0, 0.0, 0.0, 0.0, 0.0]",1,1,8.133711430474673,True,True,0.002569514949864242,0.0052743953434628565,0.01026197671171758,0.002569514949864242,0.01026197671171758,0.0,0.0,SUFFIX_FIT_CAP,11,11,1,True,10,10,6,1,3,1,32,0,10,1288,0,21,0,1,2400,1,0,28,14,14,32,0,32,10,,
C45678,7,"[0.9160078349101454, 0.7638837464702708, 0.0, 0.0, 0.0]",2,2,7.656604160226239,False,True,0.003521115009643836,0.004471337866789327,0.01210166074179142,0.005414608894934645,0.012460016821478348,-0.001893493885290809,-0.00035835607968692784,SUFFIX_FIT_CAP,17,17,1,True,12,12,6,1,3,1,32,0,16,1080,0,40,0,1,2400,1,4,32,16,16,32,0,32,12,4,
C45678,8,"[1.0, 0.0, 0.0, 0.0, 0.0]",1,1,8.05610937247282,True,True,0.002017358463490382,0.00385598008085708,0.013819149010487308,0.002017358463490382,0.013819149010487308,0.0,0.0,SUFFIX_FIT_CAP,11,11,1,True,10,10,6,1,7,1,32,0,10,1368,0,21,0,1,2400,1,0,36,18,18,32,0,32,10,,
C45678,9,"[1.0, 0.0, 0.0, 0.0, 0.0]",1,1,8.538238861456303,True,True,0.003632755458529573,0.004429213366506701,0.01608941884524029,0.003632755458529573,0.01608941884524029,0.0,0.0,SUFFIX_FIT_CAP,12,12,1,True,11,11,6,1,7,1,32,0,11,1632,0,25,0,1,2400,1,0,38,19,19,32,0,32,11,,
C45678,10,"[0.7112888204943189, 0.7806925375149789, 0.0, 0.0, 0.0]",2,2,6.775637750714896,False,True,0.012315658984007313,0.002638259166701573,0.017642504678406112,0.014011927917599677,0.018516925000312767,-0.001696268933592364,-0.0008744203219066549,SUFFIX_FIT_CAP,15,15,1,True,10,10,6,1,2,1,32,0,14,2160,0,31,0,1,2400,1,4,26,13,13,32,0,32,10,4,
