arm,comparison,batch,metric,n,before,after,lost,gained,retained,both_failure,strict_lost,strict_gained,delta_pp,delta_new_nll_mean,delta_new_nll_p00,delta_new_nll_p50,delta_new_nll_p95,delta_new_nll_p99,delta_new_nll_p100,delta_true_nll_mean,delta_true_nll_p00,delta_true_nll_p50,delta_true_nll_p95,delta_true_nll_p99,delta_true_nll_p100,delta_desired_nll_mean,delta_desired_nll_p00,delta_desired_nll_p50,delta_desired_nll_p95,delta_desired_nll_p99,delta_desired_nll_p100,desired_nll_worse_count
N4,ENTRY_TO_ATWRITE,4,PS,200,32,196,0,164,32,4,0,149,82.0,-7.754714404366314,-17.860552698373795,-7.674312123679556,-2.2614099415019164,-0.7623328391835124,-0.387725830078125,6.199313644516515,-7.039542198181152,5.874589174985886,13.884601759910579,16.39573436260221,22.651838302612305,-7.754714404366314,-17.860552698373795,-7.674312123679556,-2.2614099415019164,-0.7623328391835124,-0.387725830078125,0
N4,ENTRY_TO_ATWRITE,4,NS,1000,843,811,34,2,809,155,25,13,-3.2,-0.3990472615065519,-16.24606840312481,-0.1568317413330078,0.4001268386840816,1.095843911170959,15.101085662841797,0.13919133321836125,-4.758941888809204,-0.0010691843926906586,1.2452538490295393,5.016155509948729,12.434723258018494,0.13919133321836125,-4.758941888809204,-0.0010691843926906586,1.2452538490295393,5.016155509948729,12.434723258018494,496
N4,ENTRY_TO_ATWRITE,5,RS,100,8,100,0,92,8,0,0,98,92.0,-10.090506839451555,-19.21183695626678,-9.952049899264239,-5.349969114566921,-1.5603469224574589,-0.28431737790378975,10.534350958587602,-0.3076009750366211,10.53275116533041,16.86515575647354,20.733872643113138,21.147988200187683,-10.090506839451555,-19.21183695626678,-9.952049899264239,-5.349969114566921,-1.5603469224574589,-0.28431737790378975,0
N4,ENTRY_TO_ATWRITE,5,PS,200,28,193,0,165,28,7,0,123,82.5,-7.667879726660467,-15.367236256599426,-7.523487150669098,-1.8019521236419702,-0.4691962051391622,0.6331591606140137,5.121362057458609,-5.693942546844482,4.828822612762451,12.809176746010777,15.4968126630783,18.148444771766663,-7.667879726660467,-15.367236256599426,-7.523487150669098,-1.8019521236419702,-0.4691962051391622,0.6331591606140137,1
N4,ENTRY_TO_ATWRITE,5,NS,1000,866,859,9,2,857,132,20,8,-0.7,-0.42501039637625215,-11.561120748519897,-0.18578290939331055,0.32430891990661564,0.9017762947082512,2.5837860107421875,0.03621979574894067,-2.3437247276306152,-0.008376359939575195,0.7265408515930171,1.9600090718269334,9.141571521759033,0.03621979574894067,-2.3437247276306152,-0.008376359939575195,0.7265408515930171,1.9600090718269334,9.141571521759033,465
N4,ENTRY_TO_ATWRITE,6,RS,100,12,100,0,88,12,0,0,100,88.0,-10.390391770106653,-19.867148557445034,-10.446020537885488,-5.039133694463818,-1.866907561907425,-1.2236141720204614,10.292931872978807,-2.662313461303711,10.152645230293274,17.27275012731552,19.390882849544298,21.68028663098812,-10.390391770106653,-19.867148557445034,-10.446020537885488,-5.039133694463818,-1.866907561907425,-1.2236141720204614,0
N4,ENTRY_TO_ATWRITE,6,PS,200,29,192,0,163,29,8,0,119,81.5,-8.1132473828824,-18.275176614522934,-8.119819343090057,-2.4533666610717897,-0.18954485893250161,0.7612242698669434,5.126135134305805,-5.010772228240967,4.856719948351383,12.963658213615416,15.38240625858307,16.680260181427002,-8.1132473828824,-18.275176614522934,-8.119819343090057,-2.4533666610717897,-0.18954485893250161,0.7612242698669434,2
N4,ENTRY_TO_ATWRITE,6,NS,1000,821,806,21,6,800,173,13,11,-1.5,-0.3261258163731545,-7.7997283935546875,-0.14162540435791016,0.42015883922576835,1.0691267871856684,3.7487592697143555,0.04135803543310612,-2.030533790588379,-0.004598557949066162,0.6946999967098229,2.066632905006408,8.779524326324463,0.04135803543310612,-2.030533790588379,-0.004598557949066162,0.6946999967098229,2.066632905006408,8.779524326324463,478
N4,ENTRY_TO_ATWRITE,7,RS,100,9,100,0,91,9,0,0,100,91.0,-9.736451124792884,-17.941238759434782,-9.662965310402797,-3.289524364991715,-1.7442474574749915,-1.285476869001286,10.88892675442272,-7.3970232009887695,10.780931949615479,18.127966797351835,21.50428991556169,23.912742614746094,-9.736451124792884,-17.941238759434782,-9.662965310402797,-3.289524364991715,-1.7442474574749915,-1.285476869001286,0
N4,ENTRY_TO_ATWRITE,7,PS,200,25,195,0,170,25,5,0,148,85.0,-7.646842176562277,-21.542928864364512,-7.6661266356823035,-1.3371101327240544,1.0703142261505036,3.4186649322509766,5.985662342286669,-5.690290689468384,5.839449524879456,13.60480963289737,17.71843914035707,20.206526219844818,-7.646842176562277,-21.542928864364512,-7.6661266356823035,-1.3371101327240544,1.0703142261505036,3.4186649322509766,6
N4,ENTRY_TO_ATWRITE,7,NS,1000,868,848,24,4,844,128,29,14,-2.0,-0.35716445101052524,-11.186057448387146,-0.18588614463806152,0.36651487350463857,1.0446589469909657,12.67495059967041,0.11343198052095249,-2.954413414001465,0.002220515161752701,1.0902360439300534,3.2268758279085117,14.97044062614441,0.11343198052095249,-2.954413414001465,0.002220515161752701,1.0902360439300534,3.2268758279085117,14.97044062614441,513
N4,ENTRY_TO_ATWRITE,8,RS,100,14,100,0,86,14,0,0,99,86.0,-9.581618186671495,-16.628915420966223,-9.367008607718162,-4.269128168578027,-1.6268785575967886,-0.9032613862655126,10.583784811981023,-2.5975475311279297,9.982898741960526,18.989851304888724,22.362953124046328,23.046101331710815,-9.581618186671495,-16.628915420966223,-9.367008607718162,-4.269128168578027,-1.6268785575967886,-0.9032613862655126,0
N4,ENTRY_TO_ATWRITE,8,PS,200,26,193,0,167,26,7,0,137,83.5,-7.4828678852344455,-16.455855856649578,-7.346952302148566,-2.3149023104459108,0.04306434631346787,2.672369956970215,5.656698213657364,-6.725041389465332,5.2640433721244335,14.536917999386787,17.23072531223297,18.410301685333252,-7.4828678852344455,-16.455855856649578,-7.346952302148566,-2.3149023104459108,0.04306434631346787,2.672369956970215,3
N4,ENTRY_TO_ATWRITE,8,NS,1000,864,834,35,5,829,131,15,6,-3.0,-0.39582205457659436,-16.671356089413166,-0.11648917198181152,0.416014862060546,0.8874776840209956,1.6454963684082031,0.10830345996562392,-2.0827693939208984,9.721796959638596e-05,0.8922854900360094,4.538898363709443,11.492908000946045,0.10830345996562392,-2.0827693939208984,9.721796959638596e-05,0.8922854900360094,4.538898363709443,11.492908000946045,501
N4,ENTRY_TO_ATWRITE,9,RS,100,14,100,0,86,14,0,0,99,86.0,-9.663434911129007,-17.718462822493166,-9.47984156687744,-3.88343818820431,-1.8036858793676862,-0.16793501310166903,10.651873161492112,-3.927049160003662,10.145087003707886,17.62535247802734,19.31497983455659,21.021347522735596,-9.663434911129007,-17.718462822493166,-9.47984156687744,-3.88343818820431,-1.8036858793676862,-0.16793501310166903,0
N4,ENTRY_TO_ATWRITE,9,PS,200,22,197,0,175,22,3,0,143,87.5,-8.292445943050406,-16.241967372596264,-8.340997761115432,-2.386939597129825,-1.1078985626436821,-0.08649605745449662,6.182712662639096,-7.881105899810791,5.610517859458923,14.960457526892423,18.328253486752505,20.486776113510132,-8.292445943050406,-16.241967372596264,-8.340997761115432,-2.386939597129825,-1.1078985626436821,-0.08649605745449662,0
N4,ENTRY_TO_ATWRITE,9,NS,1000,858,816,50,8,808,134,39,9,-4.2,-0.6271894962495135,-17.325416281819344,-0.21875905990600586,0.4461565017700194,0.9087448024749755,2.1634626388549805,0.1744751174482517,-6.037236213684082,0.016137337312102318,1.3490621328353873,5.019949465095996,14.31547436118126,0.1744751174482517,-6.037236213684082,0.016137337312102318,1.3490621328353873,5.019949465095996,14.31547436118126,534
N4,ENTRY_TO_ATWRITE,10,RS,100,12,99,0,87,12,1,0,97,87.0,-9.583136911041365,-19.296127076260746,-9.248972975416109,-4.098439751280239,-0.5929485623387147,-0.46129893203033134,10.176480194288306,-7.419695854187012,11.142452627420425,16.97688716650009,20.941733669638644,22.80211067199707,-9.583136911041365,-19.296127076260746,-9.248972975416109,-4.098439751280239,-0.5929485623387147,-0.46129893203033134,0
N4,ENTRY_TO_ATWRITE,10,PS,200,33,195,0,162,33,5,0,128,81.0,-7.520650844614575,-17.33621996641159,-7.459773386828601,-2.276188611984257,-1.1086706519126956,0.22804832458496094,5.436757280933671,-10.964644432067871,5.35936176776886,12.297102415561675,15.332633829116798,22.027834355831146,-7.520650844614575,-17.33621996641159,-7.459773386828601,-2.276188611984257,-1.1086706519126956,0.22804832458496094,1
N4,ENTRY_TO_ATWRITE,10,NS,1000,839,810,33,4,806,157,19,8,-2.9,-0.35021796337515115,-12.788865447044373,-0.13132524490356445,0.48272666931152325,1.1452033233642576,3.8910903930664062,0.08764980683848261,-3.789785861968994,-0.006520271301269531,1.2250980854034415,2.7041625189781184,7.308234214782715,0.08764980683848261,-3.789785861968994,-0.006520271301269531,1.2250980854034415,2.7041625189781184,7.308234214782715,474
N4,ATWRITE_TO_W10,0,RS,1000,999,999,0,0,999,1,6,0,0.0,0.02081324314734138,-0.01717842649668455,3.3368560252711177e-06,0.0019994868140201997,0.018568198538850948,5.392525988165289,-0.10702225017547608,-12.568525314331055,0.0,0.8157615184783931,1.7356861877441399,3.8638315200805664,0.02081324314734138,-0.01717842649668455,3.3368560252711177e-06,0.0019994868140201997,0.018568198538850948,5.392525988165289,522
N4,ATWRITE_TO_W5_FIRST500,0,RS,500,500,500,0,0,500,0,1,0,0.0,0.0072585635815885325,-0.001798935467377305,0.0,0.0007639582210685981,0.02194158724509158,1.6300185024738312,-0.07080283451080323,-7.865130424499512,0.0,0.4746929168701169,0.9750340080261225,4.1127119064331055,0.0072585635815885325,-0.001798935467377305,0.0,0.0007639582210685981,0.02194158724509158,1.6300185024738312,227
N4,W5_TO_W10_FIRST500,0,RS,500,500,500,0,0,500,0,4,0,0.0,0.023366595505151053,-0.01717842649668455,3.966539225075394e-05,0.0022855936753330753,0.20994954317807968,5.116034246981144,-0.07409544849395752,-2.7600040435791016,-0.02704334259033203,0.9280593395233145,1.831407766342163,2.635862350463867,0.023366595505151053,-0.01717842649668455,3.966539225075394e-05,0.0022855936753330753,0.20994954317807968,5.116034246981144,309
N4,W0_TO_W10,0,RS,1000,71,999,0,928,71,1,0,989,92.8,-11.020882213408314,-21.289333238717518,-10.889732808398549,-5.351453005915528,-2.478118059362461,-0.20297012805531267,10.187081192122657,-7.756466388702393,10.408076286315918,18.046769219636914,20.972527520805595,24.27354598045349,-11.020882213408314,-21.289333238717518,-10.889732808398549,-5.351453005915528,-2.478118059362461,-0.20297012805531267,0
N4,COHORT_ATWRITE_TO_W10,1,RS,100,100,100,0,0,100,0,1,0,0.0,0.03806199823651696,-0.00287572480738163,6.081594619899988e-05,0.0046601899550296364,0.06056456565276751,3.724927959847264,-0.2996948480606079,-3.4911117553710938,-0.3231067657470703,1.5289629459381102,2.1644555664062515,2.446390151977539,0.03806199823651696,-0.00287572480738163,6.081594619899988e-05,0.0046601899550296364,0.06056456565276751,3.724927959847264,63
N4,COHORT_ATWRITE_TO_W10,2,RS,100,100,100,0,0,100,0,3,0,0.0,0.05643479177626432,-0.002541202586144209,4.1238941776100546e-05,0.008112263734801662,1.6946572814136784,2.504024416208267,-0.2329426145553589,-3.418506145477295,-0.13546085357666016,1.0693508148193356,2.2555290412902913,3.8638315200805664,0.05643479177626432,-0.002541202586144209,4.1238941776100546e-05,0.008112263734801662,1.6946572814136784,2.504024416208267,56
N4,COHORT_ATWRITE_TO_W10,3,RS,100,100,100,0,0,100,0,1,0,0.0,0.05237430275661609,-0.0026176287792623043,8.496436748828273e-05,0.005079499573912472,0.06994773365792656,5.161504305899143,-0.16922306060791015,-2.856508255004883,-0.1363534927368164,0.7210359573364254,1.0742910289764478,2.507566452026367,0.05237430275661609,-0.0026176287792623043,8.496436748828273e-05,0.005079499573912472,0.06994773365792656,5.161504305899143,71
N4,COHORT_ATWRITE_TO_W10,4,RS,100,100,100,0,0,100,0,0,0,0.0,0.0060721155207284026,-0.0026284707710146904,1.781360333552584e-05,0.001268863066798076,0.008054963112811842,0.6036642235703766,-0.04720460891723633,-9.097224235534668,0.05350160598754883,1.3062553405761717,2.0151036262512214,2.1444787979125977,0.0060721155207284026,-0.0026284707710146904,1.781360333552584e-05,0.001268863066798076,0.008054963112811842,0.6036642235703766,58
N4,COHORT_ATWRITE_TO_W10,5,RS,100,100,100,0,0,100,0,0,0,0.0,0.00018258714357216377,-0.01717842649668455,-5.004869308322668e-06,0.0012804497964680186,0.013996795751154423,0.014052070211619139,0.02457371711730957,-2.7600040435791016,0.040083885192871094,0.9280593395233153,1.4891182518005384,1.734750747680664,0.00018258714357216377,-0.01717842649668455,-5.004869308322668e-06,0.0012804497964680186,0.013996795751154423,0.014052070211619139,48
N4,COHORT_ATWRITE_TO_W10,6,RS,100,100,100,0,0,100,0,0,0,0.0,0.0006859002120472723,-0.0007802690379321575,3.2117299269884825e-05,0.0013936989795183753,0.006184258200228431,0.04803220462054014,-0.16804194450378418,-2.669994831085205,-0.07416152954101562,0.43166079521179196,0.7638849163055423,0.8257627487182617,0.0006859002120472723,-0.0007802690379321575,3.2117299269884825e-05,0.0013936989795183753,0.006184258200228431,0.04803220462054014,60
N4,COHORT_ATWRITE_TO_W10,7,RS,100,100,100,0,0,100,0,0,0,0.0,0.0001385255551576847,-0.004720107186585665,3.811248461715877e-06,0.001894835673738271,0.0056166689656674965,0.007607137784361839,-0.0631188678741455,-1.8568992614746094,-0.011219501495361328,0.5251989364624021,0.8966474199295074,1.4773831367492676,0.0001385255551576847,-0.004720107186585665,3.811248461715877e-06,0.001894835673738271,0.0056166689656674965,0.007607137784361839,54
N4,COHORT_ATWRITE_TO_W10,8,RS,100,100,100,0,0,100,0,1,0,0.0,0.05396308012123882,-0.0017696709837764502,2.5032982193806674e-06,0.0005269606277579441,0.057336610569646215,5.392525988165289,-0.13648784160614014,-12.568525314331055,-0.016768932342529297,0.4811366081237793,0.9380639266967832,2.076251983642578,0.05396308012123882,-0.0017696709837764502,2.5032982193806674e-06,0.0005269606277579441,0.057336610569646215,5.392525988165289,55
N4,COHORT_ATWRITE_TO_W10,9,RS,100,100,100,0,0,100,0,0,0,0.0,0.0002191301512721111,-0.004288176074624062,9.344308637082577e-06,0.0008095274766674258,0.008023196756839787,0.014869846403598785,0.021917567253112794,-0.6125335693359375,0.006547451019287109,0.3048547267913818,0.5919742584228663,3.4568653106689453,0.0002191301512721111,-0.004288176074624062,9.344308637082577e-06,0.0008095274766674258,0.008023196756839787,0.014869846403598785,57
N4,COHORT_ATWRITE_TO_W10,10,RS,100,99,99,0,0,99,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
N4,ATWRITE_TO_W10,0,PS,2000,1928,1934,8,14,1920,58,26,40,0.3,-0.0305333965942591,-10.361276358366013,0.0,0.3707939386367797,1.2699164581298825,14.817645937204361,0.004391382485628128,-6.693671703338623,0.0,1.087952852249145,2.461712107658386,5.884303092956543,-0.0305333965942591,-10.361276358366013,0.0,0.3707939386367797,1.2699164581298825,14.817645937204361,860
N4,ATWRITE_TO_W5_FIRST500,0,PS,1000,956,961,1,6,955,38,9,16,0.5,-0.02705394691146648,-10.261428773403168,0.0,0.24358510375022885,0.7246580922603605,2.8346142768859863,-0.0045569298751652245,-5.924229621887207,0.0,0.5741261005401607,1.185301337242126,3.624274253845215,-0.02705394691146648,-10.261428773403168,0.0,0.24358510375022885,0.7246580922603605,2.8346142768859863,386
N4,W5_TO_W10_FIRST500,0,PS,1000,961,958,8,5,953,34,19,32,-0.3,-0.02870449975336669,-2.966921329498291,-0.0006544112111441791,0.373305869102478,1.2297918367385863,14.817645937204361,0.03524080168828368,-4.3296589851379395,-0.0007171630859375,1.0748784303665146,2.0544246530532813,5.884303092956543,-0.02870449975336669,-2.966921329498291,-0.0006544112111441791,0.373305869102478,1.2297918367385863,14.817645937204361,451
N4,W0_TO_W10,0,PS,2000,227,1934,0,1707,227,66,1,1348,85.35,-8.539571853089361,-21.18964632670395,-8.422987163066864,-2.875948095321656,-0.6102376854419715,6.671186447143555,5.366401241293643,-11.575026512145996,5.130286067724228,13.573007762432098,17.337460947036742,23.17795491218567,-8.539571853089361,-21.18964632670395,-8.422987163066864,-2.875948095321656,-0.6102376854419715,6.671186447143555,13
N4,COHORT_ATWRITE_TO_W10,1,PS,200,194,195,0,1,194,5,6,13,0.5,-0.1671379236606299,-10.361276358366013,-0.00029535737121477723,0.778941679000854,1.8855613696575144,2.8066606521606445,-0.18331221729516983,-6.693671703338623,-0.18558049201965332,1.4633576631546015,1.925493869781488,3.4746713638305664,-0.1671379236606299,-10.361276358366013,-0.00029535737121477723,0.778941679000854,1.8855613696575144,2.8066606521606445,94
N4,COHORT_ATWRITE_TO_W10,2,PS,200,183,183,3,3,180,14,1,10,0.0,-0.08965971119410825,-4.300073146820068,-0.003804851556196809,0.5922440528869611,1.7492520523071227,3.6767678260803223,0.14470963947474957,-3.854466438293457,0.03971385955810547,1.732460874319073,3.3470213954150663,3.8622827529907227,-0.08965971119410825,-4.300073146820068,-0.003804851556196809,0.5922440528869611,1.7492520523071227,3.6767678260803223,79
N4,COHORT_ATWRITE_TO_W10,3,PS,200,190,192,1,3,189,7,4,8,1.0,0.001406393522520375,-2.0494658052921295,-0.0003277125651948154,0.5008685588836665,2.0951719808578417,3.782893657684326,0.08058108728379011,-2.446988105773926,0.024654865264892578,1.3881025075912474,2.479208703041069,4.318916320800781,0.001406393522520375,-2.0494658052921295,-0.0003277125651948154,0.5008685588836665,2.0951719808578417,3.782893657684326,94
N4,COHORT_ATWRITE_TO_W10,4,PS,200,196,195,1,0,195,4,1,2,-0.5,-0.04903964615354198,-1.548548698425293,-0.001286316430196166,0.2274394989013671,0.6591453456878653,0.8117008209228516,-0.006387751698493958,-3.81076717376709,-0.01987171173095703,1.139476943016052,2.7696625566482513,3.968386650085449,-0.04903964615354198,-1.548548698425293,-0.001286316430196166,0.2274394989013671,0.6591453456878653,0.8117008209228516,84
N4,COHORT_ATWRITE_TO_W10,5,PS,200,193,193,1,1,192,6,5,4,0.0,0.025638654161593877,-1.5968051552772522,-0.00032983627170324326,0.4872006893157958,1.2801531338691616,14.817645937204361,0.1178286013007164,-1.193603515625,0.05098068714141846,1.2335603952407836,1.9729743099212596,5.884303092956543,0.025638654161593877,-1.5968051552772522,-0.00032983627170324326,0.4872006893157958,1.2801531338691616,14.817645937204361,96
N4,COHORT_ATWRITE_TO_W10,6,PS,200,192,194,1,3,191,5,1,0,1.0,0.0004665987819316797,-1.1359667778015137,7.3016039095819e-05,0.34790556430816544,1.2687068128585792,2.6474082469940186,-0.04711368441581726,-2.308907985687256,-0.057511329650878906,0.9437624454498289,1.5039075279235838,1.6584453582763672,0.0004665987819316797,-1.1359667778015137,7.3016039095819e-05,0.34790556430816544,1.2687068128585792,2.6474082469940186,101
N4,COHORT_ATWRITE_TO_W10,7,PS,200,195,196,0,1,195,4,2,0,0.5,-0.03891424245106464,-1.2686939239501953,-0.000354886899003759,0.19053158462047576,0.8021465826034481,1.7017340660095215,-0.06610958337783814,-3.0983505249023438,-0.025516510009765625,0.7457137346267697,1.346351714134216,1.6357994079589844,-0.03891424245106464,-1.2686939239501953,-0.000354886899003759,0.19053158462047576,0.8021465826034481,1.7017340660095215,94
N4,COHORT_ATWRITE_TO_W10,8,PS,200,193,192,1,0,192,7,6,1,-0.5,0.022806897505797678,-2.5310099124908447,0.0001250339555554092,0.3484596133232111,0.8854999113082871,3.2641260623931885,-0.020444643795490266,-1.884225845336914,-0.028910160064697266,0.44893183708190915,1.3083884477615326,4.452618598937988,0.022806897505797678,-2.5310099124908447,0.0001250339555554092,0.3484596133232111,0.8854999113082871,3.2641260623931885,107
N4,COHORT_ATWRITE_TO_W10,9,PS,200,197,199,0,2,197,1,0,2,1.0,-0.010900986455089879,-1.7213842868804932,0.0001809513196349144,0.16640487909316998,0.4991218781471252,0.9202091693878174,0.024162377379834652,-1.150925636291504,-0.016373634338378906,0.3536706447601303,2.381178094148632,4.6702782437205315,-0.010900986455089879,-1.7213842868804932,0.0001809513196349144,0.16640487909316998,0.4991218781471252,0.9202091693878174,111
N4,COHORT_ATWRITE_TO_W10,10,PS,200,195,195,0,0,195,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
N4,ATWRITE_TO_W10,0,NS,10000,8379,8026,470,117,7909,1504,380,188,-3.53,-0.5789781433976569,-14.947309792041779,-0.21077752113342285,1.0717793703079206,2.8115344524383548,12.255560874938965,0.15301872463150648,-7.620120525360107,0.0,2.398312205076214,6.7685746788978625,18.886823177337646,0.15301872463150648,-7.620120525360107,0.0,2.398312205076214,6.7685746788978625,18.886823177337646,4319
N4,ATWRITE_TO_W5_FIRST500,0,NS,5000,4265,4203,99,37,4166,698,80,62,-1.24,-0.3606109904653393,-11.469088554382324,-0.0740363597869873,0.5962085008621216,1.3745744705200205,10.173365533351898,-0.00825310588721186,-5.62404727935791,0.0,1.005509471893311,3.163571302890779,10.954265832901001,-0.00825310588721186,-5.62404727935791,0.0,1.005509471893311,3.163571302890779,10.954265832901001,1814
N4,W5_TO_W10_FIRST500,0,NS,5000,4203,3981,275,53,3928,744,223,101,-4.44,-0.6106503581371435,-14.195164462551475,-0.38994503021240234,1.2542657136917121,3.0618125534057685,12.899446487426758,0.25159902022553143,-6.574905276298523,-0.0007153914775699377,2.7572394609451294,7.288225126266495,18.6315495967865,0.25159902022553143,-6.574905276298523,-0.0007153914775699377,2.7572394609451294,7.288225126266495,18.6315495967865,2489
N4,W0_TO_W10,0,NS,10000,8820,8026,968,174,7852,1006,662,370,-7.94,-1.7828523665395966,-20.506447076797485,-1.2161064147949219,1.6784435987472501,3.8775626754760784,13.618098258972168,0.07713530171660823,-10.32335078716278,-0.09862565994262695,4.327312469482422,8.995023250579834,19.560129702091217,0.07713530171660823,-10.32335078716278,-0.09862565994262695,4.327312469482422,8.995023250579834,19.560129702091217,4529
N4,COHORT_ATWRITE_TO_W10,1,NS,1000,865,814,69,18,796,117,38,26,-5.1,-1.285288004549453,-14.947309792041779,-0.8822808265686035,1.6296817779541002,4.188508977890011,8.892877578735352,0.049751279678370335,-7.620120525360107,-0.1022471934556961,3.5264469563961014,7.6910664933919906,12.031471252441406,0.049751279678370335,-7.620120525360107,-0.1022471934556961,3.5264469563961014,7.6910664933919906,12.031471252441406,454
N4,COHORT_ATWRITE_TO_W10,2,NS,1000,869,814,70,15,799,116,56,38,-5.5,-1.2604290101191729,-13.634578787256032,-0.8804502487182617,1.4994347095489473,3.1339276504516556,10.382925927639008,0.23213798229309032,-6.087529629468918,-0.018084274604916573,3.6563257932662925,9.490795350074766,18.886823177337646,0.23213798229309032,-6.087529629468918,-0.018084274604916573,3.6563257932662925,9.490795350074766,18.886823177337646,481
