entry,batch_raw,batch_effective,arm,action_over_h,actual_harm,constraint_residual,cumulative_anchor_action,e,eprime,first_order_error,gram,h,kkt,linear_harm_after,node,normalized_actual,physical_anchor_scalar,physical_scalar,progress_leakage,s,s_next,step_action,weight_sha,xi,xi_per_h,first_order_error_fp64_reconstructed_from_recorded_scalars,actual_local_envelope_gap,actual_terminal_budget_excess
Middle,100,100,BF8,0.0,"[0.0027930668879119535,0.003702712901437913]","[-0.028870676098578615,-0.08937814528757988]",0.0,"[-0.028870676098578615,-0.08937814528757988]","[-0.028870676098578615,-0.08937814528757988]","[0.0,0.0]","[[7777355718.321348,82126.35764720621],[82126.35764720621,13487187.915104328]]",0.125,"{""active"":[false,false],""complementarity"":0.0,""dual"":[0.0,0.0],""dual_gradient"":[0.028870676098578615,0.08937814528757988],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[8.205539671331114e-16,2.5402796747920286e-15],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[-0.028870676098578615,-0.08937814528757988]",0,"[0.05961671970638721,0.017733778187876775]",6.090680093572422,0.7613350123129475,0.0,0.0,0.125,0.0,4dc2cd3c72c980d416738f7bc1ae232aacaa9b08faee4acd01eea31d0f82e5de,"[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[-0.028870676098578615,-0.08937814528757988]",
Middle,100,100,BF8,0.0,"[0.006331855273566694,0.018056890762803722]","[-0.01933976689709388,-0.05813438032231526]",0.0,"[-0.01933976689709388,-0.05813438032231526]","[-0.01933976689709388,-0.05813438032231526]","[0.0,0.0]","[[8527808737.7181,407174.8642830611],[407174.8642830611,68657335.62642781]]",0.125,"{""active"":[false,false],""complementarity"":0.0,""dual"":[0.0,0.0],""dual_gradient"":[0.01933976689709388,0.05813438032231526],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[5.496692352009484e-16,1.6522784654374407e-15],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[-0.01933976689709388,-0.05813438032231526]",1,"[0.13515051955946386,0.08648169708916105]",6.090680093572422,1.5226700235234594,0.0,0.125,0.25,0.0,b0735f4248e64eac23f0c0d46a164d54353b3ceaa76aeaffdc9457efe9ff8fdf,"[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[-0.01933976689709388,-0.05813438032231526]",
Middle,100,100,BF8,0.0,"[0.010250060307576832,0.04161725848994172]","[-0.014106619465203724,-0.02252832987347303]",0.0,"[-0.014106619465203724,-0.02252832987347303]","[-0.014106619465203724,-0.02252832987347303]","[0.0,0.0]","[[9031984211.834307,1066322.4504412482],[1066322.4504412482,120943447.8197996]]",0.125,"{""active"":[false,false],""complementarity"":0.0,""dual"":[0.0,0.0],""dual_gradient"":[0.014106619465203724,0.02252832987347303],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[4.009342394853014e-16,6.402936456161407e-16],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[-0.014106619465203724,-0.02252832987347303]",2,"[0.21878279212539795,0.1993217542093395]",6.090680093572422,2.2840050345168734,0.0,0.25,0.375,0.0,b37f06edd3c9a9d779843382a9c261fd1562d47b964bbc8f5561593697109296,"[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[-0.014106619465203724,-0.02252832987347303]",
Middle,100,100,BF8,0.0,"[0.014602604726321133,0.06918164875841182]","[-0.005909795828715092,-0.002084400211292692]",0.0,"[-0.005909795828715092,-0.002084400211292692]","[-0.005909795828715092,-0.002084400211292692]","[0.0,0.0]","[[9568206988.766518,1692243.936458363],[1692243.936458363,184420405.39068645]]",0.125,"{""active"":[false,false],""complementarity"":0.0,""dual"":[0.0,0.0],""dual_gradient"":[0.005909795828715092,0.002084400211292692],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[1.67966499836754e-16,5.92422171420336e-17],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[-0.005909795828715092,-0.002084400211292692]",3,"[0.31168583778638637,0.33133868231502356]",6.090680093572422,3.0453400455812822,0.0,0.375,0.5,0.0,7903cf909622705c47eb3644c3f9cec55c177ba7981ccb5ace832dc920a86b64,"[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[-0.005909795828715092,-0.002084400211292692]",
Middle,100,100,BF8,1.8874474035280543e-12,"[0.019215869472204914,0.09648323894574876]","[-1.1926223897340549e-18,0.0]",2.359309254410068e-13,"[0.005762072994679124,0.01027133501612898]","[0.005762072994679124,0.01027133501612898]","[5.577220511034445e-06,0.00015021694322217907]","[[10060004234.240377,2505063.909166287],[2505063.909166287,292035885.9266298]]",0.125,"{""active"":[true,true],""complementarity"":0.0,""dual"":[4.531263316666596e-12,2.543845119650478e-10],""dual_gradient"":[0.0,0.0],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[3.2753592874309583e-16,5.838577985815038e-16],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[0.0006263199266681712,0.0020156953025819123]",4,"[0.41015383813288603,0.46209695535599504]",6.090680093572422,3.8066750588452796,7.146840492458159e-22,0.5,0.625,2.359309254410068e-13,3c5a0549fb9583a4014fdc948641fa32ac883c641376bb9fa7d26e9ea420372a,"[0.0006263199266681724,0.0020156953025819123]","[0.005010559413345379,0.0161255624206553]","[5.577220511034445e-06,0.00015021694322217907]","[5.577220511033252e-06,0.00015021694322217907]",
Middle,100,100,BF8,8.860042553647394e-12,"[0.023791759821405238,0.12318463949724914]","[-5.637851296924623e-18,-2.168404344971009e-18]",2.332809117221936e-12,"[0.01848092724543393,0.025262928275906704]","[0.019063724606464803,0.026340362936891782]","[3.104086035788517e-05,0.0007533909771297205]","[[10432059554.215677,3601968.6172212814],[3601968.6172212814,427031633.091778]]",0.125,"{""active"":[true,true],""complementarity"":0.0,""dual"":[1.4547757442060782e-11,4.755950476332651e-10],""dual_gradient"":[0.0,0.0],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[1.0836472828523712e-15,1.4972762833674427e-15],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[0.0020108190006933244,0.0037685262205637386]",5,"[0.5078240992841964,0.5899806793417441]",6.090680093572422,4.56801006942387,7.676236084492097e-22,0.625,0.75,1.1075053192059243e-12,af1ca8044e4829fb2c25727d1139ea9d5c02839e0614724ffd8403254b20f44b,"[0.00201081900069333,0.003768526220563741]","[0.01608655200554664,0.030148209764509926]","[3.104086035788517e-05,0.0007533909771297205]","[3.104086035787953e-05,0.0007533909771297183]",
Middle,100,100,BF8,2.0748856888484927e-11,"[0.02833700821731548,0.14946521861765397]","[4.336808689942018e-19,2.6020852139652106e-18]",9.645440410923637e-12,"[0.029808499356276608,0.04188268011500873]","[0.032251253650692424,0.04560350233994777]","[8.948439165920585e-05,0.0016496747771907808]","[[10690508150.676815,4033712.703957026],[4033712.703957026,525114766.9806007]]",0.125,"{""active"":[true,true],""complementarity"":4.7738559814532864e-27,""dual"":[2.4088651980510363e-11,6.879851526141899e-10],""dual_gradient"":[0.0,-6.938893903907228e-18],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[1.833271520052473e-15,2.5922589850294894e-15],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[0.0033295797855038833,0.005451465695211287]",6,"[0.6048403221278466,0.7158489205951283]",6.090680093572422,5.329345081997584,5.293955920339377e-22,0.75,0.875,2.593607111060616e-12,21db1cfc72e4054e032a852a7b7423f8d3a2b5c11fc0b3819307b7dfe9341f0c,"[0.003329579785503883,0.005451465695211284]","[0.026636638284031063,0.043611725561690275]","[8.948439165920585e-05,0.0016496747771907808]","[8.948439165920629e-05,0.0016496747771907834]",
Middle,100,100,BF8,2.772459895225339e-11,"[0.03304747957685814,0.17517693088194536]","[-1.474514954580286e-17,-6.071532165918825e-18]",2.4062533456445203e-11,"[0.040965166408643894,0.04926540452263395]","[0.04638635131044659,0.05693203502100962]","[0.0040857416617406175,0.0019507840848194125]","[[10845425522.449234,2808044.3087809267],[2808044.3087809267,546097958.6005372]]",0.125,"{""active"":[true,true],""complementarity"":5.757480370335863e-27,""dual"":[3.4339705055653654e-11,8.297403664140012e-10],""dual_gradient"":[0.0,6.938893903907228e-18],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[2.6367587969643063e-15,3.2362115132974405e-15],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[0.004746500048486611,0.00657470750095468]",7,"[0.7053831526422844,0.8389926301569429]",6.090680093572422,6.090680093875089,1.3234889800848443e-21,0.875,1.0,3.465574869031674e-12,bac5fc4f11e00a55f7ae000f644a6b6f1298c4932f3120e5a586d5cc5be22067,"[0.004746500048486626,0.006574707500954686]","[0.03797200038789301,0.052597660007637485]","[0.0040857416617406175,0.0019507840848194125]","[0.004085741661740603,0.0019507840848194064]","[-0.0025160137974422625,-0.017902757646710343]"
Middle,100,100,Frozen-BF8,0.0,"[0.0027930668879119535,0.003702712901437913]","[-0.028870676098578615,-0.08937814528757988]",0.0,"[-0.028870676098578615,-0.08937814528757988]","[-0.028870676098578615,-0.08937814528757988]","[0.0,0.0]","[[11057753794.434818,2777216.741975143],[2777216.741975143,633905039.8975701]]",0.125,"{""active"":[false,false],""complementarity"":0.0,""dual"":[0.0,0.0],""dual_gradient"":[0.028870676098578615,0.08937814528757988],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[8.205539671331114e-16,2.5402796747920286e-15],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[-0.028870676098578615,-0.08937814528757988]",0,"[0.05961671970638721,0.017733778187876775]",6.090680093572422,0.7613350123129475,0.0,0.0,0.125,0.0,4dc2cd3c72c980d416738f7bc1ae232aacaa9b08faee4acd01eea31d0f82e5de,"[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[-0.028870676098578615,-0.08937814528757988]",
Middle,100,100,Frozen-BF8,0.0,"[0.006331855273566694,0.018056890762803722]","[-0.01933976689709388,-0.05813438032231526]",0.0,"[-0.01933976689709388,-0.05813438032231526]","[-0.01933976689709388,-0.05813438032231526]","[0.0,0.0]","[[11057753794.434818,2777216.741975143],[2777216.741975143,633905039.8975701]]",0.125,"{""active"":[false,false],""complementarity"":0.0,""dual"":[0.0,0.0],""dual_gradient"":[0.01933976689709388,0.05813438032231526],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[5.496692352009484e-16,1.6522784654374407e-15],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[-0.01933976689709388,-0.05813438032231526]",1,"[0.13515051955946386,0.08648169708916105]",6.090680093572422,1.5226700235234594,0.0,0.125,0.25,0.0,b0735f4248e64eac23f0c0d46a164d54353b3ceaa76aeaffdc9457efe9ff8fdf,"[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[-0.01933976689709388,-0.05813438032231526]",
Middle,100,100,Frozen-BF8,0.0,"[0.010250060307576832,0.04161725848994172]","[-0.014106619465203724,-0.02252832987347303]",0.0,"[-0.014106619465203724,-0.02252832987347303]","[-0.014106619465203724,-0.02252832987347303]","[0.0,0.0]","[[11057753794.434818,2777216.741975143],[2777216.741975143,633905039.8975701]]",0.125,"{""active"":[false,false],""complementarity"":0.0,""dual"":[0.0,0.0],""dual_gradient"":[0.014106619465203724,0.02252832987347303],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[4.009342394853014e-16,6.402936456161407e-16],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[-0.014106619465203724,-0.02252832987347303]",2,"[0.21878279212539795,0.1993217542093395]",6.090680093572422,2.2840050345168734,0.0,0.25,0.375,0.0,b37f06edd3c9a9d779843382a9c261fd1562d47b964bbc8f5561593697109296,"[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[-0.014106619465203724,-0.02252832987347303]",
Middle,100,100,Frozen-BF8,0.0,"[0.014602604726321133,0.06918164875841182]","[-0.005909795828715092,-0.002084400211292692]",0.0,"[-0.005909795828715092,-0.002084400211292692]","[-0.005909795828715092,-0.002084400211292692]","[0.0,0.0]","[[11057753794.434818,2777216.741975143],[2777216.741975143,633905039.8975701]]",0.125,"{""active"":[false,false],""complementarity"":0.0,""dual"":[0.0,0.0],""dual_gradient"":[0.005909795828715092,0.002084400211292692],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[1.67966499836754e-16,5.92422171420336e-17],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[-0.005909795828715092,-0.002084400211292692]",3,"[0.31168583778638637,0.33133868231502356]",6.090680093572422,3.0453400455812822,0.0,0.375,0.5,0.0,7903cf909622705c47eb3644c3f9cec55c177ba7981ccb5ace832dc920a86b64,"[0.0,0.0]","[0.0,0.0]","[0.0,0.0]","[-0.005909795828715092,-0.002084400211292692]",
Middle,100,100,Frozen-BF8,1.0949371684799473e-12,"[0.019229238965946045,0.09707325991854651]","[-1.1926223897340549e-18,2.168404344971009e-18]",1.368671460599934e-13,"[0.005762072994679124,0.01027133501612898]","[0.005762072994679124,0.01027133501612898]","[0.0003386711408176245,0.003953215786617489]","[[11057753794.434818,2777216.741975143],[2777216.741975143,633905039.8975701]]",0.125,"{""active"":[true,true],""complementarity"":0.0,""dual"":[4.185961610495709e-12,1.3106615540252227e-10],""dual_gradient"":[0.0,0.0],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[3.2753592874309583e-16,5.838577985815038e-16],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[0.0005785916610227216,0.0010385437058708785]",4,"[0.41043920378754717,0.4649228026026793]",6.090680093572422,3.8066750589435783,5.426304818347862e-22,0.5,0.625,1.368671460599934e-13,66e6e2ef7a3ea9a37f2c30881bc236b3fc2e8c6f465d7375f15237873e1c893b,"[0.0005785916610227228,0.0010385437058708764]","[0.004628733288181783,0.00830834964696701]","[0.0003386711408176245,0.003953215786617489]","[0.0003386711408176233,0.003953215786617491]",
Middle,100,100,Frozen-BF8,6.8789969981432945e-12,"[0.02382650891380245,0.12451375587134737]","[-8.673617379884035e-19,3.903127820947816e-18]",1.6823791083153079e-12,"[0.01850970206711422,0.025714310441969146]","[0.019085644437520487,0.026740176143108935]","[0.0006419583021802719,0.005983187467332365]","[[11057753794.434818,2777216.741975143],[2777216.741975143,633905039.8975701]]",0.125,"{""active"":[true,true],""complementarity"":0.0,""dual"":[1.3886088547762643e-11,3.4120308562270845e-10],""dual_gradient"":[0.0,0.0],""dual_nonnegativity"":""EXACT_DOMAIN_NO_CLIP"",""gradient_tolerance"":[1.0848932809904277e-15,1.520003032914527e-15],""repair"":""TECH_R1_DIMENSIONALLY_CORRECT_FEASIBILITY""}","[0.0019193618541110194,0.0027036294450608934]",5,"[0.5085658025747483,0.5963463511050018]",6.090680093572422,4.568010070131411,1.2705494208814505e-21,0.625,0.75,8.598746247679118e-13,391daa83a36ddef0199154b66ea41d459116d3d886277fec7a36f0cd8f005ec0,"[0.0019193618541110203,0.0027036294450608895]","[0.015354894832888162,0.021629035560487116]","[0.0006419583021802719,0.005983187467332365]","[0.000641958302180271,0.005983187467332368]",
