entry,batch_raw,batch_effective,category,component,value
Middle,1,1,seconds,full_endpoint_evaluation,489.6418357472867
Middle,1,1,seconds,full_space_factor_static_inverse,9.242979085072875
Middle,1,1,seconds,functional_gradient,74.10284210927784
Middle,1,1,seconds,functional_harm,134.11907646246254
Middle,1,1,seconds,generation,13.573728380724788
Middle,1,1,seconds,model_load,15.344834262505174
Middle,1,1,seconds,native_joint_write,1.8459745068103075
Middle,1,1,seconds,native_representation_capture,28.72536463662982
Middle,1,1,seconds,teacher_and_key_capture,24.192707939073443
Middle,1,1,seconds,terminal_history_finalize,0.9203056897968054
Middle,7,7,counts,evaluation_candidate_sequences,26910
Middle,7,7,counts,evaluation_materialization,6
Middle,7,7,counts,evaluation_model_forwards,3380
Middle,7,7,counts,evaluation_restore,6
Middle,7,7,counts,full_projector_exact_reuse,1
Middle,7,7,counts,functional_backward,192
Middle,7,7,counts,functional_input_tokens,57268
Middle,7,7,counts,functional_model_forward,2689
Middle,7,7,counts,functional_sequences,5377
Middle,7,7,counts,generation_output_tokens,2016
Middle,7,7,counts,generation_sequences,63
Middle,7,7,counts,native_proposal_build,1
Middle,7,7,counts,native_representation_physical_batches,583
Middle,7,7,counts,native_temporary_restore,1
Middle,7,7,counts,native_z_cache_hits,7
Middle,7,7,counts,terminal_active_ledger_finalize,3
Middle,7,7,counts,terminal_history_append,3
Middle,7,7,seconds,full_endpoint_evaluation,507.05099351890385
Middle,7,7,seconds,full_space_factor_static_inverse,9.292015006765723
Middle,7,7,seconds,functional_gradient,70.44454386644065
Middle,7,7,seconds,functional_harm,134.23144381307065
Middle,7,7,seconds,generation,94.8250081576407
Middle,7,7,seconds,model_load,10.624097680673003
Middle,7,7,seconds,native_joint_write,4.447174308821559
Middle,7,7,seconds,native_representation_capture,30.034929620102048
Middle,7,7,seconds,teacher_and_key_capture,24.13370943069458
Middle,7,7,seconds,terminal_history_finalize,0.6402237247675657
ALL_OBSERVATIONS,mixed,,counts,base_endpoint_observation_reused,2
ALL_OBSERVATIONS,mixed,,counts,base_evaluation_candidate_sequences,145152
ALL_OBSERVATIONS,mixed,,counts,base_evaluation_forwards,18144
ALL_OBSERVATIONS,mixed,,counts,evaluation_materialization,27
ALL_OBSERVATIONS,mixed,,counts,evaluation_restore,27
ALL_OBSERVATIONS,mixed,,counts,native_representation_physical_batches,924
ALL_OBSERVATIONS,mixed,,seconds,base_audit_answer_and_NS,2427.5593117289245
ALL_OBSERVATIONS,mixed,,seconds,current_all_context_entry_readout,62.546337774023414
ALL_OBSERVATIONS,mixed,,seconds,model_load,23.56256739795208
