entry,batch_raw,batch_effective,arm,node,gradient_native_metric_cosine,gram_spectrum,gram_condition,q,dual,active,xi,xi_per_h
Middle,100,100,BF8,0,0.0002535746742570561,"[13487187.046370065,7777355719.190083]",576.647724425478,"[[7777355718.321348,82126.35764720621],[82126.35764720621,13487187.915104328]]","[0.0,0.0]","[false,false]","[0.0,0.0]","[0.0,0.0]"
Middle,100,100,BF8,1,0.000532131247029655,"[68657316.02737327,8527808757.317154]",124.20830365575559,"[[8527808737.7181,407174.8642830611],[407174.8642830611,68657335.62642781]]","[0.0,0.0]","[false,false]","[0.0,0.0]","[0.0,0.0]"
Middle,100,100,BF8,2,0.0010202481019763842,"[120943320.2203887,9031984339.433718]",74.67948062757996,"[[9031984211.834307,1066322.4504412482],[1066322.4504412482,120943447.8197996]]","[0.0,0.0]","[false,false]","[0.0,0.0]","[0.0,0.0]"
Middle,100,100,BF8,3,0.0012739230613340524,"[184420100.21649885,9568207293.940704]",51.88267050450664,"[[9568206988.766518,1692243.936458363],[1692243.936458363,184420405.39068645]]","[0.0,0.0]","[false,false]","[0.0,0.0]","[0.0,0.0]"
Middle,100,100,BF8,4,0.0014615094151980807,"[292035243.4854842,10060004876.681522]",34.447913740183765,"[[10060004234.240377,2505063.909166287],[2505063.909166287,292035885.9266298]]","[4.531263316666596e-12,2.543845119650478e-10]","[true,true]","[0.0006263199266681724,0.0020156953025819123]","[0.005010559413345379,0.0161255624206553]"
Middle,100,100,BF8,5,0.0017065730072118052,"[427030336.32615775,10432060850.981297]",24.429320269680993,"[[10432059554.215677,3601968.6172212814],[3601968.6172212814,427031633.091778]]","[1.4547757442060782e-11,4.755950476332651e-10]","[true,true]","[0.00201081900069333,0.003768526220563741]","[0.01608655200554664,0.030148209764509926]"
Middle,100,100,BF8,6,0.0017024668833452831,"[525113166.3700781,10690509751.287338]",20.35848734318939,"[[10690508150.676815,4033712.703957026],[4033712.703957026,525114766.9806007]]","[2.4088651980510363e-11,6.879851526141899e-10]","[true,true]","[0.003329579785503883,0.005451465695211284]","[0.026636638284031063,0.043611725561690275]"
Middle,100,100,BF8,7,0.00115383944510489,"[546097193.0056763,10845426288.044094]",19.859882868746705,"[[10845425522.449234,2808044.3087809267],[2808044.3087809267,546097958.6005372]]","[3.4339705055653654e-11,8.297403664140012e-10]","[true,true]","[0.004746500048486626,0.006574707500954686]","[0.03797200038789301,0.052597660007637485]"
Middle,100,100,Frozen-BF8,0,0.0010489727693744405,"[633904299.966239,11057754534.36615]",17.443886301063227,"[[11057753794.434818,2777216.741975143],[2777216.741975143,633905039.8975701]]","[0.0,0.0]","[false,false]","[0.0,0.0]","[0.0,0.0]"
Middle,100,100,Frozen-BF8,1,0.0010489727693744405,"[633904299.966239,11057754534.36615]",17.443886301063227,"[[11057753794.434818,2777216.741975143],[2777216.741975143,633905039.8975701]]","[0.0,0.0]","[false,false]","[0.0,0.0]","[0.0,0.0]"
Middle,100,100,Frozen-BF8,2,0.0010489727693744405,"[633904299.966239,11057754534.36615]",17.443886301063227,"[[11057753794.434818,2777216.741975143],[2777216.741975143,633905039.8975701]]","[0.0,0.0]","[false,false]","[0.0,0.0]","[0.0,0.0]"
Middle,100,100,Frozen-BF8,3,0.0010489727693744405,"[633904299.966239,11057754534.36615]",17.443886301063227,"[[11057753794.434818,2777216.741975143],[2777216.741975143,633905039.8975701]]","[0.0,0.0]","[false,false]","[0.0,0.0]","[0.0,0.0]"
Middle,100,100,Frozen-BF8,4,0.0010489727693744405,"[633904299.966239,11057754534.36615]",17.443886301063227,"[[11057753794.434818,2777216.741975143],[2777216.741975143,633905039.8975701]]","[4.185961610495709e-12,1.3106615540252227e-10]","[true,true]","[0.0005785916610227228,0.0010385437058708764]","[0.004628733288181783,0.00830834964696701]"
Middle,100,100,Frozen-BF8,5,0.0010489727693744405,"[633904299.966239,11057754534.36615]",17.443886301063227,"[[11057753794.434818,2777216.741975143],[2777216.741975143,633905039.8975701]]","[1.3886088547762643e-11,3.4120308562270845e-10]","[true,true]","[0.0019193618541110203,0.0027036294450608895]","[0.015354894832888162,0.021629035560487116]"
Middle,100,100,Frozen-BF8,6,0.0010489727693744405,"[633904299.966239,11057754534.36615]",17.443886301063227,"[[11057753794.434818,2777216.741975143],[2777216.741975143,633905039.8975701]]","[2.3492619569687997e-11,5.782215576925049e-10]","[true,true]","[0.003247195039849168,0.0045817194949845045]","[0.025977560318793343,0.036653755959876036]"
Middle,100,100,Frozen-BF8,7,0.0010489727693744405,"[633904299.966239,11057754534.36615]",17.443886301063227,"[[11057753794.434818,2777216.741975143],[2777216.741975143,633905039.8975701]]","[3.38191098540836e-11,7.113844122870133e-10]","[true,true]","[0.004674542378917552,0.005636877053167248]","[0.03739633903134042,0.04509501642533798]"
Late,100,100,BF1,0,-0.005946831937057404,"[793701285.2090738,10514324696.4878]",13.247206338740092,"[[10514294334.346615,-17179581.442968477],[-17179581.442968477,793731647.3502584]]","[1.2800266867861821e-11,1.9279586776828387e-10]","[true,true]","[0.013458577340688553,0.015302818172606182]","[0.013458577340688553,0.015302818172606182]"
Late,100,100,BF8,0,0.001094159289557589,"[12945019.534902832,5843762995.601168]",451.4294458841875,"[[5843762980.069165,300938.9933950356],[300938.9933950356,12945035.066905092]]","[0.0,0.0]","[false,false]","[0.0,0.0]","[0.0,0.0]"
Late,100,100,BF8,1,0.0013298020713778265,"[53742682.829284064,8486796790.575962]",157.9153913386616,"[[8486796694.932995,898088.1418883429],[898088.1418883429,53742778.47225154]]","[0.0,0.0]","[false,false]","[0.0,0.0]","[0.0,0.0]"
Late,100,100,BF8,2,0.0008800124497462854,"[129409782.55110145,8967143337.162498]",69.29262348170275,"[[8967143235.47717,947980.9149990841],[947980.9149990841,129409884.23642835]]","[0.0,0.0]","[false,false]","[0.0,0.0]","[0.0,0.0]"
Late,100,100,BF8,3,-0.0002236725151504469,"[237681358.37149885,9813531140.261095]",41.28860255385459,"[[9813531128.074894,-341603.9195033049],[-341603.9195033049,237681370.55770063]]","[0.0,0.0]","[false,false]","[0.0,0.0]","[0.0,0.0]"
Late,100,100,BF8,4,-0.0020634541877331495,"[370289437.75907475,10129945701.712399]",27.356831356079216,"[[10129944065.251984,-3996409.444901258],[-3996409.444901258,370291074.2194887]]","[7.301421797326286e-12,6.735924614326628e-11]","[true,true]","[0.0009596162229537923,0.0006683145675696627]","[0.0076769297836303384,0.005346516540557302]"
Late,100,100,BF8,5,-0.00427607873640269,"[523616072.00600505,9984484779.24907]",19.06833138447775,"[[9984474674.92181,-9777300.82790417],[-9777300.82790417,523626176.33326447]]","[1.7388904961277164e-11,4.943115141386062e-10]","[true,true]","[0.002285400811435625,0.004904383655268574]","[0.018283206491485,0.03923506924214859]"
Late,100,100,BF8,6,-0.005772427888114813,"[583599712.7461879,9804917476.161747]",16.80075788595527,"[[9804896798.639256,-13808460.37376987],[-13808460.37376987,583620390.2686794]]","[2.64858676415922e-11,6.923990240698581e-10]","[true,true]","[0.003481002601053124,0.006869737724984361]","[0.02784802080842499,0.054957901799874885]"
Late,100,100,BF8,7,-0.007034361212581531,"[599659620.3262097,8195554062.1590395]",13.667010057640248,"[[8195522045.43771,-15594698.154260693],[-15594698.154260693,599691637.0475392]]","[4.2770247673141965e-11,7.968775459778049e-10]","[true,true]","[0.00562123715985403,0.007906336591318425]","[0.04496989727883224,0.0632506927305474]"
Middle,1,1,BF1,0,0.0004217262850578866,"[4839947769.470095,110469812899.51666]",22.82458781814737,"[[110469811999.27524,9751532.11978158],[9751532.11978158,4839948669.711513]]","[2.693098865718157e-13,5.772399003807036e-12]","[true,true]","[0.0029750612539134647,0.0027938114879520496]","[0.0029750612539134647,0.0027938114879520496]"
Middle,7,7,BF1,0,-0.0008563715498204744,"[3296881502.7939744,40972630096.95665]",12.427692673283524,"[[40972627467.53581,-9953159.884166133],[-9953159.884166133,3296884132.214816]]","[2.587191252873662e-12,3.6528675951793594e-11]","[true,true]","[0.010600402339126007,0.012043081211628894]","[0.010600402339126007,0.012043081211628894]"
