entry,batch_raw,batch_effective,arm,bank,controller_value,raw_value,negative_kl_tokens,per_context_raw_mean,per_context_raw_median,per_context_raw_p90,per_context_raw_max,per_context_harm_mean,per_context_harm_median,per_context_harm_p90,per_context_harm_max,metric,numerator,denominator,NS_true_nll_mean,NS_true_nll_median,NS_true_nll_p90,NS_true_nll_max,NS_new_nll_mean,NS_new_nll_median,NS_new_nll_p90,NS_new_nll_max,rewrite_target_true_nll_mean,rewrite_target_true_nll_median,rewrite_target_true_nll_p90,rewrite_target_true_nll_max
Middle,100,100,OS,BaseAudit,0.13350771166616254,0.13350771166616243,0,0.13350771166616254,0.03615030693746893,0.27307014354549153,3.8332218409889967,0.13350771166616254,0.03615030693746893,0.27307014354549153,3.8332218409889967,,,,,,,,,,,,,,,
Middle,100,100,OS,BaseAuditW0,2.1790742291097924,2.179074229109794,0,2.1790742291097933,1.581639942232529,5.224107227561417,9.032979346359598,2.1790742291097933,1.581639942232529,5.224107227561417,9.032979346359598,,,,,,,,,,,,,,,
Middle,100,100,OS,BaseW0,2.1607531377013047,2.160753137701303,0,2.1607531377013043,1.3879521258106782,5.6100344882165505,9.689344112803784,2.1607531377013043,1.3879521258106782,5.6100344882165505,9.689344112803784,,,,,,,,,,,,,,,
Middle,100,100,OS,Past,0.036850395353314115,-0.012743167097625796,0,-0.012743167097625796,-0.00022117065600468777,0.05783747136592865,1.9209888651967049,0.036850395353314136,0.0,0.05283747136592865,1.915988865196705,,,,,,,,,,,,,,,
Middle,100,100,BF1,Base,0.18279418874416872,0.18279418874416864,0,0.1827941887441687,0.04536821921382367,0.2118552471559368,7.947371240889472,0.1827941887441687,0.04536821921382367,0.2118552471559368,7.947371240889472,,,,,,,,,,,,,,,
Middle,100,100,BF1,BaseAudit,0.13349622137572728,0.13349622137572725,0,0.13349622137572728,0.035983674812891074,0.2723168489734969,3.836562893661561,0.13349622137572728,0.035983674812891074,0.2723168489734969,3.836562893661561,,,,,,,,,,,,,,,
Middle,100,100,BF1,BaseAuditW0,2.178726552636181,2.178726552636179,0,2.1787265526361805,1.5805697243291323,5.222161390815475,9.028555248959961,2.1787265526361805,1.5805697243291323,5.222161390815475,9.028555248959961,,,,,,,,,,,,,,,
Middle,100,100,BF1,BaseW0,2.149698760716497,2.149698760716496,0,2.1496987607164963,1.3847050960447362,5.553687425537228,9.607542104114573,2.1496987607164963,1.3847050960447362,5.553687425537228,9.607542104114573,,,,,,,,,,,,,,,
Middle,100,100,BF1,Past,0.03384419165709388,-0.01578985663954391,0,-0.01578985663954391,-0.0002387399727012962,0.045620113611221313,1.8958547785878181,0.0338441916570939,0.0,0.040620113611221316,1.8908547785878183,,,,,,,,,,,,,,,
Middle,100,100,BF8,Base,0.17517693088194536,0.17517693088194541,0,0.17517693088194536,0.04398714517694491,0.20892322382366502,7.648023680453097,0.17517693088194536,0.04398714517694491,0.20892322382366502,7.648023680453097,,,,,,,,,,,,,,,
Middle,100,100,BF8,BaseAudit,0.1335130610005682,0.13351306100056817,0,0.13351306100056815,0.03591621942559432,0.2719583062381527,3.8383330104734408,0.13351306100056815,0.03591621942559432,0.2719583062381527,3.8383330104734408,,,,,,,,,,,,,,,
Middle,100,100,BF8,BaseAuditW0,2.178565567849254,2.178565567849255,0,2.1785655678492555,1.5799749242733867,5.220451058300103,9.026703573947664,2.1785655678492555,1.5799749242733867,5.220451058300103,9.026703573947664,,,,,,,,,,,,,,,
Middle,100,100,BF8,BaseW0,2.144294202467856,2.144294202467856,0,2.144294202467856,1.3831623951087657,5.546065316667427,9.581803087829021,2.144294202467856,1.3831623951087657,5.546065316667427,9.581803087829021,,,,,,,,,,,,,,,
Middle,100,100,BF8,Past,0.03304747957685814,-0.01671448688208066,0,-0.01671448688208066,-0.0002363678941037506,0.04294364154338837,1.8863145783543587,0.03304747957685815,0.0,0.03794364154338837,1.8813145783543588,,,,,,,,,,,,,,,
Middle,100,100,Frozen-BF8,Base,0.17685345707817976,0.1768534570781798,0,0.17685345707817973,0.04416405569841575,0.20974647064591703,7.763902338503497,0.17685345707817973,0.04416405569841575,0.20974647064591703,7.763902338503497,,,,,,,,,,,,,,,
Middle,100,100,Frozen-BF8,BaseAudit,0.13350183808810753,0.1335018380881075,0,0.13350183808810753,0.035916699245713335,0.27200781537371876,3.8380712654619584,0.13350183808810753,0.035916699245713335,0.27200781537371876,3.8380712654619584,,,,,,,,,,,,,,,
