entry,batch_raw,arm,reference,node_completed,panel,metric,numerator,denominator,rate,strict_new_numerator,strict_true_numerator,ties,new_token_correct,new_token_count,true_token_correct,true_token_count,reference_success,loss,recovery,reference_failure,new_nll_lower,new_nll_equal,new_nll_higher,delta_pp,paired_ci_low,paired_ci_high,paired_requests,new_nll_mean,new_nll_median,new_nll_p90,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_max,paired_new_nll_delta_mean,paired_new_nll_delta_median,paired_new_nll_delta_p90,paired_new_nll_delta_max,paired_true_nll_delta_mean,paired_true_nll_delta_median,paired_true_nll_delta_p90,paired_true_nll_delta_max,paired_margin_delta_mean,paired_margin_delta_median,paired_margin_delta_p90,paired_margin_delta_max,margin_mean,margin_median,margin_p90,margin_max
Middle,100,BF8,OS,2,Current100,RS,92,100,92.0,49,3,0,50,101,6,103,100,8,0,0,0,0,100,-8.0,-14.000000000000002,-3.0,100,2.1710893012577435,1.5567209720611572,5.881114959716797,11.863470077514648,7.208438736200333,7.243640899658203,11.76435604095459,16.83559799194336,2.166022557458782,1.5527332401834428,5.880154263728764,11.66102534532547,-7.06304682135582,-6.717430591583252,-3.3247300148010255,0.7980055809020996,-9.229069378814602,-8.89200197532773,-4.121477187937126,-1.760793790090247,5.037349434942589,4.476773796603084,10.172009944915773,16.79220351204276
Middle,100,BF8,OS,2,Current100,PS,151,200,75.5,54,4,0,55,202,9,206,197,46,0,3,5,0,195,-23.0,-30.0,-16.0,100,4.184356047981419,3.6551238298416138,8.865519618988037,13.239636421203613,7.2072125771641735,7.0971221923828125,11.216350936889647,16.391618728637695,3.0946086139738327,2.59290511906147,6.64865236878395,12.193849790841341,-3.314341808259487,-3.035405397415161,0.17127618789672794,7.863241672515869,-6.40895042223332,-6.085571516305208,-1.7849887196905914,2.9875274896621704,3.0228565291827545,2.5735011100769043,8.94180475026369,12.136569261550903
Middle,100,BF8,N,4,Current100,RS,99,100,99.0,95,0,0,96,101,3,103,100,1,0,0,0,0,100,-1.0,-3.0,0.0,100,0.3424216454143607,0.0936884731054306,0.6800984442234048,7.135345458984375,9.806860885620118,9.936893939971924,14.411231899261479,19.174551010131836,0.31575257356860675,0.0891263029188849,0.6730901310220369,5.054126977920532,-4.447220549583435,-3.9833364486694336,-1.8316507339477532,0.28378772735595703,-4.762973123152042,-4.318122867960483,-2.0989809831313315,0.2836740280035883,9.464439240205756,9.69838553480804,14.303817784041167,19.141993816941977
Middle,100,BF8,N,4,Current100,PS,188,200,94.0,111,1,0,112,202,7,206,197,9,0,3,21,0,179,-4.5,-8.0,-1.5,100,2.238799381784629,1.1240419745445251,6.630710411071777,11.003510475158691,8.5872019302845,8.517096042633057,12.82424612045288,16.066083908081055,1.044379033225996,0.5384430922567844,2.9228080838918684,7.802084577269852,-1.9867224550247193,-1.438061237335205,0.03188471794128395,4.958272457122803,-3.031101488250715,-2.765894891694188,-0.24109397795982676,2.2397302091121674,6.348402548499871,6.287864187033847,12.304928801953793,15.111123859882355
Middle,100,BF8,OS,4,Current100,RS,99,100,99.0,95,0,0,96,101,3,103,100,1,0,0,0,0,100,-1.0,-3.0,0.0,100,0.3424216454143607,0.0936884731054306,0.6800984442234048,7.135345458984375,9.806860885620118,9.936893939971924,14.411231899261479,19.174551010131836,0.33735490161539927,0.0878306794911623,0.6742538972757766,6.9329007267951965,-4.464624671936035,-3.9836151599884033,-2.0056325435638405,0.23138713836669922,-4.801979573551434,-4.418454652070068,-2.1989463576523116,0.23128130541590508,9.464439240205756,9.69838553480804,14.303817784041167,19.141993816941977
Middle,100,BF8,OS,4,Current100,PS,188,200,94.0,111,1,0,112,202,7,206,197,9,0,3,17,0,183,-4.5,-8.0,-1.5,100,2.238799381784629,1.1240419745445251,6.630710411071777,11.003510475158691,8.5872019302845,8.517096042633057,12.82424612045288,16.066083908081055,1.1490519477770431,0.5710563734173775,3.026763880252838,7.800775920972228,-1.9343524551391602,-1.4692728519439697,0.20972795486450194,5.007222652435303,-3.0834044029162033,-2.8142154924571514,-0.4488793574273587,2.1391893327236176,6.348402548499871,6.287864187033847,12.304928801953793,15.111123859882355
Middle,100,Frozen-BF8,N,2,Current100,RS,92,100,92.0,49,3,0,50,101,6,103,100,8,0,0,0,0,100,-8.0,-14.000000000000002,-3.0,100,2.1710893012577435,1.5567209720611572,5.881114959716797,11.863470077514648,7.208438736200333,7.243640899658203,11.76435604095459,16.83559799194336,2.1444202294119896,1.5526290605776012,5.8798627407988535,9.782251596450806,-7.04564269900322,-6.775879859924316,-2.959875297546385,1.6253061294555664,-9.190062928415209,-8.713618945359485,-4.19400270312617,-1.7084010675025638,5.037349434942589,4.476773796603084,10.172009944915773,16.79220351204276
Middle,100,Frozen-BF8,N,2,Current100,PS,151,200,75.5,54,4,0,55,202,9,206,197,46,0,3,6,0,194,-23.0,-30.0,-16.0,100,4.184356047981419,3.6551238298416138,8.865519618988037,13.239636421203613,7.2072125771641735,7.0971221923828125,11.216350936889647,16.391618728637695,2.9899356994227855,2.5143397748470306,6.7175181761384,12.206097643822432,-3.3667118081450464,-3.0117459297180176,-0.12395057678222812,7.814291477203369,-6.356647507567832,-5.856963813304901,-1.4574439527466896,2.8204823434352875,3.0228565291827545,2.5735011100769043,8.94180475026369,12.136569261550903
Middle,100,Frozen-BF8,OS,2,Current100,RS,92,100,92.0,49,3,0,50,101,6,103,100,8,0,0,0,0,100,-8.0,-14.000000000000002,-3.0,100,2.1710893012577435,1.5567209720611572,5.881114959716797,11.863470077514648,7.208438736200333,7.243640899658203,11.76435604095459,16.83559799194336,2.166022557458782,1.5527332401834428,5.880154263728764,11.66102534532547,-7.06304682135582,-6.717430591583252,-3.3247300148010255,0.7980055809020996,-9.229069378814602,-8.89200197532773,-4.121477187937126,-1.760793790090247,5.037349434942589,4.476773796603084,10.172009944915773,16.79220351204276
Middle,100,Frozen-BF8,OS,2,Current100,PS,151,200,75.5,54,4,0,55,202,9,206,197,46,0,3,5,0,195,-23.0,-30.0,-16.0,100,4.184356047981419,3.6551238298416138,8.865519618988037,13.239636421203613,7.2072125771641735,7.0971221923828125,11.216350936889647,16.391618728637695,3.0946086139738327,2.59290511906147,6.64865236878395,12.193849790841341,-3.314341808259487,-3.035405397415161,0.17127618789672794,7.863241672515869,-6.40895042223332,-6.085571516305208,-1.7849887196905914,2.9875274896621704,3.0228565291827545,2.5735011100769043,8.94180475026369,12.136569261550903
Middle,100,Frozen-BF8,N,4,Current100,RS,99,100,99.0,95,0,0,96,101,3,103,100,1,0,0,0,0,100,-1.0,-3.0,0.0,100,0.3424216454143607,0.0936884731054306,0.6800984442234048,7.135345458984375,9.806860885620118,9.936893939971924,14.411231899261479,19.174551010131836,0.31575257356860675,0.0891263029188849,0.6730901310220369,5.054126977920532,-4.447220549583435,-3.9833364486694336,-1.8316507339477532,0.28378772735595703,-4.762973123152042,-4.318122867960483,-2.0989809831313315,0.2836740280035883,9.464439240205756,9.69838553480804,14.303817784041167,19.141993816941977
Middle,100,Frozen-BF8,N,4,Current100,PS,188,200,94.0,111,1,0,112,202,7,206,197,9,0,3,21,0,179,-4.5,-8.0,-1.5,100,2.238799381784629,1.1240419745445251,6.630710411071777,11.003510475158691,8.5872019302845,8.517096042633057,12.82424612045288,16.066083908081055,1.044379033225996,0.5384430922567844,2.9228080838918684,7.802084577269852,-1.9867224550247193,-1.438061237335205,0.03188471794128395,4.958272457122803,-3.031101488250715,-2.765894891694188,-0.24109397795982676,2.2397302091121674,6.348402548499871,6.287864187033847,12.304928801953793,15.111123859882355
Middle,100,Frozen-BF8,OS,4,Current100,RS,99,100,99.0,95,0,0,96,101,3,103,100,1,0,0,0,0,100,-1.0,-3.0,0.0,100,0.3424216454143607,0.0936884731054306,0.6800984442234048,7.135345458984375,9.806860885620118,9.936893939971924,14.411231899261479,19.174551010131836,0.33735490161539927,0.0878306794911623,0.6742538972757766,6.9329007267951965,-4.464624671936035,-3.9836151599884033,-2.0056325435638405,0.23138713836669922,-4.801979573551434,-4.418454652070068,-2.1989463576523116,0.23128130541590508,9.464439240205756,9.69838553480804,14.303817784041167,19.141993816941977
Middle,100,Frozen-BF8,OS,4,Current100,PS,188,200,94.0,111,1,0,112,202,7,206,197,9,0,3,17,0,183,-4.5,-8.0,-1.5,100,2.238799381784629,1.1240419745445251,6.630710411071777,11.003510475158691,8.5872019302845,8.517096042633057,12.82424612045288,16.066083908081055,1.1490519477770431,0.5710563734173775,3.026763880252838,7.800775920972228,-1.9343524551391602,-1.4692728519439697,0.20972795486450194,5.007222652435303,-3.0834044029162033,-2.8142154924571514,-0.4488793574273587,2.1391893327236176,6.348402548499871,6.287864187033847,12.304928801953793,15.111123859882355
Late,100,BF8,N,2,Current100,RS,88,100,88.0,55,3,0,56,102,3,100,100,12,0,0,1,0,99,-12.0,-19.0,-6.0,100,2.1583956919494085,1.0650081038475037,5.188999414443975,10.425081253051758,6.475472285747528,6.268811225891113,10.76748046875,15.023825645446777,2.142169740542304,1.0559040684602223,5.078018428757792,10.423682357301004,-6.786542227268219,-6.437798261642456,-1.9456456184387203,0.16379165649414062,-8.928711967810523,-8.296415983815677,-4.091795769752935,0.15505608171224594,4.317076593798119,3.906493201851845,9.896387368440628,13.54372625052929
Late,100,BF8,N,2,Current100,PS,141,200,70.5,57,8,0,61,204,8,200,193,52,0,7,15,0,185,-26.0,-33.5,-18.5,100,4.225047690526116,3.7532670497894287,8.935268020629882,12.851521492004395,6.675465101078153,6.470104217529297,11.113904190063476,15.84924602508545,2.837737483466626,2.1536604166030884,6.482490742206573,10.39411349594593,-3.471521935984492,-2.930067300796509,0.0929845333099362,2.9351892471313477,-6.309259419451118,-5.658554294146597,-1.1231519931927327,3.0131624937057495,2.450417410552036,2.5375321805477142,8.588569262390955,14.841074049472809
Late,100,BF8,OS,2,Current100,RS,88,100,88.0,55,3,0,56,102,3,100,100,12,0,0,1,0,99,-12.0,-19.0,-6.0,100,2.1583956919494085,1.0650081038475037,5.188999414443975,10.425081253051758,6.475472285747528,6.268811225891113,10.76748046875,15.023825645446777,2.1526974405004875,1.0623541051172651,5.18171246205457,10.42318202718161,-6.8054713129997255,-6.29750919342041,-3.1657446384429933,0.039417266845703125,-8.958168753500212,-8.548145548644243,-4.372320104530079,0.040590181946754456,4.317076593798119,3.906493201851845,9.896387368440628,13.54372625052929
Late,100,BF8,OS,2,Current100,PS,141,200,70.5,57,8,0,61,204,8,200,193,52,0,7,17,0,183,-26.0,-33.5,-18.5,100,4.225047690526116,3.7532670497894287,8.935268020629882,12.851521492004395,6.675465101078153,6.470104217529297,11.113904190063476,15.84924602508545,2.8853755524472215,2.260160207748413,6.4908782005310055,10.480944156646729,-3.3988533311337235,-3.0575029850006104,0.04051923751831029,3.0861263275146484,-6.284228883580945,-5.731243383139372,-1.209014540910721,3.229225516319275,2.450417410552036,2.5375321805477142,8.588569262390955,14.841074049472809
Late,100,BF8,N,4,Current100,RS,98,100,98.0,89,0,0,91,102,0,100,100,2,0,0,1,0,99,-2.0,-5.0,0.0,100,0.4504398250213126,0.13510038703680038,1.4012554407119755,4.479339122772217,8.546195603609085,8.430924892425537,13.566892242431644,15.369245529174805,0.4342138736142078,0.13101524335797876,0.893061187164862,4.478028322453611,-4.715818909406662,-4.36850517988205,-1.4578563690185544,0.2457752227783203,-5.15003278302087,-4.715472487601801,-1.787757152505216,0.24315448076231405,8.095755778587773,7.940598356537521,13.276496462337676,15.361264117236715
Late,100,BF8,N,4,Current100,PS,175,200,87.5,93,6,0,97,204,6,200,193,18,0,7,15,0,185,-9.0,-13.5,-5.0,100,2.474940434230957,1.4677183032035828,6.752279043197632,11.347064971923828,7.809273711442947,7.991728782653809,12.041982460021972,16.700754165649414,1.0876302271714666,0.6150528490543365,2.8553131466731427,7.6303195506334305,-2.3377133256196974,-1.9355700016021729,0.09329934120178217,2.2263474464416504,-3.425343552791164,-2.8935258369892836,-0.09390962682664404,1.6008604168891907,5.33433327721199,5.697739191353321,10.595567584782838,13.852930083870888
Late,100,BF8,OS,4,Current100,RS,98,100,98.0,89,0,0,91,102,0,100,100,2,0,0,1,0,99,-2.0,-5.0,0.0,100,0.4504398250213126,0.13510038703680038,1.4012554407119755,4.479339122772217,8.546195603609085,8.430924892425537,13.566892242431644,15.369245529174805,0.44474157357239164,0.13171102397609502,1.3648671761620796,4.476770246401429,-4.734747995138168,-4.426416397094727,-1.9793331623077388,0.07218647003173828,-5.17948956871056,-4.947582621825859,-2.0907520523760463,0.0696296954411082,8.095755778587773,7.940598356537521,13.276496462337676,15.361264117236715
Late,100,BF8,OS,4,Current100,PS,175,200,87.5,93,6,0,97,204,6,200,193,18,0,7,16,0,184,-9.0,-13.5,-5.0,100,2.474940434230957,1.4677183032035828,6.752279043197632,11.347064971923828,7.809273711442947,7.991728782653809,12.041982460021972,16.700754165649414,1.1352682961520622,0.6257396936416626,2.9462775535881516,7.555339381098747,-2.2650447207689286,-1.9159941673278809,0.07103023529052725,2.4270405769348145,-3.400313016920991,-2.9388887736713514,-0.2581937611103058,1.816923439502716,5.33433327721199,5.697739191353321,10.595567584782838,13.852930083870888
