entry,batch_raw,arm,node,s,correction_frob_sq,cumulative_Z_frob_sq,sum_correction_frob_sq,sum_physical_step_frob_sq,physical_step_frob_sq,sum_action_H_over_h,actual_net_from_entry_sq
Middle,100,BF8,5,0.75,4.482935597873425e-06,9.442724359172032e-06,5.43794039291882e-06,6.835337829191481,1.139226585792771,1.0747489957175448e-11,41.01200378975136
Middle,100,BF8,6,0.875,1.0498284300606916e-05,3.9042561180125254e-05,1.5936224693525736e-05,7.974570461003944,1.1392326318124635,3.1496346845660375e-11,55.8219207153648
Middle,100,BF8,7,1.0,1.4027823964179546e-05,9.73996399129696e-05,2.9964048657705282e-05,9.113806633340715,1.1392361723367705,5.922094579791377e-11,72.91031075311136
Middle,100,Frozen-BF8,0,0.125,0.0,0.0,0.0,1.1392220532699169,1.1392220532699169,0.0,1.1392220532699169
Middle,100,Frozen-BF8,1,0.25,0.0,0.0,0.0,2.278444104269423,1.1392220509995057,0.0,4.556888208499917
Middle,100,Frozen-BF8,2,0.375,0.0,0.0,0.0,3.4176661558962076,1.1392220516267848,0.0,10.252998467588986
Middle,100,Frozen-BF8,3,0.5,0.0,0.0,0.0,4.556888206022584,1.139222050126376,0.0,18.227552823892808
Middle,100,Frozen-BF8,4,0.625,5.540101252847174e-07,5.540101252847174e-07,5.540101252847174e-07,5.696110833965663,1.139222627943079,1.0949371684799473e-12,28.480551953454544
Middle,100,Frozen-BF8,5,0.75,3.48059883691117e-06,6.809929191347973e-06,4.034608962195888e-06,6.8353364093974704,1.1392255754318077,7.973934166623242e-12,41.01200105817911
Middle,100,Frozen-BF8,6,0.875,9.069554501325472e-06,3.159664578866976e-05,1.310416346352136e-05,7.9745676031402635,1.1392311937427932,2.589884957396663e-11,55.82191308882024
Middle,100,Frozen-BF8,7,1.0,1.1962488641238513e-05,8.24153324503587e-05,2.5066652104759873e-05,9.11380170020589,1.1392340970656272,4.95412909996981e-11,72.91029548290221
Late,100,BF1,0,1.0,3.083054259887252e-05,3.083054259887252e-05,3.083054259887252e-05,69.63800030312396,69.63800030312396,7.785285509522686e-12,69.63800030312396
Late,100,BF8,0,0.125,0.0,0.0,0.0,1.0880932606229843,1.0880932606229843,0.0,1.0880932606229843
Late,100,BF8,1,0.25,0.0,0.0,0.0,2.1761865212490186,1.0880932606260343,0.0,4.3523730424397025
Late,100,BF8,2,0.375,0.0,0.0,0.0,3.264279781258814,1.0880932600097952,0.0,9.792839343627582
Late,100,BF8,3,0.5,0.0,0.0,0.0,4.352373042106077,1.088093260847263,0.0,17.409492168128907
Late,100,BF8,4,0.625,1.08350803856141e-07,1.08350803856141e-07,1.08350803856141e-07,5.440466417172036,1.0880933750659594,2.1888531971470175e-13,27.202331651956893
Late,100,BF8,5,0.75,6.228293591604848e-06,7.82126903785988e-06,6.336644395460989e-06,6.528565954053079,1.0880995368810424,1.2801046599379843e-11,39.17136552495981
Late,100,BF8,6,0.875,1.1806553250878316e-05,3.841549894174573e-05,1.8143197646339303e-05,7.616671083599838,1.08810512954676,3.665242672167351e-11,53.31660899732765
Late,100,BF8,7,1.0,1.388364093179458e-05,9.676534055927383e-05,3.202683857813388e-05,8.70477829875205,1.0881072151522109,6.470003820181434e-11,69.63806693933873
Middle,1,BF1,0,1.0,1.378361446715289e-07,1.378361446715289e-07,1.378361446715289e-07,0.5451964030726412,0.5451964030726412,4.232809983778537e-14,0.5451964030726412
Middle,7,BF1,0,1.0,3.931229537784105e-06,3.931229537784105e-06,3.931229537784105e-06,4.484737232186391,4.484737232186391,1.167887378119467e-12,4.484737232186391
