left_cell,right_cell,delta_Tz,outer_K,endpoint,prompt,statistic,left_NLL,right_NLL,right_minus_left
Z15,Z20,0.5,4,accepted_z,rewrite,mean,0.013976559221337084,0.014097105100081535,0.00012054587874445188
Z15,Z20,0.5,4,accepted_z,rewrite,median,0.009657556656748056,0.010598433669656515,0.0009408770129084587
Z15,Z20,0.5,4,accepted_z,rewrite,p90,0.030086374282836927,0.028515196777880197,-0.0015711775049567292
Z15,Z20,0.5,4,accepted_z,rewrite,max,0.07808841019868851,0.08396520465612411,0.005876794457435608
Z15,Z20,0.5,4,accepted_z,rephrase,mean,1.3475644910061966,1.3835147371911445,0.03595024618494791
Z15,Z20,0.5,4,accepted_z,rephrase,median,0.1726297289133072,0.1747167930006981,0.0020870640873908997
Z15,Z20,0.5,4,accepted_z,rephrase,p90,4.369039011001586,4.631282663345335,0.2622436523437486
Z15,Z20,0.5,4,accepted_z,rephrase,max,11.074505805969238,11.157699584960938,0.08319377899169922
Z15,Z20,0.5,4,post_writer_W,rewrite,mean,0.013734236905584112,0.01396736776761827,0.00023313086203415913
Z15,Z20,0.5,4,post_writer_W,rewrite,median,0.009693024214357138,0.010540704242885113,0.0008476800285279751
Z15,Z20,0.5,4,post_writer_W,rewrite,p90,0.02985455039888621,0.028209844045341024,-0.0016447063535451854
Z15,Z20,0.5,4,post_writer_W,rewrite,max,0.07516083866357803,0.08349717408418655,0.00833633542060852
Z15,Z20,0.5,4,post_writer_W,rephrase,mean,2.3464281112200114,2.33968408762943,-0.0067440235905813495
Z15,Z20,0.5,4,post_writer_W,rephrase,median,1.0611990690231323,1.099063754081726,0.03786468505859375
Z15,Z20,0.5,4,post_writer_W,rephrase,p90,6.558746862411498,6.3759017944335925,-0.18284506797790545
Z15,Z20,0.5,4,post_writer_W,rephrase,max,14.38831615447998,14.965232849121094,0.5769166946411133
Z15,Z20,0.5,8,accepted_z,rewrite,mean,0.00602363068406703,0.005007783950350131,-0.0010158467337168988
Z15,Z20,0.5,8,accepted_z,rewrite,median,0.004298787796869874,0.0037220503436401486,-0.0005767374532297254
Z15,Z20,0.5,8,accepted_z,rewrite,p90,0.01129101952537895,0.009429677668958901,-0.0018613418564200485
Z15,Z20,0.5,8,accepted_z,rewrite,max,0.034824125468730927,0.03291933611035347,-0.0019047893583774567
Z15,Z20,0.5,8,accepted_z,rephrase,mean,1.2993071575605426,1.3197753610555083,0.020468203494965698
Z15,Z20,0.5,8,accepted_z,rephrase,median,0.12485925480723381,0.11355981603264809,-0.011299438774585724
Z15,Z20,0.5,8,accepted_z,rephrase,p90,4.337726259231566,4.320386838912962,-0.017339420318603693
Z15,Z20,0.5,8,accepted_z,rephrase,max,11.223796844482422,11.32551383972168,0.10171699523925781
Z15,Z20,0.5,8,post_writer_W,rewrite,mean,0.006008857812121278,0.0049906203887076115,-0.001018237423413666
Z15,Z20,0.5,8,post_writer_W,rewrite,median,0.004311369964852929,0.003718784195370972,-0.000592585769481957
Z15,Z20,0.5,8,post_writer_W,rewrite,p90,0.011318046227097518,0.009293131623417139,-0.002024914603680379
Z15,Z20,0.5,8,post_writer_W,rewrite,max,0.03484288975596428,0.03296109288930893,-0.0018817968666553497
Z15,Z20,0.5,8,post_writer_W,rephrase,mean,2.27382098106551,2.2584368916763924,-0.015384089389117506
Z15,Z20,0.5,8,post_writer_W,rephrase,median,0.8992254137992859,0.9086405634880066,0.009415149688720703
Z15,Z20,0.5,8,post_writer_W,rephrase,p90,6.5871948242187495,6.381512308120727,-0.20568251609802246
Z15,Z20,0.5,8,post_writer_W,rephrase,max,14.452500343322754,15.029726028442383,0.5772256851196289
Z20,Z30,1.0,1,accepted_z,rewrite,mean,2.05911491503939,0.43004106991924346,-1.6290738451201467
Z20,Z30,1.0,1,accepted_z,rewrite,median,1.656151831150055,0.18156421184539795,-1.474587619304657
Z20,Z30,1.0,1,accepted_z,rewrite,p90,4.118507528305059,0.7042813360691073,-3.4142261922359523
Z20,Z30,1.0,1,accepted_z,rewrite,max,9.193536758422852,7.8737688064575195,-1.319767951965332
Z20,Z30,1.0,1,accepted_z,rephrase,mean,3.381674699112773,2.0419994508707897,-1.3396752482419831
Z20,Z30,1.0,1,accepted_z,rephrase,median,2.655419707298279,0.9269932508468628,-1.728426456451416
Z20,Z30,1.0,1,accepted_z,rephrase,p90,7.341911506652831,5.811227273941039,-1.530684232711792
Z20,Z30,1.0,1,accepted_z,rephrase,max,13.965591430664062,11.551070213317871,-2.4145212173461914
Z20,Z30,1.0,1,post_writer_W,rewrite,mean,2.0127532426454127,0.4355854316893965,-1.577167810956016
Z20,Z30,1.0,1,post_writer_W,rewrite,median,1.4954458475112915,0.18852199614048004,-1.3069238513708115
Z20,Z30,1.0,1,post_writer_W,rewrite,p90,4.306747341156008,0.7196667492389685,-3.5870805919170397
Z20,Z30,1.0,1,post_writer_W,rewrite,max,9.829370498657227,7.948474884033203,-1.8808956146240234
Z20,Z30,1.0,1,post_writer_W,rephrase,mean,4.333677750229835,3.2352356336731463,-1.098442116556689
Z20,Z30,1.0,1,post_writer_W,rephrase,median,3.8990296125411987,2.4918829202651978,-1.407146692276001
Z20,Z30,1.0,1,post_writer_W,rephrase,p90,8.808604621887207,7.175230407714844,-1.6333742141723633
Z20,Z30,1.0,1,post_writer_W,rephrase,max,16.801239013671875,16.80845069885254,0.0072116851806640625
Z20,Z30,1.0,4,accepted_z,rewrite,mean,0.014097105100081535,0.00489089932088973,-0.009206205779191805
Z20,Z30,1.0,4,accepted_z,rewrite,median,0.010598433669656515,0.0038254904793575406,-0.0067729431902989745
Z20,Z30,1.0,4,accepted_z,rewrite,p90,0.028515196777880197,0.009417194779962302,-0.019098001997917897
Z20,Z30,1.0,4,accepted_z,rewrite,max,0.08396520465612411,0.026488304138183594,-0.05747690051794052
Z20,Z30,1.0,4,accepted_z,rephrase,mean,1.3835147371911445,1.3073666334350127,-0.07614810375613179
Z20,Z30,1.0,4,accepted_z,rephrase,median,0.1747167930006981,0.13307178765535355,-0.04164500534534454
Z20,Z30,1.0,4,accepted_z,rephrase,p90,4.631282663345335,4.4887084484100335,-0.1425742149353013
Z20,Z30,1.0,4,accepted_z,rephrase,max,11.157699584960938,11.561758041381836,0.40405845642089844
Z20,Z30,1.0,4,post_writer_W,rewrite,mean,0.01396736776761827,0.004862744549172931,-0.00910462321844534
Z20,Z30,1.0,4,post_writer_W,rewrite,median,0.010540704242885113,0.003808983485214412,-0.0067317207576707006
Z20,Z30,1.0,4,post_writer_W,rewrite,p90,0.028209844045341024,0.009502029139548542,-0.018707814905792482
Z20,Z30,1.0,4,post_writer_W,rewrite,max,0.08349717408418655,0.026505252346396446,-0.05699192173779011
Z20,Z30,1.0,4,post_writer_W,rephrase,mean,2.33968408762943,2.3067112515767803,-0.03297283605264978
Z20,Z30,1.0,4,post_writer_W,rephrase,median,1.099063754081726,0.9151696264743805,-0.18389412760734558
Z20,Z30,1.0,4,post_writer_W,rephrase,p90,6.3759017944335925,6.415224123001098,0.03932232856750506
Z20,Z30,1.0,4,post_writer_W,rephrase,max,14.965232849121094,15.187174797058105,0.22194194793701172
Z20,Z30,1.0,8,accepted_z,rewrite,mean,0.005007783950350131,0.002263748010445852,-0.002744035939904279
Z20,Z30,1.0,8,accepted_z,rewrite,median,0.0037220503436401486,0.0018950019148178399,-0.0018270484288223088
Z20,Z30,1.0,8,accepted_z,rewrite,p90,0.009429677668958901,0.005073873838409781,-0.00435580383054912
Z20,Z30,1.0,8,accepted_z,rewrite,max,0.03291933611035347,0.007707854732871056,-0.025211481377482414
Z20,Z30,1.0,8,accepted_z,rephrase,mean,1.3197753610555083,1.2661305052036187,-0.053644855851889606
Z20,Z30,1.0,8,accepted_z,rephrase,median,0.11355981603264809,0.10752428323030472,-0.0060355328023433685
Z20,Z30,1.0,8,accepted_z,rephrase,p90,4.320386838912962,4.439337587356566,0.11895074844360387
Z20,Z30,1.0,8,accepted_z,rephrase,max,11.32551383972168,11.723058700561523,0.39754486083984375
Z20,Z30,1.0,8,post_writer_W,rewrite,mean,0.0049906203887076115,0.0022577775736863257,-0.002732842815021286
Z20,Z30,1.0,8,post_writer_W,rewrite,median,0.003718784195370972,0.001891491876449436,-0.0018272923189215362
Z20,Z30,1.0,8,post_writer_W,rewrite,p90,0.009293131623417139,0.005075961397960783,-0.004217170225456356
Z20,Z30,1.0,8,post_writer_W,rewrite,max,0.03296109288930893,0.007700283546000719,-0.02526080934330821
Z20,Z30,1.0,8,post_writer_W,rephrase,mean,2.2584368916763924,2.2701033930672567,0.011666501390864337
Z20,Z30,1.0,8,post_writer_W,rephrase,median,0.9086405634880066,0.9168432354927063,0.008202672004699707
Z20,Z30,1.0,8,post_writer_W,rephrase,p90,6.381512308120727,6.599241685867309,0.21772937774658185
Z20,Z30,1.0,8,post_writer_W,rephrase,max,15.029726028442383,15.303123474121094,0.27339744567871094
