arm,batch,cohort,metric,numerator,denominator,rate
BASE_MEMIT,12,7,RS,87,100,0.87
BASE_MEMIT,12,8,RS,80,100,0.8
BASE_MEMIT,12,9,RS,96,100,0.96
BASE_MEMIT,12,10,RS,96,100,0.96
BASE_MEMIT,12,11,RS,99,100,0.99
BASE_MEMIT,12,12,RS,99,100,0.99
BASE_MEMIT,13,1,RS,57,100,0.57
BASE_MEMIT,13,2,RS,57,100,0.57
BASE_MEMIT,13,3,RS,57,100,0.57
BASE_MEMIT,13,4,RS,70,100,0.7
BASE_MEMIT,13,5,RS,68,100,0.68
BASE_MEMIT,13,6,RS,69,100,0.69
BASE_MEMIT,13,7,RS,76,100,0.76
BASE_MEMIT,13,8,RS,70,100,0.7
BASE_MEMIT,13,9,RS,87,100,0.87
BASE_MEMIT,13,10,RS,94,100,0.94
BASE_MEMIT,13,11,RS,96,100,0.96
BASE_MEMIT,13,12,RS,99,100,0.99
BASE_MEMIT,13,13,RS,100,100,1.0
BASE_MEMIT,14,1,RS,46,100,0.46
BASE_MEMIT,14,2,RS,52,100,0.52
BASE_MEMIT,14,3,RS,52,100,0.52
BASE_MEMIT,14,4,RS,66,100,0.66
BASE_MEMIT,14,5,RS,62,100,0.62
BASE_MEMIT,14,6,RS,60,100,0.6
BASE_MEMIT,14,7,RS,64,100,0.64
BASE_MEMIT,14,8,RS,60,100,0.6
BASE_MEMIT,14,9,RS,84,100,0.84
BASE_MEMIT,14,10,RS,83,100,0.83
BASE_MEMIT,14,11,RS,90,100,0.9
BASE_MEMIT,14,12,RS,99,100,0.99
BASE_MEMIT,14,13,RS,99,100,0.99
BASE_MEMIT,14,14,RS,100,100,1.0
BASE_MEMIT,15,1,RS,49,100,0.49
BASE_MEMIT,15,2,RS,54,100,0.54
BASE_MEMIT,15,3,RS,45,100,0.45
BASE_MEMIT,15,4,RS,57,100,0.57
BASE_MEMIT,15,5,RS,54,100,0.54
BASE_MEMIT,15,6,RS,59,100,0.59
BASE_MEMIT,15,7,RS,63,100,0.63
BASE_MEMIT,15,8,RS,56,100,0.56
BASE_MEMIT,15,9,RS,72,100,0.72
BASE_MEMIT,15,10,RS,69,100,0.69
BASE_MEMIT,15,11,RS,87,100,0.87
BASE_MEMIT,15,12,RS,92,100,0.92
BASE_MEMIT,15,13,RS,97,100,0.97
BASE_MEMIT,15,14,RS,98,100,0.98
BASE_MEMIT,15,15,RS,99,100,0.99
BASE_MEMIT,16,1,RS,48,100,0.48
BASE_MEMIT,16,2,RS,47,100,0.47
BASE_MEMIT,16,3,RS,39,100,0.39
BASE_MEMIT,16,4,RS,58,100,0.58
BASE_MEMIT,16,5,RS,44,100,0.44
BASE_MEMIT,16,6,RS,52,100,0.52
BASE_MEMIT,16,7,RS,54,100,0.54
BASE_MEMIT,16,8,RS,45,100,0.45
BASE_MEMIT,16,9,RS,67,100,0.67
BASE_MEMIT,16,10,RS,65,100,0.65
BASE_MEMIT,16,11,RS,74,100,0.74
BASE_MEMIT,16,12,RS,74,100,0.74
BASE_MEMIT,16,13,RS,91,100,0.91
BASE_MEMIT,16,14,RS,98,100,0.98
BASE_MEMIT,16,15,RS,97,100,0.97
BASE_MEMIT,16,16,RS,100,100,1.0
BASE_MEMIT,17,1,RS,48,100,0.48
BASE_MEMIT,17,2,RS,51,100,0.51
BASE_MEMIT,17,3,RS,46,100,0.46
BASE_MEMIT,17,4,RS,60,100,0.6
BASE_MEMIT,17,5,RS,43,100,0.43
BASE_MEMIT,17,6,RS,54,100,0.54
BASE_MEMIT,17,7,RS,49,100,0.49
BASE_MEMIT,17,8,RS,47,100,0.47
BASE_MEMIT,17,9,RS,59,100,0.59
BASE_MEMIT,17,10,RS,61,100,0.61
BASE_MEMIT,17,11,RS,60,100,0.6
BASE_MEMIT,17,12,RS,63,100,0.63
BASE_MEMIT,17,13,RS,72,100,0.72
BASE_MEMIT,17,14,RS,80,100,0.8
BASE_MEMIT,17,15,RS,86,100,0.86
BASE_MEMIT,17,16,RS,94,100,0.94
BASE_MEMIT,17,17,RS,100,100,1.0
BASE_MEMIT,18,1,RS,50,100,0.5
BASE_MEMIT,18,2,RS,45,100,0.45
BASE_MEMIT,18,3,RS,45,100,0.45
BASE_MEMIT,18,4,RS,63,100,0.63
BASE_MEMIT,18,5,RS,45,100,0.45
BASE_MEMIT,18,6,RS,53,100,0.53
BASE_MEMIT,18,7,RS,50,100,0.5
BASE_MEMIT,18,8,RS,42,100,0.42
BASE_MEMIT,18,9,RS,52,100,0.52
BASE_MEMIT,18,10,RS,60,100,0.6
BASE_MEMIT,18,11,RS,60,100,0.6
BASE_MEMIT,18,12,RS,62,100,0.62
BASE_MEMIT,18,13,RS,63,100,0.63
BASE_MEMIT,18,14,RS,77,100,0.77
BASE_MEMIT,18,15,RS,78,100,0.78
BASE_MEMIT,18,16,RS,90,100,0.9
BASE_MEMIT,18,17,RS,99,100,0.99
BASE_MEMIT,18,18,RS,99,100,0.99
BASE_MEMIT,19,1,RS,51,100,0.51
BASE_MEMIT,19,2,RS,46,100,0.46
BASE_MEMIT,19,3,RS,42,100,0.42
BASE_MEMIT,19,4,RS,62,100,0.62
BASE_MEMIT,19,5,RS,45,100,0.45
BASE_MEMIT,19,6,RS,51,100,0.51
BASE_MEMIT,19,7,RS,49,100,0.49
BASE_MEMIT,19,8,RS,51,100,0.51
BASE_MEMIT,19,9,RS,55,100,0.55
BASE_MEMIT,19,10,RS,58,100,0.58
BASE_MEMIT,19,11,RS,55,100,0.55
BASE_MEMIT,19,12,RS,57,100,0.57
BASE_MEMIT,19,13,RS,64,100,0.64
BASE_MEMIT,19,14,RS,65,100,0.65
BASE_MEMIT,19,15,RS,77,100,0.77
BASE_MEMIT,19,16,RS,85,100,0.85
BASE_MEMIT,19,17,RS,95,100,0.95
BASE_MEMIT,19,18,RS,98,100,0.98
BASE_MEMIT,19,19,RS,100,100,1.0
BASE_MEMIT,20,1,RS,53,100,0.53
BASE_MEMIT,20,2,RS,47,100,0.47
BASE_MEMIT,20,3,RS,47,100,0.47
BASE_MEMIT,20,4,RS,52,100,0.52
BASE_MEMIT,20,5,RS,50,100,0.5
BASE_MEMIT,20,6,RS,52,100,0.52
BASE_MEMIT,20,7,RS,52,100,0.52
BASE_MEMIT,20,8,RS,50,100,0.5
BASE_MEMIT,20,9,RS,53,100,0.53
BASE_MEMIT,20,10,RS,56,100,0.56
BASE_MEMIT,20,11,RS,58,100,0.58
BASE_MEMIT,20,12,RS,57,100,0.57
BASE_MEMIT,20,13,RS,64,100,0.64
BASE_MEMIT,20,14,RS,68,100,0.68
BASE_MEMIT,20,15,RS,75,100,0.75
BASE_MEMIT,20,16,RS,80,100,0.8
BASE_MEMIT,20,17,RS,86,100,0.86
BASE_MEMIT,20,18,RS,97,100,0.97
BASE_MEMIT,20,19,RS,98,100,0.98
BASE_MEMIT,20,20,RS,100,100,1.0
BASE_MEMIT,21,1,RS,51,100,0.51
BASE_MEMIT,21,2,RS,49,100,0.49
BASE_MEMIT,21,3,RS,50,100,0.5
BASE_MEMIT,21,4,RS,51,100,0.51
BASE_MEMIT,21,5,RS,51,100,0.51
BASE_MEMIT,21,6,RS,45,100,0.45
BASE_MEMIT,21,7,RS,54,100,0.54
BASE_MEMIT,21,8,RS,55,100,0.55
BASE_MEMIT,21,9,RS,56,100,0.56
BASE_MEMIT,21,10,RS,57,100,0.57
BASE_MEMIT,21,11,RS,62,100,0.62
BASE_MEMIT,21,12,RS,55,100,0.55
BASE_MEMIT,21,13,RS,63,100,0.63
BASE_MEMIT,21,14,RS,67,100,0.67
BASE_MEMIT,21,15,RS,76,100,0.76
BASE_MEMIT,21,16,RS,74,100,0.74
BASE_MEMIT,21,17,RS,83,100,0.83
BASE_MEMIT,21,18,RS,92,100,0.92
BASE_MEMIT,21,19,RS,96,100,0.96
BASE_MEMIT,21,20,RS,99,100,0.99
BASE_MEMIT,21,21,RS,99,100,0.99
BASE_MEMIT,22,1,RS,52,100,0.52
BASE_MEMIT,22,2,RS,45,100,0.45
BASE_MEMIT,22,3,RS,48,100,0.48
BASE_MEMIT,22,4,RS,54,100,0.54
BASE_MEMIT,22,5,RS,51,100,0.51
BASE_MEMIT,22,6,RS,41,100,0.41
BASE_MEMIT,22,7,RS,51,100,0.51
BASE_MEMIT,22,8,RS,47,100,0.47
BASE_MEMIT,22,9,RS,57,100,0.57
BASE_MEMIT,22,10,RS,55,100,0.55
BASE_MEMIT,22,11,RS,62,100,0.62
BASE_MEMIT,22,12,RS,53,100,0.53
BASE_MEMIT,22,13,RS,57,100,0.57
BASE_MEMIT,22,14,RS,63,100,0.63
BASE_MEMIT,22,15,RS,69,100,0.69
BASE_MEMIT,22,16,RS,70,100,0.7
BASE_MEMIT,22,17,RS,80,100,0.8
BASE_MEMIT,22,18,RS,82,100,0.82
BASE_MEMIT,22,19,RS,93,100,0.93
BASE_MEMIT,22,20,RS,97,100,0.97
BASE_MEMIT,22,21,RS,98,100,0.98
BASE_MEMIT,22,22,RS,99,100,0.99
BASE_MEMIT,23,1,RS,49,100,0.49
BASE_MEMIT,23,2,RS,48,100,0.48
BASE_MEMIT,23,3,RS,46,100,0.46
BASE_MEMIT,23,4,RS,50,100,0.5
BASE_MEMIT,23,5,RS,47,100,0.47
BASE_MEMIT,23,6,RS,43,100,0.43
BASE_MEMIT,23,7,RS,53,100,0.53
BASE_MEMIT,23,8,RS,50,100,0.5
BASE_MEMIT,23,9,RS,56,100,0.56
BASE_MEMIT,23,10,RS,55,100,0.55
BASE_MEMIT,23,11,RS,58,100,0.58
BASE_MEMIT,23,12,RS,56,100,0.56
BASE_MEMIT,23,13,RS,56,100,0.56
BASE_MEMIT,23,14,RS,58,100,0.58
BASE_MEMIT,23,15,RS,67,100,0.67
BASE_MEMIT,23,16,RS,71,100,0.71
BASE_MEMIT,23,17,RS,76,100,0.76
BASE_MEMIT,23,18,RS,78,100,0.78
BASE_MEMIT,23,19,RS,93,100,0.93
BASE_MEMIT,23,20,RS,93,100,0.93
BASE_MEMIT,23,21,RS,96,100,0.96
BASE_MEMIT,23,22,RS,99,100,0.99
BASE_MEMIT,23,23,RS,98,100,0.98
BASE_MEMIT,24,1,RS,50,100,0.5
BASE_MEMIT,24,2,RS,50,100,0.5
BASE_MEMIT,24,3,RS,46,100,0.46
BASE_MEMIT,24,4,RS,46,100,0.46
BASE_MEMIT,24,5,RS,49,100,0.49
BASE_MEMIT,24,6,RS,47,100,0.47
BASE_MEMIT,24,7,RS,52,100,0.52
BASE_MEMIT,24,8,RS,43,100,0.43
BASE_MEMIT,24,9,RS,56,100,0.56
BASE_MEMIT,24,10,RS,54,100,0.54
BASE_MEMIT,24,11,RS,60,100,0.6
BASE_MEMIT,24,12,RS,52,100,0.52
BASE_MEMIT,24,13,RS,57,100,0.57
BASE_MEMIT,24,14,RS,56,100,0.56
BASE_MEMIT,24,15,RS,69,100,0.69
BASE_MEMIT,24,16,RS,70,100,0.7
BASE_MEMIT,24,17,RS,74,100,0.74
BASE_MEMIT,24,18,RS,80,100,0.8
BASE_MEMIT,24,19,RS,89,100,0.89
BASE_MEMIT,24,20,RS,92,100,0.92
BASE_MEMIT,24,21,RS,89,100,0.89
BASE_MEMIT,24,22,RS,93,100,0.93
BASE_MEMIT,24,23,RS,98,100,0.98
BASE_MEMIT,24,24,RS,97,100,0.97
BASE_MEMIT,25,1,RS,49,100,0.49
BASE_MEMIT,25,2,RS,42,100,0.42
BASE_MEMIT,25,3,RS,47,100,0.47
BASE_MEMIT,25,4,RS,48,100,0.48
BASE_MEMIT,25,5,RS,53,100,0.53
BASE_MEMIT,25,6,RS,45,100,0.45
BASE_MEMIT,25,7,RS,49,100,0.49
BASE_MEMIT,25,8,RS,48,100,0.48
BASE_MEMIT,25,9,RS,54,100,0.54
BASE_MEMIT,25,10,RS,55,100,0.55
BASE_MEMIT,25,11,RS,59,100,0.59
BASE_MEMIT,25,12,RS,51,100,0.51
BASE_MEMIT,25,13,RS,52,100,0.52
BASE_MEMIT,25,14,RS,52,100,0.52
BASE_MEMIT,25,15,RS,66,100,0.66
BASE_MEMIT,25,16,RS,68,100,0.68
BASE_MEMIT,25,17,RS,77,100,0.77
BASE_MEMIT,25,18,RS,81,100,0.81
BASE_MEMIT,25,19,RS,90,100,0.9
BASE_MEMIT,25,20,RS,93,100,0.93
BASE_MEMIT,25,21,RS,83,100,0.83
BASE_MEMIT,25,22,RS,91,100,0.91
BASE_MEMIT,25,23,RS,95,100,0.95
BASE_MEMIT,25,24,RS,93,100,0.93
BASE_MEMIT,25,25,RS,97,100,0.97
BASE_MEMIT,26,1,RS,47,100,0.47
BASE_MEMIT,26,2,RS,41,100,0.41
BASE_MEMIT,26,3,RS,46,100,0.46
BASE_MEMIT,26,4,RS,54,100,0.54
BASE_MEMIT,26,5,RS,52,100,0.52
BASE_MEMIT,26,6,RS,50,100,0.5
BASE_MEMIT,26,7,RS,53,100,0.53
BASE_MEMIT,26,8,RS,38,100,0.38
BASE_MEMIT,26,9,RS,57,100,0.57
BASE_MEMIT,26,10,RS,51,100,0.51
BASE_MEMIT,26,11,RS,60,100,0.6
BASE_MEMIT,26,12,RS,48,100,0.48
BASE_MEMIT,26,13,RS,55,100,0.55
BASE_MEMIT,26,14,RS,52,100,0.52
BASE_MEMIT,26,15,RS,66,100,0.66
BASE_MEMIT,26,16,RS,66,100,0.66
BASE_MEMIT,26,17,RS,72,100,0.72
BASE_MEMIT,26,18,RS,72,100,0.72
BASE_MEMIT,26,19,RS,82,100,0.82
BASE_MEMIT,26,20,RS,86,100,0.86
BASE_MEMIT,26,21,RS,80,100,0.8
BASE_MEMIT,26,22,RS,85,100,0.85
BASE_MEMIT,26,23,RS,91,100,0.91
BASE_MEMIT,26,24,RS,93,100,0.93
BASE_MEMIT,26,25,RS,94,100,0.94
BASE_MEMIT,26,26,RS,91,100,0.91
BASE_MEMIT,27,1,RS,48,100,0.48
BASE_MEMIT,27,2,RS,39,100,0.39
BASE_MEMIT,27,3,RS,47,100,0.47
BASE_MEMIT,27,4,RS,51,100,0.51
BASE_MEMIT,27,5,RS,49,100,0.49
BASE_MEMIT,27,6,RS,50,100,0.5
BASE_MEMIT,27,7,RS,54,100,0.54
BASE_MEMIT,27,8,RS,42,100,0.42
BASE_MEMIT,27,9,RS,57,100,0.57
BASE_MEMIT,27,10,RS,53,100,0.53
BASE_MEMIT,27,11,RS,58,100,0.58
BASE_MEMIT,27,12,RS,47,100,0.47
BASE_MEMIT,27,13,RS,54,100,0.54
BASE_MEMIT,27,14,RS,50,100,0.5
BASE_MEMIT,27,15,RS,59,100,0.59
BASE_MEMIT,27,16,RS,62,100,0.62
BASE_MEMIT,27,17,RS,72,100,0.72
BASE_MEMIT,27,18,RS,73,100,0.73
BASE_MEMIT,27,19,RS,82,100,0.82
BASE_MEMIT,27,20,RS,86,100,0.86
BASE_MEMIT,27,21,RS,78,100,0.78
BASE_MEMIT,27,22,RS,87,100,0.87
BASE_MEMIT,27,23,RS,85,100,0.85
BASE_MEMIT,27,24,RS,87,100,0.87
BASE_MEMIT,27,25,RS,91,100,0.91
BASE_MEMIT,27,26,RS,90,100,0.9
BASE_MEMIT,27,27,RS,96,100,0.96
BASE_MEMIT,28,1,RS,44,100,0.44
BASE_MEMIT,28,2,RS,47,100,0.47
BASE_MEMIT,28,3,RS,45,100,0.45
BASE_MEMIT,28,4,RS,55,100,0.55
BASE_MEMIT,28,5,RS,55,100,0.55
BASE_MEMIT,28,6,RS,48,100,0.48
BASE_MEMIT,28,7,RS,58,100,0.58
BASE_MEMIT,28,8,RS,41,100,0.41
BASE_MEMIT,28,9,RS,58,100,0.58
BASE_MEMIT,28,10,RS,49,100,0.49
BASE_MEMIT,28,11,RS,60,100,0.6
BASE_MEMIT,28,12,RS,43,100,0.43
BASE_MEMIT,28,13,RS,56,100,0.56
BASE_MEMIT,28,14,RS,52,100,0.52
BASE_MEMIT,28,15,RS,60,100,0.6
BASE_MEMIT,28,16,RS,65,100,0.65
BASE_MEMIT,28,17,RS,70,100,0.7
BASE_MEMIT,28,18,RS,71,100,0.71
BASE_MEMIT,28,19,RS,83,100,0.83
BASE_MEMIT,28,20,RS,83,100,0.83
BASE_MEMIT,28,21,RS,78,100,0.78
BASE_MEMIT,28,22,RS,84,100,0.84
BASE_MEMIT,28,23,RS,84,100,0.84
BASE_MEMIT,28,24,RS,85,100,0.85
BASE_MEMIT,28,25,RS,90,100,0.9
BASE_MEMIT,28,26,RS,87,100,0.87
BASE_MEMIT,28,27,RS,93,100,0.93
BASE_MEMIT,28,28,RS,94,100,0.94
BASE_MEMIT,29,1,RS,47,100,0.47
BASE_MEMIT,29,2,RS,43,100,0.43
BASE_MEMIT,29,3,RS,48,100,0.48
BASE_MEMIT,29,4,RS,54,100,0.54
BASE_MEMIT,29,5,RS,50,100,0.5
BASE_MEMIT,29,6,RS,52,100,0.52
BASE_MEMIT,29,7,RS,56,100,0.56
BASE_MEMIT,29,8,RS,46,100,0.46
BASE_MEMIT,29,9,RS,56,100,0.56
BASE_MEMIT,29,10,RS,52,100,0.52
BASE_MEMIT,29,11,RS,62,100,0.62
BASE_MEMIT,29,12,RS,44,100,0.44
BASE_MEMIT,29,13,RS,61,100,0.61
BASE_MEMIT,29,14,RS,53,100,0.53
BASE_MEMIT,29,15,RS,60,100,0.6
BASE_MEMIT,29,16,RS,66,100,0.66
BASE_MEMIT,29,17,RS,69,100,0.69
BASE_MEMIT,29,18,RS,73,100,0.73
BASE_MEMIT,29,19,RS,83,100,0.83
BASE_MEMIT,29,20,RS,80,100,0.8
BASE_MEMIT,29,21,RS,74,100,0.74
BASE_MEMIT,29,22,RS,85,100,0.85
BASE_MEMIT,29,23,RS,86,100,0.86
BASE_MEMIT,29,24,RS,82,100,0.82
BASE_MEMIT,29,25,RS,88,100,0.88
BASE_MEMIT,29,26,RS,88,100,0.88
BASE_MEMIT,29,27,RS,90,100,0.9
BASE_MEMIT,29,28,RS,91,100,0.91
BASE_MEMIT,29,29,RS,93,100,0.93
BASE_MEMIT,30,1,RS,49,100,0.49
BASE_MEMIT,30,2,RS,43,100,0.43
BASE_MEMIT,30,3,RS,48,100,0.48
BASE_MEMIT,30,4,RS,56,100,0.56
BASE_MEMIT,30,5,RS,57,100,0.57
BASE_MEMIT,30,6,RS,54,100,0.54
BASE_MEMIT,30,7,RS,56,100,0.56
BASE_MEMIT,30,8,RS,45,100,0.45
BASE_MEMIT,30,9,RS,52,100,0.52
BASE_MEMIT,30,10,RS,53,100,0.53
BASE_MEMIT,30,11,RS,63,100,0.63
BASE_MEMIT,30,12,RS,42,100,0.42
BASE_MEMIT,30,13,RS,59,100,0.59
BASE_MEMIT,30,14,RS,53,100,0.53
BASE_MEMIT,30,15,RS,62,100,0.62
BASE_MEMIT,30,16,RS,67,100,0.67
BASE_MEMIT,30,17,RS,68,100,0.68
BASE_MEMIT,30,18,RS,74,100,0.74
BASE_MEMIT,30,19,RS,78,100,0.78
BASE_MEMIT,30,20,RS,79,100,0.79
BASE_MEMIT,30,21,RS,74,100,0.74
BASE_MEMIT,30,22,RS,79,100,0.79
BASE_MEMIT,30,23,RS,86,100,0.86
BASE_MEMIT,30,24,RS,82,100,0.82
BASE_MEMIT,30,25,RS,84,100,0.84
BASE_MEMIT,30,26,RS,85,100,0.85
BASE_MEMIT,30,27,RS,87,100,0.87
BASE_MEMIT,30,28,RS,87,100,0.87
BASE_MEMIT,30,29,RS,93,100,0.93
BASE_MEMIT,30,30,RS,92,100,0.92
BASE_MEMIT,31,1,RS,48,100,0.48
BASE_MEMIT,31,2,RS,43,100,0.43
BASE_MEMIT,31,3,RS,53,100,0.53
BASE_MEMIT,31,4,RS,57,100,0.57
BASE_MEMIT,31,5,RS,55,100,0.55
BASE_MEMIT,31,6,RS,51,100,0.51
BASE_MEMIT,31,7,RS,56,100,0.56
BASE_MEMIT,31,8,RS,44,100,0.44
BASE_MEMIT,31,9,RS,57,100,0.57
BASE_MEMIT,31,10,RS,52,100,0.52
BASE_MEMIT,31,11,RS,60,100,0.6
BASE_MEMIT,31,12,RS,35,100,0.35
BASE_MEMIT,31,13,RS,54,100,0.54
BASE_MEMIT,31,14,RS,51,100,0.51
BASE_MEMIT,31,15,RS,59,100,0.59
BASE_MEMIT,31,16,RS,57,100,0.57
BASE_MEMIT,31,17,RS,64,100,0.64
BASE_MEMIT,31,18,RS,69,100,0.69
BASE_MEMIT,31,19,RS,76,100,0.76
BASE_MEMIT,31,20,RS,76,100,0.76
BASE_MEMIT,31,21,RS,74,100,0.74
BASE_MEMIT,31,22,RS,73,100,0.73
BASE_MEMIT,31,23,RS,77,100,0.77
BASE_MEMIT,31,24,RS,78,100,0.78
BASE_MEMIT,31,25,RS,75,100,0.75
BASE_MEMIT,31,26,RS,76,100,0.76
BASE_MEMIT,31,27,RS,84,100,0.84
BASE_MEMIT,31,28,RS,82,100,0.82
BASE_MEMIT,31,29,RS,85,100,0.85
BASE_MEMIT,31,30,RS,87,100,0.87
BASE_MEMIT,31,31,RS,88,100,0.88
BASE_MEMIT,32,1,RS,49,100,0.49
BASE_MEMIT,32,2,RS,43,100,0.43
BASE_MEMIT,32,3,RS,54,100,0.54
BASE_MEMIT,32,4,RS,60,100,0.6
BASE_MEMIT,32,5,RS,53,100,0.53
BASE_MEMIT,32,6,RS,50,100,0.5
BASE_MEMIT,32,7,RS,56,100,0.56
BASE_MEMIT,32,8,RS,48,100,0.48
BASE_MEMIT,32,9,RS,55,100,0.55
BASE_MEMIT,32,10,RS,56,100,0.56
BASE_MEMIT,32,11,RS,58,100,0.58
BASE_MEMIT,32,12,RS,37,100,0.37
BASE_MEMIT,32,13,RS,52,100,0.52
BASE_MEMIT,32,14,RS,49,100,0.49
BASE_MEMIT,32,15,RS,60,100,0.6
BASE_MEMIT,32,16,RS,60,100,0.6
BASE_MEMIT,32,17,RS,65,100,0.65
BASE_MEMIT,32,18,RS,68,100,0.68
BASE_MEMIT,32,19,RS,72,100,0.72
BASE_MEMIT,32,20,RS,76,100,0.76
BASE_MEMIT,32,21,RS,73,100,0.73
BASE_MEMIT,32,22,RS,74,100,0.74
BASE_MEMIT,32,23,RS,79,100,0.79
BASE_MEMIT,32,24,RS,74,100,0.74
BASE_MEMIT,32,25,RS,73,100,0.73
BASE_MEMIT,32,26,RS,75,100,0.75
BASE_MEMIT,32,27,RS,81,100,0.81
BASE_MEMIT,32,28,RS,77,100,0.77
BASE_MEMIT,32,29,RS,84,100,0.84
BASE_MEMIT,32,30,RS,83,100,0.83
BASE_MEMIT,32,31,RS,84,100,0.84
BASE_MEMIT,32,32,RS,85,100,0.85
BASE_MEMIT,33,1,RS,48,100,0.48
BASE_MEMIT,33,2,RS,49,100,0.49
BASE_MEMIT,33,3,RS,56,100,0.56
BASE_MEMIT,33,4,RS,57,100,0.57
BASE_MEMIT,33,5,RS,53,100,0.53
BASE_MEMIT,33,6,RS,53,100,0.53
BASE_MEMIT,33,7,RS,53,100,0.53
BASE_MEMIT,33,8,RS,47,100,0.47
BASE_MEMIT,33,9,RS,53,100,0.53
BASE_MEMIT,33,10,RS,52,100,0.52
BASE_MEMIT,33,11,RS,64,100,0.64
BASE_MEMIT,33,12,RS,33,100,0.33
BASE_MEMIT,33,13,RS,49,100,0.49
BASE_MEMIT,33,14,RS,48,100,0.48
BASE_MEMIT,33,15,RS,56,100,0.56
BASE_MEMIT,33,16,RS,60,100,0.6
BASE_MEMIT,33,17,RS,64,100,0.64
BASE_MEMIT,33,18,RS,67,100,0.67
BASE_MEMIT,33,19,RS,72,100,0.72
BASE_MEMIT,33,20,RS,72,100,0.72
BASE_MEMIT,33,21,RS,72,100,0.72
BASE_MEMIT,33,22,RS,73,100,0.73
BASE_MEMIT,33,23,RS,80,100,0.8
BASE_MEMIT,33,24,RS,71,100,0.71
BASE_MEMIT,33,25,RS,71,100,0.71
BASE_MEMIT,33,26,RS,72,100,0.72
BASE_MEMIT,33,27,RS,77,100,0.77
BASE_MEMIT,33,28,RS,70,100,0.7
BASE_MEMIT,33,29,RS,80,100,0.8
BASE_MEMIT,33,30,RS,81,100,0.81
