arm,batch,target_count,target_order_sha256,status
MEMIT_L5_ONLY,50,100,6af33731dd1bafa960c7d1c32977fff07b8f108eadfc53691fe2f7002c5976b1,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,51,100,c21dc49f767ba4b6a2d7a94447bf21b7a12a65653c2e21e165d490cffcfc4f2a,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,52,100,33d6ebb925e639558643b0aea9c65c1f4066990364cb265bd88865a48408766a,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,53,100,b7ca2eaab9b6cc91d4890b75ff3aeb4f7324eba2ef67883ce7fe4aa94dbfa4c5,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,54,100,5149426677799d37d18f7d3a51cd257b811a70fdca4b7230ed5298d42f0b282c,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,55,100,9b83880743b3ed61ca42adf7abf6a3ff728cb6feb0ead7f58f0ee290fe03fc51,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,56,100,44d2bf212e81b1712aaf27241252df6eac19b525883a8abf01fd4929bf1568b9,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,57,100,141c1c76e38d3816675c3aebb2f30e3a93d0439a74481f3d6d6484776a7f5c68,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,58,100,78d1c2bd1d0fc5f396cdd0850d9b424b4a0df4e1f5dbc4c1f05749cf8b35a17b,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,59,100,06d800ba365a4e030471d743d12f9bd9c9a0023d592e668e52d2e6d953548ff9,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,60,100,f055905e45b9bdbe676ec5436b478e8d42e18d689792c582871b3da0c43a7065,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,61,100,b230cb92c748ed4c29c7e3090bc6762cdb6d056eb7b4ea1cea355992187f0ca8,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,62,100,dd122f470737173ddacf3aed68a7bac6a7d6373a1f9553347b08888ce689425d,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,63,100,3415cbcee20370bdea36f3da4ff3fb6cc85c636e66e12b26429616df9d6ce738,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,64,100,7c051961a74943714903acf6c8075595a7875ae985fbf1a2e12b323957454a1b,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,65,100,ee2e2ad17bbd164a63fbafcf83e1c137a04e5428dd412145cacd332e18c69351,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,66,100,b13c6f09c78ab0e87346bbf03abf1efd456ebf3054e7ad386cf2bc1f629c91d7,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,67,100,2a3fd1d14495cf75412345cc1dabbcc96cce28cc03ac3d3351df4f6b6f0d2c5c,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,68,100,407c1854b23bfa39a0b33663ea6f9f8c8cd4147c0c7d39eacd7832dd3eb809b0,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,69,100,9141301d9c63aee3e50a5acdadc5352c53609e82bd13500a3caab63f251c35fe,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,70,100,048455a3df98c8d464f9825853816271f2848b9a3918ff5ee244b7d1db841ee2,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,71,100,2ebbcbf365e54ab18623172cc1624b0842df687344e9b441c2e0bf78ec7d6564,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,72,100,4a9c5a981b1ed10c1c6912e43831dfad5e1bd6ec50b9a5a77210178004f3534e,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,73,100,f1fe41cf954a40c6cd365c222a7f21d82c18a945d41d234f33b9c7a603772bc6,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,74,100,ccb54e52a95b36903d9ff337a5bfa0c1fa23aeec8c51427e98756092f1c15185,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,75,100,1d707b3dd317154793a33c6b8ab39303296f327ee4833901b8f6b11e9e47beac,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,76,100,82250b05446bd768cd285b91744d2aebeccbacadc5bd96873204453def5b7231,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,77,100,93bd05886f4bcd0eaaeece18097489a6ba4e0e9c56a52c73b1a7e9b787fb4a2f,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,78,100,ac7f51095433024f40dfc5ccdd5e05e6545822a3902f1ebe5ad28dff853802a1,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,79,100,d40e76b450c44e349e1090b60da874c151b6ba137e2e6d6750a247536a9dfb4a,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,80,100,072247da01c6286a84c1582adcd37b5b303e2f83b223227dacaedac8db471f15,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,81,100,361d6dd516f9b23be128ef48a752db2156c802692d05b8d0a0e7af2a799cb819,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,82,100,70b597bae09612e5596fcef74a495bf15bdbf6f38b131d3b57afa7f402fcb4a5,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,83,100,647572df25fe2d0245b9e37c64d20281afa0ca0db1a807e11e49aebfa832b26d,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,84,100,7ab89fb9493fa50a4c35f63733b1e1dfbbbbda8a4c99fe7033e77c3b66aaa280,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,85,100,633b50a2b9f94ebd5a3f88af2dcc1bf84b260f2a243e95d95fa734cb5259ed4f,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,86,100,a5a8b0985d32366394fb733332aea3a6080755aa13c9d9d1da3dd70edd5b6aa1,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,87,100,1d7e3345df165f50a28439d048979dcc225ed3f27ed3ccfb1d1480fd39298b5c,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,88,100,4bd3aa1a748170835c8b4b48da9b1fd29ec5c6a52ec8ea18a176eb8a2871f448,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,89,100,58a0bc1abf41c8a29cb6d4e74ebdf399b461169cc53ba7b7e73e50677d2010e7,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,90,100,77313ac3f8153a8feab75fea5a9b739191b98942ea8d71199299f2b20ac2a976,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,91,100,0ec5169d03fdc3303f1eadc0b1048da89f4cbcff6800d515d69f4a175e92548c,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,92,100,04e03a62ede0bf9425a974541a71fde4ebb4ca87462573257546323ff8a11347,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,93,100,88fc9ffaea4d8af12b8dc2ec4472dcbad0b748ea6ad81a954867f8b6ad9c1e28,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,94,100,fc1e8f95322ebddb63cb6a91755589a9107ab696d4183b34b940a71653bf473a,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,95,100,a10c8393828d221cc4068239d62ba2926e166e9d51538d9646758aa4c343f1e1,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,96,100,517dab147c0cb44d60d903386d16a9b76f393b50a84a1dbea00b75f342a0aa4f,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,97,100,c1f805d319d2a32f1e2fde9320641149bb150087031ace5dec84b16cd8939a92,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,98,100,c09da32ad95c1b88be6b019a6ce15fe17cb71adef5d0080e18cb954219b6e3ac,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,99,100,a4719aaec686cbd2f4ed9490d8851dd0265cd8ac5a6728b2237ed768c96aabf1,CPU_TENSOR_HASH_FINITE_PASS
MEMIT_L5_ONLY,100,100,cfb8fda252ab9a01fec135df0cdfa239ea4fe9e4e4d3817e133aa85a2761b34e,CPU_TENSOR_HASH_FINITE_PASS
AlphaEdit_L5_ONLY,1,100,d273dde21b9f2d2835ba29b8aa57846b4dff94cfb83e84075ce91685eb35d240,CPU_TENSOR_HASH_FINITE_PASS
AlphaEdit_L5_ONLY,2,100,d5c42233021b959431bd43edb1a9b474d28a96f23902e22eed92f62bebf57d94,CPU_TENSOR_HASH_FINITE_PASS
AlphaEdit_L5_ONLY,3,100,86ae3376ef1bce0cd334fa20062a959f8334a5dda925964192070da1374cd8f7,CPU_TENSOR_HASH_FINITE_PASS
AlphaEdit_L5_ONLY,4,100,0f952d7146b7539910cce4d46ed95803fc0fc4b0cd0808abcf7ec27ab8527e96,CPU_TENSOR_HASH_FINITE_PASS
AlphaEdit_L5_ONLY,5,100,acfe894dc2e38c286fa26a4c060feff463c4dde2e33dfa24ee84c15d891b28ee,CPU_TENSOR_HASH_FINITE_PASS
AlphaEdit_L5_ONLY,6,100,ace4dfa7edab99039d05870b514261eac0cc5a68e5950a4f0650c7b164e1ac7c,CPU_TENSOR_HASH_FINITE_PASS
AlphaEdit_L5_ONLY,7,100,74e3d5ab34972eae3c97a535d7a06fc5dbc6216cd5833a6b7d35c4538f882fcd,CPU_TENSOR_HASH_FINITE_PASS
