path,sha256,line,expression
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/blue-source/AlphaEdit/AlphaEdit_main.py,79da927aad5ab817fd008c5958768adcd00556989a8efbaa2c4bdc80d8fc842e,132,"P[i,:,:].cuda() @ (layer_ks @ layer_ks.T + cache_c[i,:,:].cuda()) + hparams.L2*torch.eye(layer_ks.shape[0], dtype=torch.float,device=""cuda""), P[i,:,:].cuda() @ layer_ks @ resid.T"
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/blue-source/AlphaEdit/AlphaEdit_main.py,79da927aad5ab817fd008c5958768adcd00556989a8efbaa2c4bdc80d8fc842e,148,z_layer = hparams.layers[-1]
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/blue-source/AlphaEdit/AlphaEdit_main.py,79da927aad5ab817fd008c5958768adcd00556989a8efbaa2c4bdc80d8fc842e,220,resid = targets / (len(hparams.layers) - i)  # Distribute residual across layers
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/blue-source/AlphaEdit/AlphaEdit_main.py,79da927aad5ab817fd008c5958768adcd00556989a8efbaa2c4bdc80d8fc842e,222,"P[i,:,:].cuda() @ (layer_ks @ layer_ks.T + cache_c[i,:,:].cuda()) + hparams.L2*torch.eye(layer_ks.shape[0], dtype=torch.float,device=""cuda""), P[i,:,:].cuda() @ layer_ks @ resid.T"
/data/janghj/ODE-edit/local/blue-alphaedit-sequential-comparison/attempt-v1/blue-source/AlphaEdit/AlphaEdit_main.py,79da927aad5ab817fd008c5958768adcd00556989a8efbaa2c4bdc80d8fc842e,239,"cache_c[i,:,:] += layer_ks.cpu() @ layer_ks.cpu().T"
/data/janghj/ODE-edit/local/blue-lifelong-b100x100-l567/attempt-v1/lifelong/runtime.py,12bcc0952f27577f60ed23da74dcfbe5bde641adfd74551b8977293e9478930b,33,"w0={k:v.detach().cpu().clone() for k,v in weights.items()};w0sig=signature(weights,state)"
/data/janghj/ODE-edit/local/blue-lifelong-b100x100-l567/attempt-v1/lifelong/runtime.py,12bcc0952f27577f60ed23da74dcfbe5bde641adfd74551b8977293e9478930b,45,seen=[];prior=content(w0sig);previous_cov={}
/data/janghj/ODE-edit/local/blue-lifelong-b100x100-l567/attempt-v1/lifelong/runtime.py,12bcc0952f27577f60ed23da74dcfbe5bde641adfd74551b8977293e9478930b,48,"entry=signature(weights,state);assert content(entry)==prior,'W_HISTORY_CHAIN'"
/data/janghj/ODE-edit/local/blue-lifelong-b100x100-l567/attempt-v1/lifelong/runtime.py,12bcc0952f27577f60ed23da74dcfbe5bde641adfd74551b8977293e9478930b,59,"endpoint=signature(weights,state)"
/data/janghj/ODE-edit/local/blue-lifelong-b100x100-l567/attempt-v1/lifelong/runtime.py,12bcc0952f27577f60ed23da74dcfbe5bde641adfd74551b8977293e9478930b,81,"assert signature(weights,state)==endpoint,'EVALUATOR_MUTATION'"
/data/janghj/ODE-edit/local/blue-lifelong-b100x100-l567/attempt-v1/lifelong/runtime.py,12bcc0952f27577f60ed23da74dcfbe5bde641adfd74551b8977293e9478930b,88,"save(root/'commit.json',receipt);committed.append(receipt);prior=content(endpoint);seen.extend(rows)"
/data/janghj/ODE-edit/local/blue-lifelong-b100x100-l567/attempt-v1/lifelong/runtime.py,12bcc0952f27577f60ed23da74dcfbe5bde641adfd74551b8977293e9478930b,92,"restore(weights,ew,state,em);assert content(signature(weights,state))==content(entry)"
/data/janghj/ODE-edit/local/blue-lifelong-b100x100-l567/attempt-v1/lifelong/runtime.py,12bcc0952f27577f60ed23da74dcfbe5bde641adfd74551b8977293e9478930b,95,"stage='FINAL_W0_RESTORE';restore(weights,w0,state,torch.zeros_like(state))"
/data/janghj/ODE-edit/local/blue-lifelong-b100x100-l567/attempt-v1/lifelong/runtime.py,12bcc0952f27577f60ed23da74dcfbe5bde641adfd74551b8977293e9478930b,96,"assert content(signature(weights,state))==content(w0sig)"
/data/janghj/ODE-edit/local/blue-lifelong-b100x100-l567/attempt-v1/lifelong/method.py,3835accbb537bf62f8801e73c989546573710ea467f34372b4be9cf44196dd8f,12,indices=[lock['projector_source_layers'].index(l) for l in hp.layers]
/data/janghj/ODE-edit/local/blue-lifelong-b100x100-l567/attempt-v1/lifelong/method.py,3835accbb537bf62f8801e73c989546573710ea467f34372b4be9cf44196dd8f,13,projector=allp[indices].clone(); del allp
/data/janghj/ODE-edit/local/blue-lifelong-b100x100-l567/attempt-v1/lifelong/method.py,3835accbb537bf62f8801e73c989546573710ea467f34372b4be9cf44196dd8f,15,"extra=dict(projector_physical_layers=hp.layers,projector_indices=indices,projector_sha256=tensor_sha(projector),history_policy='native final selected-layer key append once/batch')"
/data/janghj/ODE-edit/local/fixed10k-native-baselines/attempt-v1/native/runtime.py,065dccfe7ec71953ad76f5a0db51c833e83c51c7d2748508e7b34149be6598ea,36,"w0={k:v.detach().cpu().clone() for k,v in weights.items()};w0sig=signature(weights,state)"
/data/janghj/ODE-edit/local/fixed10k-native-baselines/attempt-v1/native/runtime.py,065dccfe7ec71953ad76f5a0db51c833e83c51c7d2748508e7b34149be6598ea,49,seen=[];prior=content(w0sig);previous_cov={}
/data/janghj/ODE-edit/local/fixed10k-native-baselines/attempt-v1/native/runtime.py,065dccfe7ec71953ad76f5a0db51c833e83c51c7d2748508e7b34149be6598ea,52,"entry=signature(weights,state);assert content(entry)==prior,'W_HISTORY_CHAIN'"
/data/janghj/ODE-edit/local/fixed10k-native-baselines/attempt-v1/native/runtime.py,065dccfe7ec71953ad76f5a0db51c833e83c51c7d2748508e7b34149be6598ea,63,"endpoint=signature(weights,state)"
/data/janghj/ODE-edit/local/fixed10k-native-baselines/attempt-v1/native/runtime.py,065dccfe7ec71953ad76f5a0db51c833e83c51c7d2748508e7b34149be6598ea,84,"save(root/'seen-rewrite.json',dict(evaluation_type='ALL_SEEN_REWRITE_AT_CURRENT_W',requests=full['requests'],state=content(endpoint),metrics={'RS':full['metrics']['RS']},reused_from='seen-full.json'))"
/data/janghj/ODE-edit/local/fixed10k-native-baselines/attempt-v1/native/runtime.py,065dccfe7ec71953ad76f5a0db51c833e83c51c7d2748508e7b34149be6598ea,90,"save(root/'seen-rewrite.json',dict(evaluation_type='ALL_SEEN_REWRITE_AT_CURRENT_W',requests=len(rwrows),state=content(endpoint),metrics={'RS':dict(rows=rwrows,numerator=sum(x['success'] for x in rwrows),denominator=len(rwrows))},current_rows_reused=True))"
/data/janghj/ODE-edit/local/fixed10k-native-baselines/attempt-v1/native/runtime.py,065dccfe7ec71953ad76f5a0db51c833e83c51c7d2748508e7b34149be6598ea,92,"assert signature(weights,state)==endpoint,'EVALUATOR_MUTATION'"
/data/janghj/ODE-edit/local/fixed10k-native-baselines/attempt-v1/native/runtime.py,065dccfe7ec71953ad76f5a0db51c833e83c51c7d2748508e7b34149be6598ea,99,"save(root/'commit.json',receipt);committed.append(receipt);prior=content(endpoint);seen.extend(rows)"
/data/janghj/ODE-edit/local/fixed10k-native-baselines/attempt-v1/native/runtime.py,065dccfe7ec71953ad76f5a0db51c833e83c51c7d2748508e7b34149be6598ea,103,"restore(weights,ew,state,em);assert content(signature(weights,state))==content(entry)"
/data/janghj/ODE-edit/local/fixed10k-native-baselines/attempt-v1/native/runtime.py,065dccfe7ec71953ad76f5a0db51c833e83c51c7d2748508e7b34149be6598ea,106,"stage='FINAL_W0_RESTORE';restore(weights,w0,state,torch.zeros_like(state))"
/data/janghj/ODE-edit/local/fixed10k-native-baselines/attempt-v1/native/runtime.py,065dccfe7ec71953ad76f5a0db51c833e83c51c7d2748508e7b34149be6598ea,107,"assert content(signature(weights,state))==content(w0sig)"
/data/janghj/ODE-edit/local/fixed10k-native-baselines/attempt-v1/native/method.py,7610b51e7515b3c483085ca8196efd011b42df53875d6e55f7af58245539bd1e,12,indices=[lock['projector_source_layers'].index(l) for l in hp.layers]
/data/janghj/ODE-edit/local/fixed10k-native-baselines/attempt-v1/native/method.py,7610b51e7515b3c483085ca8196efd011b42df53875d6e55f7af58245539bd1e,13,projector=allp[indices].clone(); del allp
/data/janghj/ODE-edit/local/fixed10k-native-baselines/attempt-v1/native/method.py,7610b51e7515b3c483085ca8196efd011b42df53875d6e55f7af58245539bd1e,15,"extra=dict(projector_physical_layers=hp.layers,projector_indices=indices,projector_sha256=tensor_sha(projector),history_policy='native final selected-layer key append once/batch')"
/data/janghj/ODE-edit/local/fixed10k-native-baselines/attempt-v1/native/observation.py,ac94a7bd0e064d9708eb8de4a9b5cb15445fbb20dcd4964c43c227a8df3849a5,36,"expected=[(hp.layers[-1],r['case_id']) for r in requests]"
/data/janghj/ODE-edit/local/fixed10k-native-baselines/attempt-v1/native/observation.py,ac94a7bd0e064d9708eb8de4a9b5cb15445fbb20dcd4964c43c227a8df3849a5,41,"receipt.update(compute_z=len(expected),solve_calls=len(hp.layers),history_append_passes=int(method=='AlphaEdit'),cold_reset_inside_batch=0,z_hash_order=digest(receipt['z']),nonselected_pointer_version_exact=True,nonselected_full_bytes_checked=False,projector_physical_layers=hp.layers if method=='AlphaEdit' else [],projector_asset_indices=[l-4 for l in hp.layers] if method=='AlphaEdit' else [])"
