family,metric,left,right,subset,denominator,right_minus_left_success_rate,right_better,equal,right_worse
MEMIT,PS,MEMIT_L4_ONLY,MEMIT_L8_ONLY,all_exact_paired,20000,-0.0253,2530,14434,3036
MEMIT,PS,MEMIT_L4_ONLY,MEMIT_L8_ONLY,common_atwrite_success,15191,-0.0156671713514581,1688,11577,1926
MEMIT,PS,MEMIT_L5_ONLY,MEMIT_L6_ONLY,all_exact_paired,20000,-0.01235,2171,15411,2418
MEMIT,PS,MEMIT_L5_ONLY,MEMIT_L6_ONLY,common_atwrite_success,15191,-0.01099335132644329,1368,12288,1535
MEMIT,PS,MEMIT_L5_ONLY,MEMIT_L7_ONLY,all_exact_paired,20000,-0.00335,2369,15195,2436
MEMIT,PS,MEMIT_L5_ONLY,MEMIT_L7_ONLY,common_atwrite_success,15191,0.003686393259166612,1516,12215,1460
MEMIT,PS,MEMIT_L5_ONLY,MEMIT_L8_ONLY,all_exact_paired,20000,-0.0274,2343,14766,2891
MEMIT,PS,MEMIT_L5_ONLY,MEMIT_L8_ONLY,common_atwrite_success,15191,-0.02034099137647291,1504,11874,1813
MEMIT,NS,MEMIT_L4_ONLY,MEMIT_L5_ONLY,all_exact_paired,100000,-0.03563,11330,73777,14893
MEMIT,NS,MEMIT_L4_ONLY,MEMIT_L5_ONLY,common_atwrite_success,38198,-0.017592544112257188,3694,30138,4366
MEMIT,NS,MEMIT_L4_ONLY,MEMIT_L6_ONLY,all_exact_paired,100000,-0.0736,11491,69658,18851
MEMIT,NS,MEMIT_L4_ONLY,MEMIT_L6_ONLY,common_atwrite_success,38198,-0.07018692078119274,3489,28539,6170
MEMIT,NS,MEMIT_L4_ONLY,MEMIT_L7_ONLY,all_exact_paired,100000,-0.09301,11152,68395,20453
MEMIT,NS,MEMIT_L4_ONLY,MEMIT_L7_ONLY,common_atwrite_success,38198,-0.07987329179538195,3537,28073,6588
MEMIT,NS,MEMIT_L4_ONLY,MEMIT_L8_ONLY,all_exact_paired,100000,-0.09423,11492,67593,20915
MEMIT,NS,MEMIT_L4_ONLY,MEMIT_L8_ONLY,common_atwrite_success,38198,-0.09058065867322897,3565,27608,7025
MEMIT,NS,MEMIT_L5_ONLY,MEMIT_L6_ONLY,all_exact_paired,100000,-0.03797,12037,72129,15834
MEMIT,NS,MEMIT_L5_ONLY,MEMIT_L6_ONLY,common_atwrite_success,38198,-0.052594376668935544,3572,29045,5581
MEMIT,NS,MEMIT_L5_ONLY,MEMIT_L7_ONLY,all_exact_paired,100000,-0.05738,11599,71064,17337
MEMIT,NS,MEMIT_L5_ONLY,MEMIT_L7_ONLY,common_atwrite_success,38198,-0.06228074768312477,3558,28703,5937
MEMIT,NS,MEMIT_L5_ONLY,MEMIT_L8_ONLY,all_exact_paired,100000,-0.0586,12272,69596,18132
MEMIT,NS,MEMIT_L5_ONLY,MEMIT_L8_ONLY,common_atwrite_success,38198,-0.07298811456097178,3674,28062,6462
