family,metric,arm,subset,original_denominator,excluded_count,excluded_rate,denominator,atwrite_numerator,final_numerator,atwrite_rate,final_rate,retained,lost,recovery,initial_and_current_failure,entry_success_denominator,loss_rate_among_entry_success,atwrite_desired_margin_mean,atwrite_desired_margin_median,atwrite_desired_margin_p90,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_delta_mean,desired_margin_delta_median,desired_margin_delta_p90,new_nll_mean,new_nll_median,new_nll_p90,true_nll_mean,true_nll_median,true_nll_p90,new_nll_delta_mean,new_nll_delta_median,new_nll_delta_p90,true_nll_delta_mean,true_nll_delta_median,true_nll_delta_p90
AlphaEdit,PS,AlphaEdit_L6_ONLY,all,20000,0,0.0,20000,18957,17148,0.94785,0.8574,16881,2076,267,776,18957,0.10951099857572401,8.39993040665316,8.522152620833367,14.795174998231232,5.519690644425069,5.413155248388648,12.315376158803701,-2.880239762228092,-1.8984799665340688,1.4145002365112305,3.31611212045503,1.9772809147834778,8.72873592376709,8.835802764880098,8.65332317352295,13.796277046203613,1.7486266905145422,0.5354714244604111,5.9966674000024796,-1.13161307171355,-0.7262899875640869,2.3041915893554688
AlphaEdit,PS,AlphaEdit_L6_ONLY,common_atwrite_success,20000,3601,0.18005,16399,16399,14790,1.0,0.9018842612354412,14790,1609,0,0,16399,0.09811573876455881,9.513984255062333,9.322338581085205,15.266705435235053,6.275661178333027,6.12946629524231,12.777957893908024,-3.2383230767293054,-2.2432596385478973,1.1992867526132613,2.870507365297596,1.4709043502807617,7.862431049346924,9.146168543630623,8.980461120605469,14.063926696777344,1.8383666595963952,0.5257667005062103,6.106902756262571,-1.3999564171329102,-0.9693112373352051,2.088603973388672
AlphaEdit,PS,AlphaEdit_L6_ONLY,common_support,20000,665,0.03325,19335,18562,16808,0.9600206878717352,0.8693043703129041,16607,1955,201,572,18562,0.10532270229501131,8.693730147022617,8.718257903121412,14.896413533948362,5.717143842923534,5.612400054931641,12.417623281478882,-2.976586304099083,-1.9898503492586315,1.367789743002504,3.203379979701526,1.8522471189498901,8.524626731872559,8.92052382262506,8.729937553405762,13.864975929260254,1.771082135772192,0.5358934104442596,6.0306854248046875,-1.205504168326891,-0.7928256988525391,2.2191689014434814
AlphaEdit,PS,AlphaEdit_L6_ONLY,active,20000,434,0.0217,19566,18619,16868,0.9515997137892263,0.8621077379127057,16623,1996,245,702,18619,0.10720232021053762,8.490933658370146,8.599700219929218,14.842640074901283,5.602642040207357,5.504102349281311,12.379255988635123,-2.888291618162789,-1.9010673796292394,1.40415358543396,3.249947783797908,1.8850285410881042,8.652233123779297,8.852589824005264,8.667179107666016,13.83315658569336,1.7431061980698328,0.5175395073601976,5.937374042812735,-1.1451854200929565,-0.7380790710449219,2.277066707611084
AlphaEdit,PS,AlphaEdit_L6_ONLY,superseded,20000,19566,0.9783,434,338,280,0.7788018433179723,0.6451612903225806,258,80,22,74,338,0.23668639053254437,4.297235422564374,3.745363712310791,11.55240035802126,1.7799970732816341,1.5024628639221191,7.506752014160156,-2.5172383492827404,-1.7871151566505432,2.2971444129943848,6.298995556015495,6.0875632762908936,10.636921882629395,8.07899262929713,8.087737560272217,12.400755882263184,1.997506771558745,1.631516456604004,6.957874849438667,-0.5197315777239951,-0.23851561546325684,3.1996536254882812
AlphaEdit,PS,AlphaEdit_L6_ONLY,superseded_same_target_only,20000,19990,0.9995,10,10,10,1.0,1.0,10,0,0,0,10,0.0,8.169255627226084,8.786590542644262,11.914353244006634,7.257178152972483,7.053741633892059,12.295467216521502,-0.9120774742536014,-0.625940109603107,3.0238717482134234,2.425633536404348,1.5112621188163757,7.583611488342285,9.68281168937683,10.192445755004883,12.34903335571289,1.1296483036450808,0.2192037357017398,2.916062355041504,0.21757082939147948,-0.4067363739013672,4.732649803161621
AlphaEdit,PS,AlphaEdit_L6_ONLY,superseded_different_target,20000,19576,0.9788,424,328,270,0.7735849056603774,0.6367924528301887,248,80,22,74,328,0.24390243902439024,4.205914191322353,3.5412681102752686,11.503797054290771,1.6508182742323216,1.419482707977295,7.32956600189209,-2.555095917090031,-1.8448638916015625,2.160189628601074,6.390348433836513,6.1184563636779785,10.652132034301758,8.041166708068834,8.02014684677124,12.400755882263184,2.017975131651048,1.6705189307685941,7.003761291503906,-0.5371207854389828,-0.22084474563598633,3.0157737731933594
AlphaEdit,PS,AlphaEdit_L7_ONLY,all,20000,0,0.0,20000,18525,16194,0.92625,0.8097,15799,2726,395,1080,18525,0.14715249662618082,8.02709343550813,8.195722273550928,14.85332872212166,4.780804375234903,4.624188184738159,11.942564070224762,-3.2462890602732264,-2.194000942632556,1.6525448560714722,4.133263959908411,2.9679746627807617,10.156611442565918,8.914068335143314,8.803892135620117,13.964000701904297,2.2574229996196298,0.9353999495506287,7.265726327896118,-0.9888660606535966,-0.6518797874450684,2.9041013717651367
AlphaEdit,PS,AlphaEdit_L7_ONLY,common_atwrite_success,20000,3601,0.18005,16399,16399,14202,1.0,0.8660284163668517,14202,2197,0,0,16399,0.13397158363314837,9.34246924881587,9.162010341882706,15.350099720060825,5.631616639459217,5.405784487724304,12.464397609233856,-3.7108526093566536,-2.6278743743896484,1.232556402683258,3.562734792887406,2.257838010787964,9.142940521240234,9.194351432346624,9.082679748535156,14.182294845581055,2.3792569539803496,0.9718176960013807,7.411315739154816,-1.3315956553763038,-0.9295616149902344,2.481825351715088
AlphaEdit,PS,AlphaEdit_L7_ONLY,common_support,20000,990,0.0495,19010,18001,15748,0.9469226722777485,0.8284061020515519,15468,2533,280,729,18001,0.14071440475529137,8.471990109827866,8.534250430762768,15.002530492842197,5.06144176013538,4.916213557589799,12.099657461047173,-3.4105483496924864,-2.3542400002479553,1.5009195320308208,3.967768488400466,2.7173688411712646,9.916908264160156,9.029210248535845,8.914273262023926,14.032941818237305,2.303560095841243,0.9455741439014673,7.330589473247528,-1.1069882538512439,-0.7628462314605713,2.7409934997558594
AlphaEdit,PS,AlphaEdit_L7_ONLY,active,20000,434,0.0217,19566,18190,15941,0.929673924154145,0.8147296330369007,15576,2614,365,1011,18190,0.14370533260032986,8.116475523587038,8.293383747339249,14.905135666020215,4.863631689748099,4.71446168422699,12.011441946029663,-3.2528438338389396,-2.1920405789278448,1.627243995666504,4.0512309231976955,2.8599252700805664,10.043272018432617,8.914862612945795,8.798286437988281,13.983139038085938,2.2425457736266003,0.910699874162674,7.231219067936763,-1.0102980602123393,-0.660668134689331,2.832728385925293
AlphaEdit,PS,AlphaEdit_L7_ONLY,superseded,20000,19566,0.9783,434,335,253,0.771889400921659,0.5829493087557603,223,112,30,69,335,0.33432835820895523,3.997485289535907,3.7669870108366013,11.226367690600455,1.046704753656112,0.8997900485992432,6.99601149559021,-2.9507805358797947,-2.397583842277527,3.0430268049240112,7.831555195580868,7.744034767150879,13.722208023071289,8.878259949236979,9.030214309692383,13.35749626159668,2.928132224918267,2.8252466479316354,8.599294662475586,-0.022648310961527963,-0.14778494834899902,5.3640758991241455
AlphaEdit,PS,AlphaEdit_L7_ONLY,superseded_same_target_only,20000,19990,0.9995,10,9,9,0.9,0.9,9,0,0,1,9,0.0,8.476891140732913,9.075343981385231,13.013122547417879,7.161234057368711,6.737282736459747,11.323032423853874,-1.3156570833642036,-2.235486490651965,1.3129463861696422,1.7672488089185208,0.4368707835674286,4.263915061950684,8.928482866287231,8.645180225372314,11.549535751342773,0.48367385086603465,0.13007920235395432,2.8769073486328125,-0.831983232498169,-0.7950186729431152,4.126405239105225
AlphaEdit,PS,AlphaEdit_L7_ONLY,superseded_different_target,20000,19576,0.9788,424,326,244,0.7688679245283019,0.5754716981132075,214,112,30,68,326,0.34355828220858897,3.891838925120883,3.6917861700057983,11.013091742992401,0.9024941568704374,0.8516941070556641,6.470881223678589,-2.9893447682504455,-2.4310758113861084,3.0430268049240112,7.974581289605923,7.879705190658569,13.814393997192383,8.87707544647636,9.030214309692383,13.35749626159668,2.985784545061008,2.922280583065003,8.64917278289795,-0.0035602231894373755,-0.14778494834899902,5.3640758991241455
AlphaEdit,PS,AlphaEdit_L8_ONLY,all,20000,0,0.0,20000,17838,15556,0.8919,0.7778,14929,2909,627,1535,17838,0.16307882049557126,7.280393507849187,7.500048789894208,14.471233585616574,4.42342879135218,4.160519599914551,11.880900502204895,-2.8569647164970076,-1.9307047426700592,2.3034616708755493,4.741376486215314,3.584009885787964,11.339564323425293,9.164805277567494,9.033899784088135,14.501129150390625,2.325690792405756,1.0088275894522667,7.759819485247135,-0.5312739240912517,-0.3499579429626465,3.8051843643188477
AlphaEdit,PS,AlphaEdit_L8_ONLY,common_atwrite_success,20000,3601,0.18005,16399,16399,13846,1.0,0.844319775596073,13846,2553,0,0,16399,0.15568022440392706,8.82102573439117,8.598949126899242,15.031836876296438,5.3756075465110635,5.137321472167969,12.445785522460938,-3.4454181878801067,-2.507956884801388,1.7404481172561646,4.081682010593031,2.7177765369415283,10.302024841308594,9.457289557104094,9.326536178588867,14.709409713745117,2.572208057078294,1.1131234169006348,8.097873449325562,-0.8732101308018131,-0.6155519485473633,3.4097955226898193
AlphaEdit,PS,AlphaEdit_L8_ONLY,common_support,20000,1418,0.0709,18582,17173,14958,0.9241739317619201,0.804972554084598,14532,2641,426,983,17173,0.15378792290223026,7.912348284811758,7.988134995102882,14.699991265311837,4.816319241342188,4.576524257659912,12.121169283986092,-3.0960290434695708,-2.1605379581451416,2.091783157084137,4.504938283879799,3.2313848733901978,11.07952880859375,9.321257525221988,9.185906887054443,14.606951713562012,2.4115443819278983,1.038712153211236,7.902976609766483,-0.6844846615416724,-0.4781193733215332,3.649458885192871
