entry,branch,C_sha256,G_minus_GT_frobenius,H_minus_HT_frobenius,K_sha256,R_sha256,actual_delta_norm,actual_minus_solve_delta_norm,condition_I_minus_G,delta_sha256,diagnostic_factor_status,diagnostic_seconds,divisor,ideal_orthogonal_P_identity,layer,native_solve_seconds,physical_write_applied,post_weight_sha256,pre_weight_sha256,raw_A_stored,reconstruction_max_abs,reconstruction_relative_frobenius,repeat_factor,residual_source
50,H56,9b684be593d2c2e2527d93ff77705636bf58c46901b63f6d0edfec9148102903,1.082196982293588e-06,2.5951421106740316e-06,cf90e4e9c5c61088e2d45bdb7ad86e237d6555fba44507d9b753504e4dd64766,00107be602b2ffd0306d613f43337091ea628cd42eb95e9f93ae158f66e1fb5d,2.6900100708007812,1.9878123111993773e-06,1.5817420648815526,e615883a2c32e50ab215fc786fd3fd8a59160f3c754d046af5d6332212557c01,COMPLETED,0.4232081053778529,5,NOT_ESTABLISHED,4,0.11847059428691864,True,97c12955a1e295325a2fbeeff58fca4ddd8d71b7e35bfba145f5289444cea12c,f63063bb0e481a8e898fb2e0056a6bef6b3bdb442a143c46f7954b4edb8119f3,False,3.442619345150888e-08,9.478819114672407e-07,1,ORIGINAL_NATIVE_FRAME_RESID
50,H56,5998eb2c6d2c8e6f72d2c96117ca0397d711b5794c9ebc70d82a2126da1877d4,1.9132128944749633e-06,5.215333658741403e-06,c946f664b5b74b4168a63a61e896d2fbbb79eea3383ca05c8d0a59621e8ddd59,ec7b2023cfe504dba93bdd11581ca715479cd36fd865571bb109510ece26ea3d,3.128783941268921,1.995631237150519e-06,1.5992121267607986,59fab28019fd421b1ff60cdb245a7fa83f3e7cc6eefb0b7a70181497dff0b165,COMPLETED,0.40333753544837236,4,NOT_ESTABLISHED,5,0.11896849237382412,True,12f6885b5fd8fec3fe6bbd2f2bb402ffdd93b8ed0486dd633db2b5b4ddb19ce4,d631af8995e81010c882ccb6935d150d660183287ce6dd94f5d6efdc230aa80e,False,7.241033017635345e-08,1.18107251823961e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,H56,ea622ca175a32ab3bdb597be534f77ea96e53a5c6b7bf34dad459a583ae58d5b,3.959858037961435e-06,1.080749453658278e-05,fb722bae5bd4a6927b534a6c93e26ee3ce0965dd0618a56b6fd7b22aa641f324,7cc0a1b13a29a3e745ee502ba9d95ea878d6c14d895fa4a3aed82ed92fb86c5c,3.751643180847168,1.9983240235887934e-06,1.5769441759710123,1f34e718530c95e96cf516f81c7e89f4afcc8ff8abb7129cd28e01e4986a2c00,COMPLETED,0.41486866027116776,3,NOT_ESTABLISHED,6,0.1186168733984232,True,a08f04342aa39d0712a4d30cd21de3a4ff6e30543c201472ad4d22df31943f63,1952a5003e58a64bc55aed3951aaebf666234eb94df7d21827e893ae01c0bc1b,False,8.300412446260452e-08,1.609555649517364e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,H56,f2b3a30c7fdefa40219dfb4b0e57d203efb9cb6766c04a06459a10bcb7edb908,6.310564179782655e-06,1.5760731900979525e-05,90faf234967939d731a16f30894838b6426710b65c36bb5b685eda17f611f491,340ee86be45981d37f1e060944428016cf6763042a6dcafe073a1a802ebc6ab7,4.918862819671631,2.062090061372146e-06,1.505591156634302,379eb3e26f786527df708d2e147fee05de2a07a7d9e3b85c8c467cc66bc15124,COMPLETED,0.3786698067560792,2,NOT_ESTABLISHED,7,0.11852746922522783,True,735967a1f946e84ecf0189175b930bae4db2188e07e9f5b4d0eae4823da47615,866648c43913ec56699c0d9646477435fda80db476f6158baa769e40c102ec65,False,1.816079020500183e-07,1.7910890308590732e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,H56,7abb68ec541ed964748b3ffdfcac13292cbc9efead3081807ea9b323a561c561,6.315064276564963e-06,1.4723097225392982e-05,746534be6b3f7a2dc29c2bf558032e3db388325473b5d38e0d29d72d3eeba77a,3e61398dad929138b24d8c5ff3dfd1e714469ddf12093eb84c9cba68f83d022d,8.05164623260498,2.2442720819526585e-06,1.4793513489439718,f85022bbaef8e03bc62867e4154abc69d41abd4e5aefc241e520bc70c3c8fa73,COMPLETED,0.3610086804255843,1,NOT_ESTABLISHED,8,0.11865088529884815,True,58b90bc5ad9512ccdd8537e1a659055e7682067c353c295a97264019ec790fb3,e968b3241a840944228a47d8061231aa41f303fe894ccb9b7f528c855b0e6d8f,False,5.075708031654358e-07,2.281891718627107e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,MASS56,9b684be593d2c2e2527d93ff77705636bf58c46901b63f6d0edfec9148102903,1.082196982293588e-06,2.5951421106740316e-06,cf90e4e9c5c61088e2d45bdb7ad86e237d6555fba44507d9b753504e4dd64766,00107be602b2ffd0306d613f43337091ea628cd42eb95e9f93ae158f66e1fb5d,2.6900100708007812,1.9878123111993773e-06,1.5817420648815526,e615883a2c32e50ab215fc786fd3fd8a59160f3c754d046af5d6332212557c01,COMPLETED,0.38143371138721704,5,NOT_ESTABLISHED,4,0.11856577824801207,True,97c12955a1e295325a2fbeeff58fca4ddd8d71b7e35bfba145f5289444cea12c,f63063bb0e481a8e898fb2e0056a6bef6b3bdb442a143c46f7954b4edb8119f3,False,3.442619345150888e-08,9.478819114672407e-07,1,ORIGINAL_NATIVE_FRAME_RESID
50,MASS56,1cf1bf58e04bb6a94f71bc7c3ae2d6bfdcea98866aaea0852d3bbd0cfefd8b97,1.853912732060722e-06,5.04183024085745e-06,c946f664b5b74b4168a63a61e896d2fbbb79eea3383ca05c8d0a59621e8ddd59,ec7b2023cfe504dba93bdd11581ca715479cd36fd865571bb109510ece26ea3d,3.1295647621154785,1.995510501728859e-06,1.5949149144040151,d0a27e8cfcdbb8541ad9d9cf0316a3e523497ce47aa61605f8c6a8180f4a292a,COMPLETED,0.3494981788098812,4,NOT_ESTABLISHED,5,0.11976646725088358,True,566555e07dbdad66e8f7c260fbb1808a0e895e969644dd81d6adec73abdd13ef,d631af8995e81010c882ccb6935d150d660183287ce6dd94f5d6efdc230aa80e,False,7.700873538851738e-08,1.1763186214708514e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,MASS56,39b24eb2e2f4b3a9f643dd805822283ad9b32f359b5dd51d6c76f82a3bdb72d0,4.089851908342357e-06,1.1139728285031799e-05,37f4d4106918e81233cb7cf2d551253a4cd6466991180e2a08f9614a1da2a1d9,330a160705d6ab882354cf7392d9c2092b86560cab8c79912d79f18c60be8c86,3.7544898986816406,1.997902700168197e-06,1.5661987167509936,9675281f0a1f0cb767c494014084f513fee42d38eeaa39c04c07f7e692099493,COMPLETED,0.32939333841204643,3,NOT_ESTABLISHED,6,0.11884470749646425,True,c69f38171716d9d2a946a1bf4f18cc6ad364c924a3f1bc9659f6ab32cf85a746,1952a5003e58a64bc55aed3951aaebf666234eb94df7d21827e893ae01c0bc1b,False,1.5721889212727547e-07,1.6017071152120972e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,MASS56,a13c9ab6727208f179992ffca82215ce8a07de91d942dec3616dcbda55913bfc,5.9965175304600515e-06,1.5064167594644895e-05,a922c0416be1b64b4c225c2c22356371ffb748040f1b39a4814cbdaa28009527,2870e81448ad3f44cab1887742db4f2025716d062507af61198b3c76be6d49ae,4.918664455413818,2.0615598259610124e-06,1.5043910712109332,10ad541d52e11efdd47db5402941d65a3c4e79f566ce6357f7662c5972e8e38f,COMPLETED,0.3861017180606723,2,NOT_ESTABLISHED,7,0.11878176778554916,True,4022e5e0e4aa68acfdd17c87f5e45f7d03d9ccd12d8c015266db06bb93f11f2b,866648c43913ec56699c0d9646477435fda80db476f6158baa769e40c102ec65,False,1.5622936189174652e-07,1.7896625539055746e-06,1,ORIGINAL_NATIVE_FRAME_RESID
50,MASS56,849af09e8750289fc8bdfc20b6318d99a3c7dd47a763b49ae9b3f9639bc03ef5,6.310678204596744e-06,1.4700396188189133e-05,47f5c0c88d63bae0f7df6631556c9c928988b46a064cef1641bb89bc5fa8d746,b8a161c9e83aafcce50fd5ffc264fe07c6dc43441d30166db48acb47563ce27a,8.050983428955078,2.2443284706241684e-06,1.4774040063410836,48523d631b71fbaf8ab4caafad01ad8430da52861c61095b3bf1c95e70e6ee7e,COMPLETED,0.411619040183723,1,NOT_ESTABLISHED,8,0.11852454207837582,True,6df951a1664bbf5965aaf16b8200197852a8274471c6b5a89e6b5ba66e903dcc,e968b3241a840944228a47d8061231aa41f303fe894ccb9b7f528c855b0e6d8f,False,5.075708031654358e-07,2.288514839847146e-06,1,ORIGINAL_NATIVE_FRAME_RESID
