entry,branch,subset,metric,numerator,denominator,percent,ties,token_correct,target_tokens,token_micro,prompt_macro,strict_count,unique_strict_count,new_nll_mean,true_nll_mean,desired_nll_mean,desired_margin_mean,desired_margin_p01,desired_margin_p05,desired_margin_median,desired_nll_p95,desired_nll_p99
70,SHAM,ACTIVE,RS,417,499,83.56713426853707,0,258,503,0.5129224652087475,0.5140280561122245,256,256,2.8681555151358364,7.687037041645968,2.8681555151358364,4.818881526510131,-7.078557605743408,-3.331059193611145,4.509296655654907,10.004710674285885,13.062627830505344
70,SHAM,ACTIVE,PS,708,998,70.94188376753507,0,263,1006,0.2614314115308151,0.26002004008016033,257,257,4.91649255800849,7.447746418722586,4.91649255800849,2.531253860714096,-7.747484999895096,-4.365865564346313,2.3174526691436768,11.656144666671748,14.32785729408264
70,SHAM,SUPERSEDED,RS,10,13,76.92307692307692,0,2,13,0.15384615384615385,0.15384615384615385,2,2,5.015986827703623,8.490733476785513,5.015986827703623,3.4747466490818906,-2.8600885009765626,-2.4269035339355467,2.8149538040161133,10.34361906051635,13.182671871185297
70,SHAM,SUPERSEDED,PS,15,26,57.69230769230769,0,3,26,0.11538461538461539,0.11538461538461539,3,3,6.25617745747933,7.054842751759749,6.25617745747933,0.798665294280419,-5.092914372682571,-4.675131410360336,0.628115177154541,10.166899919509888,10.705629825592041
70,H5,ACTIVE,RS,416,499,83.36673346693387,0,258,503,0.5129224652087475,0.5140280561122245,256,256,2.869062147548498,7.687488028484738,2.869062147548498,4.818425880936241,-7.042171325683594,-3.3495136976242064,4.5161449909210205,10.011891269683835,13.057489814758274
70,H5,ACTIVE,PS,708,998,70.94188376753507,0,263,1006,0.2614314115308151,0.26002004008016033,257,257,4.9164785853010144,7.446837336892535,4.9164785853010144,2.53035875159152,-7.778688395023346,-4.372326016426086,2.3244755268096924,11.65039319992065,14.315385065078734
70,H5,SUPERSEDED,RS,10,13,76.92307692307692,0,1,13,0.07692307692307693,0.07692307692307693,1,1,5.016572979780344,8.489509435800406,5.016572979780344,3.472936456020062,-2.869204292297363,-2.4276559829711912,2.816375255584717,10.342898178100578,13.181631240844721
70,H5,SUPERSEDED,PS,15,26,57.69230769230769,0,3,26,0.11538461538461539,0.11538461538461539,3,3,6.256078926416544,7.056179413428674,6.256078926416544,0.8001004870121295,-5.097244620323181,-4.673136949539185,0.6272797584533691,10.170483350753784,10.713510036468506
70,H6,ACTIVE,RS,417,499,83.56713426853707,0,258,503,0.5129224652087475,0.5140280561122245,256,256,2.8651933868166957,7.685833370876694,2.8651933868166957,4.820639984059999,-7.065074229240417,-3.3378329038619996,4.495393872261047,10.007850170135496,13.049490890502902
70,H6,ACTIVE,PS,708,998,70.94188376753507,0,263,1006,0.2614314115308151,0.26002004008016033,257,257,4.914062700441638,7.447234667150792,4.914062700441638,2.533171966709155,-7.739691873788834,-4.369709062576294,2.3223098665475845,11.612448930740351,14.346858139038085
