entry,branch,layer,preM,postM,key,validation,independent_fullM,reused
50,H56,7,e26090d723de84ab7704cd8dbb3aaf5b877769b7bdc3cbe7a84a951da888541b,03b1b0f9a0b84656453ce3d2f76f5228f536c0e36ce7925b1befe30cf9bf3d12,90faf234967939d731a16f30894838b6426710b65c36bb5b685eda17f611f491,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
50,H56,8,7cadb148bbb8aef279dc5197a3a0fc149bc33624b033d79223a4e4e4283c120a,9ac7ae2263a1a8a5634101d2e3d589a1f044555b1395d930b3166d7a30d96967,746534be6b3f7a2dc29c2bf558032e3db388325473b5d38e0d29d72d3eeba77a,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
50,MASS56,4,835eddbfb6b3f33c48223456ef77521b865f3a4299cfc07623976be2b3580cf7,10c8270ad81d66367e4c3f2e67a289d6360916882e85e74e135b4e91a7f388e8,cf90e4e9c5c61088e2d45bdb7ad86e237d6555fba44507d9b753504e4dd64766,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
50,MASS56,5,23851395f6f94aa067065b09ed1e600f28875f23ce342a46321288472c762341,193f3381f16b603ff3846edac2cbcb6b6fdb1129c05dcb0105db133e25aacfeb,c946f664b5b74b4168a63a61e896d2fbbb79eea3383ca05c8d0a59621e8ddd59,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
50,MASS56,6,c30d288781b8d264c5669714ff1ec4bf9dd20f528226e12008fcfb6e2304c5e6,5ec50f6bd7104c532b97df3e61fadf5aaa10291f439e85e4b2c3bab038e4503b,37f4d4106918e81233cb7cf2d551253a4cd6466991180e2a08f9614a1da2a1d9,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
50,MASS56,7,e26090d723de84ab7704cd8dbb3aaf5b877769b7bdc3cbe7a84a951da888541b,6a0e4110d7e99006f49cb4f0440b197e979e9cdfa9963261ae315054d8ab58a0,a922c0416be1b64b4c225c2c22356371ffb748040f1b39a4814cbdaa28009527,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
50,MASS56,8,7cadb148bbb8aef279dc5197a3a0fc149bc33624b033d79223a4e4e4283c120a,15d4fdde738cad7030d5b7043f1525a761588aa75aeeb3e1b97025e4f37f8eaa,47f5c0c88d63bae0f7df6631556c9c928988b46a064cef1641bb89bc5fa8d746,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,NATIVE,4,2a22c0f33cd4a2ccc641315235de7070c0ce6f75389063bfa03adedf6b857d9f,e9c9feab651b737447676eaae338598540b722eca0b27fbeb68b7491d3af1da4,e023b81e57da92567f6aae03fac8e20056c292244b8c959340597fa57f1bb32b,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,NATIVE,5,0ad5134f7fefc565129f4bdffd608d9ff22e6d15f1408e50dda3029e488a846e,23162074271d60e59a259e48fbb928012c20557109b8018bb7af73b1a95ed24d,e0eeac4a58a77842793898ec76e669f5dfbbf7a90e4cec2e680e49929bdab188,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,NATIVE,6,545d88418f1f107cbb43191ea209cb94f0d572cf8a2ac06233ea678c2e780430,435b2782af421c01df84732cd5cfb5f979b290e04a206a9b6874dc8bbe1a4514,e8a769ba3161028191215b0e68f7417a74b6c09e430c8ff3bfd37478153331de,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,NATIVE,7,d5e2545a186b9f865da60b1d1565df3582e168f9e682d3b8e09780b3705b9eb0,c6ad1ba4b2a949ef05838428ac9d5c402f742a471c4b33ada311a5644c34802a,28eb1a394256554ac8f42d2d5c2fa4faedd41eff2265af70747f467672789616,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,NATIVE,8,66dadc4e94f3c48473c889e09376dcbd429b8c5de6222098bd1f1548a64aefd0,55fe3dbe94344d1cf5529d0decf70d73d476a56cd863eb60611260d2649d6489,c14a2403c8f92a63742883b1886a31e1482a526798b25cbbbd5789e1eb486c6a,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
70,SHAM,4,2a22c0f33cd4a2ccc641315235de7070c0ce6f75389063bfa03adedf6b857d9f,e9c9feab651b737447676eaae338598540b722eca0b27fbeb68b7491d3af1da4,e023b81e57da92567f6aae03fac8e20056c292244b8c959340597fa57f1bb32b,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
