entry,branch,stage,panel,w0_correct,retained,gross_lost,recovered_from_w0_failure
80,SHAM,entry,N512,512,51,461,0
80,SHAM,history,N512,512,49,463,0
80,SHAM,z,N512,512,51,461,0
80,H5,W4,N512,512,53,459,0
80,H5,W5,N512,512,50,462,0
80,H5,W6,N512,512,52,460,0
80,H5,W7,N512,512,50,462,0
80,H5,W8,N512,512,49,463,0
80,H5,entry,N512,512,51,461,0
80,H5,history,N512,512,49,463,0
80,H5,z,N512,512,51,461,0
80,H6,W4,N512,512,53,459,0
80,H6,W5,N512,512,50,462,0
80,H6,W6,N512,512,52,460,0
80,H6,W7,N512,512,50,462,0
80,H6,W8,N512,512,50,462,0
80,H6,entry,N512,512,51,461,0
80,H6,history,N512,512,50,462,0
80,H6,z,N512,512,51,461,0
80,H56,W4,N512,512,53,459,0
80,H56,W5,N512,512,50,462,0
80,H56,W6,N512,512,51,461,0
80,H56,W7,N512,512,50,462,0
80,H56,W8,N512,512,50,462,0
80,H56,entry,N512,512,51,461,0
80,H56,history,N512,512,50,462,0
80,H56,z,N512,512,51,461,0
80,MASS56,W4,N512,512,53,459,0
80,MASS56,W5,N512,512,50,462,0
80,MASS56,W6,N512,512,52,460,0
80,MASS56,W7,N512,512,50,462,0
80,MASS56,W8,N512,512,49,463,0
80,MASS56,entry,N512,512,51,461,0
80,MASS56,history,N512,512,49,463,0
80,MASS56,z,N512,512,51,461,0
90,NATIVE,W4,N512,512,44,468,0
90,NATIVE,W5,N512,512,41,471,0
90,NATIVE,W6,N512,512,38,474,0
90,NATIVE,W7,N512,512,38,474,0
90,NATIVE,W8,N512,512,38,474,0
90,NATIVE,entry,N512,512,45,467,0
90,NATIVE,history,N512,512,38,474,0
90,NATIVE,z,N512,512,45,467,0
90,SHAM,W4,N512,512,44,468,0
90,SHAM,W5,N512,512,41,471,0
90,SHAM,W6,N512,512,38,474,0
90,SHAM,W7,N512,512,38,474,0
90,SHAM,W8,N512,512,38,474,0
90,SHAM,entry,N512,512,45,467,0
90,SHAM,history,N512,512,38,474,0
90,SHAM,z,N512,512,45,467,0
90,H5,W4,N512,512,44,468,0
90,H5,W5,N512,512,41,471,0
90,H5,W6,N512,512,38,474,0
90,H5,W7,N512,512,38,474,0
90,H5,W8,N512,512,38,474,0
90,H5,entry,N512,512,45,467,0
90,H5,history,N512,512,38,474,0
90,H5,z,N512,512,45,467,0
90,H6,W4,N512,512,44,468,0
90,H6,W5,N512,512,41,471,0
90,H6,W6,N512,512,38,474,0
90,H6,W7,N512,512,38,474,0
90,H6,W8,N512,512,38,474,0
90,H6,entry,N512,512,45,467,0
90,H6,history,N512,512,38,474,0
90,H6,z,N512,512,45,467,0
90,H56,W4,N512,512,44,468,0
90,H56,W5,N512,512,41,471,0
90,H56,W6,N512,512,38,474,0
90,H56,W7,N512,512,38,474,0
90,H56,W8,N512,512,39,473,0
90,H56,entry,N512,512,45,467,0
90,H56,history,N512,512,39,473,0
90,H56,z,N512,512,45,467,0
90,MASS56,W4,N512,512,44,468,0
90,MASS56,W5,N512,512,41,471,0
90,MASS56,W6,N512,512,38,474,0
90,MASS56,W7,N512,512,38,474,0
90,MASS56,W8,N512,512,38,474,0
90,MASS56,entry,N512,512,45,467,0
90,MASS56,history,N512,512,38,474,0
90,MASS56,z,N512,512,45,467,0
