entry,branch,stage,panel,metric,numerator,denominator,percent,ties,token_correct,target_tokens,token_micro,prompt_macro,strict_count,unique_strict_count,new_nll_mean,true_nll_mean,desired_nll_mean,desired_margin_mean,desired_margin_p01,desired_margin_p05,desired_margin_median,desired_nll_p95,desired_nll_p99
50,MASS56,history,H512_ALL,PS,896,1024,87.5,0,609,1032,0.5901162790697675,0.58984375,601,601,2.220798599745443,8.356224465984269,2.220798599745443,6.135425866238826,-7.416818816661834,-3.118588912487029,6.481062535662204,8.81468191146849,12.072734060287473
50,L5/KR/aa,component,Current,RS,99,100,99.0,0,93,101,0.9207920792079208,0.925,92,92,0.4437516087415861,10.486162784099578,0.4437516087415861,10.042411175357993,1.1016340494155883,2.201830893754959,10.335928417742252,2.536832261085507,5.458401241302526
50,L5/KR/aa,component,Current,PS,185,200,92.5,0,143,202,0.7079207920792079,0.71,141,141,1.4685817796984337,9.158702921271324,1.4685817796984337,7.690121141572891,-5.274997210502624,-1.50814356803894,8.59768372029066,7.266743874549864,11.47016787528991
50,L5/KR/aa,component,Current,NS,630,1000,63.0,0,160,1030,0.1553398058252427,0.1445,131,131,7.231843459328637,5.528133080809843,5.528133080809843,1.7037103785187937,-11.418084407672286,-7.400580883026123,1.5197110772132874,11.807738685607909,14.030339288711547
50,L5/KR/aa,component,N512,NS,355,512,69.3359375,0,87,512,0.169921875,0.169921875,87,87,7.139644871602286,4.771284337934048,4.771284337934048,2.3683605336682376,-8.311476083025337,-5.321705722808838,2.0007652640342712,10.816685628890989,13.090446357727052
50,L5/KR/aa,component,H512_ALL,RS,486,512,94.921875,0,419,516,0.812015503875969,0.814453125,415,415,0.9805535801131313,9.759387053956743,0.9805535801131313,8.778833473843612,-6.000862091779709,-0.02498393058776839,8.534716377034783,5.872225761413573,10.57262202262878
50,L5/KR/aa,component,H512_ALL,PS,902,1024,88.0859375,0,611,1032,0.5920542635658915,0.591796875,603,603,2.201578296518864,8.372642035117678,2.201578296518864,6.171063738598814,-7.378900616168976,-3.1493524372577664,6.472756445407867,8.67698698043822,12.168760566711425
50,L5/KR/ab,component,Current,RS,99,100,99.0,0,93,101,0.9207920792079208,0.925,92,92,0.4955510476932977,10.210508546829224,0.4955510476932977,9.714957499135926,0.15397248268127436,2.0050461292266846,9.906451946124434,2.7687971711158714,5.800663499832188
50,L5/KR/ab,component,Current,PS,185,200,92.5,0,136,202,0.6732673267326733,0.675,134,134,1.5679562753245408,8.94427717268467,1.5679562753245408,7.376320897360128,-5.576289303302765,-1.935523062944412,8.330932479351759,7.425941419601437,11.605359840393056
50,L5/KR/ab,component,Current,NS,633,1000,63.3,0,160,1030,0.1553398058252427,0.1445,131,131,7.249922052253038,5.52385282096127,5.52385282096127,1.7260692312917671,-11.360249951910227,-7.4095364034175875,1.4959536790847778,11.799413442611694,14.074838008880615
