capture,condition,n,panel,phase,state,status
fd696155f1415a69e726c57f45852b39ef1ae4d32881aacedf6f7a66526cfa70,native,1000,middle,E1,80,COMPLETED
c59f6e02c9128a0c5280c5f9dbc12da0be2466f5bf55d537230ff91c52aa8d21,native,1000,onset,E1,80,COMPLETED
8c6bfb60a4a4ffbb99fb1b07296ae837e1717de65d0492a6aeb340e075c89cba,native,1000,late,E1,80,COMPLETED
7d508dd7d28df7c675a635cbfb95ae7e3155729bbc0c89cb09bce64489f3f051,native,1000,early,E1,90,COMPLETED
fd696155f1415a69e726c57f45852b39ef1ae4d32881aacedf6f7a66526cfa70,native,1000,middle,E1,90,COMPLETED
c59f6e02c9128a0c5280c5f9dbc12da0be2466f5bf55d537230ff91c52aa8d21,native,1000,onset,E1,90,COMPLETED
8c6bfb60a4a4ffbb99fb1b07296ae837e1717de65d0492a6aeb340e075c89cba,native,1000,late,E1,90,COMPLETED
7d508dd7d28df7c675a635cbfb95ae7e3155729bbc0c89cb09bce64489f3f051,native,1000,early,E1,100,COMPLETED
fd696155f1415a69e726c57f45852b39ef1ae4d32881aacedf6f7a66526cfa70,native,1000,middle,E1,100,COMPLETED
c59f6e02c9128a0c5280c5f9dbc12da0be2466f5bf55d537230ff91c52aa8d21,native,1000,onset,E1,100,COMPLETED
8c6bfb60a4a4ffbb99fb1b07296ae837e1717de65d0492a6aeb340e075c89cba,native,1000,late,E1,100,COMPLETED
13f37cc7a7756f22da193ddc5b73eb099432cc7ceb7edfc776684b0b2113becb,000,512,calibration512,E2,80,COMPLETED
2b60c00e62e900dcf292bf725eaf42904c52a3b682777a4f0a90ab80f613cb94,000,872,assessment-early,E2,80,COMPLETED
6702a3da948d7e03fa8daa8b220a73e99aa0bffce7de4239b8008ab1227ee407,000,872,assessment-middle,E2,80,COMPLETED
380ea05c6bb884f823ab32ba40320d67077ba9ec9d77f02b6625136c25689c9c,000,872,assessment-onset,E2,80,COMPLETED
23d320ff382eabd5b3246291e107948a7792396b26d6f05e825236ac7448bc3c,000,872,assessment-late,E2,80,COMPLETED
13f37cc7a7756f22da193ddc5b73eb099432cc7ceb7edfc776684b0b2113becb,001,512,calibration512,E2,80,COMPLETED
2b60c00e62e900dcf292bf725eaf42904c52a3b682777a4f0a90ab80f613cb94,001,872,assessment-early,E2,80,COMPLETED
6702a3da948d7e03fa8daa8b220a73e99aa0bffce7de4239b8008ab1227ee407,001,872,assessment-middle,E2,80,COMPLETED
380ea05c6bb884f823ab32ba40320d67077ba9ec9d77f02b6625136c25689c9c,001,872,assessment-onset,E2,80,COMPLETED
23d320ff382eabd5b3246291e107948a7792396b26d6f05e825236ac7448bc3c,001,872,assessment-late,E2,80,COMPLETED
13f37cc7a7756f22da193ddc5b73eb099432cc7ceb7edfc776684b0b2113becb,010,512,calibration512,E2,80,COMPLETED
2b60c00e62e900dcf292bf725eaf42904c52a3b682777a4f0a90ab80f613cb94,010,872,assessment-early,E2,80,COMPLETED
6702a3da948d7e03fa8daa8b220a73e99aa0bffce7de4239b8008ab1227ee407,010,872,assessment-middle,E2,80,COMPLETED
380ea05c6bb884f823ab32ba40320d67077ba9ec9d77f02b6625136c25689c9c,010,872,assessment-onset,E2,80,COMPLETED
23d320ff382eabd5b3246291e107948a7792396b26d6f05e825236ac7448bc3c,010,872,assessment-late,E2,80,COMPLETED
13f37cc7a7756f22da193ddc5b73eb099432cc7ceb7edfc776684b0b2113becb,011,512,calibration512,E2,80,COMPLETED
2b60c00e62e900dcf292bf725eaf42904c52a3b682777a4f0a90ab80f613cb94,011,872,assessment-early,E2,80,COMPLETED
6702a3da948d7e03fa8daa8b220a73e99aa0bffce7de4239b8008ab1227ee407,011,872,assessment-middle,E2,80,COMPLETED
380ea05c6bb884f823ab32ba40320d67077ba9ec9d77f02b6625136c25689c9c,011,872,assessment-onset,E2,80,COMPLETED
23d320ff382eabd5b3246291e107948a7792396b26d6f05e825236ac7448bc3c,011,872,assessment-late,E2,80,COMPLETED
13f37cc7a7756f22da193ddc5b73eb099432cc7ceb7edfc776684b0b2113becb,100,512,calibration512,E2,80,COMPLETED
2b60c00e62e900dcf292bf725eaf42904c52a3b682777a4f0a90ab80f613cb94,100,872,assessment-early,E2,80,COMPLETED
6702a3da948d7e03fa8daa8b220a73e99aa0bffce7de4239b8008ab1227ee407,100,872,assessment-middle,E2,80,COMPLETED
380ea05c6bb884f823ab32ba40320d67077ba9ec9d77f02b6625136c25689c9c,100,872,assessment-onset,E2,80,COMPLETED
23d320ff382eabd5b3246291e107948a7792396b26d6f05e825236ac7448bc3c,100,872,assessment-late,E2,80,COMPLETED
13f37cc7a7756f22da193ddc5b73eb099432cc7ceb7edfc776684b0b2113becb,101,512,calibration512,E2,80,COMPLETED
2b60c00e62e900dcf292bf725eaf42904c52a3b682777a4f0a90ab80f613cb94,101,872,assessment-early,E2,80,COMPLETED
6702a3da948d7e03fa8daa8b220a73e99aa0bffce7de4239b8008ab1227ee407,101,872,assessment-middle,E2,80,COMPLETED
380ea05c6bb884f823ab32ba40320d67077ba9ec9d77f02b6625136c25689c9c,101,872,assessment-onset,E2,80,COMPLETED
23d320ff382eabd5b3246291e107948a7792396b26d6f05e825236ac7448bc3c,101,872,assessment-late,E2,80,COMPLETED
13f37cc7a7756f22da193ddc5b73eb099432cc7ceb7edfc776684b0b2113becb,110,512,calibration512,E2,80,COMPLETED
2b60c00e62e900dcf292bf725eaf42904c52a3b682777a4f0a90ab80f613cb94,110,872,assessment-early,E2,80,COMPLETED
6702a3da948d7e03fa8daa8b220a73e99aa0bffce7de4239b8008ab1227ee407,110,872,assessment-middle,E2,80,COMPLETED
380ea05c6bb884f823ab32ba40320d67077ba9ec9d77f02b6625136c25689c9c,110,872,assessment-onset,E2,80,COMPLETED
23d320ff382eabd5b3246291e107948a7792396b26d6f05e825236ac7448bc3c,110,872,assessment-late,E2,80,COMPLETED
13f37cc7a7756f22da193ddc5b73eb099432cc7ceb7edfc776684b0b2113becb,111,512,calibration512,E2,80,COMPLETED
2b60c00e62e900dcf292bf725eaf42904c52a3b682777a4f0a90ab80f613cb94,111,872,assessment-early,E2,80,COMPLETED
6702a3da948d7e03fa8daa8b220a73e99aa0bffce7de4239b8008ab1227ee407,111,872,assessment-middle,E2,80,COMPLETED
380ea05c6bb884f823ab32ba40320d67077ba9ec9d77f02b6625136c25689c9c,111,872,assessment-onset,E2,80,COMPLETED
23d320ff382eabd5b3246291e107948a7792396b26d6f05e825236ac7448bc3c,111,872,assessment-late,E2,80,COMPLETED
13f37cc7a7756f22da193ddc5b73eb099432cc7ceb7edfc776684b0b2113becb,upper-control,512,calibration512,E2,80,COMPLETED
2b60c00e62e900dcf292bf725eaf42904c52a3b682777a4f0a90ab80f613cb94,upper-control,872,assessment-early,E2,80,COMPLETED
6702a3da948d7e03fa8daa8b220a73e99aa0bffce7de4239b8008ab1227ee407,upper-control,872,assessment-middle,E2,80,COMPLETED
380ea05c6bb884f823ab32ba40320d67077ba9ec9d77f02b6625136c25689c9c,upper-control,872,assessment-onset,E2,80,COMPLETED
23d320ff382eabd5b3246291e107948a7792396b26d6f05e825236ac7448bc3c,upper-control,872,assessment-late,E2,80,COMPLETED
13f37cc7a7756f22da193ddc5b73eb099432cc7ceb7edfc776684b0b2113becb,000,512,calibration512,E2,100,COMPLETED
2b60c00e62e900dcf292bf725eaf42904c52a3b682777a4f0a90ab80f613cb94,000,872,assessment-early,E2,100,COMPLETED
6702a3da948d7e03fa8daa8b220a73e99aa0bffce7de4239b8008ab1227ee407,000,872,assessment-middle,E2,100,COMPLETED
380ea05c6bb884f823ab32ba40320d67077ba9ec9d77f02b6625136c25689c9c,000,872,assessment-onset,E2,100,COMPLETED
23d320ff382eabd5b3246291e107948a7792396b26d6f05e825236ac7448bc3c,000,872,assessment-late,E2,100,COMPLETED
13f37cc7a7756f22da193ddc5b73eb099432cc7ceb7edfc776684b0b2113becb,001,512,calibration512,E2,100,COMPLETED
2b60c00e62e900dcf292bf725eaf42904c52a3b682777a4f0a90ab80f613cb94,001,872,assessment-early,E2,100,COMPLETED
6702a3da948d7e03fa8daa8b220a73e99aa0bffce7de4239b8008ab1227ee407,001,872,assessment-middle,E2,100,COMPLETED
380ea05c6bb884f823ab32ba40320d67077ba9ec9d77f02b6625136c25689c9c,001,872,assessment-onset,E2,100,COMPLETED
23d320ff382eabd5b3246291e107948a7792396b26d6f05e825236ac7448bc3c,001,872,assessment-late,E2,100,COMPLETED
13f37cc7a7756f22da193ddc5b73eb099432cc7ceb7edfc776684b0b2113becb,010,512,calibration512,E2,100,COMPLETED
2b60c00e62e900dcf292bf725eaf42904c52a3b682777a4f0a90ab80f613cb94,010,872,assessment-early,E2,100,COMPLETED
6702a3da948d7e03fa8daa8b220a73e99aa0bffce7de4239b8008ab1227ee407,010,872,assessment-middle,E2,100,COMPLETED
380ea05c6bb884f823ab32ba40320d67077ba9ec9d77f02b6625136c25689c9c,010,872,assessment-onset,E2,100,COMPLETED
23d320ff382eabd5b3246291e107948a7792396b26d6f05e825236ac7448bc3c,010,872,assessment-late,E2,100,COMPLETED
13f37cc7a7756f22da193ddc5b73eb099432cc7ceb7edfc776684b0b2113becb,011,512,calibration512,E2,100,COMPLETED
2b60c00e62e900dcf292bf725eaf42904c52a3b682777a4f0a90ab80f613cb94,011,872,assessment-early,E2,100,COMPLETED
6702a3da948d7e03fa8daa8b220a73e99aa0bffce7de4239b8008ab1227ee407,011,872,assessment-middle,E2,100,COMPLETED
380ea05c6bb884f823ab32ba40320d67077ba9ec9d77f02b6625136c25689c9c,011,872,assessment-onset,E2,100,COMPLETED
23d320ff382eabd5b3246291e107948a7792396b26d6f05e825236ac7448bc3c,011,872,assessment-late,E2,100,COMPLETED
13f37cc7a7756f22da193ddc5b73eb099432cc7ceb7edfc776684b0b2113becb,100,512,calibration512,E2,100,COMPLETED
2b60c00e62e900dcf292bf725eaf42904c52a3b682777a4f0a90ab80f613cb94,100,872,assessment-early,E2,100,COMPLETED
6702a3da948d7e03fa8daa8b220a73e99aa0bffce7de4239b8008ab1227ee407,100,872,assessment-middle,E2,100,COMPLETED
380ea05c6bb884f823ab32ba40320d67077ba9ec9d77f02b6625136c25689c9c,100,872,assessment-onset,E2,100,COMPLETED
23d320ff382eabd5b3246291e107948a7792396b26d6f05e825236ac7448bc3c,100,872,assessment-late,E2,100,COMPLETED
13f37cc7a7756f22da193ddc5b73eb099432cc7ceb7edfc776684b0b2113becb,101,512,calibration512,E2,100,COMPLETED
2b60c00e62e900dcf292bf725eaf42904c52a3b682777a4f0a90ab80f613cb94,101,872,assessment-early,E2,100,COMPLETED
6702a3da948d7e03fa8daa8b220a73e99aa0bffce7de4239b8008ab1227ee407,101,872,assessment-middle,E2,100,COMPLETED
380ea05c6bb884f823ab32ba40320d67077ba9ec9d77f02b6625136c25689c9c,101,872,assessment-onset,E2,100,COMPLETED
23d320ff382eabd5b3246291e107948a7792396b26d6f05e825236ac7448bc3c,101,872,assessment-late,E2,100,COMPLETED
13f37cc7a7756f22da193ddc5b73eb099432cc7ceb7edfc776684b0b2113becb,110,512,calibration512,E2,100,COMPLETED
2b60c00e62e900dcf292bf725eaf42904c52a3b682777a4f0a90ab80f613cb94,110,872,assessment-early,E2,100,COMPLETED
6702a3da948d7e03fa8daa8b220a73e99aa0bffce7de4239b8008ab1227ee407,110,872,assessment-middle,E2,100,COMPLETED
380ea05c6bb884f823ab32ba40320d67077ba9ec9d77f02b6625136c25689c9c,110,872,assessment-onset,E2,100,COMPLETED
23d320ff382eabd5b3246291e107948a7792396b26d6f05e825236ac7448bc3c,110,872,assessment-late,E2,100,COMPLETED
13f37cc7a7756f22da193ddc5b73eb099432cc7ceb7edfc776684b0b2113becb,111,512,calibration512,E2,100,COMPLETED
2b60c00e62e900dcf292bf725eaf42904c52a3b682777a4f0a90ab80f613cb94,111,872,assessment-early,E2,100,COMPLETED
6702a3da948d7e03fa8daa8b220a73e99aa0bffce7de4239b8008ab1227ee407,111,872,assessment-middle,E2,100,COMPLETED
380ea05c6bb884f823ab32ba40320d67077ba9ec9d77f02b6625136c25689c9c,111,872,assessment-onset,E2,100,COMPLETED
23d320ff382eabd5b3246291e107948a7792396b26d6f05e825236ac7448bc3c,111,872,assessment-late,E2,100,COMPLETED
13f37cc7a7756f22da193ddc5b73eb099432cc7ceb7edfc776684b0b2113becb,upper-control,512,calibration512,E2,100,COMPLETED
2b60c00e62e900dcf292bf725eaf42904c52a3b682777a4f0a90ab80f613cb94,upper-control,872,assessment-early,E2,100,COMPLETED
6702a3da948d7e03fa8daa8b220a73e99aa0bffce7de4239b8008ab1227ee407,upper-control,872,assessment-middle,E2,100,COMPLETED
380ea05c6bb884f823ab32ba40320d67077ba9ec9d77f02b6625136c25689c9c,upper-control,872,assessment-onset,E2,100,COMPLETED
23d320ff382eabd5b3246291e107948a7792396b26d6f05e825236ac7448bc3c,upper-control,872,assessment-late,E2,100,COMPLETED
