entry,kind,status,comparison,exact,field,layer,max_abs,relative_frobenius,metric,attention_mask_sha256,authority_user_text,blocks_execution,comparison_verdict,full_physical_max_abs,full_physical_rms,full_physical_valid_logits_bitwise_equal,input_ids_sha256,kernel,numerical_comparison_policy,sum_route_max_abs,sum_route_not_bitwise_assumed,sum_route_rms,threshold,tokens,vocabulary
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,K,8,1.5944242477416992e-06,1.4280347938979716e-06,,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,R,8,4.76837158203125e-06,1.280898619049583e-06,,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,delta,8,1.068750862032175e-06,4.142055760914325e-06,,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,new_nll,,7.867813110351562e-06,,RS,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,2.765655517578125e-05,,RS,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,new_nll,,2.002716064453125e-05,,PS,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,3.4332275390625e-05,,PS,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,new_nll,,5.340576171875e-05,,NS,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,4.482269287109375e-05,,NS,,,,,,,,,,,,,,,,
80,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,3.1948089599609375e-05,,N512,,,,,,,,,,,,,,,,
