after_nll_advantage,arm,before_nll_advantage,case_id,cell,entry_success,initially_failed,newly_forgotten,post_success
17.38733976217918,ORB_RAY_N,17.456308297027135,6818,1,True,False,False,True
13.142152927641291,ORB_RAY_N,13.082140227677883,5546,1,True,False,False,True
15.743585705757141,ORB_RAY_N,16.245902884285897,20622,1,True,False,False,True
16.890812944155186,ORB_RAY_N,17.05289464490488,13220,1,True,False,False,True
14.214754869812168,ORB_RAY_N,14.39582038903609,8040,1,True,False,False,True
16.51173843757715,ORB_RAY_N,16.277872847102117,21857,1,True,False,False,True
16.09963123127818,O_NATIVE,16.121735405176878,9563,2,True,False,False,True
21.47214018809609,O_NATIVE,21.608868576586246,12078,2,True,False,False,True
16.65652141906321,O_NATIVE,16.58789773285389,16738,2,True,False,False,True
21.94240142405033,O_NATIVE,21.806379782035947,19472,2,True,False,False,True
14.536165395751595,O_NATIVE,14.661434485577047,6818,2,True,False,False,True
13.833564897067845,O_NATIVE,13.635092137381434,5546,2,True,False,False,True
20.326024759095162,O_NATIVE,20.038342372048646,20622,2,True,False,False,True
22.577768446644768,O_NATIVE,22.483786942138977,13220,2,True,False,False,True
12.04889664053917,O_NATIVE,11.545748174190521,8040,2,True,False,False,True
14.808613060042262,O_NATIVE,15.052392710000277,21857,2,True,False,False,True
16.100818995386362,ORBFH_HIST,16.121735405176878,9563,2,True,False,False,True
21.53721573203802,ORBFH_HIST,21.608868576586246,12078,2,True,False,False,True
16.655517131090164,ORBFH_HIST,16.58789773285389,16738,2,True,False,False,True
21.861234668642282,ORBFH_HIST,21.806379782035947,19472,2,True,False,False,True
14.563915287144482,ORBFH_HIST,14.661434485577047,6818,2,True,False,False,True
13.706073016859591,ORBFH_HIST,13.635092137381434,5546,2,True,False,False,True
20.341844555921853,ORBFH_HIST,20.038342372048646,20622,2,True,False,False,True
22.55842435521481,ORBFH_HIST,22.483786942138977,13220,2,True,False,False,True
12.079411029815674,ORBFH_HIST,11.545748174190521,8040,2,True,False,False,True
14.801256077364087,ORBFH_HIST,15.052392710000277,21857,2,True,False,False,True
15.927162535488605,JV_NATIVE,16.121735405176878,9563,2,True,False,False,True
21.61423942982219,JV_NATIVE,21.608868576586246,12078,2,True,False,False,True
16.81141234189272,JV_NATIVE,16.58789773285389,16738,2,True,False,False,True
21.433990985155106,JV_NATIVE,21.806379782035947,19472,2,True,False,False,True
14.632220461033285,JV_NATIVE,14.661434485577047,6818,2,True,False,False,True
13.47009005676955,JV_NATIVE,13.635092137381434,5546,2,True,False,False,True
19.383187156636268,JV_NATIVE,20.038342372048646,20622,2,True,False,False,True
22.65182948272195,JV_NATIVE,22.483786942138977,13220,2,True,False,False,True
12.33805826306343,JV_NATIVE,11.545748174190521,8040,2,True,False,False,True
14.702517097815871,JV_NATIVE,15.052392710000277,21857,2,True,False,False,True
16.06166548654437,ORB_RAY_N,16.121735405176878,9563,2,True,False,False,True
21.566222351510078,ORB_RAY_N,21.608868576586246,12078,2,True,False,False,True
16.74073337763548,ORB_RAY_N,16.58789773285389,16738,2,True,False,False,True
21.77611460350454,ORB_RAY_N,21.806379782035947,19472,2,True,False,False,True
14.708095972426236,ORB_RAY_N,14.661434485577047,6818,2,True,False,False,True
13.683247352950275,ORB_RAY_N,13.635092137381434,5546,2,True,False,False,True
20.30021953396499,ORB_RAY_N,20.038342372048646,20622,2,True,False,False,True
22.612449647524045,ORB_RAY_N,22.483786942138977,13220,2,True,False,False,True
12.244619578123093,ORB_RAY_N,11.545748174190521,8040,2,True,False,False,True
14.795507833361626,ORB_RAY_N,15.052392710000277,21857,2,True,False,False,True
