L2_work,L4_7_batch_net_energy,L4_7_signed_progress,L8_batch_net_energy,L8_energy_share,L8_native_work_share,NS_den,NS_num,NS_rate,PS_den,PS_num,PS_rate,RS_den,RS_num,RS_rate,W0_net_squared,alias,arm,batch,effective_layers,entropy,final_V_ratio,history_raw_work_ratio,history_work,materialization_discrepancy_normalized,max_layer,max_over_min_active_scale,maximum_active_scale,minimum_active_scale,minimum_scale_case_ids,node0_response_Gram_diagonal_max,normalized_native_work,raw_native_work,signed_predicted_progress,total_batch_net_energy,total_batch_net_norm
NOT_RECORDED,1941.705925452011,NOT_RECORDED,362.1207346923913,0.15718228326678615,NOT_RECORDED,1000,849,0.849,200,195,0.975,100,99,0.99,NOT_RECORDED,qwen2.5-7b-inst,O_NATIVE,1,4.6769657253745045,1.5426495503813193,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,5,3.1157786473125224,189.70880126953125,60.88648223876953,[21482],NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,2303.826660144402,47.9981943425417
NOT_RECORDED,1986.6032293962223,NOT_RECORDED,506.48661133937753,0.20315618116270365,NOT_RECORDED,1000,825,0.825,200,198,0.99,100,100,1.0,NOT_RECORDED,qwen2.5-7b-inst,O_NATIVE,2,4.74529664161387,1.5571539467809077,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,5,3.9549814543714596,197.03622436523438,49.819759368896484,[4774],NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,2493.0898407356,49.930850590948275
NOT_RECORDED,5402.791133709389,NOT_RECORDED,1681.039978654192,0.2373066144561567,NOT_RECORDED,1000,751,0.751,200,187,0.935,100,100,1.0,NOT_RECORDED,qwen2.5-7b-inst,O_NATIVE,3,3.7659742117804282,1.3260065825695686,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,4,1262103.1492343612,231.3950958251953,0.0001833408750826493,[8848],NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,7083.831112363581,84.1654983491667
NOT_RECORDED,3905.9042696272963,NOT_RECORDED,613.3817978212492,0.1357253753506129,NOT_RECORDED,1000,716,0.716,200,199,0.995,100,100,1.0,NOT_RECORDED,qwen2.5-7b-inst,O_NATIVE,4,4.774949893519755,1.5633834803739202,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,5,7.142592620014322,432.40948486328125,60.53956985473633,[16456],NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,4519.2860674485455,67.22563549308066
NOT_RECORDED,2925.885702084311,NOT_RECORDED,569.8936560900864,0.16302334835791873,NOT_RECORDED,1000,744,0.744,200,200,1.0,100,100,1.0,NOT_RECORDED,qwen2.5-7b-inst,O_NATIVE,5,4.83942380520993,1.5767956651313588,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,4,6.232499750907426,401.3539733886719,64.3969497680664,[3359],NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,3495.7793581743977,59.125116136667316
NOT_RECORDED,2933.6404521686854,NOT_RECORDED,415.10492716596605,0.12395834264605735,NOT_RECORDED,1000,696,0.696,200,192,0.96,100,100,1.0,NOT_RECORDED,qwen2.5-7b-inst,O_NATIVE,6,4.748285331278364,1.5577835699877773,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,5,6.617861144297382,322.7735900878906,48.77309799194336,[2922],NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,3348.7453793346517,57.86834522720216
NOT_RECORDED,2517.143206229204,NOT_RECORDED,719.9597138750687,0.22240865726069578,NOT_RECORDED,1000,764,0.764,200,197,0.985,100,100,1.0,NOT_RECORDED,qwen2.5-7b-inst,O_NATIVE,7,4.768820194277133,1.5620989355810144,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,4,5.150014754768937,300.31634521484375,58.31368637084961,[10190],NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,3237.102920104273,56.895543938908546
NOT_RECORDED,2503.761631905184,NOT_RECORDED,727.8682010157274,0.2252325416732037,NOT_RECORDED,1000,735,0.735,200,192,0.96,100,100,1.0,NOT_RECORDED,qwen2.5-7b-inst,O_NATIVE,8,4.80709604409292,1.5700931687606794,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,5,4.096851917746043,198.2581329345703,48.392799377441406,[838],NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,3231.629832920911,56.84742591288467
NOT_RECORDED,2647.2457123559243,NOT_RECORDED,404.05133684552607,0.13241953514531454,NOT_RECORDED,1000,672,0.672,200,192,0.96,100,100,1.0,NOT_RECORDED,qwen2.5-7b-inst,O_NATIVE,9,4.7169762080035005,1.5511679604063218,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,5,5.592861327967378,272.2981262207031,48.686729431152344,[15791],NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,3051.2970492014506,55.23854676945666
NOT_RECORDED,3939.548038780084,NOT_RECORDED,1531.312441823842,0.27990339860664865,NOT_RECORDED,1000,705,0.705,200,190,0.95,100,99,0.99,NOT_RECORDED,qwen2.5-7b-inst,O_NATIVE,10,4.77246418944947,1.5628627730693354,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,8,20.43343576233481,611.6324462890625,29.93292236328125,[13097],NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,5470.860480603926,73.96526536560202
