case_index,request_index,request_sha256,arm,microstep,objective_total,train_new_nll,train_true_nll,train_margin_new_minus_true,kl,decay,raw_field_norm,raw_euler_displacement,pre_clamp_displacement,post_clamp_displacement,clamp_hit,clamp_ratio,clamp_removed_norm,clamp_removed_energy,boundary_outward_component,boundary_tangential_component,zero_field
4,1,53a3ee42de862f325a85838efdb208f2f0d6da19694bc8ccc8241fd530598eea,Z±,2,16.21686553955078,11.110906600952148,6.088993072509766,-5.021912574768066,0.25625237822532654,0.11705625057220459,2.8608810901641846,2.8608810901641846,5.4720635414123535,4.805388927459717,1,0.8781665563583374,0.6666807532310486,0.44446316361427307,0.0,2.857518434524536,0
4,2,569f1a97c3971140f8e826932006d0d697bae8da7872d2105db2e6eab60839d6,Z±,2,10.0017728805542,5.960200786590576,2.035428285598755,-3.924772262573242,0.5437783598899841,0.11372009664773941,3.857326030731201,3.857326030731201,6.051418304443359,4.94635534286499,1,0.8173877000808716,1.1050621271133423,1.2211655378341675,0.0,3.847473382949829,0
4,3,93140396d3eb2d8f451a94d46170ab2af2e1f02d91529583cd73ad449bfb207e,Z±,2,3.421400308609009,3.230684995651245,5.778800010681152,2.5481152534484863,0.12088395655155182,0.14248035848140717,2.4778616428375244,2.4778616428375244,4.734123229980469,3.94792103767395,1,0.8339279294013977,0.7862064838409424,0.6181197762489319,0.08689027279615402,2.4763376712799072,0
4,4,e558da6313163140b0e184e8308f584bc1635823d3d2f9b3340fe9126e729a14,Z±,2,6.114659786224365,4.705585479736328,3.7855663299560547,-0.9200190305709839,0.497201532125473,0.11387768387794495,4.340487480163574,4.340487480163574,6.224687099456787,4.939508438110352,1,0.7935353517532349,1.2851786613464355,1.6516822576522827,0.0,4.31660270690918,0
4,5,7412f9b677bdd6da6ceaf7b352a8013e66884fca96673ccdef4c91ded318ed24,Z±,2,5.5170793533325195,4.882859706878662,5.2163872718811035,0.3335273265838623,0.26644167304039,0.11603168398141861,3.859844207763672,3.859844207763672,5.849165439605713,4.604400157928467,1,0.7871894240379333,1.244764804840088,1.5494391918182373,0.021650686860084534,3.8597865104675293,0
4,6,23c1238dd9069718d334ae7f722280560776c5e930ea2fdbe0f4b20ca542081e,Z±,2,12.542308807373047,11.490202903747559,11.184992790222168,-0.3052099645137787,0.4686407744884491,0.10148438066244125,6.317621231079102,6.317621231079102,7.222693920135498,4.091408729553223,1,0.5664652585983276,3.1312930583953857,9.804991722106934,0.5188661813735962,6.296278953552246,0
4,7,35bf1daae2dea57e75a545d92be2a5b950f31eba85989d792f9f262e54660b84,Z±,2,22.759305953979492,12.005395889282227,1.4664018154144287,-10.538994789123535,2.241793632507324,0.1490362584590912,3.786689519882202,3.786689519882202,5.303693771362305,3.7742526531219482,1,0.7116267681121826,1.5294439792633057,2.3391997814178467,0.0,3.786210536956787,0
4,8,82e5ab0c97a6d3bf7b7c62e0fd42a5e8a875b906ce593c077f599ad5435d28ea,Z±,2,2.2840747833251953,2.1428847312927246,5.8318586349487305,3.688974380493164,0.8779960870742798,0.11776546388864517,3.7893755435943604,3.7893755435943604,6.139108657836914,4.776439189910889,1,0.7780356407165527,1.362663745880127,1.8568493127822876,0.05389018356800079,3.7889938354492188,0
4,9,eca5f60936dfc2d99bd2d8d8059966c1e2abd050a28822126da716e6255c6720,Z±,2,2.6680476665496826,2.592525005340576,9.31821060180664,6.725685119628906,0.19597133994102478,0.12180795520544052,5.621264457702637,5.621264457702637,7.048815727233887,4.617929458618164,1,0.6551353931427002,2.4308879375457764,5.909208297729492,0.0,5.610325336456299,0
4,0,94bd4b37a5d07ad36fd1f8d54bbc8b2908a74560edcbbcfa2e8cd869eebaf856,Z±,3,7.864837169647217,6.321853160858154,5.277109146118164,-1.0447436571121216,0.5334131121635437,0.11466891318559647,5.097857475280762,5.097857475280762,7.193244457244873,4.905421257019043,1,0.68194979429245,2.287811517715454,5.234082221984863,0.17238394916057587,5.094945430755615,0
4,1,53a3ee42de862f325a85838efdb208f2f0d6da19694bc8ccc8241fd530598eea,Z±,3,6.916808128356934,6.25312614440918,7.126543045043945,0.8734167814254761,0.3826911449432373,0.11705636978149414,3.9209537506103516,3.9209537506103516,6.564065456390381,4.805384159088135,1,0.7320742607116699,1.7586816549301147,3.092963695526123,0.48085206747055054,3.8913567066192627,0
4,2,569f1a97c3971140f8e826932006d0d697bae8da7872d2105db2e6eab60839d6,Z±,3,1.6578516960144043,1.5439631938934326,8.368048667907715,6.8240861892700195,0.8914064168930054,0.1137201115489006,2.016676664352417,2.016676664352417,5.209600448608398,4.946356296539307,1,0.9494691491127014,0.26324570178985596,0.06929826736450195,0.0,2.0117526054382324,0
4,3,93140396d3eb2d8f451a94d46170ab2af2e1f02d91529583cd73ad449bfb207e,Z±,3,1.0611307621002197,0.9783145785331726,7.561446189880371,6.583131313323975,0.15968412160873413,0.14248031377792358,0.7947269678115845,0.7947269678115845,4.101657867431641,3.9479188919067383,1,0.962517499923706,0.15374039113521576,0.02363612689077854,0.07674366235733032,0.7910128831863403,0
4,4,e558da6313163140b0e184e8308f584bc1635823d3d2f9b3340fe9126e729a14,Z±,3,1.0010236501693726,0.9302522540092468,7.163054943084717,6.232802867889404,0.18167927861213684,0.11387769132852554,1.1915239095687866,1.1915239095687866,5.11181640625,4.939504146575928,1,0.9662923812866211,0.17230695486068726,0.02968972735106945,0.031597208231687546,1.1911052465438843,0
4,5,7412f9b677bdd6da6ceaf7b352a8013e66884fca96673ccdef4c91ded318ed24,Z±,3,1.0451416969299316,0.9290871620178223,4.696132659912109,3.767045021057129,0.3899073600769043,0.12216569483280182,1.8523142337799072,1.8523142337799072,4.991235256195068,4.604398250579834,1,0.9224973320960999,0.3868335485458374,0.14964044094085693,0.03049357235431671,1.8520647287368774,0
4,6,23c1238dd9069718d334ae7f722280560776c5e930ea2fdbe0f4b20ca542081e,Z±,3,9.214546203613281,8.147867202758789,8.066071510314941,-0.08179601281881332,0.35826554894447327,0.13748343288898468,10.234590530395508,10.234590530395508,10.983390808105469,4.09140157699585,1,0.3725084066390991,6.8919854164123535,47.49943161010742,0.0,10.234054565429688,0
