case_index,arm,microstep,request_denominator,clamp_hit_numerator,clamp_fraction,objective_total_mean,semantic_objective_mean,kl_mean,decay_mean,train_new_nll_mean,train_true_nll_mean,train_margin_mean,raw_field_norm_mean,raw_euler_displacement_mean,pre_clamp_displacement_mean,post_clamp_displacement_mean,clamp_removed_norm_mean,clamp_removed_energy_mean,boundary_outward_component_mean,boundary_tangential_component_mean,zero_field_count
3,Z+,4,10,5,0.5,1.0320636227726936,0.9022480845451355,1.0647904053330421,0.1265324115753174,0.9022480404935778,10.435733652114868,9.533485531806946,1.233219363540411,1.233219363540411,4.891400909423828,4.430921864509583,0.46047955469962787,0.9270866295730293,0.10712334080599248,1.226328855752945,0
3,Z+,5,10,5,0.5,0.5291100464761257,0.4358055591583252,0.4797986879944801,0.12663410902023314,0.4358056073077023,10.899552726745606,10.463747119903564,1.2597210370004177,1.2597210370004177,5.014484858512878,4.428938317298889,0.5855467919655283,2.739054753661828,0.03023770388390403,1.2590603474527597,0
3,Z±,1,10,8,0.8,14.366690635681152,14.366689682006836,0.0,0.0,9.37133355140686,5.100187307596206,-4.271146178245544,7.76324942111969,7.76324942111969,7.763249468803406,4.369545817375183,3.3937048852443694,19.92771569490433,0.0,7.763250422477722,0
3,Z±,2,10,9,0.9,6.228635388612747,6.125032901763916,0.6561638817191124,0.12518532797694207,5.10083789229393,7.317949652671814,2.217111474275589,3.084687387943268,3.084687387943268,5.478762149810791,4.44329354763031,1.0354661690766378,1.6677751753479257,0.07754955030977725,3.0810755252838136,0
3,Z±,3,10,7,0.7,2.851993528008461,2.7511191368103027,0.5959697738289833,0.1272529646754265,2.6372079270891846,9.327430963516235,6.690222902968526,3.4670853696763517,3.4670853696763517,6.4134122133255005,4.452832937240601,1.9605809892574932,16.929391235578812,0.12313720285892486,3.461269538104534,0
3,Z±,4,10,8,0.8,1.9253145962953568,1.83832585811615,0.37210634499788287,0.1274643622338772,1.6270191054791212,9.72220962047577,8.095190811157227,4.143400923907757,4.143400923907757,7.244289398193359,4.451938533782959,2.7923492041548825,34.98287164486246,0.3067076043225825,4.130053398385644,0
3,Z±,5,10,8,0.8,1.4383906826376915,1.3262219429016113,0.7751790296286345,0.1274401105940342,1.309849063307047,10.530996131896973,9.221146583557129,2.1125291347503663,2.1125291347503663,5.564721870422363,4.449852108955383,1.1148689749027312,4.23679444134905,0.2747776203788817,2.091314222663641,0
4,Z+,1,10,5,0.5,9.97857699394226,9.97857666015625,0.0,0.0,9.978577280044556,3.6564484536647797,-6.322128689289093,5.262386524677277,5.262386524677277,5.262386512756348,3.7731135368347166,1.4892717633396386,13.935833267477573,0.0,5.26238580942154,0
4,Z+,2,10,6,0.6,6.326355254650116,6.254295825958252,0.33687541335821153,0.10200929976999759,6.254295802116394,5.01511162519455,-1.2391842633485795,2.842889654636383,2.842889654636383,4.987865281105042,4.258925914764404,0.7289400406734707,3.4210532755591005,0.1259899154305458,2.8259652495384215,0
4,Z+,3,10,8,0.8,3.4056207850575446,3.3127875328063965,0.5529501736164093,0.11654733568429947,3.312787832133472,6.1527342081069945,2.8399465441703797,2.4350966826081275,2.4350966826081275,5.320765471458435,4.432701349258423,0.8880642969175213,2.876931940810757,0.1059594489634037,2.427643083035946,0
4,Z+,4,10,8,0.8,2.0669861882925034,1.9546725749969482,0.8168792709708214,0.12251705378293991,1.9546728092245758,7.882883596420288,5.928210799396038,2.734401297569275,2.734401297569275,6.11814706325531,4.432043862342835,1.686104729372002,17.220736948629202,0.09627473270520567,2.7323194809257982,0
4,Z+,5,10,7,0.7,2.2156600020825863,2.12001895904541,0.5502547010779381,0.12250037044286728,2.120018908753991,7.8472269654273985,5.727207851409912,1.3725501365959645,1.3725501365959645,5.1494666814804075,4.430231785774231,0.7192354057826058,3.4132628594219603,0.17855317508801818,1.3578404359519483,0
4,Z±,1,10,8,0.8,16.39033899307251,16.390338897705078,0.0,0.0,9.978577280044556,3.6564484536647797,-6.322128689289093,9.91349446773529,9.91349446773529,9.913494277000428,4.41065468788147,5.502841383218765,73.97325152754783,0.0,9.913496565818786,0
4,Z±,2,10,10,1.0,9.353528928756713,9.256182670593262,0.5911859199404716,0.12079289630055427,6.629994940757752,5.519778299331665,-1.1102165430784225,3.869494068622589,3.869494068622589,5.901227045059204,4.5409040451049805,1.36032506339252,2.5398848480544984,0.06812973245978356,3.8603649377822875,0
4,Z±,3,10,10,1.0,4.58642439097166,4.497579097747803,0.4214720740914345,0.12500619664788246,3.5588698863983153,6.885652875900268,3.326782885938883,3.24872507750988,3.24872507750988,6.139875364303589,4.540900349617004,1.598972330801189,7.23279626298463,0.17842568214982749,3.2366611152887343,0
4,Z±,4,10,8,0.8,2.118138285726309,1.9968500137329102,0.9405648946762085,0.1250060923397541,1.8479801004752516,7.944967985153198,6.096987643837929,2.7145410723984242,2.7145410723984242,6.138846731185913,4.540304470062256,1.5985425679200482,13.267822392855308,0.1290661334991455,2.7084078066051007,0
4,Z±,5,10,7,0.7,3.519773131608963,3.4257304668426514,0.5047522034496069,0.12499074190855027,2.138906284002587,8.20293156504631,6.064025044441223,2.8447158999741076,2.8447158999741076,6.589339876174927,4.538464117050171,2.050875177398749,20.848414986576252,0.2837950739078224,2.8263744331896303,0
5,Z+,1,10,2,0.2,10.13338212966919,10.133381843566895,0.0,0.0,10.13338212966919,6.390630435943604,-3.742751669883728,4.9698700428009035,4.9698700428009035,4.96987007856369,3.5149234175682067,1.454946804046631,12.330770111083984,0.0,4.969870412349701,0
5,Z+,2,10,4,0.4,6.9083232343196865,6.8351874351501465,0.39763416945934293,0.09656548500061035,6.83518847823143,7.178282928466797,0.34309441447257993,2.5433318614959717,2.5433318614959717,4.430893516540527,4.088566684722901,0.3423280183560962,0.4118830159306567,0.05385844856500625,2.537561058998108,0
5,Z+,3,10,8,0.8,3.5794920191168784,3.4892477989196777,0.5321702212095261,0.11396671459078789,3.4892481407150626,7.94072699546814,4.451479009538889,2.986024470627308,2.986024470627308,5.6395317077636715,4.341034650802612,1.2984978335720925,4.493029623851182,0.2943931218236685,2.953211319446564,0
5,Z+,4,10,8,0.8,1.9679671593010426,1.8496837615966797,0.9037093110382557,0.12360344380140305,1.849683599313721,8.362159585952758,6.512475943565368,3.19712784960866,3.19712784960866,6.083584427833557,4.342229557037354,1.741353735824881,8.686653015106824,0.12485044375061989,3.188939280807972,0
5,Z+,5,10,7,0.7,1.662432523816824,1.5374581813812256,1.0102190479636193,0.12367109283804893,1.5374584386125207,9.150728845596314,7.613270401954651,2.7606880526989697,2.7606880526989697,5.966275477409363,4.341837477684021,1.6244366621168134,7.772338553905141,0.30019356291741134,2.731994104012847,0
5,Z±,1,10,9,0.9,14.292598509788514,14.292597770690918,0.0,0.0,10.13338212966919,6.390630435943604,-3.742751669883728,9.65163459777832,9.65163459777832,9.651634860038758,4.388010883331299,5.263625583052635,97.41403171308339,0.0,9.651635980606079,0
5,Z±,2,10,9,0.9,9.090328627824784,8.990011215209961,0.6086484037339688,0.1245536096394062,7.532461762428284,7.845871305465698,0.3134095147252083,2.697699695825577,2.697699695825577,5.205031991004944,4.3986107349395756,0.8064198723255643,1.3448620943352585,0.05051395371556282,2.6937111258506774,0
5,Z±,3,10,9,0.9,5.22992849946022,5.129488945007324,0.6076269343495369,0.12492504119873046,4.75375986546278,8.951731824874878,4.197972226142883,2.7578309893608095,2.7578309893608095,5.642340612411499,4.401523995399475,1.2408162930776399,3.8622546133468867,0.29629404954612254,2.733155071735382,0
5,Z±,4,10,7,0.7,2.4236260898411275,2.289681911468506,1.142892324924469,0.12502710297703742,2.25794841311872,8.965148067474365,6.7071997165679935,2.279092688113451,2.279092688113451,5.360384464263916,4.4019828796386715,0.9584024478314006,2.390323708765213,0.09363887887448072,2.2719101198017597,0
5,Z±,5,10,7,0.7,1.80334452688694,1.6488182544708252,1.471798551827669,0.1250777557492256,1.5804895479232073,9.738866996765136,8.158377552032471,4.165882081538439,4.165882081538439,7.3102171421051025,4.401272940635681,2.9089466615064814,49.129445162644636,0.4908794322516769,4.1265360049903395,0
6,Z+,1,10,0,0.0,9.391991901397706,9.391992568969727,0.0,0.0,9.3919921875,5.794699534773827,-3.5972925305366514,3.366625988483429,3.366625988483429,3.3666259050369263,3.3666259050369263,0.0,0.0,0.0,3.366626572608948,0
6,Z+,2,10,5,0.5,6.41712486743927,6.316989898681641,0.833019202388823,0.09614230468869209,6.316990089416504,6.398182839155197,0.08119285106658936,2.6846498906612397,2.6846498906612397,4.492731952667237,3.843373155593872,0.6493581887558211,1.2471872776746786,0.18164171800017356,2.6639353036880493,0
6,Z+,3,10,8,0.8,3.733689379692078,3.609736919403076,1.0853105172514916,0.11224061399698257,3.6097374245524407,7.583824563026428,3.9740876272320746,6.719126325845719,6.719126325845719,8.60782594680786,4.180809664726257,4.427015218312939,68.63083783246111,0.26979720368981364,6.666060763597488,0
6,Z+,4,10,7,0.7,3.3352619633078575,3.1906354427337646,1.320120234787464,0.12423821017146111,3.190635535120964,8.42883071899414,5.2381950378417965,3.9832869321107864,3.9832869321107864,6.322043347358703,4.236105179786682,2.085937537503566,9.646578586101535,0.1779928460717201,3.973592945933342,0
6,Z+,5,10,6,0.6,2.0651311434805395,1.898665189743042,1.6545789659023284,0.12610954195261,1.8986652113497258,9.403778433799744,7.5051130771636965,2.816524723917246,2.816524723917246,5.775197267532349,4.249349427223206,1.5258482207468702,7.358860748820012,0.17879491448402404,2.80638480335474,0
6,Z±,1,10,8,0.8,13.460915184020996,13.460916519165039,0.0,0.0,9.3919921875,5.794699534773827,-3.5972925305366514,6.758986210823059,6.758986210823059,6.758986163139343,3.988836407661438,2.770148241519928,14.898061180114746,0.0,6.758986866474151,0
6,Z±,2,10,9,0.9,8.308669757843017,8.183124542236328,1.0956946510821581,0.11412771418690681,6.837464189529419,7.217025417089462,0.3795614123344421,3.6408479809761047,3.6408479809761047,5.605023503303528,4.242165994644165,1.3628585811845373,3.3190177897922695,0.16859644949436187,3.6222246646881104,0
6,Z±,3,10,10,1.0,3.3918975234031676,3.276261806488037,0.8559747461229563,0.12427435666322709,3.203923466801643,9.037635374069215,5.833712041378021,6.18363943696022,6.18363943696022,8.247594952583313,4.382347059249878,3.8652481363154947,41.20306467471964,0.17037439681589603,6.154755538702011,0
6,Z±,4,10,9,0.9,4.4449708491563795,4.307202339172363,1.1670859552919866,0.12965116426348686,3.8005470037460327,8.899154829978944,5.098607909679413,8.572640362381936,8.572640362381936,10.71977915763855,4.380425047874451,6.339358237102553,120.39101324963558,0.30406953701749445,8.558700667321682,0
6,Z±,5,10,9,0.9,3.0368553727865217,2.900944709777832,1.1377116724848748,0.12960731387138366,2.2188532259315252,9.562631225585937,7.343778085708618,4.488527710735798,4.488527710735798,7.165039873123169,4.379125046730041,2.785914528034978,18.59257439877147,0.422609483031556,4.465910815447569,0
7,Z+,1,10,4,0.4,11.51352653503418,11.513527870178223,0.0,0.0,11.513526344299317,5.246177768707275,-6.2673487108200785,4.224834370613098,4.224834370613098,4.224834322929382,3.4906394720077514,0.7341945320367813,1.9579163438640534,0.0,4.2248347163200375,0
7,Z+,2,10,9,0.9,7.3749165534973145,7.298752784729004,0.409261136688292,0.10117008313536643,7.298752582073211,5.275694650411606,-2.0230579510331155,4.7216588973999025,4.7216588973999025,6.104149913787841,4.295872330665588,1.808278250920233,5.437040646374227,0.319105227291584,4.686939930915832,0
7,Z+,3,10,9,0.9,3.567037433385849,3.4508414268493652,0.8632452681660652,0.12448691502213478,3.450841209292412,8.916834783554076,5.46599383354187,3.7877557814121245,3.7877557814121245,6.353050613403321,4.406844878196717,1.9462066918084049,9.300509552645964,0.2747475618496537,3.7700859546661376,0
7,Z+,4,10,8,0.8,1.3556674852967263,1.2253004312515259,1.058374184370041,0.1284373663365841,1.2253004308789968,9.331956624984741,8.106656098365784,5.125843225419521,5.125843225419521,7.762474155426025,4.407423377037048,3.355051336474568,28.57792981212261,0.24504426785279065,5.117946999520063,0
