case_index,request_index,request_sha256,arm,clamp_hit_steps,clamp_denominator_steps,clamp_fraction,all_5_step_saturated,endpoint_train_new_nll,endpoint_train_true_nll,endpoint_train_margin_new_minus_true
4,3,93140396d3eb2d8f451a94d46170ab2af2e1f02d91529583cd73ad449bfb207e,Z+,5,5,1.0,1,0.09822820127010345,8.204655647277832,8.106428146362305
4,4,e558da6313163140b0e184e8308f584bc1635823d3d2f9b3340fe9126e729a14,Z+,4,5,0.8,0,0.1780751645565033,6.112873077392578,5.934798240661621
4,5,7412f9b677bdd6da6ceaf7b352a8013e66884fca96673ccdef4c91ded318ed24,Z+,4,5,0.8,0,0.04535682126879692,5.908428192138672,5.863071441650391
4,6,23c1238dd9069718d334ae7f722280560776c5e930ea2fdbe0f4b20ca542081e,Z+,3,5,0.6,0,5.089396953582764,5.6641364097595215,0.5747398138046265
4,7,35bf1daae2dea57e75a545d92be2a5b950f31eba85989d792f9f262e54660b84,Z+,3,5,0.6,0,4.326337814331055,5.417026042938232,1.0906882286071777
4,8,82e5ab0c97a6d3bf7b7c62e0fd42a5e8a875b906ce593c077f599ad5435d28ea,Z+,2,5,0.4,0,0.008654831908643246,13.555365562438965,13.546710014343262
4,9,eca5f60936dfc2d99bd2d8d8059966c1e2abd050a28822126da716e6255c6720,Z+,4,5,0.8,0,0.008800525218248367,13.2046537399292,13.195854187011719
4,0,94bd4b37a5d07ad36fd1f8d54bbc8b2908a74560edcbbcfa2e8cd869eebaf856,Z±,5,5,1.0,1,0.13004496693611145,6.592851638793945,6.462806701660156
4,1,53a3ee42de862f325a85838efdb208f2f0d6da19694bc8ccc8241fd530598eea,Z±,4,5,0.8,0,0.0030818935483694077,14.280646324157715,14.27756404876709
4,2,569f1a97c3971140f8e826932006d0d697bae8da7872d2105db2e6eab60839d6,Z±,5,5,1.0,1,0.06665443629026413,10.862098693847656,10.79544448852539
4,3,93140396d3eb2d8f451a94d46170ab2af2e1f02d91529583cd73ad449bfb207e,Z±,5,5,1.0,1,0.1371999979019165,8.722334861755371,8.585134506225586
4,4,e558da6313163140b0e184e8308f584bc1635823d3d2f9b3340fe9126e729a14,Z±,5,5,1.0,1,0.15806812047958374,6.838132381439209,6.6800642013549805
4,5,7412f9b677bdd6da6ceaf7b352a8013e66884fca96673ccdef4c91ded318ed24,Z±,4,5,0.8,0,0.04134759306907654,6.333247184753418,6.291898727416992
4,6,23c1238dd9069718d334ae7f722280560776c5e930ea2fdbe0f4b20ca542081e,Z±,4,5,0.8,0,6.334771633148193,7.508805274963379,1.1740334033966064
4,7,35bf1daae2dea57e75a545d92be2a5b950f31eba85989d792f9f262e54660b84,Z±,5,5,1.0,1,7.90224552154541,4.530360698699951,-3.371884822845459
4,8,82e5ab0c97a6d3bf7b7c62e0fd42a5e8a875b906ce593c077f599ad5435d28ea,Z±,3,5,0.6,0,0.007538634352385998,12.685770988464355,12.67823314666748
4,9,eca5f60936dfc2d99bd2d8d8059966c1e2abd050a28822126da716e6255c6720,Z±,3,5,0.6,0,0.02135564386844635,10.940053939819336,10.918696403503418
5,0,c26d9f7b75c14056267c2567ba556e5b76ebfdac6a2231a6d3f1fc8bfa91ec2d,Z+,5,5,1.0,1,0.008246123790740967,12.739194869995117,12.730949401855469
5,1,a61a8732e7087bac9df081e4cfb0319a07f61ccb3987494c7f24ded194e18d42,Z+,3,5,0.6,0,0.13309064507484436,4.014643669128418,3.8815531730651855
5,2,c95165b3bb5e2754faaa370e60fd0e96d24767b8eda1af67c1f801d7f4671c79,Z+,2,5,0.4,0,0.004520415794104338,10.155516624450684,10.150996208190918
5,3,b60dce4b4fb7c58f26743b14e89bf6f65fd42fa8a116dc3a52707814fd0496fe,Z+,0,5,0.0,0,0.04868968948721886,9.032026290893555,8.983336448669434
5,4,6a691cf16b423bb1d5a6ce4bf3417dd2d707fdac2436c48131dec1cd89b48a6b,Z+,0,5,0.0,0,0.0034486118238419294,15.28662395477295,15.283175468444824
5,5,2a8f1b4955bc1a289af449ade95dfac602e09ca669c961f5c2f949575e94e148,Z+,3,5,0.6,0,0.03223380073904991,7.90376615524292,7.871532440185547
5,6,fc11f308500869e6b6107573e91176f8fb98c2b06cc9eb7d8107d0fb1af68f64,Z+,5,5,1.0,1,0.005841642152518034,8.31924057006836,8.313398361206055
5,7,409ab50440c393003452ca14f7a848b9b9c4c26eaf347918e74bd2328b526d48,Z+,3,5,0.6,0,7.690913200378418,9.95268726348877,2.261774778366089
5,8,55b3125b46809bfd09b46805671031439ad32c9f96657b2e9a2e1d248c8bbb80,Z+,4,5,0.8,0,2.063305377960205,10.860498428344727,8.797191619873047
5,9,81c8c31e8abdcc2afdc5f07178b0a29d0dd009dcb1c5ad3746b934b567eccdeb,Z+,4,5,0.8,0,4.287911415100098,11.019088745117188,6.731177806854248
5,0,c26d9f7b75c14056267c2567ba556e5b76ebfdac6a2231a6d3f1fc8bfa91ec2d,Z±,4,5,0.8,0,0.010729326866567135,13.736648559570312,13.725919723510742
5,1,a61a8732e7087bac9df081e4cfb0319a07f61ccb3987494c7f24ded194e18d42,Z±,5,5,1.0,1,0.023027580231428146,5.867927551269531,5.844900131225586
5,2,c95165b3bb5e2754faaa370e60fd0e96d24767b8eda1af67c1f801d7f4671c79,Z±,4,5,0.8,0,0.004340106155723333,12.059255599975586,12.054915428161621
5,3,b60dce4b4fb7c58f26743b14e89bf6f65fd42fa8a116dc3a52707814fd0496fe,Z±,0,5,0.0,0,0.04776143655180931,9.208028793334961,9.160266876220703
5,4,6a691cf16b423bb1d5a6ce4bf3417dd2d707fdac2436c48131dec1cd89b48a6b,Z±,3,5,0.6,0,0.0023185191676020622,13.0389404296875,13.036623001098633
5,5,2a8f1b4955bc1a289af449ade95dfac602e09ca669c961f5c2f949575e94e148,Z±,5,5,1.0,1,0.07278280705213547,7.2436981201171875,7.170915603637695
5,6,fc11f308500869e6b6107573e91176f8fb98c2b06cc9eb7d8107d0fb1af68f64,Z±,5,5,1.0,1,1.6525214910507202,3.3530220985412598,1.70050048828125
5,7,409ab50440c393003452ca14f7a848b9b9c4c26eaf347918e74bd2328b526d48,Z±,5,5,1.0,1,5.8545660972595215,14.940658569335938,9.08609390258789
5,8,55b3125b46809bfd09b46805671031439ad32c9f96657b2e9a2e1d248c8bbb80,Z±,5,5,1.0,1,0.7839786410331726,8.989986419677734,8.206007957458496
5,9,81c8c31e8abdcc2afdc5f07178b0a29d0dd009dcb1c5ad3746b934b567eccdeb,Z±,5,5,1.0,1,2.969778537750244,13.122252464294434,10.152473449707031
