arm,accepted_edit_count,category,request_denominator,online_strict_numerator,online_strict_rate,cumulative_strict_numerator,cumulative_strict_rate,delta_cumulative_minus_online_strict_rate,online_gen,online_locality,online_nll_mean,cumulative_nll_mean,delta_cumulative_minus_online_nll_mean,online_nll_median,cumulative_nll_median,delta_cumulative_minus_online_nll_median,online_nll_p90,cumulative_nll_p90,delta_cumulative_minus_online_nll_p90,online_nll_max,cumulative_nll_max,delta_cumulative_minus_online_nll_max,online_margin_mean,cumulative_margin_mean,delta_cumulative_minus_online_margin_mean,online_margin_median,cumulative_margin_median,delta_cumulative_minus_online_margin_median,online_margin_p90,cumulative_margin_p90,delta_cumulative_minus_online_margin_p90,online_margin_max,cumulative_margin_max,delta_cumulative_minus_online_margin_max
LM,7500,rewrite_target_new,7500,5565,0.742,700,0.09333333333333334,-0.6486666666666666,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,2.461939578375381,9.213099184705298,6.751159606329917,0.29102881252765656,9.861515998840332,9.570487186312675,9.28259086608887,14.067649841308594,4.785058975219723,17.677032470703125,22.564563751220703,4.887531280517578,2.383849279085795,-6.7242073094685875,-9.108056588554383,3.6233415603637695,-7.127200365066528,-10.750541925430298,7.5790597915649425,-0.28677778244018526,-7.865837574005128,18.81075096130371,10.9019136428833,-7.90883731842041
LM,7500,rewrite_target_true,7500,11,0.0014666666666666667,100,0.013333333333333334,0.011866666666666668,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,11.651462201797838,11.104219453511636,-0.5472427482862017,11.529078006744385,11.462663173675537,-0.06641483306884766,16.185459899902344,14.850356388092044,-1.335103511810301,34.01415252685547,22.808500289916992,-11.205652236938477,-10.399821104176839,-8.808292906443278,1.5915281977335614,-9.942874908447266,-8.786452770233154,1.1564221382141113,-5.6111120700836175,-4.269719171524047,1.3413928985595707,5.979235649108887,4.737603187561035,-1.2416324615478516
LM,10000,rewrite_target_new,10000,6406,0.6406,357,0.0357,-0.6049,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,3.1561347498573644,10.917193020340987,7.761058270483622,0.8714641332626343,11.348133563995361,10.476669430732727,10.086169910430911,15.594786262512208,5.508616352081297,22.44037628173828,28.07003402709961,5.629657745361328,1.1813193997383118,-8.931875489401817,-10.113194889140129,2.407291889190674,-8.858675003051758,-11.265966892242432,7.16411018371582,-3.176850843429565,-10.340961027145385,18.81075096130371,12.204072952270508,-6.606678009033203
LM,10000,rewrite_target_true,10000,17,0.0017,36,0.0036,0.0019,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,11.66336934803417,12.149391848428547,0.4860225003943768,11.606678009033203,12.254209041595459,0.6475310325622559,15.916343688964844,16.161209106445312,0.24486541748046875,34.01415252685547,32.03446960449219,-1.9796829223632812,-10.25204237947464,-10.223546486186981,0.028495893287658447,-9.85975456237793,-9.857755661010742,0.0019989013671875,-5.574746131896973,-5.397386074066162,0.17736005783081055,5.979235649108887,5.092962265014648,-0.8862733840942383
LA,1000,rewrite_target_new,1000,1000,1.0,994,0.994,-0.006000000000000005,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,0.0017118684392971773,0.030178290384659703,0.028466421945362527,0.0008245882345363498,0.0010439071338623762,0.00021931889932602644,0.0034717306727543476,0.00536396554671228,0.001892234873957932,0.1597105860710144,9.978955268859863,9.819244682788849,8.25045745563507,7.922965574264526,-0.32749188137054386,8.287261962890625,8.051470279693604,-0.23579168319702148,9.693949127197266,9.691666603088379,-0.002282524108887074,13.189780235290527,11.903892517089844,-1.2858877182006836
LA,1000,rewrite_target_true,1000,0,0.0,0,0.0,0.0,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,14.967150017499923,14.514121997833252,-0.4530280196666716,14.68152141571045,14.278382301330566,-0.4031391143798828,20.305404090881346,20.019672393798828,-0.2857316970825181,28.44831657409668,27.755861282348633,-0.6924552917480469,-15.046849502563477,-14.581594841957092,0.46525466060638543,-14.765809059143066,-14.33775806427002,0.4280509948730469,-10.213211059570312,-9.53789005279541,0.6753210067749027,-3.353731155395508,-2.4411773681640625,0.9125537872314453
LA,1500,rewrite_target_new,1500,1500,1.0,1488,0.992,-0.008000000000000007,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,0.0021142434255380068,0.045934647692097014,0.043820404266559004,0.0009496469865553081,0.0014467497821897268,0.0004971027956344187,0.004608046961948277,0.009409366548061375,0.004801319586113097,0.1597105860710144,12.104925155639648,11.945214569568634,8.113598093032836,7.538127084732055,-0.5754710083007808,8.165046215057373,7.694545745849609,-0.47050046920776367,9.685219860076904,9.532137966156007,-0.15308189392089666,13.189780235290527,11.938102722167969,-1.2516775131225586
LA,1500,rewrite_target_true,1500,0,0.0,0,0.0,0.0,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,14.780343046983083,14.062634372790654,-0.7177086741924281,14.471401691436768,13.829694747924805,-0.6417069435119629,20.080105590820313,19.60116157531738,-0.47894401550293253,28.553943634033203,28.61012840270996,0.05618476867675781,-14.874535260518392,-14.14009718132019,0.7344380791982026,-14.559401512145996,-13.920718669891357,0.6386828422546387,-10.127403926849365,-9.127591228485105,0.9998126983642592,-3.353731155395508,-0.916839599609375,2.436891555786133
LA,2000,rewrite_target_new,2000,2000,1.0,1973,0.9865,-0.013499999999999956,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,0.0026399939678331064,0.0773356451562604,0.07469565118842729,0.0010725466418080032,0.001956752559635788,0.000884205917827785,0.005778484512120486,0.01780232451856143,0.012023840006440946,0.1597105860710144,15.769471168518066,15.609760582447052,7.962192353725434,7.131081575393677,-0.8311107783317571,8.019433975219727,7.415578365325928,-0.6038556098937988,9.660782432556152,9.300035858154297,-0.36074657440185476,13.189780235290527,12.481513977050781,-0.7082662582397461
LA,2000,rewrite_target_true,2000,0,0.0,0,0.0,0.0,NOT_RECORDED_ONLINE_SCHEMA,NOT_RECORDED_ONLINE_SCHEMA,14.68692330133915,13.811306434333325,-0.8756168670058244,14.41843557357788,13.54530382156372,-0.8731317520141602,20.036624145507815,19.404366874694826,-0.632257270812989,29.92364501953125,28.95328712463379,-0.9703578948974609,-14.766998585700989,-13.865768327713013,0.9012302579879758,-14.491098403930664,-13.635708332061768,0.8553900718688965,-9.98892889022827,-8.862181568145752,1.126747322082517,-3.353731155395508,-0.5206680297851562,2.8330631256103516
