arm,category,from_checkpoint,to_checkpoint,span,from_prompt_denominator,to_prompt_denominator,from_strict_rate,to_strict_rate,delta_strict_rate,from_request_cluster_nll_mean,to_request_cluster_nll_mean,delta_request_cluster_nll_mean,from_request_cluster_nll_median,to_request_cluster_nll_median,delta_request_cluster_nll_median,from_request_cluster_nll_p90,to_request_cluster_nll_p90,delta_request_cluster_nll_p90,from_request_cluster_nll_max,to_request_cluster_nll_max,delta_request_cluster_nll_max,from_request_cluster_min_margin_mean,to_request_cluster_min_margin_mean,delta_request_cluster_min_margin_mean,from_request_cluster_min_margin_median,to_request_cluster_min_margin_median,delta_request_cluster_min_margin_median,from_request_cluster_min_margin_p90,to_request_cluster_min_margin_p90,delta_request_cluster_min_margin_p90,from_request_cluster_min_margin_max,to_request_cluster_min_margin_max,delta_request_cluster_min_margin_max,from_prompt_nll_mean,to_prompt_nll_mean,delta_prompt_nll_mean,from_prompt_nll_median,to_prompt_nll_median,delta_prompt_nll_median,from_prompt_nll_p90,to_prompt_nll_p90,delta_prompt_nll_p90,from_prompt_nll_max,to_prompt_nll_max,delta_prompt_nll_max,from_prompt_margin_mean,to_prompt_margin_mean,delta_prompt_margin_mean,from_prompt_margin_median,to_prompt_margin_median,delta_prompt_margin_median,from_prompt_margin_p90,to_prompt_margin_p90,delta_prompt_margin_p90,from_prompt_margin_max,to_prompt_margin_max,delta_prompt_margin_max
LM,rewrite_target_true,3000,5000,ADJACENT,3000,5000,0.023333333333333334,0.0004,-0.022933333333333333,9.699533455673604,13.222412754440308,3.5228792987667035,9.877001285552979,13.397514343261719,3.5205130577087402,13.655440711975098,16.186971092224123,2.531530380249025,29.691450119018555,20.525949478149414,-9.16550064086914,-7.443244425614675,-9.268258476638794,-1.8250140510241186,-7.42364239692688,-9.35689640045166,-1.9332540035247803,-2.8029911994934094,-6.076555585861204,-3.2735643863677946,5.164027214050293,1.6145830154418945,-3.5494441986083984,9.699533455673604,13.222412754440308,3.5228792987667035,9.877001285552979,13.397514343261719,3.5205130577087402,13.655440711975098,16.186971092224123,2.531530380249025,29.691450119018555,20.525949478149414,-9.16550064086914,-7.443244425614675,-9.268258476638794,-1.8250140510241186,-7.42364239692688,-9.35689640045166,-1.9332540035247803,-2.8029911994934094,-6.076555585861204,-3.2735643863677946,5.164027214050293,1.6145830154418945,-3.5494441986083984
LM,rewrite_target_true,5000,7500,ADJACENT,5000,7500,0.0004,0.013333333333333334,0.012933333333333335,13.222412754440308,11.104219453511636,-2.118193300928672,13.397514343261719,11.462663173675537,-1.9348511695861816,16.186971092224123,14.850356388092044,-1.3366147041320797,20.525949478149414,22.808500289916992,2.282550811767578,-9.268258476638794,-8.808292906443278,0.4599655701955161,-9.35689640045166,-8.786452770233154,0.5704436302185059,-6.076555585861204,-4.269719171524047,1.8068364143371571,1.6145830154418945,4.737603187561035,3.1230201721191406,13.222412754440308,11.104219453511636,-2.118193300928672,13.397514343261719,11.462663173675537,-1.9348511695861816,16.186971092224123,14.850356388092044,-1.3366147041320797,20.525949478149414,22.808500289916992,2.282550811767578,-9.268258476638794,-8.808292906443278,0.4599655701955161,-9.35689640045166,-8.786452770233154,0.5704436302185059,-6.076555585861204,-4.269719171524047,1.8068364143371571,1.6145830154418945,4.737603187561035,3.1230201721191406
LM,rewrite_target_true,7500,10000,ADJACENT,7500,10000,0.013333333333333334,0.0036,-0.009733333333333333,11.104219453511636,12.149391848428547,1.0451723949169107,11.462663173675537,12.254209041595459,0.7915458679199219,14.850356388092044,16.161209106445312,1.310852718353269,22.808500289916992,32.03446960449219,9.225969314575195,-8.808292906443278,-10.223546486186981,-1.4152535797437036,-8.786452770233154,-9.857755661010742,-1.071302890777588,-4.269719171524047,-5.397386074066162,-1.1276669025421153,4.737603187561035,5.092962265014648,0.3553590774536133,11.104219453511636,12.149391848428547,1.0451723949169107,11.462663173675537,12.254209041595459,0.7915458679199219,14.850356388092044,16.161209106445312,1.310852718353269,22.808500289916992,32.03446960449219,9.225969314575195,-8.808292906443278,-10.223546486186981,-1.4152535797437036,-8.786452770233154,-9.857755661010742,-1.071302890777588,-4.269719171524047,-5.397386074066162,-1.1276669025421153,4.737603187561035,5.092962265014648,0.3553590774536133
LM,rewrite_target_true,1000,10000,TOTAL_1K_TO_10K,1000,10000,0.015,0.0036,-0.0114,9.805417153328657,12.149391848428547,2.34397469509989,9.662907123565674,12.254209041595459,2.591301918029785,15.67341194152832,16.161209106445312,0.48779716491699254,25.019447326660156,32.03446960449219,7.015022277832031,-9.564687481880188,-10.223546486186981,-0.6588590043067928,-9.554526805877686,-9.857755661010742,-0.30322885513305664,-3.495855808258055,-5.397386074066162,-1.9015302658081072,2.9590511322021484,5.092962265014648,2.1339111328125,9.805417153328657,12.149391848428547,2.34397469509989,9.662907123565674,12.254209041595459,2.591301918029785,15.67341194152832,16.161209106445312,0.48779716491699254,25.019447326660156,32.03446960449219,7.015022277832031,-9.564687481880188,-10.223546486186981,-0.6588590043067928,-9.554526805877686,-9.857755661010742,-0.30322885513305664,-3.495855808258055,-5.397386074066162,-1.9015302658081072,2.9590511322021484,5.092962265014648,2.1339111328125
LM,rephrase_target_new,1000,1500,ADJACENT,2000,3000,0.6225,0.33166666666666667,-0.2908333333333334,1.8943529060203363,4.286581596309089,2.3922286902887526,0.8547561354935169,3.7263540625572205,2.8715979270637035,5.369669568538667,9.220986102148897,3.8513165336102304,18.772411346435547,19.630087852478027,0.8576765060424805,-0.6723135666847229,-3.774850529352824,-3.1025369626681014,-0.23667621612548828,-3.422229290008545,-3.1855530738830566,4.398402881622315,2.57358684539795,-1.8248160362243646,8.126179695129395,10.433900833129883,2.3077211380004883,1.8943529060203363,4.286581596309089,2.3922286902887526,0.5295837819576263,3.4733108282089233,2.943727046251297,5.949860239028932,9.79730806350708,3.847447824478148,20.172945022583008,22.938312530517578,2.7653675079345703,0.7986468639373779,-2.2882222015062967,-3.0868690654436746,1.4839749336242676,-2.0202627182006836,-3.504237651824951,5.683561992645266,3.743446636199951,-1.9401153564453146,11.097702026367188,12.031210899353027,0.9335088729858398
LM,rephrase_target_new,1500,2000,ADJACENT,3000,4000,0.33166666666666667,0.13225,-0.19941666666666666,4.286581596309089,8.342227600236903,4.055646003927814,3.7263540625572205,8.933018565177917,5.206664502620697,9.220986102148897,13.173344850540161,3.952358748391264,19.630087852478027,20.05216407775879,0.4220762252807617,-3.774850529352824,-6.985385571718216,-3.210535042365392,-3.422229290008545,-7.332199573516846,-3.909970283508301,2.57358684539795,-0.9027727127075138,-3.4763595581054636,10.433900833129883,13.007121086120605,2.5732202529907227,4.286581596309089,8.342227600236903,4.055646003927814,3.4733108282089233,9.048738956451416,5.575428128242493,9.79730806350708,13.43804655075073,3.6407384872436506,22.938312530517578,23.59037971496582,0.6520671844482422,-2.2882222015062967,-5.561373606204986,-3.2731514046986896,-2.0202627182006836,-6.241848468780518,-4.221585750579834,3.743446636199951,1.3887792587280268,-2.354667377471924,12.031210899353027,17.90342140197754,5.872210502624512
LM,rephrase_target_new,2000,3000,ADJACENT,4000,6000,0.13225,0.07616666666666666,-0.056083333333333346,8.342227600236903,8.916268324560408,0.5740407243235044,8.933018565177917,9.18362033367157,0.25060176849365234,13.173344850540161,13.289106941223144,0.11576209068298304,20.05216407775879,17.777329444885254,-2.274834632873535,-6.985385571718216,-7.6852762681643165,-0.6998906964461007,-7.332199573516846,-7.981974363327026,-0.6497747898101807,-0.9027727127075138,-2.6085806846618658,-1.705807971954352,13.007121086120605,6.514862060546875,-6.4922590255737305,8.342227600236903,8.916268324560408,0.5740407243235044,9.048738956451416,9.266595840454102,0.21785688400268555,13.43804655075073,13.558630847930909,0.12058429718017827,23.59037971496582,20.551986694335938,-3.038393020629883,-5.561373606204986,-6.433829531272252,-0.8724559250672659,-6.241848468780518,-6.7231645584106445,-0.48131608963012695,1.3887792587280268,-0.8666429519653311,-2.255422210693358,17.90342140197754,8.254453659057617,-9.648967742919922
LM,rephrase_target_new,3000,5000,ADJACENT,6000,10000,0.07616666666666666,0.0036,-0.07256666666666665,8.916268324560408,13.261108232548834,4.344839907988426,9.18362033367157,13.4673490524292,4.283728718757629,13.289106941223144,15.94543752670288,2.6563305854797363,17.777329444885254,19.906124114990234,2.1287946701049805,-7.6852762681643165,-9.796099724960326,-2.11082345679601,-7.981974363327026,-9.874072074890137,-1.8920977115631104,-2.6085806846618658,-6.965381908416748,-4.356801223754882,6.514862060546875,3.7375869750976562,-2.7772750854492188,8.916268324560408,13.261108232548834,4.344839907988426,9.266595840454102,13.537675380706787,4.2710795402526855,13.558630847930909,16.17410945892334,2.6154786109924313,20.551986694335938,20.41668701171875,-0.1352996826171875,-6.433829531272252,-9.00356210398674,-2.5697325727144875,-6.7231645584106445,-9.16086483001709,-2.4377002716064453,-0.8666429519653311,-5.981477785110472,-5.1148348331451405,8.254453659057617,4.793871879577637,-3.4605817794799805
LM,rephrase_target_new,5000,7500,ADJACENT,10000,15000,0.0036,0.031733333333333336,0.028133333333333337,13.261108232548834,10.828631482733359,-2.432476749815475,13.4673490524292,11.194952011108398,-2.272397041320801,15.94543752670288,14.27197003364563,-1.6734674930572506,19.906124114990234,22.79085350036621,2.8847293853759766,-9.796099724960326,-9.238870640436808,0.5572290845235184,-9.874072074890137,-9.292604923248291,0.5814671516418457,-6.965381908416748,-4.908427906036377,2.0569540023803707,3.7375869750976562,9.327940940856934,5.590353965759277,13.261108232548834,10.828631482733359,-2.432476749815475,13.537675380706787,11.298594951629639,-2.2390804290771484,16.17410945892334,14.572653388977052,-1.6014560699462876,20.41668701171875,27.36659812927246,6.949911117553711,-9.00356210398674,-7.8279366568406425,1.1756254471460972,-9.16086483001709,-8.049818515777588,1.111046314239502,-5.981477785110472,-2.9587129592895502,3.0227648258209214,4.793871879577637,11.157964706420898,6.364092826843262
LM,rephrase_target_new,7500,10000,ADJACENT,15000,20000,0.031733333333333336,0.01675,-0.014983333333333335,10.828631482733359,11.630341373318101,0.8017098905847426,11.194952011108398,11.952851057052612,0.7578990459442139,14.27197003364563,14.911456060409545,0.6394860267639153,22.79085350036621,23.091588973999023,0.3007354736328125,-9.238870640436808,-10.64308901193142,-1.4042183714946113,-9.292604923248291,-10.302727699279785,-1.0101227760314941,-4.908427906036377,-6.148702907562254,-1.2402750015258768,9.327940940856934,3.670844078063965,-5.657096862792969,10.828631482733359,11.630341373318101,0.8017098905847426,11.298594951629639,11.94253158569336,0.6439366340637207,14.572653388977052,15.350918483734132,0.7782650947570797,27.36659812927246,29.713342666625977,2.3467445373535156,-7.8279366568406425,-9.003425882828235,-1.1754892259875929,-8.049818515777588,-8.823193550109863,-0.7733750343322754,-2.9587129592895502,-4.327518129348753,-1.3688051700592023,11.157964706420898,8.056089401245117,-3.1018753051757812
LM,rephrase_target_new,1000,10000,TOTAL_1K_TO_10K,2000,20000,0.6225,0.01675,-0.60575,1.8943529060203363,11.630341373318101,9.735988467297766,0.8547561354935169,11.952851057052612,11.098094921559095,5.369669568538667,14.911456060409545,9.541786491870878,18.772411346435547,23.091588973999023,4.319177627563477,-0.6723135666847229,-10.64308901193142,-9.970775445246696,-0.23667621612548828,-10.302727699279785,-10.066051483154297,4.398402881622315,-6.148702907562254,-10.547105789184569,8.126179695129395,3.670844078063965,-4.45533561706543,1.8943529060203363,11.630341373318101,9.735988467297766,0.5295837819576263,11.94253158569336,11.412947803735733,5.949860239028932,15.350918483734132,9.401058244705201,20.172945022583008,29.713342666625977,9.540397644042969,0.7986468639373779,-9.003425882828235,-9.802072746765614,1.4839749336242676,-8.823193550109863,-10.30716848373413,5.683561992645266,-4.327518129348753,-10.011080121994018,11.097702026367188,8.056089401245117,-3.0416126251220703
LM,rephrase_target_true,1000,1500,ADJACENT,2000,3000,0.035,0.07833333333333334,0.043333333333333335,8.136218225722201,6.656489161849022,-1.4797290638731795,7.9073768854141235,6.192818522453308,-1.7145583629608154,13.200028038024902,11.035142087936402,-2.1648859500885003,21.948219299316406,23.476304054260254,1.5280847549438477,-8.923928834915161,-6.876376348495484,2.0475524864196775,-8.810356616973877,-6.3269407749176025,2.4834158420562744,-3.696581363677978,-1.8149185180664056,1.8816628456115725,2.6266298294067383,3.5374765396118164,0.9108467102050781,8.136218225722201,6.656489161849022,-1.4797290638731795,7.843527555465698,6.141827821731567,-1.7016997337341309,13.342352485656741,11.631984519958491,-1.71036796569825,23.809892654418945,25.46278190612793,1.6528892517089844,-7.579079330205917,-5.504077380339305,2.0750019498666123,-7.442502021789551,-4.960740089416504,2.481761932373047,-2.1743197441101056,-0.4852709770202641,1.6890487670898415,5.168499946594238,5.293807029724121,0.1253070831298828
LM,rephrase_target_true,1500,2000,ADJACENT,3000,4000,0.07833333333333334,0.0205,-0.057833333333333334,6.656489161849022,9.872565556348302,3.2160763944992805,6.192818522453308,10.005147159099579,3.8123286366462708,11.035142087936402,13.623687839508056,2.5885457515716546,23.476304054260254,24.4370059967041,0.9607019424438477,-6.876376348495484,-8.893423591136932,-2.017047242641448,-6.3269407749176025,-8.480554580688477,-2.153613805770874,-1.8149185180664056,-4.200884866714475,-2.3859663486480693,3.5374765396118164,2.463144302368164,-1.0743322372436523,6.656489161849022,9.872565556348302,3.2160763944992805,6.141827821731567,10.095540046691895,3.953712224960327,11.631984519958491,13.968433856964111,2.33644933700562,25.46278190612793,28.146787643432617,2.6840057373046875,-5.504077380339305,-7.5846312258243564,-2.080553845485052,-4.960740089416504,-7.383342504501343,-2.422602415084839,-0.4852709770202641,-2.815233516693115,-2.329962539672851,5.293807029724121,5.9515838623046875,0.6577768325805664
LM,rephrase_target_true,2000,3000,ADJACENT,4000,6000,0.0205,0.011166666666666667,-0.009333333333333334,9.872565556348302,10.340405262333652,0.46783970598534985,10.005147159099579,10.545758724212646,0.5406115651130676,13.623687839508056,13.975092124938964,0.35140428543090785,24.4370059967041,19.088154792785645,-5.348851203918457,-8.893423591136932,-9.065271226088205,-0.17184763495127342,-8.480554580688477,-9.128942012786865,-0.6483874320983887,-4.200884866714475,-4.952329349517822,-0.7514444828033477,2.463144302368164,1.2153167724609375,-1.2478275299072266,9.872565556348302,10.340405262333652,0.46783970598534985,10.095540046691895,10.517772674560547,0.42223262786865234,13.968433856964111,14.195219326019288,0.2267854690551765,28.146787643432617,22.11296272277832,-6.033824920654297,-7.5846312258243564,-7.990237119674682,-0.40560589385032575,-7.383342504501343,-8.056128978729248,-0.6727864742279053,-2.815233516693115,-3.6126294612884506,-0.7973959445953356,5.9515838623046875,4.579660415649414,-1.3719234466552734
LM,rephrase_target_true,3000,5000,ADJACENT,6000,10000,0.011166666666666667,0.0002,-0.010966666666666666,10.340405262333652,13.63081695394516,3.2904116916115083,10.545758724212646,13.69826340675354,3.1525046825408936,13.975092124938964,16.320001029968264,2.3449089050292997,19.088154792785645,19.90278911590576,0.8146343231201172,-9.065271226088205,-10.134699402713776,-1.0694281766255713,-9.128942012786865,-10.111061573028564,-0.9821195602416992,-4.952329349517822,-7.442834424972532,-2.49050507545471,1.2153167724609375,-0.9066267013549805,-2.121943473815918,10.340405262333652,13.63081695394516,3.2904116916115083,10.517772674560547,13.740649223327637,3.22287654876709,14.195219326019288,16.532715225219725,2.3374958992004373,22.11296272277832,20.59688377380371,-1.5160789489746094,-7.990237119674682,-9.36126200413704,-1.371024884462357,-8.056128978729248,-9.344983577728271,-1.2888545989990234,-3.6126294612884506,-6.499828910827636,-2.8871994495391857,4.579660415649414,0.6980562210083008,-3.8816041946411133
LM,rephrase_target_true,5000,7500,ADJACENT,10000,15000,0.0002,0.005066666666666666,0.004866666666666667,13.63081695394516,11.725243525767079,-1.9055734281780818,13.69826340675354,11.970777988433838,-1.7274854183197021,16.320001029968264,14.734486722946167,-1.5855143070220965,19.90278911590576,24.608205795288086,4.705416679382324,-10.134699402713776,-10.011899825223287,0.12279957749048975,-10.111061573028564,-9.867959022521973,0.2431025505065918,-7.442834424972532,-6.146548080444335,1.2962863445281974,-0.9066267013549805,1.3358840942382812,2.2425107955932617,13.63081695394516,11.725243525767079,-1.9055734281780818,13.740649223327637,11.937450408935547,-1.8031988143920898,16.532715225219725,14.996642684936523,-1.536072540283202,20.59688377380371,26.978485107421875,6.381601333618164,-9.36126200413704,-8.766662704928716,0.5945992992083227,-9.344983577728271,-8.730628967285156,0.6143546104431152,-6.499828910827636,-4.715276384353636,1.784552526474,0.6980562210083008,4.729277610778809,4.031221389770508
