cell,arm,metric,field,delta,n,mean,median,p90,max,negative,equal,positive,favorable_direction,favorable,unfavorable
0,JV_NATIVE,PS,target_new_nll,method-minus-O_NATIVE,20,-0.47777528800070285,-0.32154934853315353,0.06853721141815258,2.9069361686706543,17,0,3,lower,17,3
0,JV_NATIVE,PS,target_true_nll,method-minus-O_NATIVE,20,1.4765976905822753,1.091505527496338,2.908047437667847,10.285096406936646,3,0,17,higher,17,3
0,JV_NATIVE,PS,nll_advantage,method-minus-O_NATIVE,20,1.9543729785829782,1.607018992304802,3.341714043915273,13.08502758294344,3,0,17,higher,17,3
0,JV_NATIVE,PS,success,method-minus-O_NATIVE,20,0.05,0.0,0.0,1.0,0,19,1,higher,1,0
0,JV_NATIVE,PS,strict_teacher_forced,method-minus-O_NATIVE,20,0.0,0.0,0.0,1.0,1,18,1,higher,1,1
0,JV_NATIVE,NS,target_new_nll,method-minus-O_NATIVE,100,-0.09098996758460999,-0.04418802261352539,0.05025053024291992,0.16080665588378906,73,0,27,higher,27,73
0,JV_NATIVE,NS,target_true_nll,method-minus-O_NATIVE,100,-0.013478506301762536,0.00014906504657119513,0.09592037200927736,0.241363525390625,49,0,51,lower,49,51
0,JV_NATIVE,NS,nll_advantage,method-minus-O_NATIVE,100,0.07751146128284744,0.033329010009765625,0.2732784241437912,0.9775805920362473,31,0,69,lower,31,69
0,JV_NATIVE,NS,success,method-minus-O_NATIVE,100,0.0,0.0,0.0,0.0,0,100,0,higher,0,0
0,JV_NATIVE,NS,strict_teacher_forced,method-minus-O_NATIVE,100,0.0,0.0,0.0,0.0,0,100,0,higher,0,0
0,ORB_RAY_N,RS,target_new_nll,method-minus-O_NATIVE,10,-0.2723979115806287,-0.016060017980635166,-0.0007278046425199139,-0.0001708793279249221,10,0,0,lower,10,0
0,ORB_RAY_N,RS,target_true_nll,method-minus-O_NATIVE,10,2.8367310583591463,2.8394713401794434,5.164883714914321,6.858242034912109,0,0,10,higher,10,0
0,ORB_RAY_N,RS,nll_advantage,method-minus-O_NATIVE,10,3.109128969939775,2.9269476859190036,6.95588345900178,7.222810723120347,0,0,10,higher,10,0
0,ORB_RAY_N,RS,success,method-minus-O_NATIVE,10,0.1,0.0,0.09999999999999964,1.0,0,9,1,higher,1,0
0,ORB_RAY_N,RS,strict_teacher_forced,method-minus-O_NATIVE,10,0.1,0.0,0.09999999999999964,1.0,0,9,1,higher,1,0
0,ORB_RAY_N,PS,target_new_nll,method-minus-O_NATIVE,20,-0.595857747271657,-0.34678808599710464,0.0497579574584961,0.32390594482421875,17,0,3,lower,17,3
0,ORB_RAY_N,PS,target_true_nll,method-minus-O_NATIVE,20,1.6990429162979126,0.9256490468978882,3.1911276340484678,10.546656847000122,2,0,18,higher,18,2
0,ORB_RAY_N,PS,nll_advantage,method-minus-O_NATIVE,20,2.2949006635695697,1.5829360485076904,3.479050167649991,13.316438376903534,1,0,19,higher,19,1
0,ORB_RAY_N,PS,success,method-minus-O_NATIVE,20,0.05,0.0,0.0,1.0,0,19,1,higher,1,0
0,ORB_RAY_N,PS,strict_teacher_forced,method-minus-O_NATIVE,20,0.05,0.0,0.0,1.0,0,19,1,higher,1,0
0,ORB_RAY_N,NS,target_new_nll,method-minus-O_NATIVE,100,-0.06316965699195862,-0.023698806762695312,0.017025804519653347,0.052552223205566406,74,0,26,higher,26,74
0,ORB_RAY_N,NS,target_true_nll,method-minus-O_NATIVE,100,-0.006341055649099872,-0.0037711262702941895,0.05225103199481972,0.1376340389251709,59,0,41,lower,59,41
0,ORB_RAY_N,NS,nll_advantage,method-minus-O_NATIVE,100,0.05682860134285875,0.014775276184082031,0.1657969951629639,0.74733567237854,35,0,65,lower,35,65
0,ORB_RAY_N,NS,success,method-minus-O_NATIVE,100,0.0,0.0,0.0,0.0,0,100,0,higher,0,0
0,ORB_RAY_N,NS,strict_teacher_forced,method-minus-O_NATIVE,100,0.0,0.0,0.0,0.0,0,100,0,higher,0,0
1,ORBFH_HIST,RS,target_new_nll,method-minus-O_NATIVE,10,0.006344880845063017,0.0008084769506240264,0.01865603110927622,0.038910524221137166,0,0,10,lower,0,10
1,ORBFH_HIST,RS,target_true_nll,method-minus-O_NATIVE,10,-2.602944564819336,-1.9224247932434082,-0.8865110397338869,-0.45206356048583984,10,0,0,higher,0,10
1,ORBFH_HIST,RS,nll_advantage,method-minus-O_NATIVE,10,-2.609289445664399,-1.9229439844639273,-0.8897722546258594,-0.4521730945125455,10,0,0,higher,0,10
1,ORBFH_HIST,RS,success,method-minus-O_NATIVE,10,0.0,0.0,0.0,0.0,0,10,0,higher,0,0
1,ORBFH_HIST,RS,strict_teacher_forced,method-minus-O_NATIVE,10,0.0,0.0,0.0,0.0,0,10,0,higher,0,0
1,ORBFH_HIST,PS,target_new_nll,method-minus-O_NATIVE,20,0.41593880850996356,0.21780672669410706,0.7989127337932601,3.1854989528656006,3,0,17,lower,3,17
1,ORBFH_HIST,PS,target_true_nll,method-minus-O_NATIVE,20,-1.3538114428520203,-0.4495093822479248,-0.077521800994873,0.05877351760864258,19,0,1,higher,1,19
1,ORBFH_HIST,PS,nll_advantage,method-minus-O_NATIVE,20,-1.7697502513619838,-0.9553855657577515,-0.09403337053954591,0.09255695343017578,19,0,1,higher,1,19
1,ORBFH_HIST,PS,success,method-minus-O_NATIVE,20,0.0,0.0,0.0,0.0,0,20,0,higher,0,0
1,ORBFH_HIST,PS,strict_teacher_forced,method-minus-O_NATIVE,20,-0.05,0.0,0.0,0.0,1,19,0,higher,0,1
1,ORBFH_HIST,NS,target_new_nll,method-minus-O_NATIVE,100,0.02177284747362137,0.016132354736328125,0.1360755920410157,0.44623470306396484,41,0,59,higher,59,41
1,ORBFH_HIST,NS,target_true_nll,method-minus-O_NATIVE,100,0.008092841427423992,0.008921384811401367,0.13308763504028323,0.27251148223876953,39,0,61,lower,39,61
1,ORBFH_HIST,NS,nll_advantage,method-minus-O_NATIVE,100,-0.013680006046197377,0.003789842128753662,0.12346851229667669,0.26415491104125977,49,0,51,lower,49,51
1,ORBFH_HIST,NS,success,method-minus-O_NATIVE,100,0.0,0.0,0.0,0.0,0,100,0,higher,0,0
1,ORBFH_HIST,NS,strict_teacher_forced,method-minus-O_NATIVE,100,0.0,0.0,0.0,0.0,0,100,0,higher,0,0
1,JV_NATIVE,RS,target_new_nll,method-minus-O_NATIVE,10,0.0009079331841348904,0.0002972876245621592,0.0015945271588861925,0.005735017592087388,0,0,10,lower,0,10
1,JV_NATIVE,RS,target_true_nll,method-minus-O_NATIVE,10,-1.3053258895874023,-0.8948001861572266,-0.6108670234680177,-0.32086658477783203,10,0,0,higher,0,10
1,JV_NATIVE,RS,nll_advantage,method-minus-O_NATIVE,10,-1.3062338227715373,-0.8954796479374636,-0.6110185502911919,-0.3214089183602482,10,0,0,higher,0,10
1,JV_NATIVE,RS,success,method-minus-O_NATIVE,10,0.0,0.0,0.0,0.0,0,10,0,higher,0,0
1,JV_NATIVE,RS,strict_teacher_forced,method-minus-O_NATIVE,10,0.0,0.0,0.0,0.0,0,10,0,higher,0,0
1,JV_NATIVE,PS,target_new_nll,method-minus-O_NATIVE,20,0.1748494234168902,-4.672235809266567e-05,0.8176642179489143,1.742408275604248,10,0,10,lower,10,10
1,JV_NATIVE,PS,target_true_nll,method-minus-O_NATIVE,20,-0.9325323820114135,-0.4690420627593994,0.13364620208740252,0.6579456329345703,15,0,5,higher,5,15
1,JV_NATIVE,PS,nll_advantage,method-minus-O_NATIVE,20,-1.1073818054283038,-0.5898739655967802,0.35070767402648934,0.9155311584472656,15,0,5,higher,5,15
1,JV_NATIVE,PS,success,method-minus-O_NATIVE,20,0.1,0.0,0.10000000000000142,1.0,0,18,2,higher,2,0
1,JV_NATIVE,PS,strict_teacher_forced,method-minus-O_NATIVE,20,-0.1,0.0,0.0,0.0,2,18,0,higher,0,2
1,JV_NATIVE,NS,target_new_nll,method-minus-O_NATIVE,100,-0.08272004038095475,-0.029504776000976562,0.21616222858428963,0.5082473754882812,56,0,44,higher,44,56
1,JV_NATIVE,NS,target_true_nll,method-minus-O_NATIVE,100,0.007831352770444937,0.00614803284406662,0.2031058192253113,0.852107048034668,45,0,55,lower,45,55
1,JV_NATIVE,NS,nll_advantage,method-minus-O_NATIVE,100,0.09055139315139968,0.04577484622132033,0.4292352676391607,1.0896418243646622,40,0,60,lower,40,60
1,JV_NATIVE,NS,success,method-minus-O_NATIVE,100,-0.01,0.0,0.0,0.0,1,99,0,higher,0,1
1,JV_NATIVE,NS,strict_teacher_forced,method-minus-O_NATIVE,100,0.0,0.0,0.0,0.0,0,100,0,higher,0,0
1,ORB_RAY_N,RS,target_new_nll,method-minus-O_NATIVE,10,0.0011447981578385225,0.00030187630909495056,0.001854971749708054,0.0078036964405328035,0,0,10,lower,0,10
1,ORB_RAY_N,RS,target_true_nll,method-minus-O_NATIVE,10,-1.2107625007629395,-0.8052091598510742,-0.44118528366088877,-0.17512989044189453,10,0,0,higher,0,10
1,ORB_RAY_N,RS,nll_advantage,method-minus-O_NATIVE,10,-1.211907298920778,-0.8054646487726131,-0.44226393830758765,-0.17517041585233528,10,0,0,higher,0,10
1,ORB_RAY_N,RS,success,method-minus-O_NATIVE,10,0.0,0.0,0.0,0.0,0,10,0,higher,0,0
1,ORB_RAY_N,RS,strict_teacher_forced,method-minus-O_NATIVE,10,0.0,0.0,0.0,0.0,0,10,0,higher,0,0
1,ORB_RAY_N,PS,target_new_nll,method-minus-O_NATIVE,20,0.11743984955537598,-0.00022662713308818638,0.37074177861213764,1.7778549194335938,10,0,10,lower,10,10
1,ORB_RAY_N,PS,target_true_nll,method-minus-O_NATIVE,20,-0.6838220357894897,-0.2698545455932617,0.35593767166137696,0.780299186706543,15,0,5,higher,5,15
1,ORB_RAY_N,PS,nll_advantage,method-minus-O_NATIVE,20,-0.8012618853448658,-0.40876203775405884,0.42155351638793975,0.8090105652809143,13,0,7,higher,7,13
1,ORB_RAY_N,PS,success,method-minus-O_NATIVE,20,0.0,0.0,0.0,0.0,0,20,0,higher,0,0
1,ORB_RAY_N,PS,strict_teacher_forced,method-minus-O_NATIVE,20,-0.05,0.0,0.0,0.0,1,19,0,higher,0,1
1,ORB_RAY_N,NS,target_new_nll,method-minus-O_NATIVE,100,-0.05088982194662094,-0.017029762268066406,0.12375707626342777,0.46577024459838867,56,0,44,higher,44,56
1,ORB_RAY_N,NS,target_true_nll,method-minus-O_NATIVE,100,0.007429216480231844,0.002615690231323242,0.09555449485778818,0.4054403305053711,46,0,54,lower,46,54
1,ORB_RAY_N,NS,nll_advantage,method-minus-O_NATIVE,100,0.058319038426852786,0.02681446075439453,0.3076784729957583,0.73895263671875,36,0,64,lower,36,64
1,ORB_RAY_N,NS,success,method-minus-O_NATIVE,100,-0.01,0.0,0.0,0.0,1,99,0,higher,0,1
1,ORB_RAY_N,NS,strict_teacher_forced,method-minus-O_NATIVE,100,0.0,0.0,0.0,0.0,0,100,0,higher,0,0
2,ORBFH_HIST,RS,target_new_nll,method-minus-O_NATIVE,10,-0.0006630715623032301,-0.0002488948521204293,0.003541014483198523,0.003984780516475439,6,0,4,lower,6,4
2,ORBFH_HIST,RS,target_true_nll,method-minus-O_NATIVE,10,0.2243466854095459,0.17726469039916992,0.629337120056152,1.2467670440673828,4,0,6,higher,6,4
2,ORBFH_HIST,RS,nll_advantage,method-minus-O_NATIVE,10,0.22500975697184913,0.17868278702371754,0.6332248211489057,1.2469153372803703,4,0,6,higher,6,4
2,ORBFH_HIST,RS,success,method-minus-O_NATIVE,10,0.0,0.0,0.0,0.0,0,10,0,higher,0,0
2,ORBFH_HIST,RS,strict_teacher_forced,method-minus-O_NATIVE,10,0.0,0.0,0.0,0.0,0,10,0,higher,0,0
2,ORBFH_HIST,PS,target_new_nll,method-minus-O_NATIVE,20,-0.35749939864035696,-0.06659498251974583,0.06828724145889317,0.3121452331542969,14,0,6,lower,14,6
2,ORBFH_HIST,PS,target_true_nll,method-minus-O_NATIVE,20,0.190069842338562,0.06791925430297852,0.6445919990539553,1.4563989639282227,8,0,12,higher,12,8
2,ORBFH_HIST,PS,nll_advantage,method-minus-O_NATIVE,20,0.547569240978919,0.21307146549224854,1.1835626125335699,4.6347222328186035,4,0,16,higher,16,4
2,ORBFH_HIST,PS,success,method-minus-O_NATIVE,20,0.05,0.0,0.0,1.0,0,19,1,higher,1,0
2,ORBFH_HIST,PS,strict_teacher_forced,method-minus-O_NATIVE,20,0.05,0.0,0.0,1.0,0,19,1,higher,1,0
2,ORBFH_HIST,NS,target_new_nll,method-minus-O_NATIVE,100,-0.054430757761001584,-0.02089977264404297,0.050693225860595735,0.2814922332763672,71,0,29,higher,29,71
2,ORBFH_HIST,NS,target_true_nll,method-minus-O_NATIVE,100,0.0037097209692001343,0.001313924789428711,0.04306335449218766,0.3167848587036133,49,0,51,lower,49,51
2,ORBFH_HIST,NS,nll_advantage,method-minus-O_NATIVE,100,0.05814047873020172,0.02058267593383789,0.15200805664062558,1.145172357559204,28,0,72,lower,28,72
2,ORBFH_HIST,NS,success,method-minus-O_NATIVE,100,0.0,0.0,0.0,0.0,0,100,0,higher,0,0
2,ORBFH_HIST,NS,strict_teacher_forced,method-minus-O_NATIVE,100,0.0,0.0,0.0,0.0,0,100,0,higher,0,0
2,JV_NATIVE,RS,target_new_nll,method-minus-O_NATIVE,10,-0.003145545261213556,5.867754225619137e-05,0.004862906644120808,0.015427736099809408,5,0,5,lower,5,5
2,JV_NATIVE,RS,target_true_nll,method-minus-O_NATIVE,10,-0.5272937297821045,-0.2684636116027832,0.9265178203582761,1.4183263778686523,6,0,4,higher,4,6
2,JV_NATIVE,RS,nll_advantage,method-minus-O_NATIVE,10,-0.524148184520891,-0.24503561947494745,0.927382800914347,1.4221816007047892,6,0,4,higher,4,6
2,JV_NATIVE,RS,success,method-minus-O_NATIVE,10,0.0,0.0,0.0,0.0,0,10,0,higher,0,0
2,JV_NATIVE,RS,strict_teacher_forced,method-minus-O_NATIVE,10,0.0,0.0,0.0,0.0,0,10,0,higher,0,0
2,JV_NATIVE,PS,target_new_nll,method-minus-O_NATIVE,20,-0.42322205295786264,-0.01966382283717394,0.8270227879285821,1.5577526092529297,12,0,8,lower,12,8
2,JV_NATIVE,PS,target_true_nll,method-minus-O_NATIVE,20,-0.01641824245452881,-0.05042409896850586,0.9404213428497322,2.0891408920288086,13,0,7,higher,7,13
2,JV_NATIVE,PS,nll_advantage,method-minus-O_NATIVE,20,0.4068038105033338,0.2192234518006444,2.7644943237304718,4.98021125793457,7,0,13,higher,13,7
2,JV_NATIVE,PS,success,method-minus-O_NATIVE,20,0.0,0.0,0.0,0.0,0,20,0,higher,0,0
2,JV_NATIVE,PS,strict_teacher_forced,method-minus-O_NATIVE,20,0.0,0.0,0.0,1.0,1,18,1,higher,1,1
2,JV_NATIVE,NS,target_new_nll,method-minus-O_NATIVE,100,-0.1654854142665863,-0.047028541564941406,0.13961257934570315,0.9735250473022461,63,0,37,higher,37,63
2,JV_NATIVE,NS,target_true_nll,method-minus-O_NATIVE,100,0.04050105452537536,-0.005818605422973633,0.2508396148681642,1.3820486068725586,51,0,49,lower,51,49
2,JV_NATIVE,NS,nll_advantage,method-minus-O_NATIVE,100,0.20598646879196167,0.04760247468948364,0.6075488805770878,4.697165489196777,37,0,63,lower,37,63
2,JV_NATIVE,NS,success,method-minus-O_NATIVE,100,0.0,0.0,0.0,0.0,0,100,0,higher,0,0
2,JV_NATIVE,NS,strict_teacher_forced,method-minus-O_NATIVE,100,-0.01,0.0,0.0,0.0,1,99,0,higher,0,1
2,ORB_RAY_N,RS,target_new_nll,method-minus-O_NATIVE,10,-0.00043451459496282043,-0.00015347570297308266,0.0023848555982112873,0.005672633647918701,6,0,4,lower,6,4
2,ORB_RAY_N,RS,target_true_nll,method-minus-O_NATIVE,10,0.1593616008758545,0.26448583602905273,0.8367743968963622,1.037618637084961,4,0,6,higher,6,4
2,ORB_RAY_N,RS,nll_advantage,method-minus-O_NATIVE,10,0.15979611547081732,0.2675745415035635,0.8356926258653401,1.0449768491089344,4,0,6,higher,6,4
2,ORB_RAY_N,RS,success,method-minus-O_NATIVE,10,0.0,0.0,0.0,0.0,0,10,0,higher,0,0
2,ORB_RAY_N,RS,strict_teacher_forced,method-minus-O_NATIVE,10,0.0,0.0,0.0,0.0,0,10,0,higher,0,0
2,ORB_RAY_N,PS,target_new_nll,method-minus-O_NATIVE,20,-0.5080940916901454,-0.00447836727835238,0.2135652542114258,0.5084590911865234,11,0,9,lower,11,9
2,ORB_RAY_N,PS,target_true_nll,method-minus-O_NATIVE,20,0.15926518440246581,0.09550857543945312,0.7563363075256354,1.2060213088989258,7,0,13,higher,13,7
2,ORB_RAY_N,PS,nll_advantage,method-minus-O_NATIVE,20,0.6673592760926113,0.19483237341046333,2.4965577125549325,4.42087721824646,6,0,14,higher,14,6
2,ORB_RAY_N,PS,success,method-minus-O_NATIVE,20,0.05,0.0,0.0,1.0,0,19,1,higher,1,0
2,ORB_RAY_N,PS,strict_teacher_forced,method-minus-O_NATIVE,20,0.05,0.0,0.0,1.0,0,19,1,higher,1,0
2,ORB_RAY_N,NS,target_new_nll,method-minus-O_NATIVE,100,-0.10585257649421692,-0.03750276565551758,0.05145130157470713,0.6219120025634766,68,0,32,higher,32,68
2,ORB_RAY_N,NS,target_true_nll,method-minus-O_NATIVE,100,0.029026168882846832,0.007166624069213867,0.14715616703033446,0.8825149536132812,40,0,60,lower,40,60
2,ORB_RAY_N,NS,nll_advantage,method-minus-O_NATIVE,100,0.13487874537706376,0.04516547918319702,0.4098497033119203,1.7701499462127686,31,0,69,lower,31,69
2,ORB_RAY_N,NS,success,method-minus-O_NATIVE,100,0.0,0.0,0.0,0.0,0,100,0,higher,0,0
2,ORB_RAY_N,NS,strict_teacher_forced,method-minus-O_NATIVE,100,0.0,0.0,0.0,0.0,0,100,0,higher,0,0
3,ORBFH_HIST,RS,target_new_nll,method-minus-O_NATIVE,10,0.000599238503491506,0.0004517879569903016,0.005829173699021339,0.006248936057090759,4,0,6,lower,4,6
3,ORBFH_HIST,RS,target_true_nll,method-minus-O_NATIVE,10,0.09424629211425781,-0.25436973571777344,0.9055494308471678,1.418142318725586,6,0,4,higher,4,6
3,ORBFH_HIST,RS,nll_advantage,method-minus-O_NATIVE,10,0.0936470536107663,-0.2588502448052168,0.907285664352821,1.4316900700796396,6,0,4,higher,4,6
3,ORBFH_HIST,RS,success,method-minus-O_NATIVE,10,0.0,0.0,0.0,0.0,0,10,0,higher,0,0
3,ORBFH_HIST,RS,strict_teacher_forced,method-minus-O_NATIVE,10,0.0,0.0,0.0,0.0,0,10,0,higher,0,0
3,ORBFH_HIST,PS,target_new_nll,method-minus-O_NATIVE,20,0.038803454814478756,-0.005026759579777718,0.4764199495315552,0.9641034603118896,11,0,9,lower,11,9
3,ORBFH_HIST,PS,target_true_nll,method-minus-O_NATIVE,20,0.051979589462280276,0.0357050895690918,0.38371562957763683,0.8387784957885742,8,0,12,higher,12,8
3,ORBFH_HIST,PS,nll_advantage,method-minus-O_NATIVE,20,0.013176134647801518,0.017214957624673843,0.4109840720891954,0.8463260531425476,9,0,11,higher,11,9
3,ORBFH_HIST,PS,success,method-minus-O_NATIVE,20,0.0,0.0,0.0,0.0,0,20,0,higher,0,0
3,ORBFH_HIST,PS,strict_teacher_forced,method-minus-O_NATIVE,20,0.05,0.0,0.0,1.0,0,19,1,higher,1,0
3,ORBFH_HIST,NS,target_new_nll,method-minus-O_NATIVE,100,0.01186508297920227,-0.00028014183044433594,0.08288364410400391,1.1858205795288086,51,0,49,higher,49,51
3,ORBFH_HIST,NS,target_true_nll,method-minus-O_NATIVE,100,0.013210370689630508,0.010184526443481445,0.07671804428100586,0.24162626266479492,41,0,59,lower,41,59
3,ORBFH_HIST,NS,nll_advantage,method-minus-O_NATIVE,100,0.0013452877104282379,0.011180400848388672,0.11086495518684389,0.4155247211456299,42,0,58,lower,42,58
3,ORBFH_HIST,NS,success,method-minus-O_NATIVE,100,-0.01,0.0,0.0,0.0,1,99,0,higher,0,1
3,ORBFH_HIST,NS,strict_teacher_forced,method-minus-O_NATIVE,100,0.0,0.0,0.0,0.0,0,100,0,higher,0,0
3,JV_NATIVE,RS,target_new_nll,method-minus-O_NATIVE,10,0.0033092823636252434,0.00045439033419825137,0.021912545617669796,0.08529211953282356,4,0,6,lower,4,6
3,JV_NATIVE,RS,target_true_nll,method-minus-O_NATIVE,10,-0.3680316925048828,-0.30925655364990234,0.8911239624023436,1.2428512573242188,6,0,4,higher,4,6
3,JV_NATIVE,RS,nll_advantage,method-minus-O_NATIVE,10,-0.37134097486850803,-0.27525445399805903,0.8918682863935827,1.253344931639731,6,0,4,higher,4,6
3,JV_NATIVE,RS,success,method-minus-O_NATIVE,10,0.0,0.0,0.0,0.0,0,10,0,higher,0,0
3,JV_NATIVE,RS,strict_teacher_forced,method-minus-O_NATIVE,10,0.0,0.0,0.0,0.0,0,10,0,higher,0,0
3,JV_NATIVE,PS,target_new_nll,method-minus-O_NATIVE,20,0.10073518212884665,0.1393060488626361,0.9550367832183845,2.2630021572113037,7,0,13,lower,7,13
3,JV_NATIVE,PS,target_true_nll,method-minus-O_NATIVE,20,-0.010830974578857422,-0.09877181053161621,0.9870405673980716,2.5894346237182617,13,0,7,higher,7,13
3,JV_NATIVE,PS,nll_advantage,method-minus-O_NATIVE,20,-0.11156615670770406,-0.36389923095703125,1.2254753410816195,3.5987229347229004,14,0,6,higher,6,14
3,JV_NATIVE,PS,success,method-minus-O_NATIVE,20,0.0,0.0,0.0,0.0,0,20,0,higher,0,0
3,JV_NATIVE,PS,strict_teacher_forced,method-minus-O_NATIVE,20,0.05,0.0,0.0,1.0,0,19,1,higher,1,0
3,JV_NATIVE,NS,target_new_nll,method-minus-O_NATIVE,100,-0.0503714257478714,-0.010740280151367188,0.19299087524414085,1.0672531127929688,51,0,49,higher,49,51
3,JV_NATIVE,NS,target_true_nll,method-minus-O_NATIVE,100,0.025657459199428558,0.014099538326263428,0.22067594528198256,1.5900964736938477,44,0,56,lower,44,56
3,JV_NATIVE,NS,nll_advantage,method-minus-O_NATIVE,100,0.07602888494729995,0.013073325157165527,0.32728540301322984,1.9855918884277344,48,0,52,lower,48,52
3,JV_NATIVE,NS,success,method-minus-O_NATIVE,100,0.01,0.0,0.0,1.0,0,99,1,higher,1,0
3,JV_NATIVE,NS,strict_teacher_forced,method-minus-O_NATIVE,100,0.0,0.0,0.0,1.0,1,98,1,higher,1,1
3,ORB_RAY_N,RS,target_new_nll,method-minus-O_NATIVE,10,0.0018004050303716212,6.386070162989199e-05,0.00920480256900191,0.018744971603155136,5,0,5,lower,5,5
3,ORB_RAY_N,RS,target_true_nll,method-minus-O_NATIVE,10,-0.0007726430892944336,-0.393707275390625,0.8678739547729487,2.223928451538086,6,0,4,higher,4,6
3,ORB_RAY_N,RS,nll_advantage,method-minus-O_NATIVE,10,-0.002573048119666055,-0.39359764009714127,0.8699109108187253,2.238660117611289,6,0,4,higher,4,6
3,ORB_RAY_N,RS,success,method-minus-O_NATIVE,10,0.0,0.0,0.0,0.0,0,10,0,higher,0,0
3,ORB_RAY_N,RS,strict_teacher_forced,method-minus-O_NATIVE,10,0.0,0.0,0.0,0.0,0,10,0,higher,0,0
3,ORB_RAY_N,PS,target_new_nll,method-minus-O_NATIVE,20,0.010875835036858916,0.002143584191799164,0.4781135559082034,1.0994620323181152,9,0,11,lower,9,11
3,ORB_RAY_N,PS,target_true_nll,method-minus-O_NATIVE,20,-0.10818805694580078,-0.0801858901977539,0.5002217769622804,0.9680700302124023,12,0,8,higher,8,12
3,ORB_RAY_N,PS,nll_advantage,method-minus-O_NATIVE,20,-0.1190638919826597,-0.14762282371520996,0.6657164141535762,1.4262990951538086,12,0,8,higher,8,12
3,ORB_RAY_N,PS,success,method-minus-O_NATIVE,20,0.0,0.0,0.0,0.0,0,20,0,higher,0,0
3,ORB_RAY_N,PS,strict_teacher_forced,method-minus-O_NATIVE,20,0.05,0.0,0.0,1.0,0,19,1,higher,1,0
3,ORB_RAY_N,NS,target_new_nll,method-minus-O_NATIVE,100,-0.01282950758934021,-0.026198625564575195,0.13199863433837908,1.1901521682739258,57,0,43,higher,43,57
3,ORB_RAY_N,NS,target_true_nll,method-minus-O_NATIVE,100,0.03075597286224365,0.02162647247314453,0.12291717529296879,0.9801721572875977,37,0,63,lower,37,63
