arm,provenance,batch,state,population,metric,numerator,denominator,percent,request_denominator,ties,desired_strict_n,desired_strict_d,new_strict_n,true_strict_n,desired_token_correct,desired_token_d,all_prompt_strict_requests,new_nll_mean,new_nll_median,new_nll_p90,new_nll_p95,new_nll_p99,new_nll_min,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_p95,true_nll_p99,true_nll_min,true_nll_max,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_p95,desired_margin_p99,desired_margin_min,desired_margin_max
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,7,ENTRY,ACCEPTED_OLD,PS,1157,1200,96.41666666666667,600,0,775,1200,775,8,796,1222,287,1.629211114853815,0.34157970547676086,5.175251531600955,7.113343596458434,9.816073980331419,5.900685573578812e-05,12.854985237121582,10.102551499139517,9.926501274108887,15.285306072235109,16.87883815765381,20.252949333190916,0.07650897651910782,24.645021438598633,8.473340384285702,8.482428789138794,14.439503104413962,16.178595696156844,20.250755349845274,-9.13751769065857,24.624671202152967
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,7,ENTRY,ACCEPTED_OLD,NS,4983,6000,83.05,600,0,1074,6000,84,1074,1164,6090,6,9.80344460198211,9.734329223632812,14.59404935836792,16.05459442138672,18.680356254577642,5.9602869441732764e-05,24.251455307006836,5.2925795457589455,4.913350343704224,10.484460258483889,12.060666370391848,14.895396041870118,0.0005073452484793961,20.998517990112305,4.510865056223163,4.393206596374512,10.639440264878795,12.181235642731192,15.587921550869954,-20.998458387242863,20.4124919436872
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,7,RAW,CURRENT,RS,100,100,100.0,100,0,100,100,100,0,101,101,100,0.0024906984867266147,0.0008454919734504074,0.003595304302871229,0.005478716269135471,0.011953017432243076,6.675497570540756e-05,0.0980503186583519,14.568163409233094,14.330090999603271,19.989786911010743,22.458693027496338,23.57612140655519,4.206252098083496,26.335371017456055,14.565672710746366,14.329190667835064,19.98768625882367,22.457982651458586,23.5750945163821,4.108201779425144,26.334726064815186
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,7,RAW,CURRENT,PS,195,200,97.5,100,0,143,200,143,1,145,202,58,1.5348792988920468,0.20201652497053146,4.755097866058348,7.03394439220428,11.707028589248656,0.00022349244682118297,11.863065719604492,10.019678477346897,9.935664176940918,15.392329502105712,16.683245849609374,18.928677425384503,0.5171106457710266,22.02445411682129,8.48479917845485,8.282343626022339,13.924251624010502,16.43867368791252,18.925832979029494,-9.483436107635498,21.982982460409403
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,7,RAW,CURRENT,NS,856,1000,85.6,100,0,243,1000,19,243,253,1010,2,9.441573815383016,9.279914855957031,14.40136890411377,15.642063951492307,18.033354606628418,0.08351976424455643,22.553852081298828,4.661658468551933,4.121999263763428,9.900386714935303,11.690456867218014,15.099559230804442,0.006331740878522396,19.72740936279297,4.779915346831083,4.781703472137451,10.570419001579285,12.16580741405487,15.84296047449112,-10.149828001856804,18.083053022623062
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,7,RAW,ACCEPTED_OLD,RS,600,600,100.0,600,0,598,600,598,0,609,611,598,0.019521161728841132,0.0012419852428138256,0.004831129126250745,0.006873278901912269,0.1162889266759152,1.9311717551317997e-05,4.2062530517578125,14.616427369117737,14.476003646850586,19.93353385925293,21.91158962249756,25.344446334838867,3.214216709136963,26.2811279296875,14.596906207388896,14.475697107845917,19.933011966233607,21.90994260685402,25.3438452241334,0.4847421646118164,26.280606167565566
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,7,RAW,ACCEPTED_OLD,PS,1159,1200,96.58333333333333,600,0,776,1200,776,9,797,1222,288,1.6202228687353546,0.3456701338291168,5.198224163055426,6.9402193069457985,9.7664369392395,5.2927523938706145e-05,12.926790237426758,10.090594083387405,9.936005592346191,15.180570983886726,16.70823030471802,20.35559085845947,0.07795234769582748,24.71977996826172,8.470371214652051,8.483274653553963,14.447318373632527,16.247359048365613,20.327005729917797,-9.155553340911865,24.718051973730326
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,7,RAW,ACCEPTED_OLD,NS,4934,6000,82.23333333333333,600,0,1062,6000,95,1062,1152,6090,7,9.687254065808073,9.645603656768799,14.494265174865724,15.924922323226932,18.721169376373297,5.173549288883805e-05,24.197246551513672,5.311337079543019,4.9330267906188965,10.450958347320558,12.032027864456179,14.894122409820579,0.0004359725280664861,22.75481414794922,4.375916986265055,4.265752345323563,10.525031104683878,12.12951642274857,15.49328831017018,-21.443418265727814,19.80361856520176
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,7,SELECTED,CURRENT,RS,100,100,100.0,100,0,100,100,100,0,101,101,100,0.0024906984867266147,0.0008454919734504074,0.003595304302871229,0.005478716269135471,0.011953017432243076,6.675497570540756e-05,0.0980503186583519,14.568163409233094,14.330090999603271,19.989786911010743,22.458693027496338,23.57612140655519,4.206252098083496,26.335371017456055,14.565672710746366,14.329190667835064,19.98768625882367,22.457982651458586,23.5750945163821,4.108201779425144,26.334726064815186
NORM_ONLY,NEW_CHAIN_CPU_REDUCTION,7,SELECTED,CURRENT,PS,195,200,97.5,100,0,143,200,143,1,145,202,58,1.5348792988920468,0.20201652497053146,4.755097866058348,7.03394439220428,11.707028589248656,0.00022349244682118297,11.863065719604492,10.019678477346897,9.935664176940918,15.392329502105712,16.683245849609374,18.928677425384503,0.5171106457710266,22.02445411682129,8.48479917845485,8.282343626022339,13.924251624010502,16.43867368791252,18.925832979029494,-9.483436107635498,21.982982460409403
