arm,provenance,batch,scope,metric,numerator,denominator,percent,request_denominator,ties,desired_strict_n,desired_strict_d,new_strict_n,true_strict_n,desired_token_correct,desired_token_d,all_prompt_strict_requests,new_nll_mean,new_nll_median,new_nll_p90,new_nll_p95,new_nll_p99,new_nll_min,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_p95,true_nll_p99,true_nll_min,true_nll_max,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_p95,desired_margin_p99,desired_margin_min,desired_margin_max
CAP1,SEALED_CAP1_REUSE,10,ACCEPTED_ONLY,PS,1942,2000,97.1,1000,0,1341,2000,1341,12,1370,2030,503,1.5436726190294667,0.3024852126836777,5.125006961822513,6.7589451551437305,10.000018997192381,5.6265202147187665e-05,16.6906795501709,10.15203812836483,10.046596050262451,14.9906156539917,16.763717651367188,20.105521335601807,0.07335568219423294,24.70581817626953,8.608365509335364,8.657276693731546,14.38937987163663,16.368882584152743,19.987845773458247,-8.932344913482666,24.685913426801562
CAP1,SEALED_CAP1_REUSE,mixed1-10,ONLINE_OWN_BATCH_NOT_RETENTION,NS,8351,10000,83.51,1000,0,1944,10000,161,1944,2053,10110,14,9.821759150929793,9.773995876312256,14.708355617523194,16.081473541259765,18.7322673034668,6.687417771900073e-05,24.794269561767578,5.1686490492164445,4.716954708099365,10.424765396118167,12.053032064437863,14.879600124359134,0.0008112476789392531,19.360639572143555,4.653110101713349,4.636367857456207,10.801442956924438,12.447561794519421,15.779926554039122,-18.14820659383986,20.285196781158447
CAP1,SEALED_CAP1_REUSE,10,ACTIVE_TARGET,NS,8049,9990,80.57057057057057,999,0,1820,9990,247,1820,1930,10100,10,9.285989806922966,9.263211250305176,14.149462413787843,15.508750677108761,18.1369612121582,6.48477507638745e-05,24.48125648498535,5.3023064119989245,4.854167222976685,10.575318908691408,12.293562936782829,15.086900787353521,0.0007825411157682538,22.646289825439453,3.9836833949240438,4.029151201248169,10.106395363807678,11.648487586528063,14.962821452952927,-17.753726961331267,19.10924182087183
CAP1,SEALED_CAP1_REUSE,10,SUPERSEDED,NS,7,10,70.0,1,0,0,10,0,0,0,10,0,6.975521373748779,6.732525825500488,9.345735168457031,9.490645694732665,9.606574115753174,2.5014748573303223,9.6355562210083,5.480223608016968,5.01496696472168,8.937567615509032,9.793402147293088,10.478069772720337,2.236948251724243,10.649236679077148,1.4952977657318116,2.725734233856201,3.5320061445236206,3.708469212055206,3.849639666080475,-2.602123260498047,3.884932279586792
CAP1,SEALED_CAP1_REUSE,10,ACCEPTED_ONLY,NS,8056,10000,80.56,1000,0,1820,10000,247,1820,1930,10110,10,9.283679338489794,9.259900569915771,14.148305225372315,15.506478548049923,18.13694366455078,6.48477507638745e-05,24.48125648498535,5.302484329194942,4.854599952697754,10.575318908691408,12.288322019577018,15.086058883666993,0.0007825411157682538,22.646289825439453,3.9811950092948516,4.0229045152664185,10.105278730392456,11.648483600467443,14.9617902154848,-17.753726961331267,19.10924182087183
CAP10,NEW_CHAIN_CPU_REDUCTION,5,FULL_SEEN,RS,500,500,100.0,500,0,499,500,499,0,506,507,499,0.008945647148197167,0.0011055912473239005,0.004367882525548343,0.006751641328446566,0.038244271799921736,2.95634672511369e-05,2.3154897689819336,14.599810564041137,14.508730411529541,19.84308776855469,21.509014987945548,25.50750326156616,4.147016525268555,26.598106384277344,14.59086491689294,14.506515988206957,19.840116810193287,21.508436722384058,25.506902385511204,1.831526756286621,26.59692905144766
CAP10,NEW_CHAIN_CPU_REDUCTION,5,FULL_SEEN,PS,963,1000,96.3,500,0,655,1000,655,9,669,1014,248,1.5917783182861966,0.32404524087905884,5.20476336479187,7.178360724449157,10.32315095901489,5.745722592109814e-05,13.600733757019043,10.140913242757321,9.943753242492676,15.361593532562257,16.99448299407959,20.511475772857665,0.07473701238632202,25.165313720703125,8.549134924471124,8.584107801318169,14.524374690651895,16.845825812313706,20.334022651351987,-9.72842788696289,25.160620632581413
CAP10,NEW_CHAIN_CPU_REDUCTION,5,FULL_SEEN,NS,4201,5000,84.02,500,0,925,5000,59,925,995,5070,5,9.899801726479033,9.811695098876953,14.707727909088137,16.163187980651855,19.105866622924808,6.842378934379667e-05,24.478317260742188,5.180224975728057,4.77054500579834,10.394907569885255,11.967555141448974,14.79896112442017,0.0007531190640293062,20.246944427490234,4.719576750750977,4.618866801261902,10.807073387503625,12.34463975429535,15.603111175149683,-20.24687600370089,20.272868797183037
CAP10,NEW_CHAIN_CPU_REDUCTION,10,FULL_SEEN,RS,999,1000,99.9,1000,0,995,1000,995,1,1010,1015,995,0.030928435025150976,0.001228114531841129,0.004956114850938321,0.007574392645619788,0.10800680354237553,1.847726889536716e-05,9.001810073852539,14.49628280198574,14.309282779693604,19.93949375152588,21.730937004089352,24.776620483398435,1.0058215856552124,28.881729125976562,14.46535436696059,14.307159334246535,19.938913698247053,21.730873674538085,24.770474402235994,-6.014540791511536,28.881504084158223
CAP10,NEW_CHAIN_CPU_REDUCTION,10,FULL_SEEN,PS,1947,2000,97.35,1000,0,1336,2000,1336,11,1365,2030,504,1.5471979916304464,0.30079464614391327,4.997241020202638,6.856200790405273,10.043343963623046,5.519237674889155e-05,17.050918579101562,10.1144073690027,9.970558166503906,15.166236400604248,16.889126682281493,20.143294830322265,0.09258483350276947,25.73089027404785,8.567209377372254,8.514115393161774,14.43144858547021,16.576641224735063,19.901649283878506,-9.415582180023193,25.728000885341316
CAP10,NEW_CHAIN_CPU_REDUCTION,10,FULL_SEEN,NS,8075,10000,80.75,1000,0,1803,10000,247,1803,1913,10110,11,9.285756853692405,9.270647048950195,14.129546070098879,15.537164306640625,18.1805743598938,7.343022298300639e-05,24.294200897216797,5.317979336439242,4.859249591827393,10.593784427642822,12.203889656066893,14.921477928161623,0.0008986725588329136,22.26567840576172,3.967777517253164,4.007030487060547,10.03908486366272,11.654429924488067,14.986492365971209,-19.888468745069986,19.244799464941025
CAP10,NEW_CHAIN_CPU_REDUCTION,10,FIRST500,RS,499,500,99.8,500,0,496,500,496,1,503,507,496,0.03780665876514104,0.0012441878789104521,0.005771744810044765,0.010556224826723309,0.1866932375728964,3.9457496313843876e-05,7.020362377166748,14.460461090326309,14.327667713165283,19.713500022888184,21.262885761260975,25.618029098510743,1.0058215856552124,26.384214401245117,14.422654431561169,14.314644066616893,19.710848318689386,21.2618948381947,25.61731065588945,-6.014540791511536,26.382916934904642
CAP10,NEW_CHAIN_CPU_REDUCTION,10,FIRST500,PS,968,1000,96.8,500,0,662,1000,662,7,676,1014,251,1.5510344398685738,0.31318388879299164,5.008229970932008,7.028732109069823,9.713112525939938,5.519237674889155e-05,13.398743629455566,10.089483334168792,9.87004566192627,15.265453910827638,17.01412467956543,20.490836009979247,0.09258483350276947,25.73089027404785,8.538448894300219,8.4989182241261,14.511512853740715,16.81889046767028,20.10659658435732,-9.415582180023193,25.728000885341316
CAP10,NEW_CHAIN_CPU_REDUCTION,10,FIRST500,NS,4018,5000,80.36,500,0,837,5000,118,837,907,5070,2,9.34038792077547,9.28993844985962,14.23153944015503,15.630806875228883,18.593351612091073,7.343022298300639e-05,24.294200897216797,5.427800441296178,5.0132200717926025,10.706483078002933,12.225138664245609,15.091273860931402,0.0008986725588329136,22.26567840576172,3.912587479479292,3.9360747933387756,10.017956390976906,11.627184605598451,15.020975551597099,-19.888468745069986,18.82264006882906
CAP10,NEW_CHAIN_CPU_REDUCTION,mixed1-10,ONLINE_OWN_BATCH_NOT_RETENTION,RS,1000,1000,100.0,1000,0,1000,1000,1000,0,1015,1015,1000,0.004148550253832582,0.0011036264477297664,0.004007334169000388,0.006037971610203382,0.022123786192387293,1.847726889536716e-05,1.3344448804855347,14.626441880226135,14.404645919799805,20.02883186340332,21.865791511535644,24.806341228485106,2.9439778327941895,28.7898006439209,14.622293329972303,14.40450818881618,20.028449918617845,21.864174373011338,24.80499136797967,2.507386326789856,28.78957000054652
CAP10,NEW_CHAIN_CPU_REDUCTION,10,ACTIVE_TARGET,RS,998,999,99.89989989989989,999,0,995,999,995,1,1010,1014,995,0.02672439598577298,0.0012201968347653747,0.004870359785854821,0.007544749230146408,0.08066998839378306,1.847726889536716e-05,9.001810073852539,14.505333398197505,14.311631202697754,19.94278831481934,21.735136032104485,24.77773971557617,1.0058215856552124,28.881729125976562,14.478609002211734,14.309065179899335,19.941919632512146,21.735051333791482,24.77165206335892,-6.014540791511536,28.881504084158223
CAP10,NEW_CHAIN_CPU_REDUCTION,10,SUPERSEDED,RS,1,1,100.0,1,0,0,1,0,0,0,1,0,4.2307634353637695,4.2307634353637695,4.2307634353637695,4.2307634353637695,4.2307634353637695,4.2307634353637695,4.2307634353637695,5.454737186431885,5.454737186431885,5.454737186431885,5.454737186431885,5.454737186431885,5.454737186431885,5.454737186431885,1.2239737510681152,1.2239737510681152,1.2239737510681152,1.2239737510681152,1.2239737510681152,1.2239737510681152,1.2239737510681152
CAP10,NEW_CHAIN_CPU_REDUCTION,10,ACCEPTED_ONLY,RS,999,1000,99.9,1000,0,995,1000,995,1,1010,1015,995,0.030928435025150976,0.001228114531841129,0.004956114850938321,0.007574392645619788,0.10800680354237553,1.847726889536716e-05,9.001810073852539,14.49628280198574,14.309282779693604,19.93949375152588,21.730937004089352,24.776620483398435,1.0058215856552124,28.881729125976562,14.46535436696059,14.307159334246535,19.938913698247053,21.730873674538085,24.770474402235994,-6.014540791511536,28.881504084158223
CAP10,NEW_CHAIN_CPU_REDUCTION,mixed1-10,ONLINE_OWN_BATCH_NOT_RETENTION,PS,1938,2000,96.9,1000,0,1320,2000,1320,13,1349,2030,498,1.5937903063409193,0.30921973288059235,5.14219083786011,7.121951913833618,10.561191692352295,5.8530047681415454e-05,16.325645446777344,10.161906733326614,10.05761194229126,15.19992847442627,16.81177568435669,20.287802505493165,0.07777589559555054,25.187318801879883,8.568116426985695,8.55625282973051,14.576325786067175,16.526367221353574,20.163050653774405,-9.904305458068848,25.18372609652579
CAP10,NEW_CHAIN_CPU_REDUCTION,10,ACTIVE_TARGET,PS,1947,1998,97.44744744744744,999,0,1336,1998,1336,11,1365,2028,504,1.542681072588212,0.29955294728279114,4.996100807189942,6.838193655014035,10.04353744506836,5.519237674889155e-05,17.050918579101562,10.1195071653889,9.97118616104126,15.167097568511963,16.890982341766353,20.144163665771483,0.09258483350276947,25.73089027404785,8.576826092800687,8.52416980266571,14.436052526230922,16.583816922569522,19.902479343153534,-9.415582180023193,25.728000885341316
CAP10,NEW_CHAIN_CPU_REDUCTION,10,SUPERSEDED,PS,0,2,0.0,1,0,0,2,0,0,0,2,0,6.059600114822388,6.059600114822388,7.130567026138306,7.264437890052795,7.371534581184387,4.72089147567749,7.398308753967285,5.0197107791900635,5.0197107791900635,6.292754411697388,6.451884865760803,6.5791892290115355,3.428406238555908,6.611015319824219,-1.0398893356323242,-1.0398893356323242,-0.8378126144409179,-0.8125530242919923,-0.7923453521728515,-1.292485237121582,-0.7872934341430664
CAP10,NEW_CHAIN_CPU_REDUCTION,10,ACCEPTED_ONLY,PS,1947,2000,97.35,1000,0,1336,2000,1336,11,1365,2030,504,1.5471979916304464,0.30079464614391327,4.997241020202638,6.856200790405273,10.043343963623046,5.519237674889155e-05,17.050918579101562,10.1144073690027,9.970558166503906,15.166236400604248,16.889126682281493,20.143294830322265,0.09258483350276947,25.73089027404785,8.567209377372254,8.514115393161774,14.43144858547021,16.576641224735063,19.901649283878506,-9.415582180023193,25.728000885341316
CAP10,NEW_CHAIN_CPU_REDUCTION,mixed1-10,ONLINE_OWN_BATCH_NOT_RETENTION,NS,8365,10000,83.65,1000,0,1936,10000,160,1936,2045,10110,13,9.822864616352405,9.781214237213135,14.698665714263916,16.051179981231684,18.71141586303711,6.854299135738984e-05,24.69624137878418,5.170175652425707,4.7214555740356445,10.447418594360355,12.042727327346798,14.908413972854618,0.000811366830021143,20.694486618041992,4.652688963926698,4.618819952011108,10.78817214667797,12.412050746008752,15.661480134055019,-20.694418075050635,20.35754431784153
CAP10,NEW_CHAIN_CPU_REDUCTION,10,ACTIVE_TARGET,NS,8068,9990,80.76076076076076,999,0,1802,9990,246,1802,1912,10100,11,9.28825297479025,9.277248859405518,14.133803462982177,15.537694549560547,18.18099340438843,7.343022298300639e-05,24.294200897216797,5.317824581326774,4.859249591827393,10.59428939819336,12.204765129089354,14.922313728332524,0.0008986725588329136,22.26567840576172,3.9704283934634765,4.01423454284668,10.043586587905883,11.655502927303313,14.98688255660236,-19.888468745069986,19.244799464941025
CAP10,NEW_CHAIN_CPU_REDUCTION,10,SUPERSEDED,NS,7,10,70.0,1,0,1,10,1,1,1,10,0,6.792131876945495,6.789093017578125,9.147931003570557,9.16012282371521,9.169876279830932,1.647904634475708,9.172314643859863,5.47257969379425,4.919675827026367,8.927717971801757,9.58194007873535,10.105317764282226,2.2119085788726807,10.236162185668945,1.3195521831512451,2.4931163787841797,3.4547233343124386,3.6769517540931695,3.8547344899177554,-3.172597646713257,3.8991801738739014
CAP10,NEW_CHAIN_CPU_REDUCTION,10,ACCEPTED_ONLY,NS,8075,10000,80.75,1000,0,1803,10000,247,1803,1913,10110,11,9.285756853692405,9.270647048950195,14.129546070098879,15.537164306640625,18.1805743598938,7.343022298300639e-05,24.294200897216797,5.317979336439242,4.859249591827393,10.593784427642822,12.203889656066893,14.921477928161623,0.0008986725588329136,22.26567840576172,3.967777517253164,4.007030487060547,10.03908486366272,11.654429924488067,14.986492365971209,-19.888468745069986,19.244799464941025
CAP100,NEW_CHAIN_CPU_REDUCTION,5,FULL_SEEN,RS,500,500,100.0,500,0,499,500,499,0,506,507,499,0.008768772969553537,0.0011597700067795813,0.004504260653629899,0.006224967655725763,0.03885310508310782,2.586808113846928e-05,2.151254177093506,14.626626359939575,14.530276775360107,19.917228507995606,21.82726955413818,25.220244731903076,4.4049787521362305,26.466487884521484,14.617857586970022,14.5230683303962,19.91642439457064,21.82658578951668,25.219663905641937,2.3397703170776367,26.465992335113697
