V_after,V_before,V_ratio,W_sha256,alias,arm,batch,best_single_layer,finite_step_dissipation_defect,joint_minus_l8_improvement,joint_objective_improvement,l8_objective_improvement,l8_shadow_native_cosine,l8_shadow_status,materialization_discrepancy_normalized,model_error_normalized,model_error_raw_activation,node,qN_ref
0.009336042887297386,0.03510842434526953,0.01867208227510524,cb5d6a959cfe0b8e530c495fc2c1f56af64cd3ffef9000ebdea5e4a483a3e9ea,llama3-8b-inst,JV_NATIVE,3,8,1.1905253052106601e-06,1.9703451328435817e-05,0.03410487976967565,0.03408517631834721,0.9996418605189392,FINITE,2.0304019065759663e-06,0.0001293418260319409,0.006134623496228336,2,1060.4852141373892
0.002490331259062519,0.009336042887297386,0.004980661584658014,cb5d6a959cfe0b8e530c495fc2c1f56af64cd3ffef9000ebdea5e4a483a3e9ea,llama3-8b-inst,JV_NATIVE,3,8,1.273205262348337e-07,5.180799739486902e-06,0.009055295887486114,0.009050115087746627,0.9996530537738294,FINITE,2.0304019065759663e-06,3.456258408612571e-05,0.0016381306294166091,3,1060.4852141373892
0.1323277612344083,0.5000000687642492,0.264655486071145,72939d22ec3e439e55385a04f61344e2fa062f8b27e174ba2910e8c99c7a2cb0,llama3-8b-inst,JV_NATIVE,4,8,0.00012165940860736635,0.0003072359505113531,0.4869047623810893,0.48659752643057796,0.9996196621480099,FINITE,2.3881136494623596e-06,0.0019224842165575986,0.09332130518471006,0,1097.5862904082865
0.035072607454641795,0.1323277612344083,0.07014520526231885,72939d22ec3e439e55385a04f61344e2fa062f8b27e174ba2910e8c99c7a2cb0,llama3-8b-inst,JV_NATIVE,4,8,1.5279828444125787e-05,8.162858944757434e-05,0.1287351269454633,0.12865349835601572,0.9996196725215272,FINITE,2.3881136494623596e-06,0.0005039578092850838,0.02445773678005674,1,1097.5862904082865
0.00931407542410874,0.035072607454641795,0.018628148286316218,72939d22ec3e439e55385a04f61344e2fa062f8b27e174ba2910e8c99c7a2cb0,llama3-8b-inst,JV_NATIVE,4,8,1.9519190499282107e-06,2.1779454790822605e-05,0.03408303473582204,0.03406125528103122,0.9996326618445487,FINITE,2.3881136494623596e-06,0.00013280016409693206,0.006442608019865539,2,1097.5862904082865
0.0024793476737490607,0.00931407542410874,0.00495869466553629,72939d22ec3e439e55385a04f61344e2fa062f8b27e174ba2910e8c99c7a2cb0,llama3-8b-inst,JV_NATIVE,4,8,2.665183402770187e-07,5.9634425973540545e-06,0.0090402622362098,0.009034298793612446,0.9996369604907289,FINITE,2.3881136494623596e-06,3.602157943298216e-05,0.0017466275307308568,3,1097.5862904082865
0.13219613225479687,0.5000000495490046,0.2643922383088493,b4580ec60ed824cb7093d344c592e50b2008be8e1c39efea09e710dfe1355d00,llama3-8b-inst,JV_NATIVE,5,8,8.01294043369094e-05,0.00027822584647319015,0.48696946883175607,0.4866912429852829,0.9996934168052746,FINITE,2.4258668677101686e-06,0.0017940169409288087,0.08941201750072199,0,1183.797879429017
0.03500556076695751,0.13219613225479687,0.07001111459595294,b4580ec60ed824cb7093d344c592e50b2008be8e1c39efea09e710dfe1355d00,llama3-8b-inst,JV_NATIVE,5,8,8.551463808931237e-06,7.379060622886291e-05,0.12862895403375074,0.12855516342752188,0.9997087013584445,FINITE,2.4258668677101686e-06,0.0004690360907618645,0.02338404870336532,1,1183.797879429017
0.00928766594023632,0.03500556076695751,0.018575330039694415,b4580ec60ed824cb7093d344c592e50b2008be8e1c39efea09e710dfe1355d00,llama3-8b-inst,JV_NATIVE,5,8,8.575011089424767e-07,1.9822011536878292e-05,0.03402542443196439,0.034005602420427515,0.9997179027887458,FINITE,2.4258668677101686e-06,0.00012407823748061578,0.006186380360775131,2,1183.797879429017
0.002469873102522161,0.00928766594023632,0.004939745715525356,b4580ec60ed824cb7093d344c592e50b2008be8e1c39efea09e710dfe1355d00,llama3-8b-inst,JV_NATIVE,5,8,8.253065003627214e-08,5.46471734732927e-06,0.009017180137060016,0.009011715419712686,0.9997160382426163,FINITE,2.4258668677101686e-06,3.3758639445387405e-05,0.0016827758268914595,3,1183.797879429017
