cohort,arm,metric,scope,denominator,before_num,after_num,delta_pp,retained,lost,gained,both_failed,W0_success_den,W0_success_to_failure_num,W0_failure_den,W0_failure_to_success_num,new_NLL_paired_delta_mean,new_NLL_paired_delta_median,new_NLL_decreased,new_NLL_increased,new_NLL_equal,true_NLL_paired_delta_mean,true_NLL_paired_delta_median,true_NLL_decreased,true_NLL_increased,true_NLL_equal
49,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,12,60,48.0,10,2,50,38,12,2,88,50,-3.368967641722411,-3.5587013959884644,78,22,0,3.391400338052772,2.9169564247131348,29,71,0
50,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,62,56.0,6,0,56,38,6,0,94,56,-3.517036024783738,-3.534914970397949,77,23,0,3.675116349629825,3.6597023010253906,25,75,0
51,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,12,61,49.0,10,2,51,37,12,2,88,51,-4.073953232169151,-3.993844985961914,81,19,0,3.993632619343698,3.5678493976593018,21,79,0
52,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,58,52.0,4,2,54,40,6,2,94,54,-3.611525423816638,-3.988429069519043,74,26,0,3.607282672505826,3.320000648498535,20,80,0
53,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,66,60.0,6,0,60,34,6,0,94,60,-4.456083729527891,-4.545095920562744,75,25,0,3.7281398411933333,3.8645807206630707,19,81,0
54,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,60,50.0,7,3,53,37,10,3,90,53,-3.515842819577083,-3.40395188331604,78,22,0,5.02544811047148,4.259295284748077,11,89,0
55,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,60,51.0,8,1,52,39,9,1,91,52,-3.9545793704385868,-4.509671814739704,76,24,0,4.249145700084045,4.254391312599182,21,79,0
56,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,54,44.0,9,1,45,45,10,1,90,45,-3.057869974356145,-3.3239543437957764,73,27,0,2.9147115366510117,3.2718358039855957,30,70,0
57,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,66,56.0,8,2,58,32,10,2,90,58,-4.48825627669692,-4.854897975921631,85,15,0,3.663025668039918,3.937887191772461,27,73,0
58,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,71,65.0,5,1,66,28,6,1,94,66,-5.086254496928304,-4.710933208465576,85,15,0,4.024326899619773,4.0228946059942245,19,81,0
59,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,68,59.0,7,2,61,30,9,2,91,61,-4.513508278233931,-4.571309460327029,82,18,0,4.096745108664035,5.3473933935165405,25,75,0
60,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,80,71.0,9,0,71,20,9,0,91,71,-6.9243984461668875,-6.980054259300232,94,6,0,2.957899559447542,3.053985118865967,31,69,0
61,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,11,84,73.0,11,0,73,16,11,0,89,73,-6.675042722513899,-6.6742744743824005,92,8,0,4.5357943307980895,4.937580108642578,20,80,0
62,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,7,82,75.0,6,1,76,17,7,1,93,76,-6.792925022542477,-6.826657772064209,94,6,0,3.8838815353345124,4.293370485305786,23,77,0
63,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,3,86,83.0,3,0,83,14,3,0,97,83,-7.194955643753637,-7.128592610359192,96,4,0,4.8937242735829205,5.364386945962906,14,86,0
64,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,7,84,77.0,7,0,77,16,7,0,93,77,-7.004230554522946,-6.943837475031614,94,6,0,3.8946422787290067,4.1166568249464035,24,76,0
65,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,7,82,75.0,6,1,76,17,7,1,93,76,-6.895766958077438,-7.553705491125584,90,10,0,4.5300770161673425,4.722671031951904,18,82,0
66,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,87,78.0,8,1,79,12,9,1,91,79,-8.301973979148897,-8.788117051124573,99,1,0,4.010173291200772,4.157324910163879,21,79,0
67,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,4,88,84.0,4,0,84,12,4,0,96,84,-9.019512672368437,-9.288116993848234,96,4,0,4.101048661861569,4.1707512475550175,21,79,0
68,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,12,92,80.0,12,0,80,8,12,0,88,80,-7.849223301243037,-7.941170156002045,97,3,0,3.254145075250417,4.032554388046265,35,65,0
69,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,2,90,88.0,1,1,89,9,2,1,98,89,-7.689397333860398,-7.915323082357645,95,5,0,5.5466449986491355,6.074787139892578,16,84,0
70,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,4,92,88.0,4,0,88,8,4,0,96,88,-8.124834076146945,-8.603019572794437,96,4,0,5.111834151055664,4.861847162246704,16,84,0
71,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,91,82.0,9,0,82,9,9,0,91,82,-8.535141717328079,-8.133650548756123,99,1,0,4.105508312747989,3.8503612279891968,26,74,0
72,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,91,82.0,9,0,82,9,9,0,91,82,-8.848432100381178,-8.926766781136394,96,4,0,4.063057118523866,3.629557505249977,24,76,0
73,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,8,87,79.0,7,1,80,12,8,1,92,80,-8.763070280798711,-8.945441265590489,94,6,0,5.0271713589690625,5.0097527503967285,16,84,0
74,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,88,79.0,8,1,80,11,9,1,91,80,-8.347544402370405,-8.718471203930676,98,2,0,5.271198849995562,5.385974645614624,11,89,0
75,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,4,93,89.0,2,2,91,5,4,2,96,91,-8.491234397710068,-8.84880930930376,96,4,0,4.604012224469334,4.604591930285096,18,82,0
76,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,96,91.0,5,0,91,4,5,0,95,91,-9.254379464450757,-8.754474712652154,100,0,0,5.171396509744227,5.21574854850769,16,84,0
77,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,8,96,88.0,8,0,88,4,8,0,92,88,-9.602403463076335,-9.786368757486343,97,3,0,4.830259102429263,4.818815112113953,16,84,0
78,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,98,89.0,9,0,89,2,9,0,91,89,-9.077634244247747,-9.028831999748945,100,0,0,4.69026267901063,4.435223817825317,17,83,0
79,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,4,94,90.0,3,1,91,5,4,1,96,91,-9.67915409048932,-9.67066639661789,99,1,0,4.063230906650424,4.396610498428345,22,78,0
80,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,9,96,87.0,8,1,88,3,9,1,91,88,-9.494488058173447,-9.883506035723258,98,2,0,5.826657739807851,5.451175957918167,10,90,0
81,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,97,87.0,9,1,88,2,10,1,90,88,-9.141343186952291,-8.80887564830482,98,2,0,5.407300997402054,5.326576590538025,18,82,0
82,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,3,97,94.0,3,0,94,3,3,0,97,94,-10.365279970332049,-10.756497591442894,98,2,0,5.671892476631329,5.689410448074341,12,88,0
83,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,97,91.0,6,0,91,3,6,0,94,91,-10.21685307728214,-9.660850853426382,99,1,0,5.5151934863533825,6.084421724081039,15,85,0
84,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,8,99,91.0,8,0,91,1,8,0,92,91,-10.083922813475365,-10.275374751538038,99,1,0,5.565841593183577,4.893007904291153,14,86,0
85,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,99,94.0,5,0,94,1,5,0,95,94,-9.939535733415541,-9.786060953047127,100,0,0,6.477894546976313,6.35966956615448,7,93,0
86,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,100,95.0,5,0,95,0,5,0,95,95,-10.235048167032364,-10.500566757284105,99,1,0,6.444446288235485,7.171889364719391,16,84,0
87,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,100,94.0,6,0,94,0,6,0,94,94,-10.558313833337307,-10.316755749983713,100,0,0,6.384455055389553,6.631732553243637,13,87,0
88,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,96,91.0,5,0,91,4,5,0,95,91,-11.348896703315841,-10.790390414418653,100,0,0,5.763878062637523,5.685745000839233,16,84,0
89,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,11,99,88.0,11,0,88,1,11,0,89,88,-10.426317846379462,-10.369854733347893,99,1,0,7.106450319180149,6.61894428730011,8,92,0
90,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,100,95.0,5,0,95,0,5,0,95,95,-10.464838869110245,-10.36239721882157,100,0,0,6.096454823827371,5.617560148239136,9,91,0
91,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,100,94.0,6,0,94,0,6,0,94,94,-10.586578158434277,-11.001186473760754,100,0,0,7.0190502124000345,7.45051708817482,9,91,0
92,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,4,100,96.0,4,0,96,0,4,0,96,96,-10.718394044787855,-10.694227011874318,100,0,0,8.323166332533583,7.725161165930331,5,95,0
93,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,7,100,93.0,7,0,93,0,7,0,93,93,-10.645100586131157,-10.718543093651533,100,0,0,7.2968245036527515,7.467211484909058,12,88,0
94,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,100,95.0,5,0,95,0,5,0,95,95,-10.515840284421575,-10.45831271577481,99,1,0,6.858976034838706,7.147765874862671,10,90,0
95,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,6,99,93.0,6,0,93,1,6,0,94,93,-10.953377963560124,-10.74705797014758,100,0,0,8.370317540466786,8.557290077209473,8,92,0
96,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,5,100,95.0,5,0,95,0,5,0,95,95,-10.008118443243001,-9.91020460985601,100,0,0,8.558566381682176,8.300599738955498,4,96,0
97,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,100,90.0,10,0,90,0,10,0,90,90,-10.898303154213464,-10.731814472936094,100,0,0,8.42659940966405,9.107621192932129,9,91,0
98,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,10,100,90.0,10,0,90,0,10,0,90,90,-10.705322615013937,-10.627064813452307,100,0,0,8.742477351762354,8.659749491140246,6,94,0
99,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,8,100,92.0,8,0,92,0,8,0,92,92,-11.635662144539474,-10.95918386487756,100,0,0,9.214885084703564,9.338380813598633,10,90,0
100,MEMIT_ORIGINAL,RS,FINAL_W100_FIXED_B100_COHORT,100,11,100,89.0,11,0,89,0,11,0,89,89,-10.20591423499338,-9.848742148140445,100,0,0,9.550587693555281,9.867431879043579,3,97,0
1,MEMIT_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,20,107,43.5,18,2,89,91,20,2,180,89,-1.4758182082511484,-1.7200002670288086,135,65,0,4.269035689262673,4.142959356307983,32,168,0
2,MEMIT_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,26,112,43.0,15,11,97,77,26,11,174,97,-1.5482794169709087,-1.4961082935333252,132,68,0,4.043124878655654,4.234696388244629,35,165,0
3,MEMIT_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,15,107,46.0,13,2,94,91,15,2,185,94,-1.8838049140479416,-2.073347568511963,133,67,0,3.8456026553781704,3.7265114784240723,38,162,0
4,MEMIT_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,31,108,38.5,25,6,83,86,31,6,169,83,-1.1083515785634517,-1.3987507820129395,133,67,0,4.304785729530267,4.529901504516602,38,162,0
5,MEMIT_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,20,118,49.0,14,6,104,76,20,6,180,104,-1.8735036457329988,-2.0880801677703857,136,64,0,4.046441098218784,3.988281011581421,33,167,0
6,MEMIT_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,29,101,36.0,22,7,79,92,29,7,171,79,-1.5876786685362458,-1.4068331718444824,128,72,0,3.1264187209680676,3.216799259185791,45,155,0
7,MEMIT_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,19,127,54.0,17,2,110,71,19,2,181,110,-2.282037114240229,-2.4577159881591797,145,55,0,4.631105707511306,4.681536674499512,29,171,0
8,MEMIT_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,20,101,40.5,14,6,87,93,20,6,180,87,-1.1130374921672046,-1.5914392471313477,116,84,0,3.8507428958406673,4.176673859357834,39,161,0
9,MEMIT_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,22,106,42.0,17,5,89,89,22,5,178,89,-2.246485601477325,-1.945427417755127,139,61,0,4.310479781604372,4.005512177944183,36,164,0
10,MEMIT_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,25,112,43.5,20,5,92,83,25,5,175,92,-1.7901401646994055,-1.743424892425537,139,61,0,3.6991417050361632,3.3536936044692993,44,156,0
11,MEMIT_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,22,103,40.5,16,6,87,91,22,6,178,87,-1.5022219897061586,-1.5838358402252197,128,72,0,4.146244002319873,4.150359392166138,41,159,0
12,MEMIT_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,27,99,36.0,23,4,76,97,27,4,173,76,-1.4715138046070932,-1.7839076519012451,133,67,0,3.9103509083483368,3.749992609024048,43,157,0
13,MEMIT_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,23,116,46.5,15,8,101,76,23,8,177,101,-2.0608485689759255,-2.522047758102417,133,67,0,4.48399972487241,4.159206807613373,27,173,0
14,MEMIT_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,21,99,39.0,11,10,88,91,21,10,179,88,-1.312469510838855,-1.3888053894042969,129,71,0,3.9766434622276576,3.6312785148620605,39,161,0
15,MEMIT_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,19,98,39.5,17,2,81,100,19,2,181,81,-1.7685332080721856,-1.9208519458770752,134,66,0,3.485012807250023,3.409550189971924,47,153,0
16,MEMIT_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,19,119,50.0,15,4,104,77,19,4,181,104,-1.6506477095372976,-1.9395501613616943,136,64,0,4.228990787519142,4.45523476600647,33,167,0
17,MEMIT_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,23,109,43.0,17,6,92,85,23,6,177,92,-0.6093826665729284,-1.065361499786377,123,77,0,4.174266146654263,4.098513603210449,35,165,0
18,MEMIT_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,17,106,44.5,11,6,95,88,17,6,183,95,-1.9453724682331086,-2.098592519760132,129,71,0,3.7239022726006805,3.589656539261341,38,162,0
19,MEMIT_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,23,104,40.5,14,9,90,87,23,9,177,90,-1.6999289579316974,-1.8725013732910156,134,66,0,4.457895200937055,4.253424271941185,31,169,0
20,MEMIT_ORIGINAL,PS,FINAL_W100_FIXED_B100_COHORT,200,17,116,49.5,12,5,104,79,17,5,183,104,-2.1398064601421356,-2.2112245559692383,139,61,0,4.220213406030089,4.550197035074234,34,166,0
