model,official_baseline,metric,pre_edit,official_endpoint,official_minus_pre_edit,unit
llama3-8b-inst,Official AlphaEdit,rewrite_target_new_nll_max,20.853899002075195,0.017768373712897301,-20.836130628362298,NLL
llama3-8b-inst,Official AlphaEdit,rewrite_target_true_nll_mean,4.9429566620942209,14.973839516639709,10.030882854545489,NLL
llama3-8b-inst,Official AlphaEdit,rewrite_target_true_nll_median,4.157355785369873,14.64760684967041,10.490251064300537,NLL
llama3-8b-inst,Official AlphaEdit,rewrite_target_true_nll_p90,10.377396965026859,20.40570240020752,10.028305435180661,NLL
llama3-8b-inst,Official AlphaEdit,rewrite_target_true_nll_max,15.270686149597168,26.372232437133789,11.101546287536621,NLL
llama3-8b-inst,Official AlphaEdit,rephrase_target_new_nll_mean,9.821012414097785,2.0317543199595822,-7.7892580941382032,NLL
llama3-8b-inst,Official AlphaEdit,rephrase_target_new_nll_median,9.6705026626586914,0.4267755895853042,-9.2437270730733871,NLL
llama3-8b-inst,Official AlphaEdit,rephrase_target_new_nll_p90,14.684741878509522,5.9239168643951405,-8.7608250141143813,NLL
llama3-8b-inst,Official AlphaEdit,rephrase_target_new_nll_max,20.91832160949707,15.728660583496094,-5.1896610260009766,NLL
llama3-8b-inst,Official AlphaEdit,rephrase_target_true_nll_mean,5.0023488967213776,9.3790360164642319,4.3766871197428543,NLL
llama3-8b-inst,Official AlphaEdit,rephrase_target_true_nll_median,4.2286777496337891,9.4459152221679688,5.2172374725341797,NLL
llama3-8b-inst,Official AlphaEdit,rephrase_target_true_nll_p90,9.8320774078369126,14.778205490112304,4.9461280822753917,NLL
llama3-8b-inst,Official AlphaEdit,rephrase_target_true_nll_max,18.113283157348636,21.462575912475582,3.349292755126946,NLL
qwen2.5-7b-inst,Official MEMIT,rewrite_success_rate,0.11,1,0.89000000000000001,RATE
qwen2.5-7b-inst,Official MEMIT,rephrase_success_rate,0.19500000000000001,0.95999999999999996,0.7649999999999999,RATE
qwen2.5-7b-inst,Official MEMIT,strict_rephrase_success_rate,0.10000000000000001,0.94999999999999996,0.84999999999999998,RATE
qwen2.5-7b-inst,Official MEMIT,rewrite_target_new_nll_mean,10.371344369649886,0.0390175197515054,-10.332326849898381,NLL
qwen2.5-7b-inst,Official MEMIT,rewrite_target_new_nll_median,10.168027877807615,0.0102514172904193,-10.157776460517196,NLL
qwen2.5-7b-inst,Official MEMIT,rewrite_target_new_nll_p90,15.470536613464356,0.046708039194345401,-15.42382857427001,NLL
qwen2.5-7b-inst,Official MEMIT,rewrite_target_new_nll_max,19.075061798095703,1.1936718225479126,-17.881389975547791,NLL
qwen2.5-7b-inst,Official MEMIT,rewrite_target_true_nll_mean,5.3252032267116007,14.9166100358963,9.5914068091846989,NLL
qwen2.5-7b-inst,Official MEMIT,rewrite_target_true_nll_median,4.9492659568786621,15.528114795684814,10.578848838806152,NLL
qwen2.5-7b-inst,Official MEMIT,rewrite_target_true_nll_p90,9.5115603446960577,21.25335865020752,11.741798305511463,NLL
qwen2.5-7b-inst,Official MEMIT,rewrite_target_true_nll_max,14.07111644744873,29.319965362548828,15.248848915100098,NLL
qwen2.5-7b-inst,Official MEMIT,rephrase_target_new_nll_mean,10.019636951684951,1.910009828918992,-8.1096271227659589,NLL
qwen2.5-7b-inst,Official MEMIT,rephrase_target_new_nll_median,10.080389499664308,0.4194624274969101,-9.6609270721673983,NLL
qwen2.5-7b-inst,Official MEMIT,rephrase_target_new_nll_p90,14.681192016601562,6.0387206554412831,-8.642471361160279,NLL
qwen2.5-7b-inst,Official MEMIT,rephrase_target_new_nll_max,17.783126831054688,13.539322853088381,-4.2438039779663068,NLL
qwen2.5-7b-inst,Official MEMIT,rephrase_target_true_nll_mean,5.539292800147086,11.675892976820467,6.1366001766733813,NLL
qwen2.5-7b-inst,Official MEMIT,rephrase_target_true_nll_median,4.7002828121185294,11.464591026306152,6.764308214187623,NLL
qwen2.5-7b-inst,Official MEMIT,rephrase_target_true_nll_p90,10.9601731300354,17.742246627807617,6.7820734977722168,NLL
qwen2.5-7b-inst,Official MEMIT,rephrase_target_true_nll_max,16.584354400634766,25.120643615722656,8.5362892150878906,NLL
qwen2.5-7b-inst,Official AlphaEdit,rewrite_success_rate,0.11,1,0.89000000000000001,RATE
qwen2.5-7b-inst,Official AlphaEdit,rephrase_success_rate,0.19500000000000001,0.95499999999999996,0.76000000000000001,RATE
qwen2.5-7b-inst,Official AlphaEdit,strict_rephrase_success_rate,0.10000000000000001,0.93999999999999995,0.83999999999999997,RATE
qwen2.5-7b-inst,Official AlphaEdit,rewrite_target_new_nll_mean,10.371344369649886,0.041893309851220598,-10.329451059798666,NLL
qwen2.5-7b-inst,Official AlphaEdit,rewrite_target_new_nll_median,10.168027877807615,0.0112512568011879,-10.156776621006427,NLL
qwen2.5-7b-inst,Official AlphaEdit,rewrite_target_new_nll_p90,15.470536613464356,0.056572142243385297,-15.41396447122097,NLL
qwen2.5-7b-inst,Official AlphaEdit,rewrite_target_new_nll_max,19.075061798095703,1.1355297565460205,-17.939532041549683,NLL
qwen2.5-7b-inst,Official AlphaEdit,rewrite_target_true_nll_mean,5.3252032267116007,14.710078239440918,9.3848750127293172,NLL
qwen2.5-7b-inst,Official AlphaEdit,rewrite_target_true_nll_median,4.9492659568786621,15.159780502319336,10.210514545440674,NLL
qwen2.5-7b-inst,Official AlphaEdit,rewrite_target_true_nll_p90,9.5115603446960577,20.702085113525392,11.190524768829334,NLL
qwen2.5-7b-inst,Official AlphaEdit,rewrite_target_true_nll_max,14.07111644744873,31.356393814086918,17.285277366638187,NLL
qwen2.5-7b-inst,Official AlphaEdit,rephrase_target_new_nll_mean,10.019636951684951,1.939821414935432,-8.0798155367495195,NLL
qwen2.5-7b-inst,Official AlphaEdit,rephrase_target_new_nll_median,10.080389499664308,0.43092277646064753,-9.6494667232036608,NLL
qwen2.5-7b-inst,Official AlphaEdit,rephrase_target_new_nll_p90,14.681192016601562,6.1331922054290766,-8.5479998111724846,NLL
qwen2.5-7b-inst,Official AlphaEdit,rephrase_target_new_nll_max,17.783126831054688,13.327777862548828,-4.4553489685058594,NLL
qwen2.5-7b-inst,Official AlphaEdit,rephrase_target_true_nll_mean,5.539292800147086,11.739236982166767,6.1999441820196814,NLL
qwen2.5-7b-inst,Official AlphaEdit,rephrase_target_true_nll_median,4.7002828121185294,11.554752826690674,6.8544700145721444,NLL
qwen2.5-7b-inst,Official AlphaEdit,rephrase_target_true_nll_p90,10.9601731300354,17.655258941650391,6.6950858116149909,NLL
qwen2.5-7b-inst,Official AlphaEdit,rephrase_target_true_nll_max,16.584354400634766,24.483306884765625,7.8989524841308594,NLL
