model,method_group,method_label,writer_family,arm,stage_status,rewrite_success_numerator,rewrite_success_denominator,rewrite_success_rate,rephrase_success_numerator,rephrase_success_denominator,rephrase_success_rate,strict_rephrase_success_numerator,strict_rephrase_success_denominator,strict_rephrase_success_rate,canonical_ns_status,canonical_ns_numerator,canonical_ns_denominator,canonical_ns_rate,pp_prompt_status,pp_prompt_numerator,pp_prompt_denominator,pp_prompt_rate,pp_token_status,pp_token_numerator,pp_token_denominator,pp_token_rate,rewrite_target_new_accuracy_rate,rewrite_target_true_accuracy_rate,rephrase_target_new_accuracy_rate,rephrase_target_true_accuracy_rate,locality_target_true_accuracy_rate
llama3-8b-inst,OURS,AlphaEdit+JAC,AlphaEdit,JAC,HORIZON_SEMANTIC_MISS,100,100,1,169,200,0.84499999999999986,79,100,0.79000000000000004,NOT_RECORDED_SCHEMA_GAP_LOCALITY_TARGET_NEW_NLL,,,,RECORDED_ALL_TARGET_TRUE_TOKENS_PRESERVED_PER_PROMPT,878,1000,0.878,RECORDED_TARGET_TRUE_TOKEN_PREDICTION_PRESERVATION,888,1010,0.87920792079207921,1,0,0.53500000000000003,0.035000000000000003,0.20799999999999991
qwen2.5-7b-inst,W0_BASELINE,PRE_EDIT (W0 common),NOT_APPLICABLE,PRE_EDIT,ENTRY_REFERENCE,11,100,0.11,39,200,0.19500000000000001,10,100,0.10000000000000001,RECORDED_STRICT_COUNTERFACT_NLL_PAIR,849,1000,0.84899999999999998,NOT_APPLICABLE_ENTRY_REFERENCE,,,,NOT_APPLICABLE_ENTRY_REFERENCE,,,,0,0.13,0.0050000000000000001,0.16,0.153
qwen2.5-7b-inst,OFFICIAL_BASELINE,Official MEMIT,MEMIT,O,TERMINAL_VALID,100,100,1,192,200,0.95999999999999996,95,100,0.94999999999999996,NOT_RECORDED_SCHEMA_GAP_LOCALITY_TARGET_NEW_NLL,,,,RECORDED_ALL_TARGET_TRUE_TOKENS_PRESERVED_PER_PROMPT,888,1000,0.88800000000000001,RECORDED_TARGET_TRUE_TOKEN_PREDICTION_PRESERVATION,898,1010,0.88910891089108912,1,0,0.65000000000000002,0.01,0.14599999999999991
qwen2.5-7b-inst,OURS,MEMIT+QCL,MEMIT,QCL,HORIZON_SEMANTIC_MISS,100,100,1,189,200,0.94499999999999995,93,100,0.93000000000000005,NOT_RECORDED_SCHEMA_GAP_LOCALITY_TARGET_NEW_NLL,,,,RECORDED_ALL_TARGET_TRUE_TOKENS_PRESERVED_PER_PROMPT,895,1000,0.89500000000000002,RECORDED_TARGET_TRUE_TOKEN_PREDICTION_PRESERVATION,905,1010,0.89603960396039606,0.98999999999999999,0,0.65000000000000002,0.01,0.14999999999999991
qwen2.5-7b-inst,OURS,MEMIT+NQFIX,MEMIT,NQFIX,HORIZON_SEMANTIC_MISS,100,100,1,189,200,0.94499999999999995,93,100,0.93000000000000005,NOT_RECORDED_SCHEMA_GAP_LOCALITY_TARGET_NEW_NLL,,,,RECORDED_ALL_TARGET_TRUE_TOKENS_PRESERVED_PER_PROMPT,847,1000,0.84699999999999998,RECORDED_TARGET_TRUE_TOKEN_PREDICTION_PRESERVATION,857,1010,0.84851485148514849,1,0,0.66000000000000003,0.01,0.127
qwen2.5-7b-inst,OURS,MEMIT+ORBFH,MEMIT,ORBFH,HORIZON_SEMANTIC_MISS,100,100,1,190,200,0.94999999999999996,94,100,0.93999999999999995,NOT_RECORDED_SCHEMA_GAP_LOCALITY_TARGET_NEW_NLL,,,,RECORDED_ALL_TARGET_TRUE_TOKENS_PRESERVED_PER_PROMPT,879,1000,0.879,RECORDED_TARGET_TRUE_TOKEN_PREDICTION_PRESERVATION,889,1010,0.8801980198019802,1,0,0.66500000000000004,0.01,0.1409999999999999
qwen2.5-7b-inst,OURS,MEMIT+JAC,MEMIT,JAC,HORIZON_SEMANTIC_MISS,99,100,0.98999999999999999,190,200,0.94999999999999996,94,100,0.93999999999999995,NOT_RECORDED_SCHEMA_GAP_LOCALITY_TARGET_NEW_NLL,,,,RECORDED_ALL_TARGET_TRUE_TOKENS_PRESERVED_PER_PROMPT,865,1000,0.86499999999999999,RECORDED_TARGET_TRUE_TOKEN_PREDICTION_PRESERVATION,875,1010,0.86633663366336633,0.97999999999999998,0,0.65500000000000003,0.01,0.1409999999999999
qwen2.5-7b-inst,OFFICIAL_BASELINE,Official AlphaEdit,AlphaEdit,O,TERMINAL_VALID,100,100,1,191,200,0.95499999999999996,94,100,0.93999999999999995,NOT_RECORDED_SCHEMA_GAP_LOCALITY_TARGET_NEW_NLL,,,,RECORDED_ALL_TARGET_TRUE_TOKENS_PRESERVED_PER_PROMPT,856,1000,0.85599999999999998,RECORDED_TARGET_TRUE_TOKEN_PREDICTION_PRESERVATION,866,1010,0.85742574257425741,0.98999999999999999,0,0.66000000000000003,0.01,0.13600000000000001
qwen2.5-7b-inst,OURS,AlphaEdit+QCL,AlphaEdit,QCL,HORIZON_SEMANTIC_MISS,100,100,1,191,200,0.95499999999999996,94,100,0.93999999999999995,NOT_RECORDED_SCHEMA_GAP_LOCALITY_TARGET_NEW_NLL,,,,RECORDED_ALL_TARGET_TRUE_TOKENS_PRESERVED_PER_PROMPT,879,1000,0.879,RECORDED_TARGET_TRUE_TOKEN_PREDICTION_PRESERVATION,889,1010,0.8801980198019802,0.98999999999999999,0,0.65000000000000002,0.01,0.14999999999999991
qwen2.5-7b-inst,OURS,AlphaEdit+NQFIX,AlphaEdit,NQFIX,HORIZON_SEMANTIC_MISS,100,100,1,190,200,0.94999999999999996,94,100,0.93999999999999995,NOT_RECORDED_SCHEMA_GAP_LOCALITY_TARGET_NEW_NLL,,,,RECORDED_ALL_TARGET_TRUE_TOKENS_PRESERVED_PER_PROMPT,828,1000,0.82799999999999996,RECORDED_TARGET_TRUE_TOKEN_PREDICTION_PRESERVATION,838,1010,0.82970297029702966,0.98999999999999999,0,0.66500000000000004,0.01,0.124
qwen2.5-7b-inst,OURS,AlphaEdit+ORBFH,AlphaEdit,ORBFH,HORIZON_SEMANTIC_MISS,100,100,1,191,200,0.95499999999999996,94,100,0.93999999999999995,NOT_RECORDED_SCHEMA_GAP_LOCALITY_TARGET_NEW_NLL,,,,RECORDED_ALL_TARGET_TRUE_TOKENS_PRESERVED_PER_PROMPT,871,1000,0.871,RECORDED_TARGET_TRUE_TOKEN_PREDICTION_PRESERVATION,881,1010,0.87227722772277227,0.98999999999999999,0,0.67000000000000004,0.01,0.1419999999999999
qwen2.5-7b-inst,OURS,AlphaEdit+JAC,AlphaEdit,JAC,HORIZON_SEMANTIC_MISS,100,100,1,190,200,0.94999999999999996,94,100,0.93999999999999995,NOT_RECORDED_SCHEMA_GAP_LOCALITY_TARGET_NEW_NLL,,,,RECORDED_ALL_TARGET_TRUE_TOKENS_PRESERVED_PER_PROMPT,867,1000,0.86699999999999999,RECORDED_TARGET_TRUE_TOKEN_PREDICTION_PRESERVATION,877,1010,0.86831683168316831,1,0,0.66000000000000003,0.01,0.14399999999999991
