source_table,model,method,layer,metric,availability,n,sum,mean,median,p25,p75,iqr,p90,max,min,accepted_edit_count,fork
production_layer,llama3-8b-inst,memit,4,tau,RECORDED,10000,116631.63410152105,11.663163410152105,2.760164972654271,2.175030208124742,3.3385871900786297,1.1635569819538878,4.208715511883596,44219.70796905324,0.34311011248118606,,
production_layer,llama3-8b-inst,memit,5,rho,RECORDED,10000,15029.858166695387,1.5029858166695387,1.2429077199926628,0.7306678972696189,1.946468830534811,1.215800933265192,2.9707900223140196,16.89064946445626,-5.222039896167652,,
production_layer,llama3-8b-inst,memit,5,tau,RECORDED,10000,20625.390663808546,2.0625390663808547,1.9791401103147073,1.42496070282585,2.543108309661646,1.1181476068357958,3.151646557063002,21.157638281054513,0.351278405961981,,
production_layer,llama3-8b-inst,memit,6,rho,RECORDED,10000,6484.984101033068,0.6484984101033069,0.4930511082294935,0.3482708937590594,0.7919548212654903,0.44368392750643093,1.2496434214530114,5.181332033935713,-0.15106049580316266,,
production_layer,llama3-8b-inst,memit,6,tau,RECORDED,10000,10049.837214652087,1.0049837214652086,0.9203672711793209,0.6448454064767583,1.2730914925077237,0.6282460860309654,1.6010486359606733,5.52460627107465,0.133166137656941,,
production_layer,llama3-8b-inst,memit,7,rho,RECORDED,10000,4094.0589841384676,0.4094058984138468,0.3887279946261569,0.31087642163574325,0.4682162316423458,0.15733981000660258,0.5437144832860246,2.2680365284679223,-0.30229363437170254,,
production_layer,llama3-8b-inst,memit,7,tau,RECORDED,10000,4047.1119196361387,0.4047111919636139,0.35762859847857453,0.2778044779415463,0.46495798286174916,0.18715350492020288,0.6318855685130822,2.6293476896938204,0.0640782928456562,,
production_layer,llama3-8b-inst,memit,8,rho,RECORDED,10000,4016.4620453468074,0.40164620453468075,0.3870141170303816,0.32440697166262566,0.4727585876717224,0.14835161600909674,0.5661622141585068,0.8120415242004906,-0.24711005760494,,
production_layer,llama3-8b-inst,memit,8,tau,RECORDED,10000,1882.8533527851569,0.18828533527851568,0.182880947812271,0.14843490259954037,0.2185708362081471,0.07013593360860673,0.2613568086854122,1.0910489253852063,0.01514654001969515,,
production_layer,qwen2.5-7b-inst,alphaedit,4,rho,RECORDED,10000,17524.036566968665,1.7524036566968666,1.5736320606624137,1.0680800498322731,2.1710955720046985,1.1030155221724254,2.598847916482455,1086.4424153908992,-12.063550283733445,,
production_layer,qwen2.5-7b-inst,alphaedit,4,tau,RECORDED,10000,63840.66987639303,6.3840669876393035,2.581526870277269,1.8491417046586451,3.5128021166118053,1.6636604119531602,4.486968911275495,35502.17056780956,0.03728536022669373,,
production_layer,qwen2.5-7b-inst,alphaedit,5,rho,RECORDED,10000,14530.244226952307,1.4530244226952307,1.2271745017520503,0.8481538846344568,1.8052970655463765,0.9571431809119196,2.482661949261619,16.01646848250777,-0.2690595054418968,,
production_layer,qwen2.5-7b-inst,alphaedit,5,tau,RECORDED,10000,12713.524650243466,1.2713524650243466,1.1105435965868442,0.9021202616866095,1.4514938815133787,0.5493736198267691,1.9604604735331908,11.110336490444835,0.004184523992322504,,
production_layer,qwen2.5-7b-inst,alphaedit,6,rho,RECORDED,10000,11776.384584739893,1.1776384584739894,1.06299651414195,0.9390581727872068,1.2621433911035442,0.3230852183163374,1.5489686332563732,7.141104637054399,-0.817397243795239,,
production_layer,qwen2.5-7b-inst,alphaedit,6,tau,RECORDED,10000,7902.7242887858165,0.7902724288785816,0.7252391152983197,0.5873192421134481,0.9011880231810742,0.31386878106762606,1.1380367158811133,5.2272559063608846,0.0015846728748634793,,
production_layer,qwen2.5-7b-inst,alphaedit,7,rho,RECORDED,10000,10166.990597683209,1.016699059768321,0.9903871819424848,0.9155721671059837,1.0680490363391695,0.15247686923318582,1.2251507777057242,3.951262521434625,-0.6911525572797576,,
production_layer,qwen2.5-7b-inst,alphaedit,7,tau,RECORDED,10000,5211.770812427368,0.5211770812427368,0.4977204829547157,0.3849745184454687,0.6295997263037874,0.24462520785831865,0.7584258778799305,2.2092936609971465,0.000748998766523196,,
production_layer,qwen2.5-7b-inst,alphaedit,8,rho,RECORDED,10000,10258.35303557084,1.0258353035570842,1.017637752048878,0.995457095027471,1.0545991915916169,0.05914209656414582,1.12772050254936,2.352539472656665,-0.43228080223675375,,
production_layer,qwen2.5-7b-inst,alphaedit,8,tau,RECORDED,10000,643.3728456284355,0.06433728456284354,0.040224588098537246,0.020723012689322837,0.07609310590790447,0.055370093218581634,0.13565633208550323,1.1059201838021138,0.0003708875003862626,,
production_layer,qwen2.5-7b-inst,memit,4,rho,RECORDED,10000,25360.352988334278,2.536035298833428,2.534599110193923,1.4309287611503172,3.482400491253631,2.0514717301033136,4.366313466504822,9.944307794453064,-2.1007740035340885,,
production_layer,qwen2.5-7b-inst,memit,4,tau,RECORDED,10000,46907.21382956968,4.690721382956968,4.216637391650334,2.7570499150578414,5.956224657283285,3.199174742225444,8.1604610664667,39.02144619924453,0.007774836137590447,,
production_layer,qwen2.5-7b-inst,memit,5,rho,RECORDED,10000,21753.466437814248,2.175346643781425,2.1560111946319616,1.3446995437494538,2.8963128867914105,1.5516133430419567,3.669170919803316,10.618284881163614,-1.3768230647968647,,
production_layer,qwen2.5-7b-inst,memit,5,tau,RECORDED,10000,15290.399591808335,1.5290399591808335,1.3717046973598337,1.0724260589895636,1.784921271624154,0.7124952126345905,2.417667086506795,12.526355998295651,0.002303190130783713,,
production_layer,qwen2.5-7b-inst,memit,6,rho,RECORDED,10000,11277.029948970809,1.127702994897081,0.9748519139933859,0.7814801200149402,1.2888328531095818,0.5073527330946417,1.7811035107987023,9.033966086754049,-0.2505375884035296,,
production_layer,qwen2.5-7b-inst,memit,6,tau,RECORDED,10000,7618.142336153802,0.7618142336153801,0.6705037729077206,0.5124212128370044,0.9105596364331696,0.39813842359616525,1.236696156201435,4.0366453198400505,0.001986217436750062,,
production_layer,qwen2.5-7b-inst,memit,7,rho,RECORDED,10000,6665.246368661212,0.6665246368661212,0.6626429609241424,0.5606178783224692,0.7504545685977748,0.1898366902753056,0.8395798781932808,3.1374583376474927,-0.3420528782714414,,
production_layer,qwen2.5-7b-inst,memit,7,tau,RECORDED,10000,3592.8894565309342,0.35928894565309344,0.3192255869957513,0.25134948480774744,0.42719428314564806,0.17584479833790062,0.5699031900341612,1.5517543117419577,0.0008299137860981608,,
production_layer,qwen2.5-7b-inst,memit,8,rho,RECORDED,10000,5286.027830166006,0.5286027830166007,0.48910600580344366,0.345701042096208,0.7694829799945535,0.4237819378983455,0.8428052135192561,1.159364270828431,-0.21689519365436516,,
production_layer,qwen2.5-7b-inst,memit,8,tau,RECORDED,10000,2317.0866218030105,0.23170866218030106,0.24234754135853614,0.1404152962623766,0.31423746524034035,0.17382216897796376,0.3894424958505576,0.9733517359300511,0.0005345340816465844,,
checkpoint_layer,llama3-8b-inst,alphaedit,4,rho,RECORDED,100,55.636717359442045,0.5563671735944204,0.5610665209214419,0.4581420876445206,0.6479959658077235,0.18985387816320287,0.7737048922734195,1.0087155610526322,0.21960295127377635,0,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,4,tau,RECORDED,100,162.69715497408552,1.6269715497408552,1.5573748141728565,1.2603079954781733,1.9404671467934438,0.6801591513152705,2.3858248624742013,2.628546806389197,0.8312525997748355,0,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,5,rho,RECORDED,100,48.880199824234204,0.48880199824234205,0.4895780855737573,0.4100752006839085,0.5747453747493727,0.1646701740654642,0.625139484988025,0.7269376638040961,0.22842148568204285,0,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,5,tau,RECORDED,100,122.79214301698573,1.2279214301698573,1.2054711699907776,1.051035295584211,1.373423935165423,0.3223886395812119,1.548224124150773,1.9882566353465383,0.8641881156732252,0,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,6,rho,RECORDED,100,56.03784410501625,0.5603784410501624,0.5634215359271304,0.5081993709235396,0.619326008445155,0.11112663752161533,0.6556995603842308,0.7173026887193366,0.3532875094309184,0,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,6,tau,RECORDED,100,93.43583974912472,0.9343583974912473,0.9051262540345831,0.815279765000312,1.0355181921698295,0.22023842716951758,1.142351617039997,1.4467639974991795,0.6701896832082102,0,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,7,rho,RECORDED,100,71.70462834452748,0.7170462834452748,0.7194869185830838,0.6860704261524702,0.7630148292889037,0.07694440313643358,0.7876424071574057,0.8995895842549717,0.45828410833797734,0,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,7,tau,RECORDED,100,65.5264039417926,0.655264039417926,0.6100223187461871,0.5290796286560621,0.7942188736388729,0.26513924498281083,0.8683271377130303,1.2021026488549567,0.3988004002974402,0,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,8,rho,RECORDED,100,94.03468519349987,0.9403468519349987,0.9385455856859305,0.9290628947020805,0.9515299928793836,0.02246709817730308,0.9612149595841186,0.9904696382428249,0.90871516890037,0,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,8,tau,RECORDED,100,3.562393164733475,0.03562393164733475,0.03347707664359895,0.028559986055767546,0.04186663698950295,0.013306650933735405,0.050105353953645744,0.06705295607609722,0.014004035704342787,0,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,4,rho,RECORDED,100,55.636717359442045,0.5563671735944204,0.5610665209214419,0.4581420876445206,0.6479959658077235,0.18985387816320287,0.7737048922734195,1.0087155610526322,0.21960295127377635,0,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,4,tau,RECORDED,100,162.69715497408552,1.6269715497408552,1.5573748141728565,1.2603079954781733,1.9404671467934438,0.6801591513152705,2.3858248624742013,2.628546806389197,0.8312525997748355,0,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,5,rho,RECORDED,100,48.880199824234204,0.48880199824234205,0.4895780855737573,0.4100752006839085,0.5747453747493727,0.1646701740654642,0.625139484988025,0.7269376638040961,0.22842148568204285,0,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,5,tau,RECORDED,100,122.79214301698573,1.2279214301698573,1.2054711699907776,1.051035295584211,1.373423935165423,0.3223886395812119,1.548224124150773,1.9882566353465383,0.8641881156732252,0,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,6,rho,RECORDED,100,56.03784410501625,0.5603784410501624,0.5634215359271304,0.5081993709235396,0.619326008445155,0.11112663752161533,0.6556995603842308,0.7173026887193366,0.3532875094309184,0,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,6,tau,RECORDED,100,93.43583974912472,0.9343583974912473,0.9051262540345831,0.815279765000312,1.0355181921698295,0.22023842716951758,1.142351617039997,1.4467639974991795,0.6701896832082102,0,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,7,rho,RECORDED,100,71.70462834452748,0.7170462834452748,0.7194869185830838,0.6860704261524702,0.7630148292889037,0.07694440313643358,0.7876424071574057,0.8995895842549717,0.45828410833797734,0,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,7,tau,RECORDED,100,65.5264039417926,0.655264039417926,0.6100223187461871,0.5290796286560621,0.7942188736388729,0.26513924498281083,0.8683271377130303,1.2021026488549567,0.3988004002974402,0,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,8,rho,RECORDED,100,94.03468519349987,0.9403468519349987,0.9385455856859305,0.9290628947020805,0.9515299928793836,0.02246709817730308,0.9612149595841186,0.9904696382428249,0.90871516890037,0,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,8,tau,RECORDED,100,3.562393164733475,0.03562393164733475,0.03347707664359895,0.028559986055767546,0.04186663698950295,0.013306650933735405,0.050105353953645744,0.06705295607609722,0.014004035704342787,0,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,4,rho,RECORDED,100,90.09466278272394,0.9009466278272394,0.8956454614407967,0.7547366637379036,1.0162711873705497,0.26153452363264607,1.2362963328055494,1.7641196765216574,0.267657768463777,1000,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,4,tau,RECORDED,100,188.78793225333285,1.8878793225333286,1.8407604564274687,1.4632446614043506,2.273651401278505,0.8104067398741546,2.722304377049221,3.4670330443304263,0.5249801279679779,1000,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,5,rho,RECORDED,100,64.48721381638626,0.6448721381638626,0.6495610898354097,0.5524112500123175,0.7285879632804599,0.17617671326814244,0.7691875872632631,1.0458311207597313,0.3193855650697194,1000,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,5,tau,RECORDED,100,114.00283027668189,1.140028302766819,1.1223232323276182,0.9983011819816139,1.239476262756369,0.24117508077475502,1.3936372495900182,1.7544911280248077,0.47230686063658206,1000,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,6,rho,RECORDED,100,68.79637462362959,0.6879637462362959,0.691937945775787,0.6525024438129406,0.7333167419896477,0.08081429817670704,0.7655487242843125,0.8494801861189686,0.45962707693237115,1000,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,6,tau,RECORDED,100,78.72043708727479,0.7872043708727479,0.7772761443434462,0.6952562576994288,0.8614182867717356,0.16616202907230682,0.9537176080898827,1.2342411905463417,0.4342771954501065,1000,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,7,rho,RECORDED,100,77.64193635294744,0.7764193635294744,0.7862485378754177,0.7567134287728071,0.8028857863281195,0.04617235755531235,0.8186145979534409,0.8530756833374489,0.6296779992379281,1000,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,7,tau,RECORDED,100,47.639110642604145,0.47639110642604143,0.45903208915867433,0.41013982832265605,0.5203599158047005,0.11022008748204448,0.5951992399206061,0.9174385371628054,0.28872638882362234,1000,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,8,rho,RECORDED,100,90.25505699004464,0.9025505699004464,0.9018888290439683,0.8911639712446874,0.9124957962840046,0.021331825039317187,0.9324588042055757,0.9483336620806835,0.809937179552549,1000,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,8,tau,RECORDED,100,2.575153580862125,0.02575153580862125,0.025081774852606997,0.021229789683167456,0.029961584581564574,0.008731794898397118,0.034338257955445144,0.04479490166168909,0.014855051562252782,1000,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,4,rho,RECORDED,100,93.49371496711338,0.9349371496711337,0.9264893146602409,0.7772102321389613,1.0444107331503163,0.26720050101135495,1.2646426171354077,1.798816990515223,0.3922641142374681,1000,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,4,tau,RECORDED,100,196.21649426366514,1.9621649426366514,1.904729676414601,1.5111303084403291,2.3382009999713365,0.8270706915310073,2.7950705611617463,3.5436914119695175,1.0151494232317195,1000,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,5,rho,RECORDED,100,66.59638919576986,0.6659638919576986,0.6642046004941831,0.5863798798993303,0.7475160946804711,0.16113621478114082,0.7877845470121039,1.085646659963311,0.3799281414112279,1000,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,5,tau,RECORDED,100,117.5227428869257,1.175227428869257,1.147489240105853,1.0409807941912637,1.2715712259142655,0.23059043172300187,1.4190630151793842,1.7756090894915626,0.7599027064389249,1000,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,6,rho,RECORDED,100,71.05034156620474,0.7105034156620473,0.7113061723807856,0.6781746438857011,0.7509411117604743,0.07276646787477314,0.7845012512908535,0.896901811399974,0.4586540155067468,1000,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,6,tau,RECORDED,100,80.722240781704,0.80722240781704,0.794200193574811,0.7215037815152927,0.8770311866606959,0.1555274051454032,0.9698843197675229,1.243783142113842,0.5696083210631202,1000,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,7,rho,RECORDED,100,80.6141045382235,0.806141045382235,0.8138023071184567,0.78286800657222,0.8323092789451236,0.04944127237290363,0.8534459227541278,0.8987447460653024,0.6565366310328418,1000,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,7,tau,RECORDED,100,48.817492862894696,0.48817492862894696,0.4667597741120322,0.4163041917693765,0.5303644897986561,0.11406029802927964,0.6064195311754401,0.9598910733617252,0.32781328671434845,1000,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,8,rho,RECORDED,100,93.84387095390953,0.9384387095390953,0.9373726461912204,0.9270760076512814,0.9492886466625275,0.02221263901124615,0.9580165926881693,0.9857959993376839,0.9003701548143749,1000,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,8,tau,RECORDED,100,4.049715281584659,0.040497152815846586,0.03860707845949708,0.03328996421221032,0.04397524989271213,0.01068528568050181,0.054726403198759446,0.09331721356874148,0.022879339339802345,1000,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,4,rho,RECORDED,100,268.0626628270015,2.680626628270015,2.686751312262535,2.3048828408514135,3.090292407119745,0.7854095662683314,3.4335526334726993,4.115174774412475,0.579718161431484,10000,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,4,tau,RECORDED,100,432.95307593270024,4.329530759327002,3.799961587049289,3.0367536672155495,4.879473756936416,1.8427200897208662,7.051099831563556,14.751250508875847,2.007063901104319,10000,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,5,rho,RECORDED,100,231.23761020694883,2.3123761020694884,2.0772366679249616,1.5777552903250758,2.8541663825974806,1.2764110922724048,3.9240611637562215,4.626278858630064,0.8416619317353126,10000,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,5,tau,RECORDED,100,170.46418968762566,1.7046418968762567,1.5885313686161866,1.3174358633193768,2.1039281572099395,0.7864922938905627,2.399995390681214,3.3922053845428097,0.7112962910023796,10000,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,6,rho,RECORDED,100,86.4829878955589,0.864829878955589,0.6099343901029928,0.4550111175372631,1.002211336152506,0.5472002186152429,1.6703252828929556,3.20478163766045,0.025919439719693384,10000,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,6,tau,RECORDED,100,63.171937098238324,0.6317193709823833,0.5131883625367504,0.35177813727199525,0.7931150517280549,0.4413369144560596,1.071413300620368,2.2939895158258294,0.16031045494515445,10000,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,7,rho,RECORDED,100,38.83543436011084,0.3883543436011084,0.3743046716384594,0.2986028228252143,0.4436104864514003,0.145007663626186,0.5074127113379454,1.3184558823373382,0.09572477576207224,10000,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,7,tau,RECORDED,100,23.611155113709884,0.23611155113709884,0.2061936961283301,0.15570619075142186,0.28258670791937684,0.12688051716795498,0.39435205196199463,0.7082707802926019,0.08595914582089911,10000,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,8,rho,RECORDED,100,51.00700085737267,0.5100700085737266,0.4813564269340389,0.4047708891170198,0.6100197120384407,0.20524882292142094,0.7310462266786525,0.7938951685408874,0.1953082238935281,10000,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,8,tau,RECORDED,100,6.485014725494717,0.06485014725494717,0.0634535004182095,0.04884520042305976,0.07882034832470261,0.02997514790164285,0.08795572505712988,0.15131610215348534,0.012827915698229966,10000,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,4,rho,RECORDED,100,330.92066257738753,3.3092066257738755,3.310969397412506,2.8571378021693468,3.7247587972136547,0.8676209950443079,4.226206761488568,5.45294295979368,1.8319250930838424,10000,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,4,tau,RECORDED,100,537.7216565190913,5.377216565190913,4.858600427896377,4.190216306092344,5.957199557206332,1.766983251113988,8.11307183370249,19.49215686524747,2.7284749476532157,10000,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,5,rho,RECORDED,100,346.04213618998733,3.4604213618998734,3.3456738232174383,2.8297908467132413,4.183830532319287,1.3540396856060455,4.958771466095157,6.375688331373784,1.0116217609194285,10000,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,5,tau,RECORDED,100,218.0779589757275,2.1807795897572753,2.0717117456431384,1.745653936411529,2.509035723477173,0.7633817870656441,2.9014818161764104,3.946285752800605,1.256202738617277,10000,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,6,rho,RECORDED,100,207.83127907166303,2.0783127907166303,1.9907296561104801,1.484019428343144,2.6210772859364457,1.1370578575933017,3.1279179025191466,5.100799708280099,0.6946436389330698,10000,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,6,tau,RECORDED,100,149.06296985288944,1.4906296985288945,1.3833177491756679,1.1379051045964066,1.7278758307843751,0.5899707261879685,2.0625304036617953,3.7983533048353504,0.5393275415473122,10000,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,7,rho,RECORDED,100,115.23162962988359,1.1523162962988358,1.056209666517784,0.7317471455600512,1.4926535041173836,0.7609063585573325,1.9215230856126517,2.4614897483479163,0.45293816743290954,10000,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,7,tau,RECORDED,100,99.79092707287248,0.9979092707287248,0.9401064062012117,0.6177962577806917,1.3468752748160058,0.7290790170353141,1.6553706548332854,2.1042205993835683,0.20731633365820804,10000,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,8,rho,RECORDED,100,89.28814178292454,0.8928814178292455,0.91757246938447,0.8440099447704068,0.9584987991011767,0.11448885433076994,0.9865775876772517,1.1081600383955252,0.5509566406369727,10000,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,8,tau,RECORDED,100,13.103398258681795,0.13103398258681795,0.12157851732898155,0.07148795361070127,0.1825349984749994,0.11104704486429813,0.22254107759951375,0.379337756038812,0.015724188301426117,10000,RESET_CACHE
checkpoint_layer,llama3-8b-inst,alphaedit,4,rho,RECORDED,100,5867.494764501972,58.67494764501972,1.032830400720539,0.8237878917935701,1.2018799176839121,0.37809202589034197,1.390402000933657,5712.90539319024,0.39168309811137336,1500,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,4,tau,RECORDED,100,36933.61258999368,369.3361258999368,1.9869856154969523,1.56139654515633,2.4074751459154538,0.8460786007591237,2.8008770199219577,20214.155002769177,0.6083119089702443,1500,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,5,rho,RECORDED,100,72.33152428438555,0.7233152428438555,0.6937988152816581,0.6169860747669076,0.7653193111340588,0.14833323636715123,0.9165500698612524,1.7858458780169157,0.3673770709224701,1500,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,5,tau,RECORDED,100,119.95760806399157,1.1995760806399156,1.1305436825489896,1.00196277605456,1.3169512044296616,0.31498842837510166,1.4701355301597696,3.778676199799057,0.5004337395823325,1500,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,6,rho,RECORDED,100,71.72194620164305,0.7172194620164305,0.7210421876317655,0.6890871429495395,0.755897117474164,0.06680997452462445,0.7944465130884271,0.9379055456812393,0.5342216482962182,1500,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,6,tau,RECORDED,100,80.70159484417789,0.8070159484417789,0.7581242263887236,0.6925541286483728,0.8484036083871187,0.15584947973874586,0.9512659584947353,2.7240458643163463,0.4298311691884968,1500,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,7,rho,RECORDED,100,78.21433212603814,0.7821433212603814,0.7854956561696941,0.767203667290412,0.8083450908409968,0.04114142355058481,0.8323548224831234,0.903832319419169,0.37865051681313133,1500,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,7,tau,RECORDED,100,48.30540145404462,0.4830540145404462,0.45050412005164064,0.41044049104575603,0.49696168469919233,0.0865211936534363,0.5954495306062214,1.7486680090902682,0.26809587034041726,1500,ACCUMULATED_OR_STATIC
checkpoint_layer,llama3-8b-inst,alphaedit,8,rho,RECORDED,100,88.90627357137969,0.8890627357137969,0.891702993707661,0.8809079457162554,0.9101507164453182,0.029242770729062784,0.9265903926340472,0.9689198848586327,0.5757731571923846,1500,ACCUMULATED_OR_STATIC
