comparison,metric,paired_n,n,sum,mean,median,p25,p75,iqr,p90,max,min,paired_mean_bootstrap95_low,paired_mean_bootstrap95_high,uncertainty_unit,uncertainty_cluster_n,bootstrap_seed,bootstrap_resamples
memit:llama-minus-qwen:functional-7500:retention_recent:rewrite_target_new,nll_mean,32,32,-380.8341987270105,-11.901068710219079,-12.161745073608472,-13.742243900895119,-10.845216572284698,2.8970273286104202,-7.9981853485107415,0.22901630401611328,-21.23695421218872,-13.327469736466787,-10.398269483203126,PAIRED_REQUEST_HASH,32,14268133400069097327,2000
memit:llama-minus-qwen:functional-7500:retention_recent:rewrite_target_new,margin_mean,32,32,434.9014916419983,13.590671613812447,13.78004503250122,10.63196063041687,16.550089120864868,5.918128490447998,20.414391517639164,25.54986572265625,-0.1962442398071289,11.690235653147102,15.507450694590807,PAIRED_REQUEST_HASH,32,6976145161293204999,2000
memit:llama-minus-qwen:functional-7500:retention_recent:rewrite_target_new,strict_rate,32,32,19.0,0.59375,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.40625,0.75,PAIRED_REQUEST_HASH,32,12434535657000661796,2000
llama3-8b-inst:alphaedit-minus-memit:functional-7500:retention_recent:rewrite_target_true,nll_mean,32,32,43.46585702896118,1.358308032155037,1.1379132270812988,-0.21669244766235352,3.792318820953369,4.009011268615723,5.995497608184815,8.446330070495605,-6.463902473449707,0.11033720746636391,2.6201389875262957,PAIRED_REQUEST_HASH,32,9362968824837849900,2000
llama3-8b-inst:alphaedit-minus-memit:functional-7500:retention_recent:rewrite_target_true,margin_mean,32,32,-88.71426486968994,-2.7723207771778107,-3.503830909729004,-5.288804292678833,-0.3440917730331421,4.944712519645691,2.351129531860352,4.675253868103027,-11.217110633850098,-4.089390708506107,-1.4529153905808927,PAIRED_REQUEST_HASH,32,12278874637058412169,2000
llama3-8b-inst:alphaedit-minus-memit:functional-7500:retention_recent:rewrite_target_true,strict_rate,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PAIRED_REQUEST_HASH,32,17842737383314270165,2000
qwen2.5-7b-inst:alphaedit-minus-memit:functional-7500:retention_recent:rewrite_target_true,nll_mean,32,32,-33.17683219909668,-1.0367760062217712,-1.6304049491882324,-4.14458703994751,3.5092461109161377,7.6538331508636475,4.316274261474609,7.975034713745117,-12.438478469848633,-2.587669190019369,0.6113824829459183,PAIRED_REQUEST_HASH,32,15387527553894756699,2000
qwen2.5-7b-inst:alphaedit-minus-memit:functional-7500:retention_recent:rewrite_target_true,margin_mean,32,32,0.1100311279296875,0.0034384727478027344,0.9802837371826172,-4.780553340911865,4.2491068840026855,9.02966022491455,6.312301540374759,12.48297119140625,-8.983209609985352,-1.9566035553812982,2.0352427996695033,PAIRED_REQUEST_HASH,32,8639047303669461249,2000
qwen2.5-7b-inst:alphaedit-minus-memit:functional-7500:retention_recent:rewrite_target_true,strict_rate,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PAIRED_REQUEST_HASH,32,17437731615639546617,2000
alphaedit:llama-minus-qwen:functional-7500:retention_recent:rewrite_target_true,nll_mean,32,32,-23.275458812713623,-0.7273580878973007,-0.33090734481811523,-2.1003692150115967,1.2819392681121826,3.3823084831237793,3.111868476867676,7.281998634338379,-11.856383800506592,-2.2450410585850475,0.6311095777899024,PAIRED_REQUEST_HASH,32,6068109704683426165,2000
alphaedit:llama-minus-qwen:functional-7500:retention_recent:rewrite_target_true,margin_mean,32,32,-3.1084537506103516,-0.09713917970657349,-0.5895123481750488,-2.881699800491333,1.2835886478424072,4.16528844833374,4.977129364013674,12.009544372558594,-9.88230037689209,-1.5870500028133392,1.4805049359798395,PAIRED_REQUEST_HASH,32,10245972247754777386,2000
alphaedit:llama-minus-qwen:functional-7500:retention_recent:rewrite_target_true,strict_rate,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PAIRED_REQUEST_HASH,32,267535094872084198,2000
memit:llama-minus-qwen:functional-7500:retention_recent:rewrite_target_true,nll_mean,32,32,-99.91814804077148,-3.122442126274109,-3.816763401031494,-5.3259804248809814,0.14889764785766602,5.4748780727386475,2.2274639129638674,5.496076583862305,-18.031986236572266,-4.763246527314186,-1.6315210841596137,PAIRED_REQUEST_HASH,32,6743085693976096990,2000
memit:llama-minus-qwen:functional-7500:retention_recent:rewrite_target_true,margin_mean,32,32,85.71584224700928,2.67862007021904,3.0589208602905273,-2.371192216873169,5.257705211639404,7.628897428512573,5.867655277252197,18.58688735961914,-6.782641410827637,0.8360707707703113,4.830020003765822,PAIRED_REQUEST_HASH,32,3715823638790239880,2000
memit:llama-minus-qwen:functional-7500:retention_recent:rewrite_target_true,strict_rate,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PAIRED_REQUEST_HASH,32,10148288782842692471,2000
llama3-8b-inst:alphaedit-minus-memit:functional-10000:current:locality_target_true,nll_mean,100,100,-203.42943232655523,-2.034294323265552,-1.9317970037460324,-4.009445995092391,-0.017367494106292458,3.9920785009860986,1.3711012172698984,4.704631388187409,-9.942500400543214,-2.604139905156195,-1.4706316076725723,PAIRED_REQUEST_HASH,100,11879120038559178350,2000
llama3-8b-inst:alphaedit-minus-memit:functional-10000:current:locality_target_true,margin_mean,100,100,232.27074356079098,2.3227074356079096,2.3907106161117557,-0.06993001699447676,4.734665608406067,4.804595625400545,6.213080949783327,12.343940591812135,-5.629829597473144,1.733236223566532,2.9534580780744544,PAIRED_REQUEST_HASH,100,13452241035153239159,2000
llama3-8b-inst:alphaedit-minus-memit:functional-10000:current:locality_target_true,strict_rate,100,100,0.4000000000000001,0.004000000000000001,0.0,0.0,0.0,0.0,0.0,0.2,-0.3,-0.006,0.013999999999999999,PAIRED_REQUEST_HASH,100,8822264111445616086,2000
