stage,model,method,n,sum,mean,median,p25,p75,iqr,p90,max,min,worst_request_sha256,worst_case_identity_sha256,threshold,threshold_violation_count,accepted_edit_count,fork
checkpoint,llama3-8b-inst,alphaedit,100,7.480327996792246e-16,7.480327996792247e-18,7.346759649021137e-18,6.6485405192108684e-18,8.215424619384933e-18,1.566884100174065e-18,8.943818037946415e-18,1.1968914945013888e-17,3.1669910144409686e-18,be3d4c6f8949cbc57581fa268bb085cbc1c907bebb5792b4fb998f5e7d4f77d2,9446f871ef5a0fd0feec3de43fda125d2654bbee3ce7fe848d52f5a2d72d6252,0.0001,0,1000,ACCUMULATED_OR_STATIC
checkpoint,llama3-8b-inst,alphaedit,100,7.74633903340682e-16,7.74633903340682e-18,7.553688551011608e-18,6.863959099677685e-18,8.367033054349458e-18,1.5030739546717725e-18,9.330915845014435e-18,1.1838949022402648e-17,5.280226354140347e-18,be3d4c6f8949cbc57581fa268bb085cbc1c907bebb5792b4fb998f5e7d4f77d2,9446f871ef5a0fd0feec3de43fda125d2654bbee3ce7fe848d52f5a2d72d6252,0.0001,0,1000,RESET_CACHE
checkpoint,llama3-8b-inst,alphaedit,100,8.708034582208294e-14,8.708034582208295e-16,7.66216872977571e-18,6.87570726380239e-18,8.315981084017139e-18,1.440273820214749e-18,9.248934973300507e-18,4.5197494961901637e-14,3.301724885741907e-18,7e368fabe10a91fa9e4fa4798bcf2bb7dbcd65cec196e7de1666ec279217e11b,ac7d1fdd34a1f5f26e6d50691a6284afa6b1614b7e8756f5526f5941a9fd000a,0.0001,0,1500,ACCUMULATED_OR_STATIC
checkpoint,llama3-8b-inst,alphaedit,100,1.4588824350489101e-13,1.45888243504891e-15,7.919367363496886e-18,7.376015551707197e-18,8.82250998537373e-18,1.4464944336665334e-18,9.719354436934679e-18,8.506998337093455e-14,5.333973950049411e-18,a53b2146498fb4184df48fbc6e916e0a9cba5472ba0234d7936bdeccc43a49df,257df19dd09cc367f93367098f649d61b9eefa143ff42dc13c05f7228fcc21c8,0.0001,0,1500,RESET_CACHE
checkpoint,llama3-8b-inst,alphaedit,100,5.4639273715271283e-14,5.463927371527129e-16,7.934548105929825e-18,7.117411062437411e-18,8.931688655790772e-18,1.814277593353361e-18,9.93290240620821e-18,5.384514109898869e-14,3.912267546187663e-18,7e368fabe10a91fa9e4fa4798bcf2bb7dbcd65cec196e7de1666ec279217e11b,ac7d1fdd34a1f5f26e6d50691a6284afa6b1614b7e8756f5526f5941a9fd000a,0.0001,0,2000,ACCUMULATED_OR_STATIC
checkpoint,llama3-8b-inst,alphaedit,100,6.862193951295322e-14,6.862193951295322e-16,8.17270883542825e-18,7.54090621005132e-18,9.573979757764482e-18,2.0330735477131628e-18,1.0557923529458923e-17,6.778104121900532e-14,5.9230018471879465e-18,7e368fabe10a91fa9e4fa4798bcf2bb7dbcd65cec196e7de1666ec279217e11b,ac7d1fdd34a1f5f26e6d50691a6284afa6b1614b7e8756f5526f5941a9fd000a,0.0001,0,2000,RESET_CACHE
checkpoint,llama3-8b-inst,alphaedit,100,7.492495770054195e-14,7.492495770054195e-16,8.226751916686277e-18,7.370564348483063e-18,9.289669804272519e-18,1.919105455789456e-18,1.0844773744847043e-17,7.408381086356974e-14,4.0755486395016985e-18,90d523633cbb924d10a8e4f55883211e8a222f39ad7548ea471a9f46f11d5263,f1f72d5353e5dd99c7a5a21792edaf229712265355a3e99f6f05c5520333801f,0.0001,0,3000,ACCUMULATED_OR_STATIC
checkpoint,llama3-8b-inst,alphaedit,100,1.289739931391713e-13,1.289739931391713e-15,8.801216900336233e-18,7.993002898993577e-18,9.976251293713785e-18,1.983248394720208e-18,1.2159810269072773e-17,1.2805204797946438e-13,6.065238908307277e-18,90d523633cbb924d10a8e4f55883211e8a222f39ad7548ea471a9f46f11d5263,f1f72d5353e5dd99c7a5a21792edaf229712265355a3e99f6f05c5520333801f,0.0001,0,3000,RESET_CACHE
checkpoint,llama3-8b-inst,alphaedit,100,1.2337512416044162e-15,1.2337512416044162e-17,1.1243344187884302e-17,8.709885464674148e-18,1.406559718969422e-17,5.355711725020072e-18,1.7529677323129867e-17,4.1890465451181517e-17,4.025809650091186e-18,187893851b4f593610de601f19bd4e26738468a3e985aa5fb67e84f6d90c8e71,b9fa55be15089594d32ebac0179c1dbdee4c54351017e58db5d2c3c8c4873d4b,0.0001,0,5000,ACCUMULATED_OR_STATIC
checkpoint,llama3-8b-inst,alphaedit,100,1.4831957836836247e-15,1.483195783683625e-17,1.3629016145890526e-17,1.0962649167930549e-17,1.6609646214949347e-17,5.646997047018798e-18,2.1526434673131203e-17,4.62052914458071e-17,7.614321941493861e-18,187893851b4f593610de601f19bd4e26738468a3e985aa5fb67e84f6d90c8e71,b9fa55be15089594d32ebac0179c1dbdee4c54351017e58db5d2c3c8c4873d4b,0.0001,0,5000,RESET_CACHE
checkpoint,llama3-8b-inst,alphaedit,100,1.5598379774829189e-15,1.5598379774829188e-17,1.0762742301201943e-17,8.772946926987479e-18,1.5168035435866938e-17,6.395088508879459e-18,2.2866278590369602e-17,9.093614408259634e-17,5.288406420315187e-18,4c5555b95b5ec63799a376c3abed934273c11e9dce9555f957bb4551b197f161,8124b0b4031d959e469787889ecde4cd18934d945fff3a2a7c41d25c01cd2463,0.0001,0,7500,ACCUMULATED_OR_STATIC
checkpoint,llama3-8b-inst,alphaedit,100,2.1341907168062524e-15,2.1341907168062523e-17,1.6509739007636487e-17,1.2399017771974476e-17,2.3052344708322563e-17,1.0653326936348087e-17,3.352781060620491e-17,1.013907430726149e-16,7.796582672312552e-18,2cd698ef18b55937138bdb46d747e93da6c652104a26a7f5ddb82a4dcc0f8c32,51e823fd2b2034fe6c8a5583cc2486d7581e001968ba64949afe01b30c562ef8,0.0001,0,7500,RESET_CACHE
checkpoint,llama3-8b-inst,alphaedit,100,1.4547459320917136e-15,1.4547459320917137e-17,1.0602980534687295e-17,8.587820565640808e-18,1.5556402764367764e-17,6.968582198726956e-18,2.5036342303368828e-17,6.40751309949696e-17,4.886565871227758e-18,a2504ec4d20467287c8ffe7efb9af95148999619a5259f45d962d45740dae6a2,b4ab5fca7e0ea1d4673b3ed6d93d9550f1ff0677f1d47522930e0460f4748776,0.0001,0,10000,ACCUMULATED_OR_STATIC
checkpoint,llama3-8b-inst,alphaedit,100,2.114054850296956e-15,2.114054850296956e-17,1.8455864855537407e-17,1.4177307832592738e-17,2.459999635113612e-17,1.0422688518543383e-17,3.315246044562083e-17,8.4769735436595e-17,8.886820268743197e-18,2cd698ef18b55937138bdb46d747e93da6c652104a26a7f5ddb82a4dcc0f8c32,51e823fd2b2034fe6c8a5583cc2486d7581e001968ba64949afe01b30c562ef8,0.0001,0,10000,RESET_CACHE
checkpoint,qwen2.5-7b-inst,memit,100,5.696755911913444e-16,5.6967559119134435e-18,5.835629977568634e-18,4.978125572981386e-18,6.438571884777863e-18,1.4604463117964772e-18,7.422260873240334e-18,8.77675132460504e-18,2.5387997590735787e-18,aab746360def8be4469d3c7cf41498cfa56ee2814112798e36b73859f0ad7eb7,d094cfdf693dde30094153ce291481eefbabafe4a31d2a455f66ac9385cf2f21,0.0001,0,0,ACCUMULATED_OR_STATIC
checkpoint,qwen2.5-7b-inst,memit,100,7.638520242677653e-16,7.638520242677652e-18,7.781448837088766e-18,6.4302830821233024e-18,8.843630210991508e-18,2.413347128868206e-18,9.773954309868016e-18,1.1984916974049392e-17,3.579869223291999e-18,aab746360def8be4469d3c7cf41498cfa56ee2814112798e36b73859f0ad7eb7,d094cfdf693dde30094153ce291481eefbabafe4a31d2a455f66ac9385cf2f21,0.0001,0,1000,ACCUMULATED_OR_STATIC
checkpoint,qwen2.5-7b-inst,memit,100,8.7848611938268115e-16,8.784861193826812e-18,8.14967175786097e-18,6.849669433691049e-18,1.0178553476123385e-17,3.328884042432336e-18,1.2393368576279346e-17,1.9228459930418207e-17,4.2802185327721455e-18,a68adba86d59a1c40d350e0e6270a2431b1cca12ba7534506bd2a56386a049ca,78c3cd5dcbb508a2d9b3d91c865f71bb309bdb474a4f0ddbba2a197a4ca57c67,0.0001,0,1500,ACCUMULATED_OR_STATIC
checkpoint,qwen2.5-7b-inst,memit,100,1.8563140158139455e-15,1.8563140158139456e-17,1.5189948026354845e-17,1.0429991795870225e-17,2.2303254147127432e-17,1.1873262351257208e-17,3.32119717645939e-17,6.581737210991556e-17,6.295962329318657e-18,0a00ccc3a41e6074ff7898c6f13614d3d9ff0602139429fec3d8bd1e1f26590e,8bff1967453ad02fda1bb40aff6b70d3040bde7c8d72640546a29dd3eaf89c9d,0.0001,0,2000,ACCUMULATED_OR_STATIC
checkpoint,qwen2.5-7b-inst,memit,100,1.5250805420230078e-15,1.525080542023008e-17,1.2596998439733232e-17,1.0116458892836052e-17,1.850439024668021e-17,8.387931353844159e-18,2.5912389413739168e-17,6.147631321405265e-17,7.268107526800532e-18,19d7a8407ade5e3a7f18b1262a6a21b0d9fc83a6b5f533b926f894bf1739195a,9d65f5eb0a641004b3617955800e3748b66865396762873ad5df9cd845d12968,0.0001,0,3000,ACCUMULATED_OR_STATIC
checkpoint,qwen2.5-7b-inst,memit,100,1.5380403364730626e-15,1.5380403364730627e-17,1.3036888237467067e-17,1.0663351580525895e-17,1.7871480814184603e-17,7.208129233658709e-18,2.1449358787548063e-17,8.323999911851617e-17,6.6909591145305125e-18,35c9f081a5a4eed42b01f12fcf0242de923ddc78a18d6e650438c46e563fc358,dc2c3f2a49f74f4632e7b6460d402152d92e4127a64ea48c6ff781fd33618b0e,0.0001,0,5000,ACCUMULATED_OR_STATIC
checkpoint,qwen2.5-7b-inst,memit,100,1.5969186556107905e-15,1.5969186556107905e-17,1.277443134604346e-17,1.0201099820802163e-17,2.0335947600378372e-17,1.0134847779576209e-17,2.6366422354416725e-17,4.8199834414597266e-17,7.826605752699623e-18,9d8b7f9f68f5c75bd4737fbfe169d23d8e15ba10ba5d2a5acd88d2e0ec68032f,d1fec72a7ca623be3577f0ae7f927ef2166d62074c92ce3acf354fe237a8bb24,0.0001,0,7500,ACCUMULATED_OR_STATIC
checkpoint,qwen2.5-7b-inst,memit,100,2.1664422327103337e-15,2.1664422327103336e-17,1.8387672881738807e-17,1.2656698512979913e-17,2.4809568060515013e-17,1.21528695475351e-17,3.5758272040665065e-17,9.349804278970145e-17,8.122440199379309e-18,9d8b7f9f68f5c75bd4737fbfe169d23d8e15ba10ba5d2a5acd88d2e0ec68032f,d1fec72a7ca623be3577f0ae7f927ef2166d62074c92ce3acf354fe237a8bb24,0.0001,0,10000,ACCUMULATED_OR_STATIC
checkpoint,qwen2.5-7b-inst,alphaedit,100,7.956589216557654e-16,7.956589216557654e-18,7.959187120586654e-18,7.174154982327857e-18,8.477467730921756e-18,1.3033127485938995e-18,9.137127539037482e-18,1.1317334787187982e-17,5.267183196313375e-18,aab746360def8be4469d3c7cf41498cfa56ee2814112798e36b73859f0ad7eb7,d094cfdf693dde30094153ce291481eefbabafe4a31d2a455f66ac9385cf2f21,0.0001,0,0,ACCUMULATED_OR_STATIC
checkpoint,qwen2.5-7b-inst,alphaedit,100,7.956589216557654e-16,7.956589216557654e-18,7.959187120586654e-18,7.174154982327857e-18,8.477467730921756e-18,1.3033127485938995e-18,9.137127539037482e-18,1.1317334787187982e-17,5.267183196313375e-18,aab746360def8be4469d3c7cf41498cfa56ee2814112798e36b73859f0ad7eb7,d094cfdf693dde30094153ce291481eefbabafe4a31d2a455f66ac9385cf2f21,0.0001,0,0,RESET_CACHE
checkpoint,qwen2.5-7b-inst,alphaedit,100,8.074469436047028e-16,8.074469436047028e-18,7.985854946715982e-18,7.358757032161293e-18,8.67129734865007e-18,1.3125403164887768e-18,9.303042725800597e-18,1.1794535012802554e-17,4.140342210581133e-18,de34b4be22ec4998e898cef48747cf77fcfc3f123ea20c828ae862624240b4eb,af5d451bf91c2c2b46c3cbeb34cbc0e2582ad70494eb5d39cd427e73d006eac7,0.0001,0,1000,ACCUMULATED_OR_STATIC
checkpoint,qwen2.5-7b-inst,alphaedit,100,8.071259010016665e-16,8.071259010016666e-18,7.967506281659511e-18,7.388320193208055e-18,8.756344585468317e-18,1.3680243922602622e-18,9.299645410897239e-18,1.1495186441043935e-17,5.2969776543116545e-18,de34b4be22ec4998e898cef48747cf77fcfc3f123ea20c828ae862624240b4eb,af5d451bf91c2c2b46c3cbeb34cbc0e2582ad70494eb5d39cd427e73d006eac7,0.0001,0,1000,RESET_CACHE
checkpoint,qwen2.5-7b-inst,alphaedit,100,8.352589363773611e-16,8.352589363773611e-18,8.211967083160616e-18,7.734616600215326e-18,9.148636608975246e-18,1.4140200087599196e-18,9.550796206037932e-18,1.2194404211206738e-17,4.987911037459943e-18,a32f4c4dddaf4fec8543b3937d0780adb98c9893bba550b28317791811d8f35f,7068e114e954659602a64013b633c608cb1b5f36714c37ee3c29334d39fc5b7f,0.0001,0,1500,ACCUMULATED_OR_STATIC
checkpoint,qwen2.5-7b-inst,alphaedit,100,8.214904411273434e-16,8.214904411273433e-18,8.069498129377154e-18,7.455292454209956e-18,8.89727873396622e-18,1.4419862797562646e-18,9.540403785334033e-18,1.1577081354588371e-17,6.074429509647213e-18,aab746360def8be4469d3c7cf41498cfa56ee2814112798e36b73859f0ad7eb7,d094cfdf693dde30094153ce291481eefbabafe4a31d2a455f66ac9385cf2f21,0.0001,0,1500,RESET_CACHE
checkpoint,qwen2.5-7b-inst,alphaedit,100,8.770864121581919e-16,8.770864121581918e-18,8.586570875864987e-18,7.723469517958959e-18,9.623726331433346e-18,1.9002568134743875e-18,1.0772624707784894e-17,1.2907949919821087e-17,5.082664500481916e-18,f3c57d0b8a08224f263689a22cebb296165a24975d8cea9914a04452abd4fca7,52cdcfc696a3147e0d1bb626b86c34e3ce15519a76d8c95c9e6429188993f169,0.0001,0,2000,ACCUMULATED_OR_STATIC
checkpoint,qwen2.5-7b-inst,alphaedit,100,8.741192832649765e-16,8.741192832649765e-18,8.61796687720438e-18,7.725735954053299e-18,9.584908646835714e-18,1.8591726927824155e-18,1.0535793280181023e-17,1.3303773669679576e-17,6.078981763587069e-18,f3c57d0b8a08224f263689a22cebb296165a24975d8cea9914a04452abd4fca7,52cdcfc696a3147e0d1bb626b86c34e3ce15519a76d8c95c9e6429188993f169,0.0001,0,2000,RESET_CACHE
checkpoint,qwen2.5-7b-inst,alphaedit,100,9.240036658411103e-16,9.240036658411103e-18,8.822805531131029e-18,8.098498019551443e-18,9.918465087893563e-18,1.8199670683421205e-18,1.1140995428995341e-17,1.656431585557605e-17,6.474792083358483e-18,187893851b4f593610de601f19bd4e26738468a3e985aa5fb67e84f6d90c8e71,b9fa55be15089594d32ebac0179c1dbdee4c54351017e58db5d2c3c8c4873d4b,0.0001,0,3000,ACCUMULATED_OR_STATIC
checkpoint,qwen2.5-7b-inst,alphaedit,100,9.084367476722145e-16,9.084367476722145e-18,8.824976367344442e-18,7.938429152466605e-18,9.894382670206361e-18,1.955953517739756e-18,1.1007668057260297e-17,1.7054020266780643e-17,6.226919140980982e-18,187893851b4f593610de601f19bd4e26738468a3e985aa5fb67e84f6d90c8e71,b9fa55be15089594d32ebac0179c1dbdee4c54351017e58db5d2c3c8c4873d4b,0.0001,0,3000,RESET_CACHE
checkpoint,qwen2.5-7b-inst,alphaedit,100,1.074370693912551e-15,1.0743706939125509e-17,1.0138385427779849e-17,9.135845620262614e-18,1.1097001566962064e-17,1.9611559466994496e-18,1.2456914629606735e-17,4.14626316687748e-17,7.416533147980975e-18,4c5555b95b5ec63799a376c3abed934273c11e9dce9555f957bb4551b197f161,8124b0b4031d959e469787889ecde4cd18934d945fff3a2a7c41d25c01cd2463,0.0001,0,5000,ACCUMULATED_OR_STATIC
checkpoint,qwen2.5-7b-inst,alphaedit,100,1.072095673484668e-15,1.0720956734846681e-17,1.0157551524681883e-17,9.122799462681165e-18,1.1407951909755137e-17,2.2851524470739722e-18,1.3155359059986912e-17,3.086737718369403e-17,7.59825508779621e-18,4c5555b95b5ec63799a376c3abed934273c11e9dce9555f957bb4551b197f161,8124b0b4031d959e469787889ecde4cd18934d945fff3a2a7c41d25c01cd2463,0.0001,0,5000,RESET_CACHE
checkpoint,qwen2.5-7b-inst,alphaedit,100,1.2854937517832406e-15,1.2854937517832406e-17,1.0753435799073002e-17,9.703914490745848e-18,1.46946385758408e-17,4.9907240850949526e-18,1.971371750646425e-17,3.573109301580804e-17,6.566789731265534e-18,93ad994356fe678654023901f37f9e27d5f12b5ef412912e01a36c992f7fda44,caf60761b04d771991f1ed5a77542ae7189f001a7ab0d326bebfeeb601633c6a,0.0001,0,7500,ACCUMULATED_OR_STATIC
checkpoint,qwen2.5-7b-inst,alphaedit,100,1.3236661202308016e-15,1.3236661202308016e-17,1.1371537768304851e-17,9.986177826123975e-18,1.4903622387280778e-17,4.9174445611568026e-18,1.9352303708030283e-17,4.034137853674336e-17,6.666520276579621e-18,93ad994356fe678654023901f37f9e27d5f12b5ef412912e01a36c992f7fda44,caf60761b04d771991f1ed5a77542ae7189f001a7ab0d326bebfeeb601633c6a,0.0001,0,7500,RESET_CACHE
checkpoint,qwen2.5-7b-inst,alphaedit,100,1.4988558926976592e-15,1.4988558926976592e-17,1.280221130651941e-17,1.1085741866887001e-17,1.714459224470519e-17,6.058850377818189e-18,1.98553759974058e-17,9.612643944860387e-17,8.484264762494173e-18,93ad994356fe678654023901f37f9e27d5f12b5ef412912e01a36c992f7fda44,caf60761b04d771991f1ed5a77542ae7189f001a7ab0d326bebfeeb601633c6a,0.0001,0,10000,ACCUMULATED_OR_STATIC
checkpoint,qwen2.5-7b-inst,alphaedit,100,1.500018342366984e-15,1.500018342366984e-17,1.3095103027149875e-17,1.0983226997411375e-17,1.707373667736729e-17,6.0905096799559135e-18,1.9131885401730065e-17,8.685560466414459e-17,9.271782474563806e-18,93ad994356fe678654023901f37f9e27d5f12b5ef412912e01a36c992f7fda44,caf60761b04d771991f1ed5a77542ae7189f001a7ab0d326bebfeeb601633c6a,0.0001,0,10000,RESET_CACHE
