source_table,model,method,accepted_edit_count,fork,layer,metric,availability,n,sum,mean,median,p25,p75,iqr,p90,max,min
checkpoint_weight,llama3-8b-inst,alphaedit,1000,RESET_CACHE,6,frobenius_magnitude,RECORDED,1,5.010345047964109,5.010345047964109,5.010345047964109,5.010345047964109,5.010345047964109,0.0,5.010345047964109,5.010345047964109,5.010345047964109
checkpoint_weight,llama3-8b-inst,alphaedit,1000,RESET_CACHE,6,frobenius_squared_telemetry,RECORDED,1,25.103557499658468,25.103557499658468,25.103557499658468,25.103557499658468,25.103557499658468,0.0,25.103557499658468,25.103557499658468,25.103557499658468
checkpoint_weight,llama3-8b-inst,alphaedit,1000,RESET_CACHE,6,relative_update_magnitude,RECORDED,1,0.06396856091190821,0.06396856091190821,0.06396856091190821,0.06396856091190821,0.06396856091190821,0.0,0.06396856091190821,0.06396856091190821,0.06396856091190821
checkpoint_weight,llama3-8b-inst,alphaedit,1000,RESET_CACHE,6,update_magnitude_share,RECORDED,1,0.18146122050386562,0.18146122050386562,0.18146122050386562,0.18146122050386562,0.18146122050386562,0.0,0.18146122050386562,0.18146122050386562,0.18146122050386562
checkpoint_weight,llama3-8b-inst,alphaedit,1000,RESET_CACHE,7,frobenius_magnitude,RECORDED,1,6.116329393879802,6.116329393879802,6.116329393879802,6.116329393879802,6.116329393879802,0.0,6.116329393879802,6.116329393879802,6.116329393879802
checkpoint_weight,llama3-8b-inst,alphaedit,1000,RESET_CACHE,7,frobenius_squared_telemetry,RECORDED,1,37.40948525443807,37.40948525443807,37.40948525443807,37.40948525443807,37.40948525443807,0.0,37.40948525443807,37.40948525443807,37.40948525443807
checkpoint_weight,llama3-8b-inst,alphaedit,1000,RESET_CACHE,7,relative_update_magnitude,RECORDED,1,0.07672859749592884,0.07672859749592884,0.07672859749592884,0.07672859749592884,0.07672859749592884,0.0,0.07672859749592884,0.07672859749592884,0.07672859749592884
checkpoint_weight,llama3-8b-inst,alphaedit,1000,RESET_CACHE,7,update_magnitude_share,RECORDED,1,0.22151699856840837,0.22151699856840837,0.22151699856840837,0.22151699856840837,0.22151699856840837,0.0,0.22151699856840837,0.22151699856840837,0.22151699856840837
checkpoint_weight,llama3-8b-inst,alphaedit,1000,RESET_CACHE,8,frobenius_magnitude,RECORDED,1,7.62170505586531,7.62170505586531,7.62170505586531,7.62170505586531,7.62170505586531,0.0,7.62170505586531,7.62170505586531,7.62170505586531
checkpoint_weight,llama3-8b-inst,alphaedit,1000,RESET_CACHE,8,frobenius_squared_telemetry,RECORDED,1,58.090387958602825,58.090387958602825,58.090387958602825,58.090387958602825,58.090387958602825,0.0,58.090387958602825,58.090387958602825,58.090387958602825
checkpoint_weight,llama3-8b-inst,alphaedit,1000,RESET_CACHE,8,relative_update_magnitude,RECORDED,1,0.09502012842675542,0.09502012842675542,0.09502012842675542,0.09502012842675542,0.09502012842675542,0.0,0.09502012842675542,0.09502012842675542,0.09502012842675542
checkpoint_weight,llama3-8b-inst,alphaedit,1000,RESET_CACHE,8,update_magnitude_share,RECORDED,1,0.2760376557937432,0.2760376557937432,0.2760376557937432,0.2760376557937432,0.2760376557937432,0.0,0.2760376557937432,0.2760376557937432,0.2760376557937432
checkpoint_weight,llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,4,frobenius_magnitude,RECORDED,1,21.984037112742634,21.984037112742634,21.984037112742634,21.984037112742634,21.984037112742634,0.0,21.984037112742634,21.984037112742634,21.984037112742634
