comparison,batch,population,metric,denominator,before_num,after_num,delta_pp,retained,lost,gained,both_failed,conditional_loss_den,conditional_recovery_den,strict_lost,strict_gained,strict_before,strict_after,desired_NLL_harm_mean,desired_NLL_harm_median,desired_NLL_harm_p90,desired_NLL_harm_p95,desired_NLL_harm_p99,desired_NLL_harm_min,desired_NLL_harm_max,competing_NLL_change_mean,competing_NLL_change_median,competing_NLL_change_p90,competing_NLL_change_p95,competing_NLL_change_p99,competing_NLL_change_min,competing_NLL_change_max
RAW_TO_SELECTED,2,CURRENT,PS,200,188,188,0.0,188,0,0,12,188,12,0,0,129,129,2.226513286586851e-05,2.2388994693756104e-06,0.00010645389556884763,0.0002175331115722656,0.0004447710514068604,-0.0003819465637207031,0.0006532669067382812,-6.513260304927826e-05,-4.100799560546875e-05,0.00010075569152832028,0.00016236305236816398,0.0002871322631835937,-0.001094818115234375,0.0004405975341796875
RAW_TO_SELECTED,2,ACCEPTED_OLD,PS,200,191,191,0.0,191,0,0,9,191,9,0,0,127,127,-1.560038945171982e-06,1.0263174772262573e-06,4.6241283416748044e-05,8.23736190795898e-05,0.00015182495117187483,-0.0017175674438476562,0.00021505355834960938,-2.019047737121582e-05,-1.0013580322265625e-05,4.205703735351562e-05,7.283687591552722e-05,0.00010967254638671875,-0.0010900497436523438,0.0003147125244140625
ENTRY_TO_RAW,2,CURRENT,NS,1000,879,863,-1.6,861,18,2,119,879,121,8,12,184,188,-0.03189369053579867,-0.045570433139801025,0.40262670516967786,0.6404510736465453,1.736041334569454,-2.532268524169922,6.108948707580566,-0.391215180516243,-0.2101125717163086,0.21395177841186533,0.41213083267211903,1.1718477201461779,-16.021757304668427,3.6098575592041016
RAW_TO_SELECTED,2,CURRENT,NS,1000,863,863,0.0,863,0,0,137,863,137,0,0,188,188,5.266623455099762e-06,3.2633543014526367e-06,4.482269287109375e-05,6.489753723144527e-05,0.0001425766944885254,-0.000400543212890625,0.0003108978271484375,1.249876618385315e-05,9.5367431640625e-06,6.198883056640625e-05,8.300542831420895e-05,0.00013926506042480466,-0.00047016143798828125,0.0006666183471679688
RAW_TO_SELECTED,2,ACCEPTED_OLD,NS,1000,862,862,0.0,862,0,0,138,862,138,0,0,157,157,5.032040411606431e-06,3.5762786865234375e-06,4.820823669433595e-05,6.771087646484375e-05,0.00011598587036132802,-0.0003337860107421875,0.000247955322265625,8.783855009824038e-06,7.62939453125e-06,5.53131103515625e-05,7.82012939453125e-05,0.00013257980346679686,-0.00037097930908203125,0.00026607513427734375
ENTRY_TO_RAW,3,CURRENT,RS,100,8,100,92.0,8,0,92,0,8,92,0,100,0,100,-10.419223152829145,-9.866997950681252,-5.302692043231217,-4.507342523447005,-2.2597682638288803,-19.919873993261717,-1.8325350183295086,10.221229633741313,10.432263016700745,15.754364585876466,16.90495067834854,18.788863323926936,-5.565699577331543,20.88542926311493
RAW_TO_SELECTED,3,CURRENT,RS,100,100,100,0.0,100,0,0,0,100,0,0,0,100,100,-6.262416718527675e-09,0.0,8.50274227559568e-07,1.8024118617176995e-06,2.6200083084404503e-06,-2.3772940039634705e-05,3.3311080187559128e-06,-9.87863540649414e-05,-6.341934204101562e-05,0.00024261474609375003,0.00036578178405761676,0.0021009206771850594,-0.0012912750244140625,0.0022401809692382812
RAW_TO_SELECTED,3,ACCEPTED_OLD,RS,200,200,200,0.0,200,0,0,0,200,0,0,0,200,200,-8.658850856591016e-07,0.0,1.1897645890712738e-07,1.1909287422895432e-07,9.960308670997573e-07,-0.0001552104949951172,1.8477439880371094e-06,6.7663192749023435e-06,3.814697265625e-06,7.82012939453125e-05,0.00010540485382080077,0.00017282485961913957,-0.00013446807861328125,0.00029850006103515625
ENTRY_TO_RAW,3,CURRENT,PS,200,22,189,83.5,21,1,168,10,22,178,0,117,2,119,-8.257329698276425,-8.497424682602286,-3.576585960388187,-1.59266428947449,-0.04915914535522467,-16.61919814348221,0.1989741325378418,5.269145960363094,4.781995452940464,11.226874160766602,13.601074671745298,17.53623356848955,-7.127496242523193,21.77054113149643
RAW_TO_SELECTED,3,CURRENT,PS,200,189,189,0.0,189,0,0,11,189,11,0,0,119,119,2.766042744042352e-05,1.4082761481404305e-06,0.00018642246723175047,0.00032925605773925564,0.0006964850425720205,-0.0010683536529541016,0.0013284683227539062,-5.798928439617157e-05,2.86102294921875e-06,0.0002713203430175781,0.0004102230072021484,0.0005995178222656249,-0.0015139579772949219,0.003071308135986328
RAW_TO_SELECTED,3,ACCEPTED_OLD,PS,400,382,382,0.0,382,0,0,18,382,18,0,0,259,259,2.273480349685997e-06,8.204951882362366e-07,5.89132308959961e-05,9.564161300659176e-05,0.00022465944290161127,-0.0030426979064941406,0.0005805492401123047,-2.5082826614379882e-05,-1.2636184692382812e-05,6.260871887207035e-05,0.00010492801666259763,0.0002074480056762695,-0.0014925003051757812,0.0006246566772460938
ENTRY_TO_RAW,3,CURRENT,NS,1000,883,865,-1.8,863,20,2,115,883,117,7,11,164,168,-0.039483608948241454,-0.028783753514289856,0.3214477062225343,0.6536279916763297,2.123491432666777,-4.493401765823364,7.4936745166778564,-0.5185349664092064,-0.22521162033081055,0.16156270503997802,0.2880002975463867,0.7650938510894774,-14.934190690517426,7.332763671875
RAW_TO_SELECTED,3,CURRENT,NS,1000,865,865,0.0,865,0,0,135,865,135,0,0,168,168,8.866231888532638e-06,2.86102294921875e-06,7.729530334472657e-05,0.00012145042419433585,0.00024040222167968743,-0.0003719329833984375,0.0005359649658203125,1.820152997970581e-05,1.52587890625e-05,0.00011072158813476565,0.000148320198059082,0.00026044368743896476,-0.0005702972412109375,0.00066375732421875
RAW_TO_SELECTED,3,ACCEPTED_OLD,NS,2000,1712,1712,0.0,1712,0,0,288,1712,288,0,0,354,354,7.856679381802677e-06,3.814697265625e-06,8.106231689453125e-05,0.0001164197921752929,0.0002179288864135742,-0.0004525184631347656,0.0004305839538574219,2.047569106798619e-05,1.33514404296875e-05,0.0001068115234375,0.00014591217041015625,0.00026908874511718736,-0.0005197525024414062,0.0007190704345703125
ENTRY_TO_RAW,4,CURRENT,RS,100,14,100,86.0,14,0,86,0,14,86,0,99,1,100,-9.821878146721538,-9.86785555141978,-5.0975381222757274,-3.32813795682596,-2.333107002216855,-20.761223130859435,-1.9902710472233593,10.503939062529243,10.597567677497864,15.998419511690736,17.287304504681376,20.12130945146084,-4.1672587394714355,20.17426300048828
RAW_TO_SELECTED,4,CURRENT,RS,100,100,100,0.0,100,0,0,0,100,0,0,0,100,100,-4.618341336026788e-09,0.0,2.3774337023496628e-07,3.571680281311274e-07,8.328724652528769e-07,-3.5553239285945892e-06,9.51811671257019e-07,-3.890037536621094e-05,-7.152557373046875e-06,0.00027046203613281263,0.00040769577026367166,0.0005185699462890634,-0.0010728836059570312,0.0006847381591796875
RAW_TO_SELECTED,4,ACCEPTED_OLD,RS,300,300,300,0.0,300,0,0,0,300,0,0,0,300,300,-3.914672803754608e-07,0.0,1.1897645890712738e-07,1.1915108188986778e-07,1.341737806797027e-06,-0.00011104345321655273,3.6284327507019043e-06,2.8347969055175783e-06,1.9073486328125e-06,4.57763671875e-05,6.113052368164065e-05,8.411407470703108e-05,-0.000240325927734375,0.00043773651123046875
ENTRY_TO_RAW,4,CURRENT,PS,200,36,197,80.5,36,0,161,3,36,164,0,149,2,151,-7.712445205457625,-7.759897284209728,-3.134804057318252,-1.8718725802726117,-0.7057626152038623,-16.65171355009079,-0.15890979766845703,6.115173268414801,5.840705871582031,12.032944330573082,13.301357161998748,16.2961760562658,-3.3966121673583984,21.178171157836914
RAW_TO_SELECTED,4,CURRENT,PS,200,197,197,0.0,197,0,0,3,197,3,0,0,151,151,1.9216536165913568e-05,1.0675285011529922e-06,8.853673934936519e-05,0.00017489790916442794,0.0003443747758865338,-0.0002460479736328125,0.0008208751678466797,-7.331371307373047e-05,-2.6226043701171875e-05,0.00017027854919433595,0.00020537376403808582,0.0003501796722412099,-0.0015230178833007812,0.0005102157592773438
RAW_TO_SELECTED,4,ACCEPTED_OLD,PS,600,572,572,0.0,572,0,0,28,572,28,0,0,383,383,5.076709203422069e-07,1.1734664440155029e-07,1.8513202667236336e-05,3.006458282470701e-05,7.05718994140625e-05,-0.00037860870361328125,0.00013875961303710938,-3.959350287914276e-06,-3.814697265625e-06,3.814697265625e-05,5.53131103515625e-05,9.72747802734375e-05,-0.00020313262939453125,0.0001983642578125
ENTRY_TO_RAW,4,CURRENT,NS,1000,843,808,-3.5,805,38,3,154,843,157,26,11,199,184,0.16676959325792268,-0.0015017148107290268,0.5946050167083741,1.3491979122161861,4.6251473485678405,-2.631023645401001,14.360766172409058,-0.40632367358021293,-0.15306568145751953,0.19985275268554706,0.3806057453155514,1.0785908031463622,-16.255037503317,13.432766914367676
RAW_TO_SELECTED,4,CURRENT,NS,1000,808,808,0.0,808,0,0,192,808,192,0,0,184,184,-2.2993520833551883e-06,1.4854595065116882e-07,4.291534423828125e-05,6.92605972290038e-05,0.00013545036315917966,-0.0005688667297363281,0.0004405975341796875,1.1037043295800685e-05,7.152557373046875e-06,5.540847778320315e-05,8.490085601806638e-05,0.00018029928207397434,-0.000316619873046875,0.0007171630859375
RAW_TO_SELECTED,4,ACCEPTED_OLD,NS,3000,2569,2569,0.0,2569,0,0,431,2569,431,0,0,524,524,4.627112454424302e-07,9.5367431640625e-07,3.910064697265625e-05,5.627870559692376e-05,0.0001201629638671875,-0.0005736351013183594,0.0005083084106445312,7.915370166301728e-06,5.7220458984375e-06,5.53131103515625e-05,8.060932159423815e-05,0.0001469707489013647,-0.0005612373352050781,0.0005884170532226562
ENTRY_TO_RAW,5,CURRENT,RS,100,6,100,94.0,6,0,94,0,6,94,0,98,2,100,-10.068780032660435,-10.012821815587813,-6.300766577705508,-4.902714983593616,-1.4343434175464003,-18.626885552424937,-0.2647047069549444,10.265015338305384,10.584100246429443,14.269477176666264,15.021325421333312,20.690457742214203,0.7224674224853516,20.972935914993286
RAW_TO_SELECTED,5,CURRENT,RS,100,100,100,0.0,100,0,0,0,100,0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAW_TO_SELECTED,5,ACCEPTED_OLD,RS,400,400,400,0.0,400,0,0,0,400,0,0,0,399,399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENTRY_TO_RAW,5,CURRENT,PS,200,28,195,83.5,28,0,167,5,28,172,0,126,2,128,-7.7320353581475505,-7.781677572522312,-3.4785598754882816,-1.8284700918942693,-0.6740241748397274,-16.625859886407852,2.397160530090332,5.156366066411137,5.197269082069397,10.737437152862547,12.902823002636422,15.198590377569195,-8.164493799209595,17.394453525543213
RAW_TO_SELECTED,5,CURRENT,PS,200,195,195,0.0,195,0,0,5,195,5,0,0,128,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAW_TO_SELECTED,5,ACCEPTED_OLD,PS,800,769,769,0.0,769,0,0,31,769,31,0,0,530,530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENTRY_TO_RAW,5,CURRENT,NS,1000,872,855,-1.7,853,19,2,126,872,128,22,13,250,241,0.029019524600123987,-0.005135059356689453,0.38778773546218875,0.6869145750999447,1.6381356537342044,-4.068615645170212,7.547158598899841,-0.4163321681022644,-0.16980195045471191,0.18706974983215335,0.3768483161926268,0.8283967876434317,-12.395586490631104,3.572256088256836
RAW_TO_SELECTED,5,CURRENT,NS,1000,855,855,0.0,855,0,0,145,855,145,0,0,241,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAW_TO_SELECTED,5,ACCEPTED_OLD,NS,4000,3347,3347,0.0,3347,0,0,653,3347,653,0,0,687,687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENTRY_TO_RAW,6,CURRENT,RS,100,11,100,89.0,11,0,89,0,11,89,0,100,0,100,-10.370960259554487,-10.323146838316461,-5.749571293385813,-4.879188910606899,-3.3144342973129812,-19.930261302855797,-3.0725654910784215,9.921879533603787,10.06831431388855,15.460576963424684,16.004974937438966,20.007484877854598,-1.6338939666748047,22.46398575603962
RAW_TO_SELECTED,6,CURRENT,RS,100,100,100,0.0,100,0,0,0,100,0,0,0,100,100,-1.6605874407105147e-07,0.0,5.947425961494446e-07,9.739771485328661e-07,3.45457228831947e-06,-2.1403655409812927e-05,3.795139491558075e-06,-0.00012038707733154297,-4.3392181396484375e-05,0.000406265258789063,0.0005062103271484375,0.0007673454284667982,-0.0027446746826171875,0.00101470947265625
RAW_TO_SELECTED,6,ACCEPTED_OLD,RS,500,500,500,0.0,500,0,0,0,500,0,0,0,499,499,-2.1241298964014277e-06,0.0,1.1909287422895432e-07,2.380693331360817e-07,9.453063830733299e-07,-0.0006210803985595703,2.6620924472808838e-05,-4.4298171997070315e-07,1.9073486328125e-06,9.36508178710938e-05,0.0001364707946777343,0.0002318596839904782,-0.0005350112915039062,0.0005588531494140625
ENTRY_TO_RAW,6,CURRENT,PS,200,33,195,81.0,33,0,162,5,33,167,0,124,0,124,-8.13096768609248,-8.355590056627989,-3.4603696644306186,-1.673458658810707,1.2243806123733463,-18.660005673766136,2.7742810249328613,4.94560080490075,4.470468521118164,10.461326849460601,11.781615703180432,16.712520047426214,-5.409630298614502,20.010529279708862
RAW_TO_SELECTED,6,CURRENT,PS,200,195,195,0.0,195,0,0,5,195,5,0,0,124,124,2.9742979677394034e-07,1.5918631106615067e-06,0.00019310712814331053,0.00038433969020843493,0.0006019067764282225,-0.0008821487426757812,0.0006861686706542969,-0.00016390547156333924,-0.00011110305786132812,0.0003994941711425781,0.0005268692970275878,0.0007346057891845701,-0.0031061172485351562,0.0016145706176757812
RAW_TO_SELECTED,6,ACCEPTED_OLD,PS,1000,961,961,0.0,961,0,0,39,961,39,0,0,664,664,1.927310207975097e-06,8.028000593185425e-07,9.417533874511719e-05,0.00020318031311035152,0.0004664230346679687,-0.009398937225341797,0.0011682510375976562,-4.4733814895153045e-05,-2.574920654296875e-05,0.0001316070556640625,0.00021491050720214813,0.00047126293182373033,-0.00518035888671875,0.0015039443969726562
ENTRY_TO_RAW,6,CURRENT,NS,1000,824,802,-2.2,797,27,5,171,824,176,9,4,163,158,0.10210520857316442,-0.002427315805107355,0.4604890823364258,0.7437192440032956,3.089739634990692,-2.643002510070801,11.195648312568665,-0.3522999173626304,-0.14872169494628906,0.23666663169860844,0.3636041641235351,0.8865996170043944,-11.515388456173241,2.0895285606384277
RAW_TO_SELECTED,6,CURRENT,NS,1000,802,802,0.0,802,0,0,198,802,198,0,0,158,158,3.0452338978648183e-07,9.5367431640625e-07,9.317398071289067e-05,0.00013565421104431142,0.0003052473068237304,-0.0006400346755981445,0.0005202293395996094,1.527006085962057e-05,1.049041748046875e-05,0.00012407302856445315,0.0001803398132324218,0.0003162384033203124,-0.0004634857177734375,0.0007486343383789062
RAW_TO_SELECTED,6,ACCEPTED_OLD,NS,5000,4171,4171,0.0,4171,0,0,829,4171,829,0,0,909,909,2.5839869631454347e-06,2.86102294921875e-06,9.012222290039062e-05,0.00013786554336547873,0.0002666020393371593,-0.0009765625,0.0008268356323242188,1.8202308285981415e-05,1.3083219528198242e-05,0.00012302398681640625,0.00017406940460205087,0.000323305130004883,-0.001331329345703125,0.001148223876953125
ENTRY_TO_RAW,7,CURRENT,RS,100,10,100,90.0,10,0,90,0,10,90,0,99,1,100,-9.850562471754438,-9.702256208489416,-5.346029677079056,-3.2565514360670935,-1.380952353122409,-19.29661312699318,-0.9250318109989166,11.11501558756223,10.63413193821907,15.853147244453439,19.64787073135376,23.19966096997265,-6.936948776245117,31.16945207118988
RAW_TO_SELECTED,7,CURRENT,RS,100,100,100,0.0,100,0,0,0,100,0,0,0,100,100,-3.4611366572789847e-09,0.0,4.996312782168409e-07,9.495299309492111e-07,2.167439088225382e-06,-1.1749565601348877e-05,5.511566996574402e-06,-6.365776062011719e-05,-3.0517578125e-05,0.000229167938232422,0.0003247737884521484,0.000570240020751954,-0.0009031295776367188,0.0007534027099609375
RAW_TO_SELECTED,7,ACCEPTED_OLD,RS,600,599,599,0.0,599,0,0,1,599,1,0,0,598,598,3.531786205712706e-08,0.0,1.1832453310489656e-07,1.1909287422895432e-07,4.143733531236632e-07,-0.00010383129119873047,0.00010156631469726562,7.855892181396484e-07,9.5367431640625e-07,5.14984130859375e-05,6.966590881347652e-05,0.00012495040893554686,-0.0003814697265625,0.00020503997802734375
ENTRY_TO_RAW,7,CURRENT,PS,200,24,195,85.5,24,0,171,5,24,176,0,144,2,146,-7.507810627047438,-7.379761662043165,-2.1232692406279967,-1.1336860641837123,1.0525609493255594,-21.520488112582825,5.914795398712158,6.192249095374718,5.698661774396896,12.077822256088256,13.448143099248409,17.61909820187837,-8.868136882781982,19.797920644283295
RAW_TO_SELECTED,7,CURRENT,PS,200,195,195,0.0,195,0,0,5,195,5,0,0,146,146,1.1452226171968505e-05,5.912734195590019e-07,0.00010093450546264646,0.00016806721687316866,0.0003483438491821278,-0.0005655288696289062,0.0010933876037597656,-6.734609603881837e-05,-2.6226043701171875e-05,0.00017461776733398437,0.00024752616882324204,0.0004641246795654291,-0.0011281967163085938,0.001117706298828125
RAW_TO_SELECTED,7,ACCEPTED_OLD,PS,1200,1155,1155,0.0,1155,0,0,45,1155,45,0,0,786,786,2.6133143304226298e-06,2.3562461137771606e-07,2.384185791015625e-05,4.340410232543944e-05,8.870363235473632e-05,-0.0010581016540527344,0.0002033710479736328,-8.05641214052836e-06,-3.814697265625e-06,3.342628479003913e-05,5.245208740234375e-05,8.34512710571289e-05,-0.0005369186401367188,0.000213623046875
ENTRY_TO_RAW,7,CURRENT,NS,1000,872,852,-2.0,848,24,4,124,872,128,27,12,259,244,0.10381292681302876,0.004367910325527191,0.5688759684562683,0.9404335975646957,3.0320238339900953,-2.8272972106933594,13.69213080406189,-0.36173256365954876,-0.1838064193725586,0.22032976150512704,0.4468773603439331,1.5235265684127788,-8.911255359649658,15.235791206359863
RAW_TO_SELECTED,7,CURRENT,NS,1000,852,852,0.0,852,0,0,148,852,148,0,0,244,244,5.017279181629419e-06,1.6335397958755493e-06,5.154609680175782e-05,7.643699645996081e-05,0.00015528917312622063,-0.0004286766052246094,0.0005712509155273438,9.863235056400298e-06,4.76837158203125e-06,6.4849853515625e-05,9.918212890625e-05,0.00023853778839111317,-0.00023937225341796875,0.0008134841918945312
RAW_TO_SELECTED,7,ACCEPTED_OLD,NS,6000,4933,4933,0.0,4933,0,0,1067,4933,1067,0,0,1053,1053,1.832222663021336e-06,9.5367431640625e-07,4.471540451049809e-05,6.4849853515625e-05,0.00012111902236938482,-0.0003527402877807617,0.0004200935363769531,6.889073255175996e-06,3.814697265625e-06,5.53131103515625e-05,7.488727569580087e-05,0.00015831470489501964,-0.0009436607360839844,0.0009059906005859375
ENTRY_TO_RAW,8,CURRENT,RS,100,15,100,85.0,15,0,85,0,15,85,0,98,2,100,-9.58246265248803,-9.184762924298411,-5.352619984076591,-4.556984049377206,-0.9558014595138948,-18.02697641236591,-0.7908456446893979,9.982040576785803,9.736668109893799,15.494286525249482,17.92450918257236,21.11398583173752,-3.2201833724975586,21.291441917419434
RAW_TO_SELECTED,8,CURRENT,RS,100,100,100,0.0,100,0,0,0,100,0,0,0,100,100,-1.356136635877192e-08,0.0,4.7655776143074035e-07,8.397590136155482e-07,3.4459214657545155e-06,-3.205612301826477e-06,4.73950058221817e-06,-1.9664764404296876e-05,2.5272369384765625e-05,0.0007173538208007813,0.0008216857910156249,0.0019087028503418054,-0.0021162033081054688,0.0035533905029296875
RAW_TO_SELECTED,8,ACCEPTED_OLD,RS,700,699,699,0.0,699,0,0,1,699,1,0,0,698,698,-8.088625794958457e-07,0.0,1.1909287422895432e-07,2.377200871706009e-07,1.0573398321866978e-06,-0.00027883052825927734,2.956390380859375e-05,3.5490308489118306e-07,-1.9073486328125e-06,8.783340454101565e-05,0.00012331008911132786,0.000219612121582031,-0.0003604888916015625,0.00037097930908203125
ENTRY_TO_RAW,8,CURRENT,PS,200,26,196,85.0,26,0,170,4,26,174,0,127,3,130,-7.440135007644567,-7.740567661821842,-3.1292936086654666,-2.0052751874551236,0.9360074710845924,-16.2912437049672,1.2270865440368652,5.471548521411605,5.360219240188599,11.209538620710372,12.667232364416117,15.568023872375486,-5.893824100494385,17.963902473449707
RAW_TO_SELECTED,8,CURRENT,PS,200,196,196,0.0,196,0,0,4,196,4,0,0,130,130,2.967580803669989e-05,5.313195288181305e-07,0.0002890110015869139,0.00038764476776123017,0.000978695154190063,-0.000972747802734375,0.0011076927185058594,-4.8142671585083005e-06,-4.0531158447265625e-06,0.0005321979522705077,0.0007652759552001951,0.0016088390350341719,-0.0027894973754882812,0.0025920867919921875
RAW_TO_SELECTED,8,ACCEPTED_OLD,PS,1400,1351,1351,0.0,1351,0,0,49,1351,49,0,0,929,929,2.285359670557747e-06,2.3818574845790863e-07,4.12702560424805e-05,7.951855659484863e-05,0.00018240749835968017,-0.0012655258178710938,0.0002818107604980469,-1.1224810566220965e-05,-7.62939453125e-06,7.929801940917988e-05,0.00011255741119384763,0.00020985126495361324,-0.000553131103515625,0.0006227493286132812
ENTRY_TO_RAW,8,CURRENT,NS,1000,866,833,-3.3,829,37,4,130,866,134,16,6,214,204,0.13495414185430854,0.004273638129234314,0.4774491548538209,0.9569962263107284,5.442380181550979,-1.5092759132385254,11.50822538137436,-0.37895742265251464,-0.12763071060180664,0.25608777999877935,0.4199366569519035,0.90747811794281,-12.59723949432373,1.4094417095184326
RAW_TO_SELECTED,8,CURRENT,NS,1000,833,833,0.0,833,0,0,167,833,167,0,0,204,204,-9.492519777268171e-06,-4.3958425521850586e-07,8.444786071777345e-05,0.00013546943664550777,0.0002829694747924803,-0.0016565322875976562,0.0007190704345703125,1.5705186931882052e-05,7.152557373046875e-06,9.827613830566407e-05,0.00014307498931884763,0.0003921508789062498,-0.0006742477416992188,0.0025415420532226562
RAW_TO_SELECTED,8,ACCEPTED_OLD,NS,7000,5757,5757,0.0,5757,0,0,1243,5757,1243,0,0,1286,1286,2.076957083772868e-06,1.3113021850585938e-06,8.344650268554688e-05,0.00012353062629699664,0.0002517771720886232,-0.0023527145385742188,0.0015401840209960938,1.034067860538406e-05,8.58306884765625e-06,0.0001068115234375,0.000148773193359375,0.000278472900390625,-0.00167083740234375,0.0009517669677734375
ENTRY_TO_RAW,9,CURRENT,RS,100,12,100,88.0,12,0,88,0,12,88,0,99,1,100,-9.624978732270028,-9.56660949466459,-5.052654585521667,-4.133092301711441,-1.5572412113711398,-17.616639425978065,-0.15359956439351663,10.364985128343106,10.484776929020882,15.623401975631717,18.956216263771058,19.62410534888506,-4.42175817489624,19.823473244905472
RAW_TO_SELECTED,9,CURRENT,RS,100,100,100,0.0,100,0,0,0,100,0,0,0,100,100,-5.746987881138921e-09,1.1909287422895432e-07,7.134629413485527e-07,9.586103260517118e-07,1.4733220450580357e-06,-6.010755896568298e-06,6.057322025299072e-06,-6.908893585205077e-05,-6.961822509765625e-05,0.0005926132202148458,0.0012041091918945312,0.002109985351562501,-0.0018053054809570312,0.0022497177124023438
