batch,state,population,metric,numerator,denominator,percent,request_denominator,ties,desired_strict_n,desired_strict_d,new_strict_n,true_strict_n,desired_token_correct,desired_token_d,all_prompt_strict_requests,new_nll_mean,new_nll_median,new_nll_p90,new_nll_p95,new_nll_p99,new_nll_min,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_p95,true_nll_p99,true_nll_min,true_nll_max,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_p95,desired_margin_p99,desired_margin_min,desired_margin_max
3,ENTRY,CURRENT,RS,8,100,8.0,100,0,0,100,0,22,2,102,0,10.42081244468689,9.868337631225586,14.959124851226807,16.44752197265625,18.80307989120484,1.8333685398101807,19.921722412109375,4.491976910181111,4.292228937149048,8.827952003479005,10.124442434310913,11.463483924865749,0.001536380616016686,16.589595794677734,-5.928835534505779,-5.62280011177063,-0.40655641555786043,0.6865978240966778,3.2869673752784774,-16.89932096004486,4.1304931640625
3,ENTRY,CURRENT,PS,22,200,11.0,100,0,2,200,2,26,6,204,0,10.096198747456073,10.121744632720947,13.981211185455322,15.272726249694822,18.407201023101806,0.8082900643348694,18.966243743896484,4.891051500549074,4.556333065032959,9.245701599121094,10.212312269210809,11.913133602142333,0.005126663949340582,13.87464714050293,-5.205147246907,-5.106812357902527,0.15408082008361804,1.1762925624847382,3.0240686798095586,-14.913062572479248,6.680612087249756
3,ENTRY,CURRENT,NS,883,1000,88.3,100,0,164,1000,1,164,194,1030,1,10.568230852246284,10.589497089385986,15.390441703796387,16.82593469619751,20.51476289749145,0.9596047401428223,24.953468322753906,5.201602477839973,4.737215042114258,10.111982631683352,11.627409219741818,14.377288103103638,0.0007414452848024666,19.636066436767578,5.366628374406311,5.2743401527404785,11.490871435403823,12.592849707603454,14.347958143306895,-7.860050201416016,19.024113135179505
3,ENTRY,ACCEPTED_OLD,RS,200,200,100.0,200,0,200,200,200,0,203,203,200,0.003995747641893104,0.0012894298997707665,0.004890465131029485,0.008013987634330911,0.05124518711119859,6.496695277746767e-05,0.2105371505022049,14.316504541635513,14.321972846984863,19.591451263427736,20.713645648956298,23.61753900527954,3.077969789505005,25.485183715820312,14.31250879399362,14.318946645245887,19.58831201524008,20.711295007649458,23.61713053928397,2.8674326390028,25.484964633142226
3,ENTRY,ACCEPTED_OLD,PS,379,400,94.75,200,0,256,400,256,6,262,406,94,1.6641036639491358,0.31264646351337433,5.484379196166994,7.711944603919982,10.492910833358758,0.00022671037004329264,13.63548469543457,9.855167542621494,9.642508506774902,15.182302665710454,16.380715274810782,19.656769924163818,0.19975051283836365,22.23555564880371,8.191063878672358,8.584355851635337,14.531149052456026,16.15634752656333,19.34475906075211,-9.80921220779419,22.233492120867595
3,ENTRY,ACCEPTED_OLD,NS,1725,2000,86.25,200,0,345,2000,14,345,384,2040,2,10.843029594761784,10.803648471832275,15.510358715057373,16.908670043945314,19.396056804656983,0.0033462028950452805,23.666900634765625,5.225699233620893,4.874094247817993,10.443921184539796,11.903260231018066,14.63080370903015,0.0008390005677938461,18.824068069458008,5.617330361140892,5.7492013573646545,12.029319739341737,13.364495149441062,16.661095063835383,-11.707408905029297,19.84422577917576
3,RAW,CURRENT,RS,100,100,100.0,100,0,100,100,100,0,102,102,100,0.0015892918577446835,0.0010221140692010522,0.0028305860701948425,0.005278719868510961,0.012243796112015846,3.659658250398934e-05,0.012847156263887882,14.713206543922425,14.404107570648193,19.9427885055542,21.688123989105225,23.959168128967296,4.844815254211426,26.123384475708008,14.711617252064679,14.402308325341437,19.94215721524088,21.687415935183527,23.958762828361227,4.831968097947538,26.123243461057427
3,RAW,CURRENT,PS,189,200,94.5,100,0,119,200,119,3,123,204,44,1.8388690491796478,0.6469494104385376,5.853336095809936,7.90116798877716,9.057125053405754,5.900685573578812e-05,11.38851261138916,10.160197460912167,9.989343643188477,14.977431869506836,16.78084535598754,21.243119678497308,0.0731150433421135,22.647109985351562,8.32132841173252,8.727720838040113,14.228470205108168,16.332225264544824,21.222162705659276,-4.944537945091724,22.636826877482235
3,RAW,CURRENT,NS,865,1000,86.5,100,0,168,1000,6,168,198,1030,1,10.049695885837078,10.029035568237305,14.956872940063478,16.229837131500243,19.351224708557123,0.61821448802948,24.458478927612305,5.162118868891731,4.7645103931427,9.98842191696167,11.553767251968381,14.297816715240478,0.0009324969723820686,19.360641479492188,4.887577016945346,4.811184108257294,10.906611280143261,12.149417412281036,13.541660971976816,-10.604426503181458,18.38446365436539
3,RAW,ACCEPTED_OLD,RS,200,200,100.0,200,0,200,200,200,0,203,203,200,0.005980291039704753,0.0014033003244549036,0.004792061308398842,0.012243601446971258,0.05172114480286808,7.092700980138034e-05,0.5236250162124634,14.29399152994156,14.259856224060059,19.432166481018065,20.543359279632565,23.56171682357788,2.565354824066162,25.901151657104492,14.288011238901854,14.25727824063506,19.43140403188008,20.542932328664026,23.55818263725814,2.0417298078536987,25.900954504380934
3,RAW,ACCEPTED_OLD,PS,382,400,95.5,200,0,259,400,259,5,265,406,95,1.61739166661755,0.32277119159698486,5.015753793716433,7.417212200164792,10.578699855804434,0.0003215749457012862,13.942191123962402,9.879514261484147,9.672355651855469,15.217526626586913,16.5600133895874,19.426578712463375,0.24694573879241943,22.116912841796875,8.262122594866597,8.465714854188263,14.38620027189609,16.217334253445728,19.421535602977965,-9.995668172836304,22.114500692347065
3,RAW,ACCEPTED_OLD,NS,1712,2000,85.6,200,0,354,2000,16,354,394,2040,2,10.588860848533688,10.472482681274414,15.345268440246585,16.703486537933347,18.94057060241699,0.0034033493138849735,23.587440490722656,5.193002714713744,4.834136962890625,10.418370532989504,11.78227915763855,14.676857910156249,0.0010868363315239549,18.11553382873535,5.395858133819944,5.5313451290130615,11.732270538806917,13.131060528755187,16.45785600297386,-11.395968914031982,19.76822365820408
