batch,key,raw_sha,fixture_header_sha,policy_header_sha,shape,dtype,finite,frobenius
5,M4,7d01f66b4d58784a90165bf9072f5d76e5800ba1142c45f252a2358e33ae39d6,4875a09b6bd36747b01abd7df8f53b366e75a10ebc4b0bf7903073c646c02b28,98c66d231237cbb1718f316b09e91003d840f2bc1ac3f3e28c6f10e9323930a6,"[1, 14336, 14336]",torch.float32,True,325.6381651415997
5,RAW_Vp,3cdf33e475935707acfcafe0c8320cf4c7fa2fd0f519d696f040f452c3fff756,47ab264b4b9fa598f6a81d27a7966cc56ce70870595174c51990af9b2be9e63a,eb8a2b03fb279dae81e5b66f2d9721d1eb37bbf42c88d168326ef63b6dac5361,"[4096, 14336]",torch.float32,True,79.31570860094646
5,A,0454c818ca71e553a6fa41974ac55e4fd5969420e29ee63ad1e00ec916cd4aff,5e9275481ac0d1045ad8c50553470f44425278ba322fd151d1b3e382387b4902,3043b3506f259befcce99787f629ebe1b0b611625f6841c6ff9bfb4aa910309d,"[100, 14336]",torch.float32,True,3.3628562977315535
6,W4,480f90f267c6e68da7eb98edaece8bab16d39638c7329065a1359e75c9c13e6c,eea0fb0d486fedee0ae5f513437807b053fc7cf5942a435e4f7ba3ca0129b0f3,4215f7cce56705c9f716369f5096e197f3dc6a54c1837ac30f930b0ba185853a,"[4096, 14336]",torch.float32,True,79.73358474888515
6,M4,7c886e7b309d267c6f310e49230b72624840210309c009a935d9736a92981df0,161fd6beeb349d15d96d3b18d449b0974459de13c03f42bcea3a8a7e77fa1c47,9c1bcb5e73bf15b1d4a726a3efefffc0b03ee1213a7f212a0dc5c1ee50fea12e,"[1, 14336, 14336]",torch.float32,True,380.9960104193468
6,RAW_Vp,b54212c116c892280aba47c296c9034844697531b834af2be7dd3a9890a19e25,9983dab5fc71045e8a789dd426993c671a8bd5565e9f6b953a9f79292900298f,de6e56ad29182b080e404e17ad8690cc7d5f52f72be178210abbed11780c57b9,"[4096, 14336]",torch.float32,True,79.73359018211214
6,A,65d2869dc8c10709673c215e5c0f46729e20160377bb49edcb11fb360ddd22b5,74244bd00f38b88d3a83240d1e15f8c9b8057d86c53849427adeeaddbb870007,276e0a883e5c16efc4053c2e02cd2d579d132708546cdaa866283519ec7906d4,"[100, 14336]",torch.float32,True,3.4151666778262064
7,W4,9d4ec47487c4b47a1d6708b3fb5c16cf90f53a7487f76afabdcd49417d39ab57,635ee7171f998569e0405e52d100a345b916ee8c890eec015993e873c7ce955c,de1e19c084b598bd8fad70380526dd046cfa1c9f29f4445814f0fb296b06476a,"[4096, 14336]",torch.float32,True,80.15037653772274
7,M4,7a6b6f3bba748a00bc14107f9fd1964656f033c5c20481fa38d7d9f1ac475cdb,107d55826255fb2131231da936595c23f19c53d5e63fffa4c98f6384d9156b16,fe6832f43945c4c19343b8e8942605fcbad866cbb385c601f11d1600be6860c1,"[1, 14336, 14336]",torch.float32,True,433.95928846870225
7,RAW_Vp,a031bea070202f564de9896bd045535a75f12319e8d7b673edf6dadfb470e01f,877a4e2a95f4dbba01db56b806b107c442468bdb38de49ffc539bc336db411d7,1b7de2f48320c5767f880deb34f3c3e48fd5c51868ba8aeb6cddd2565b45fbc3,"[4096, 14336]",torch.float32,True,80.1503796166721
7,A,75418c54d95c5b73e9f878686d64fa3f023dba9137c5989553cce15dabf01c02,88ac97562d2e26a6992e3e7f9d02e2821d95f098348fee647843b4d2682c31e8,8627f9bbd91bec58e48a6d6c0a117c09c520de3ceeb5ba77734dd7516c54e6f2,"[100, 14336]",torch.float32,True,3.4042360208867173
8,W4,7a679e0ed5106b89d93e7bfdaa1eaab5bd0769f2c70e1a0603efed439c138520,6a9fdf8e75581153e45847e884374c869eadd861023f79b4ee88085ae2db1a33,db19264a5b3eb5eb20460beb2d4c5b6241bcbf1230c11d63d860d14ced83228e,"[4096, 14336]",torch.float32,True,80.55645568159603
8,M4,8271f5608b3f762180032dffbaccf73801db9ae88964f4ded854301ef83adeba,351c31402b2c506ef8282b4c7900fb36ce481d54d6c6e0f8d1ccfcd047e7d3b1,b8be51d0c3eec26500434a62abaea0a5710c9ae731000c1bc62984da827fd7e4,"[1, 14336, 14336]",torch.float32,True,489.0123850524781
8,RAW_Vp,b3fd94a1f50e8ff40e5825571c9f7b938f126288692dfcffb37eb9fd3c9d5fab,6c0045e01fbcd3c580c9b22841a92533b1dfeef1cee6e88632769fd86db5df45,615d8159479d7b384144580071d5df4dd65686b04663de3f217bb9700bb7d96b,"[4096, 14336]",torch.float32,True,80.55646076492147
8,A,7be8c940c566627f71d7d7738ba3439211e50e44e4d777c7d8864c45ff180b42,e23f62769587861d6f44a44b62940c98e5cd6b24311699eb302ad81314336a47,9af18ded9ad4e9f70ba2d79f1288175eda652bb5239f3fadd5ad808dc127b935,"[100, 14336]",torch.float32,True,3.428014424379185
9,W4,487a7cff070dc1036018e47a4031616946ac567a6df2cc4521d1e819324d5583,dc0f460f326a37c6d19156664183d26378d22a03d8bdb393e30227d9c30f2a23,18f54ebffcbdfcff9d7780f5a02193353c89e20c033d5b38ba6e24c5f9d80f96,"[4096, 14336]",torch.float32,True,81.0115662791661
9,M4,d6263453460a6081a11f7898803c3282b916c7f3659b34b95b81db99c36d05a2,a90a353c45affec3a6530c287c56025e62ac0f528c8eda9bbdedffabe57a61fd,a0763e0da1366877c4a8a87be9abeb7dc2f3015fd6764c6cb882ef39ee2560fa,"[1, 14336, 14336]",torch.float32,True,542.4109801399092
9,RAW_Vp,b7942d58f2421f2dc330ec2d194b402c895a15b1e37f34f5df039c2be8fd0ee7,6ac718c46a128793f229a94d1e8f767a4fac307af5fa76f9c73fb76d052578d2,e8b35e40393d8231fd44d709b1221cef2e823505054ee4d51f5a2c8cdc384819,"[4096, 14336]",torch.float32,True,81.0115725608432
9,A,f27d0487335ed930fd57f864bdeee5ba125f190a94319a1c41f8b5b20d499e21,971a59c5219148f20ad827296db24e2ba0bcd04e4ca5ef877179a51960c1f53d,389468a22ab84ddaed90b6021c8ac3eaa25ca639480e5dc2c18ea8b31262d465,"[100, 14336]",torch.float32,True,3.451848032649427
10,W4,f6a3b4b88c07906694816aea7812c8385c8ac700716e2933061eeb1a8fa5eda7,6900e47385eb50a2eca182b2e2de3ee29f4b45580d00969904a958f9f5fd3507,ebeb3e87b1cdca59b8b2011f179a4179a3218abeacaeed1c96442190d8ee6006,"[4096, 14336]",torch.float32,True,81.46013051426578
10,M4,4a5fca7a45ff6635f8adc890ed399f889225564b28396936b0a6119b9d8edb9f,9f97b1efa3968f9f9859656025726d6cf3455fb73beda95f6832a80ec9445948,bce8ec803aeb561146ce1d1907b69e6eb7eecd047db5bf4bb4bea91335c55e09,"[1, 14336, 14336]",torch.float32,True,596.2058887699453
10,RAW_Vp,f6a3b4b88c07906694816aea7812c8385c8ac700716e2933061eeb1a8fa5eda7,6900e47385eb50a2eca182b2e2de3ee29f4b45580d00969904a958f9f5fd3507,ebeb3e87b1cdca59b8b2011f179a4179a3218abeacaeed1c96442190d8ee6006,"[4096, 14336]",torch.float32,True,81.46013051426578
10,A,3d8da53b86969e8537935e989dea8f0ed0e8d3244027686c5a036e44332f1e53,ffd0118009ee9b33e6b4e08efded4a653a1b94ad0f4d39176fc2f026176578cd,35ef81dca6f2b7cd30d20889e166ef671c53df04871582c5583f049c69829fbe,"[100, 14336]",torch.float32,True,3.472962192678917
