arm,population,metric,numerator,denominator,percent,ties,desired_TF_strict,desired_token_correct,desired_token_count,new_nll_mean,new_nll_median,new_nll_p90,new_nll_p95,new_nll_p99,new_nll_min,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_p95,true_nll_p99,true_nll_min,true_nll_max,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_p95,desired_margin_p99,desired_margin_min,desired_margin_max,two_P_strict,two_P_denominator,status
N4,W5_FIRST500,PS,961,1000,96.1,0,665,679,1014,1.5900666744359842,0.3134535998106003,5.386773395538331,7.251469278335571,10.22175931930542,0.00011753345461329445,13.911211013793945,10.094619572062046,10.005599975585938,15.334390354156495,17.003572368621825,20.200980930328367,0.05957121029496193,25.35579490661621,8.504552897626061,8.32567217387259,14.824171674251557,16.88221105239354,20.20001578116673,-11.075498938560486,25.35159351117909,249,500,ALL
N4,W5_FIRST500,NS,4203,5000,84.06,0,931,1001,5070,9.86288131748801,9.769295692443848,14.670823669433597,16.117666149139406,19.18823522567751,0.001065282616764307,26.569185256958008,5.18723894902441,4.755184650421143,10.43555307388306,11.942284488677979,14.672550201416017,0.0008897398365661502,18.44101333618164,4.675642368463602,4.62642514705658,10.74526277780533,12.311340226978068,15.774606688469648,-14.202140927314758,20.19702686741948,,,ALL
N4,W5_FIRST500,RS,500,500,100.0,0,499,506,507,0.009749503969414946,0.0008038626983761787,0.003261118568480015,0.005236178776249285,0.026310287844389192,2.706014311115723e-05,1.9840627908706665,14.936943712234497,14.909090995788574,20.247166061401366,21.784959030151356,24.60810577392578,3.284268856048584,27.888229370117188,14.927194208265082,14.907467876269948,20.246639153838622,21.78295481834792,24.607485102992936,1.3002060651779175,27.887816991016734,,,ACTIVE
N4,W5_FIRST500,PS,961,1000,96.1,0,665,679,1014,1.5900666744359842,0.3134535998106003,5.386773395538331,7.251469278335571,10.22175931930542,0.00011753345461329445,13.911211013793945,10.094619572062046,10.005599975585938,15.334390354156495,17.003572368621825,20.200980930328367,0.05957121029496193,25.35579490661621,8.504552897626061,8.32567217387259,14.824171674251557,16.88221105239354,20.20001578116673,-11.075498938560486,25.35159351117909,249,500,ACTIVE
N4,W5_FIRST500,NS,4203,5000,84.06,0,931,1001,5070,9.86288131748801,9.769295692443848,14.670823669433597,16.117666149139406,19.18823522567751,0.001065282616764307,26.569185256958008,5.18723894902441,4.755184650421143,10.43555307388306,11.942284488677979,14.672550201416017,0.0008897398365661502,18.44101333618164,4.675642368463602,4.62642514705658,10.74526277780533,12.311340226978068,15.774606688469648,-14.202140927314758,20.19702686741948,,,ACTIVE
N4,W10_FIRST500,RS,500,500,100.0,0,495,502,507,0.033116099474566,0.0008953376673161983,0.004204244446009399,0.008548789611086247,0.616847867965691,2.658331868587993e-05,5.195210933685303,14.86284826374054,14.771261215209961,20.144072151184087,21.91748113632202,24.683601150512693,3.0105702877044678,28.021175384521484,14.829732164265973,14.768063059542328,20.142643102827428,21.915516753250266,24.68289701004323,0.3142108917236328,28.02077087003272,,,ALL
N4,W10_FIRST500,PS,958,1000,95.8,0,678,692,1014,1.5613621746826174,0.2963181138038635,5.2959688186645515,7.271128368377685,10.297202425003052,8.67805938469246e-05,15.115171432495117,10.12986037375033,9.98557186126709,15.504869937896729,17.07578439712524,20.54224863052368,0.06544865667819977,25.836153030395508,8.568498199067712,8.386901333928108,15.042988283719755,16.770063172234213,20.4438367223955,-10.056234359741211,25.832865165546536,260,500,ALL
N4,W10_FIRST500,NS,3981,5000,79.62,0,809,879,5070,9.252230959350868,9.229767322540283,14.188688087463383,15.632952690124513,18.129211330413835,6.723177648382261e-05,26.899677276611328,5.438837969249941,4.933400392532349,10.80459270477295,12.309862422943118,15.232023153305057,0.000660439720377326,20.738983154296875,3.8133929901009265,3.779970169067383,9.873907367512588,11.644737784564498,14.931332256495955,-18.718415739414922,19.89622402191162,,,ALL
N4,W10_LAST500,RS,499,500,99.8,0,498,506,508,0.016636658264338623,0.000818513537524268,0.003702916810289026,0.00565038716886192,0.028137808423489143,1.2159273865108844e-05,5.398934841156006,14.903468036353589,14.724240779876709,20.473789024353028,21.825797557830807,24.547365055084224,0.39114078879356384,26.840633392333984,14.88683137808925,14.72241972910706,20.473615282925312,21.825480197029535,24.54659160520401,-1.5879116356372833,26.840441483800532,,,ALL
N4,W10_LAST500,PS,976,1000,97.6,0,676,691,1016,1.4698819059442902,0.22957580536603928,5.093062448501587,6.450572276115417,10.510601139068603,0.00014172980445437133,16.51824188232422,10.310229793608189,10.115054607391357,15.5318284034729,17.065746974945068,20.64959781646728,0.2879343032836914,23.24191665649414,8.840347887663897,8.652423977851868,14.928317650360988,16.95225750391837,20.552072079954666,-7.376607656478882,23.239064948633313,253,500,ALL
N4,W10_LAST500,NS,4045,5000,80.9,0,952,992,5040,9.180742898976284,9.149672508239746,14.126609706878662,15.385087776184083,17.895042190551763,0.00041929035796783864,23.18964958190918,5.203327768740245,4.687101364135742,10.599420356750489,12.155162763595587,14.690766353607179,0.004627115558832884,19.87862205505371,3.9774151302360408,4.0097668170928955,9.975571878254414,11.536650209128862,15.103354081213489,-17.326534736785106,20.57540711760521,,,ALL
N4,POOLED_ATWRITE_NOT_SINGLE_MODEL,RS,999,1000,99.9,0,999,1014,1015,0.004063135722110928,0.0007805757049936801,0.003130049677565696,0.005301944725215434,0.0191749464161694,9.417489309271332e-06,1.9790524244308472,14.99018040022254,14.904724597930908,20.37994976043701,21.88801507949829,24.548475704193113,0.39114078879356384,28.06131935119629,14.98611726450043,14.903574958996614,20.378885476477443,21.88770123436989,24.547701403237586,-1.5879116356372833,28.06094319742988,,,ALL
N4,POOLED_ATWRITE_NOT_SINGLE_MODEL,PS,1928,2000,96.4,0,1340,1369,2030,1.546155436907713,0.2684803456068039,5.27480840682984,7.02095718383789,10.528992967605591,0.00013684290752280504,16.140460968017578,10.21565370119363,10.04135799407959,15.402651977539067,17.052234077453612,20.622774963378905,0.055540867149829865,25.702646255493164,8.669498264285918,8.586433038115501,14.993516329645356,16.9652157521341,20.60963328384794,-10.578042447566986,25.6988915449474,507,1000,ALL
N4,POOLED_ATWRITE_NOT_SINGLE_MODEL,NS,8379,10000,83.79,0,1953,2063,10110,9.795465072561234,9.731478214263916,14.683084678649902,16.1131251335144,18.826612453460697,0.00036066226311959326,26.635025024414062,5.168064144363586,4.67619776725769,10.523131179809573,12.081348371505737,14.734548978805549,0.0007858763565309346,19.87862205505371,4.6274009281976465,4.606172561645508,10.75230268239975,12.388338637351987,15.926241830587388,-17.133485620695865,20.49547240510583,,,ALL
REFIT4,W10_ALL1000,RS,999,1000,99.9,0,998,1013,1015,0.03772436284459946,0.003258813521824777,0.02236444670706988,0.03364208415150637,0.13455575346946697,1.537788011773955e-05,18.784740447998047,13.462563400268555,13.135551929473877,19.291965293884278,21.688940811157224,25.185464572906493,3.055992603302002,28.709373474121094,13.424839037423956,13.088470740578487,19.286430077045225,21.67612156887771,25.185299425968843,-0.8379993438720703,28.708381191594526,,,ALL
REFIT4,W10_ALL1000,PS,1929,2000,96.45,0,1307,1336,2030,1.6027981350719038,0.43034884333610535,4.895438098907473,6.640113425254819,10.071106843948364,4.6967357775429264e-05,16.66926383972168,9.593327729679643,9.452604293823242,14.79968557357788,16.653822898864746,20.519901485443114,0.08525654673576355,27.175376892089844,7.99052959460774,7.852157235145569,14.116933536157012,15.998054230539127,20.078599392807224,-9.121888399124146,27.17232098686509,476,1000,ALL
REFIT4,W10_ALL1000,NS,8187,10000,81.87,0,1916,2026,10110,9.409751735902605,9.355783939361572,14.257613372802735,15.646513271331784,18.311388301849373,1.3470558769768104e-05,27.600542068481445,5.241397951445997,4.7458577156066895,10.566379261016847,12.397238969802856,15.629360265731812,0.000996212475001812,23.399869918823242,4.168353784456609,4.207672595977783,10.256295800209045,11.851730561256405,15.114053597636522,-23.399025201040786,21.901264935731888,,,ALL
REFIT4,W10_ALL1000,RS,999,999,100.0,0,998,1013,1014,0.018958580977578986,0.003252575406804681,0.022304391115903856,0.033481745794415464,0.10510209605097716,1.537788011773955e-05,9.387474060058594,13.458074733898327,13.134472846984863,19.292325592041017,21.692643737792963,25.186065101623534,3.055992603302002,28.709373474121094,13.439116152920748,13.101108307222603,19.28719769255258,21.680462551512747,25.185897396006037,2.964481331408024,28.708381191594526,,,ACTIVE
REFIT4,W10_ALL1000,PS,1928,1998,96.49649649649649,0,1307,1336,2028,1.595159287000353,0.42942002415657043,4.8851972103118895,6.628164815902708,9.98754904747009,4.6967357775429264e-05,16.66926383972168,9.593516743554547,9.452604293823242,14.799687671661378,16.656937599182125,20.52182832717895,0.08525654673576355,27.175376892089844,7.998357456554193,7.8596357852220535,14.117204104736448,15.999353248486294,20.083790824929594,-9.121888399124146,27.17232098686509,476,999,ACTIVE
REFIT4,W10_ALL1000,NS,8179,9990,81.87187187187187,0,1915,2025,10100,9.411867632654275,9.356979370117188,14.258551979064942,15.649033832550046,18.315682697296168,1.3470558769768104e-05,27.600542068481445,5.241421855997573,4.750162363052368,10.564071941375733,12.397775411605835,15.629751939773563,0.000996212475001812,23.399869918823242,4.170445776656701,4.208705902099609,10.256430435180665,11.854164576530453,15.114331261776389,-23.399025201040786,21.901264935731888,,,ACTIVE
REFIT4,W10_ALL1000,RS,0,1,0.0,0,0,0,1,18.784740447998047,18.784740447998047,18.784740447998047,18.784740447998047,18.784740447998047,18.784740447998047,18.784740447998047,17.946741104125977,17.946741104125977,17.946741104125977,17.946741104125977,17.946741104125977,17.946741104125977,17.946741104125977,-0.8379993438720703,-0.8379993438720703,-0.8379993438720703,-0.8379993438720703,-0.8379993438720703,-0.8379993438720703,-0.8379993438720703,,,SUPERSEDED
