arm,batch,fit,writer_layer,readout_layer,residual_exact_Z8_minus_current_H8,Z8_norm,H8_norm,residual_norm,terminal_key_readout_solve_inclusive_seconds,input_state_hash
TD,4,terminal8-a4-0.75,8,8,True,70.298583984375,56.47104263305664,49.782958984375,24.079895574599504,bbf1938a1df774d001f0d41d9d8717aea883b561d8e352c54901ef8d7296896c
TD,4,terminal8-a4-1,8,8,True,70.298583984375,58.20780563354492,52.69561767578125,23.827557364478707,040f73a5407430361256824e3a8e58a230ad4813e764815f4b5ad7eabb3d4d53
TD,5,terminal4,4,8,True,70.77179718017578,56.88491439819336,42.66371536254883,22.872879666276276,a51f696fe78525c35b465d5709f8c92d619607029ccb88520a97c43fe7412990
TD,5,terminal8-a4-0.75,8,8,True,70.77179718017578,55.8043098449707,49.13151550292969,22.538099664263427,0a9cde684e449fad3ffd3906e1fc1ab270c792d619b167f93d4769fc5937179f
TD,5,terminal8-a4-1,8,8,True,70.77179718017578,57.118011474609375,51.9849853515625,33.5216804780066,949a0a304fe98449645126155d1fca5e4b95f3a0b7e20e7eb556f19e96359b3c
TD,6,terminal4,4,8,True,70.56044006347656,56.57239532470703,42.42939758300781,24.67947509791702,a6d9c8513246317d49c325ef39fe81662736f47326629a749cb513489649ee8f
TD,6,terminal8-a4-0.75,8,8,True,70.56044006347656,56.28114700317383,47.75303268432617,24.933919843286276,8edb0459863b125ec2c19d6f7a7afb07fe05fc8cd97dab6a52d665d6f030e4c4
TD,6,terminal8-a4-1,8,8,True,70.56044006347656,57.829837799072266,50.86235046386719,24.451929970644414,14382f0a79b71e0017af3707c418b75a48fd674611dc097ffec7ed4159e7b4e3
TD,7,terminal4,4,8,True,69.73597717285156,55.835182189941406,41.87649154663086,25.187028863467276,8df7a698d3796f4eb1386ff6f1c32b7435abf140b8579ca4d660cff18f7cb139
TD,7,terminal8-a4-0.75,8,8,True,69.73597717285156,55.90299987792969,47.214969635009766,24.150597486644983,15d0c9d8d3c3a6be562327c8b56fd99fe12f518a38b118d4f392a790e7b61a27
TD,7,terminal8-a4-1,8,8,True,69.73597717285156,57.34653091430664,50.13603973388672,24.88185623753816,b519fb290a0d633f402c5224db16dbf84346380386de0bc8fff3dfa3985e9732
TD,8,terminal4,4,8,True,69.93500518798828,56.03927230834961,42.02949142456055,25.2390577532351,474b66a0be9d8f28150952e4f8788731f90feed6bbbf414bf255496c28eefbf7
TD,8,terminal8-a4-0.75,8,8,True,69.93500518798828,56.04861831665039,47.65385818481445,24.88290071953088,ada292f2b86220f84866335293b888ad31c2bca8231c8af4215e36e4e9b9d822
TD,8,terminal8-a4-1,8,8,True,69.93500518798828,57.40116500854492,50.652347564697266,25.192440412938595,de2cd3cb838212458ed8aa177b6c56f80a4f13d950dd9aee202965b89b74e76a
TD,9,terminal4,4,8,True,70.80077362060547,56.6235237121582,42.42145538330078,24.251649194397032,f5b85821b80123d76ea7d3c2a4eff1aea18231a4f2dde2c85e6445d03bbbb0c1
TD,9,terminal8-a4-0.75,8,8,True,70.80077362060547,57.1203727722168,46.65959548950195,23.974049693904817,107c63d2d99bfe3d0163e8bcec6e4aaa7658943db3d4afa3dda0df654bd652e5
TD,9,terminal8-a4-1,8,8,True,70.80077362060547,58.66266632080078,49.62721252441406,30.22014744207263,935247472b5a5063911cf3aca776420598eea50a0c92d10f0ec6946593d95196
TD,10,terminal4,4,8,True,69.58915710449219,55.72514343261719,41.79395294189453,24.909484940581024,aef89bc8012e8e69942b23ec2c2cc8c9375ab5882139eca5962b55e7cf6f4765
TD,10,terminal8-a4-0.75,8,8,True,69.58915710449219,56.717674255371094,46.10555648803711,24.613458233885467,b035b2c133cce46f199bb71f3098459acc530a762a59d0188072f97b9ba0762b
TD,10,terminal8-a4-1,8,8,True,69.58915710449219,58.183773040771484,49.070770263671875,45.83252050448209,75e20ec9e8b264a3701d8d1f9e9212455362b7d2bb5e734a175301fb5c769f70
