arm,contrast,metric,denominator,before,after,delta_pp,lost,gained,both_success,both_failure,conditional_loss_denominator,conditional_recovery_denominator,new_nll_delta_mean,new_nll_delta_median,new_nll_delta_p90,new_nll_delta_p95,new_nll_delta_p99,new_nll_delta_min,new_nll_delta_max,true_nll_delta_mean,true_nll_delta_median,true_nll_delta_p90,true_nll_delta_p95,true_nll_delta_p99,true_nll_delta_min,true_nll_delta_max,desired_margin_delta_mean,desired_margin_delta_median,desired_margin_delta_p90,desired_margin_delta_p95,desired_margin_delta_p99,desired_margin_delta_min,desired_margin_delta_max,desired_NLL_harmed,batch,future_batches
N4,ENTRY_TO_ATWRITE,RS,100,13,100,87.0,0,87,13,0,13,87,-9.8539933959645,-10.085574075870682,-5.125792926338906,-3.3197977539850423,-2.420497680246771,-21.35680668381974,-2.272289877058938,10.411561579192057,10.895735383033752,16.21640299186111,17.458699274063108,22.440384373664862,-5.650676727294922,23.46278953552246,20.265554975156554,20.05046939913882,28.433364476835422,30.76717530156602,35.10279693727123,7.3984574638307095,41.38134268281283,0,4,
N4,ATWRITE_TO_W10,RS,100,100,100,0.0,0,0,100,0,100,0,0.0060721155207284026,1.781360333552584e-05,0.0006634834455326201,0.001268863066798076,0.008054963112811842,-0.0026284707710146904,0.6036642235703766,-0.04720460891723633,0.05350160598754883,0.7429708480834963,1.3062553405761717,2.0151036262512214,-9.097224235534668,2.1444787979125977,-0.05327672443796473,0.05350672689382918,0.743087784847012,1.3070497433771378,2.0166500943979924,-9.700888459105045,2.1445874988494324,58,4,6
N4,ENTRY_TO_ATWRITE,PS,200,32,196,82.0,0,164,32,4,32,168,-7.754714404366314,-7.674312123679556,-3.2778957347822146,-2.2614099415019164,-0.7623328391835124,-17.860552698373795,-0.387725830078125,6.199313644516515,5.874589174985886,12.25974161028862,13.884601759910579,16.39573436260221,-7.039542198181152,22.651838302612305,13.954028048882828,13.837947474967223,21.627169592049903,24.59125914541073,31.734663975827857,0.24097537994384766,34.73365053650923,0,4,
N4,ATWRITE_TO_W10,PS,200,196,195,-0.5,1,0,195,4,196,4,-0.04903964615354198,-0.001286316430196166,0.10208544135093675,0.2274394989013671,0.6591453456878653,-1.548548698425293,0.8117008209228516,-0.006387751698493958,-0.01987171173095703,0.8665571212768555,1.139476943016052,2.7696625566482513,-3.81076717376709,3.968386650085449,0.04265189445504802,0.011849649250507355,0.9767873364151455,1.3816014683281532,3.131751704141492,-3.9341646432876587,3.966482814401388,84,4,6
N4,ENTRY_TO_ATWRITE,NS,1000,843,811,-3.2,34,2,809,155,843,157,-0.3990472615065519,-0.1568317413330078,0.23719744682312013,0.4001268386840816,1.095843911170959,-16.24606840312481,15.101085662841797,0.13919133321836125,-0.0010691843926906586,0.5121534883975983,1.2452538490295393,5.016155509948729,-4.758941888809204,12.434723258018494,-0.5382385947249131,-0.15629368647933006,0.32685554623603824,0.5073986053466796,1.4322401762008663,-25.39268526667729,7.716611862182617,496,4,
N4,ATWRITE_TO_W10,NS,1000,811,750,-6.1,77,16,734,173,811,189,-0.7795235654403732,-0.4656970500946045,0.6730802536010745,1.147834801673889,2.495987195968626,-12.085909843444824,10.320858478546143,0.3538151267613284,0.02386895939707756,1.8865852594375614,3.4472526788711475,7.886250805258749,-6.003451824188232,14.415534853935242,-1.1333386922017017,-0.47992175817489624,0.7729397773742677,1.2907958745956398,2.835016155242919,-24.759670272935182,5.831501483917236,526,4,6
N4,ENTRY_TO_ATWRITE,RS,100,8,100,92.0,0,92,8,0,8,92,-10.090506839451555,-9.952049899264239,-6.6094971541548135,-5.349969114566921,-1.5603469224574589,-19.21183695626678,-0.28431737790378975,10.534350958587602,10.53275116533041,15.790069293975831,16.86515575647354,20.733872643113138,-0.3076009750366211,21.147988200187683,20.624857798039155,20.535252878340543,27.560353218892125,27.737622106260094,32.30678571650995,10.492615028400905,39.6533171160263,0,5,
N4,ATWRITE_TO_W10,RS,100,100,100,0.0,0,0,100,0,100,0,0.00018258714357216377,-5.004869308322668e-06,0.0006925097317434864,0.0012804497964680186,0.013996795751154423,-0.01717842649668455,0.014052070211619139,0.02457371711730957,0.040083885192871094,0.7137779235839845,0.9280593395233153,1.4891182518005384,-2.7600040435791016,1.734750747680664,0.024391129973737408,0.040541740469052456,0.7138704085256905,0.9286696522627608,1.4892389502070742,-2.7740002810023725,1.7519291741773486,48,5,5
N4,ENTRY_TO_ATWRITE,PS,200,28,193,82.5,0,165,28,7,28,172,-7.667879726660467,-7.523487150669098,-3.4532003879547144,-1.8019521236419702,-0.4691962051391622,-15.367236256599426,0.6331591606140137,5.121362057458609,4.828822612762451,11.599068461917339,12.809176746010777,15.4968126630783,-5.693942546844482,18.148444771766663,12.789241784119076,12.556339621543884,21.335789958480746,22.76113463006913,26.147300683901552,0.013239860534667969,27.023099803132936,1,5,
N4,ATWRITE_TO_W10,PS,200,193,193,0.0,1,1,192,6,193,7,0.025638654161593877,-0.00032983627170324326,0.2206980943679806,0.4872006893157958,1.2801531338691616,-1.5968051552772522,14.817645937204361,0.1178286013007164,0.05098068714141846,0.8061088562011716,1.2335603952407836,1.9729743099212596,-1.193603515625,5.884303092956543,0.09218994713912253,0.06008571127313189,0.8315034656785426,1.2930886641144748,2.3974481087923047,-8.933342844247818,2.5266806482395623,96,5,5
N4,ENTRY_TO_ATWRITE,NS,1000,866,859,-0.7000000000000001,9,2,857,132,866,134,-0.42501039637625215,-0.18578290939331055,0.1838896751403809,0.32430891990661564,0.9017762947082512,-11.561120748519897,2.5837860107421875,0.03621979574894067,-0.008376359939575195,0.3924729943275452,0.7265408515930171,1.9600090718269334,-2.3437247276306152,9.141571521759033,-0.46123019212519284,-0.17795610427856445,0.22303839921951302,0.38563336506485935,1.0369806620478628,-12.248441815376282,2.2089803218841553,465,5,
N4,ATWRITE_TO_W10,NS,1000,859,804,-5.5,60,5,799,136,859,141,-0.5569512670040131,-0.3686981201171875,0.7836641073226931,1.4453273773193338,3.2083369684219356,-9.781939506530762,8.668038368225098,0.2824562729216414,0.0013997554779052734,1.5447626590728765,2.7844945192337027,7.829420449137686,-4.201963424682617,12.8095942735672,-0.8394075399256544,-0.3643952012062073,0.8855244100093842,1.3092438220977782,2.6049614847078906,-18.75515277683735,6.451470255851746,502,5,5
N4,ENTRY_TO_ATWRITE,RS,100,12,100,88.0,0,88,12,0,12,88,-10.390391770106653,-10.446020537885488,-5.473014348107243,-5.039133694463818,-1.866907561907425,-19.867148557445034,-1.2236141720204614,10.292931872978807,10.152645230293274,15.749002385139468,17.27275012731552,19.390882849544298,-2.662313461303711,21.68028663098812,20.68332364308546,20.40280647567124,27.20455303230265,29.35116532155516,33.359854675383836,1.4419069474097341,35.05370683615911,0,6,
N4,ATWRITE_TO_W10,RS,100,100,100,0.0,0,0,100,0,100,0,0.0006859002120472723,3.2117299269884825e-05,0.0008864062139764435,0.0013936989795183753,0.006184258200228431,-0.0007802690379321575,0.04803220462054014,-0.16804194450378418,-0.07416152954101562,0.2984804153442385,0.43166079521179196,0.7638849163055423,-2.669994831085205,0.8257627487182617,-0.16872784471583147,-0.07438237953465432,0.2985131746536356,0.43177870475119556,0.7639140737120764,-2.718027035705745,0.8265430177561939,60,6,4
N4,ENTRY_TO_ATWRITE,PS,200,29,192,81.5,0,163,29,8,29,171,-8.1132473828824,-8.119819343090057,-3.6766668319702154,-2.4533666610717897,-0.18954485893250161,-18.275176614522934,0.7612242698669434,5.126135134305805,4.856719948351383,10.524412822723388,12.963658213615416,15.38240625858307,-5.010772228240967,16.680260181427002,13.239382517188206,13.160603046417236,21.16829673461616,23.493723654327912,27.155335947810652,0.044121742248535156,31.53396126627922,2,6,
N4,ATWRITE_TO_W10,PS,200,192,194,1.0,1,3,191,5,192,8,0.0004665987819316797,7.3016039095819e-05,0.22198722362518306,0.34790556430816544,1.2687068128585792,-1.1359667778015137,2.6474082469940186,-0.04711368441581726,-0.057511329650878906,0.5221956729888916,0.9437624454498289,1.5039075279235838,-2.308907985687256,1.6584453582763672,-0.04758028319774894,-0.03443828225135803,0.5734354982152581,0.9409244022099298,1.5340790083282616,-3.5751075744628906,1.8607251644134521,101,6,4
N4,ENTRY_TO_ATWRITE,NS,1000,821,806,-1.5,21,6,800,173,821,179,-0.3261258163731545,-0.14162540435791016,0.23705673217773449,0.42015883922576835,1.0691267871856684,-7.7997283935546875,3.7487592697143555,0.04135803543310612,-0.004598557949066162,0.43650012016296397,0.6946999967098229,2.066632905006408,-2.030533790588379,8.779524326324463,-0.36748385180626064,-0.13515043258666992,0.33180426955223086,0.5986683130264282,0.9499464178085325,-14.518713284283876,1.7345463335514069,478,6,
N4,ATWRITE_TO_W10,NS,1000,806,781,-2.5,41,16,765,178,806,194,-0.3739227262060158,-0.23634862899780273,0.6811136245727539,1.0036712169647215,2.24486848115921,-12.960693597793579,8.198722839355469,0.1394969780095853,-0.0260469913482666,1.1512359619140626,2.0619236588478085,5.635958612561223,-3.606079578399658,10.994132995605469,-0.5134197042156011,-0.19005227088928223,0.7697517395019532,1.156460320949554,1.966333785057067,-17.999579512048513,3.232933759689331,459,6,4
N4,ENTRY_TO_ATWRITE,RS,100,9,100,91.0,0,91,9,0,9,91,-9.736451124792884,-9.662965310402797,-4.591800195362884,-3.289524364991715,-1.7442474574749915,-17.941238759434782,-1.285476869001286,10.88892675442272,10.780931949615479,16.70701786205173,18.127966797351835,21.50428991556169,-7.3970232009887695,23.912742614746094,20.625377879215602,20.37189799643238,29.2527135629789,32.08480275406,36.073762510985254,7.9830982349812984,36.33013681322336,0,7,
N4,ATWRITE_TO_W10,RS,100,100,100,0.0,0,0,100,0,100,0,0.0001385255551576847,3.811248461715877e-06,0.0004062393214553605,0.001894835673738271,0.0056166689656674965,-0.004720107186585665,0.007607137784361839,-0.0631188678741455,-0.011219501495361328,0.3790091514587404,0.5251989364624021,0.8966474199295074,-1.8568992614746094,1.4773831367492676,-0.0632573934293032,-0.011269791466474999,0.3790584499860417,0.5252195227367336,0.8968423220297003,-1.8592373302672058,1.4821032439358532,54,7,3
N4,ENTRY_TO_ATWRITE,PS,200,25,195,85.0,0,170,25,5,25,175,-7.646842176562277,-7.6661266356823035,-2.7113282516598702,-1.3371101327240544,1.0703142261505036,-21.542928864364512,3.4186649322509766,5.985662342286669,5.839449524879456,12.21114456653595,13.60480963289737,17.71843914035707,-5.690290689468384,20.206526219844818,13.632504518848945,13.169997008051723,21.758146770857273,24.505612241127526,34.97535837557702,1.3318493366241455,39.25262281403411,6,7,
N4,ATWRITE_TO_W10,PS,200,195,196,0.5,0,1,195,4,195,5,-0.03891424245106464,-0.000354886899003759,0.07884731255471707,0.19053158462047576,0.8021465826034481,-1.2686939239501953,1.7017340660095215,-0.06610958337783814,-0.025516510009765625,0.3945578575134275,0.7457137346267697,1.346351714134216,-3.0983505249023438,1.6357994079589844,-0.027195340926773497,-0.014693133533000946,0.5363026332110167,1.140979558939579,1.5692158403602656,-4.800084590911865,1.9582414627075195,94,7,3
N4,ENTRY_TO_ATWRITE,NS,1000,868,848,-2.0,24,4,844,128,868,132,-0.35716445101052524,-0.18588614463806152,0.21373634338378922,0.36651487350463857,1.0446589469909657,-11.186057448387146,12.67495059967041,0.11343198052095249,0.002220515161752701,0.5291771888732912,1.0902360439300534,3.2268758279085117,-2.954413414001465,14.97044062614441,-0.47059643153147773,-0.1927652359008789,0.25265455245971696,0.46725213527679377,1.1837499098107211,-11.396918967366219,5.881558418273926,513,7,
N4,ATWRITE_TO_W10,NS,1000,848,833,-1.5,30,15,818,137,848,152,-0.2172032287369948,-0.17902088165283203,0.6487136840820313,1.1998807668685911,3.9736127567291235,-8.774155460996553,9.312010765075684,0.17689089906355365,-0.0022634267807006836,0.7536323308944702,1.6640785694122302,7.412760072052477,-5.105724573135376,12.327788120135665,-0.3940941278005484,-0.1794147491455078,0.7177252292633057,1.1371467590332016,2.451679999455809,-20.049746834440157,4.85982871055603,493,7,3
