arm,batch,state,metric,numerator,denominator,percent,ties,desired_TF_strict,desired_token_correct,desired_token_count,new_nll_mean,new_nll_median,new_nll_p90,new_nll_p95,new_nll_p99,new_nll_min,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_p95,true_nll_p99,true_nll_min,true_nll_max,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_p95,desired_margin_p99,desired_margin_min,desired_margin_max,two_P_strict,two_P_denominator
L75,2,selected,NS,868,1000,86.8,0,187,197,1010,10.855401649594308,10.757164001464844,15.531502437591552,16.73694200515747,18.82658996582031,0.5838487148284912,22.345272064208984,4.97544094378769,4.404076814651489,10.3435866355896,11.938154458999632,15.007695770263668,0.001069212332367897,22.182085037231445,5.879960705806617,6.406346619129181,12.11814139559865,13.28293741941452,16.56785892277956,-13.552835285663605,18.792573273181915,,
L75,2,selected,PS,191,200,95.5,0,127,131,204,1.8604921359807485,0.34805093705654144,6.518035650253295,7.847284913063042,12.603359193801879,0.0002644904307089746,14.539463996887207,9.739136043041945,9.571964740753174,15.350615406036376,16.969722080230714,19.6861507987976,0.032314032316207886,22.318761825561523,7.878643907061196,7.836246046004817,14.820641243457793,16.321856030810157,19.54021197629102,-10.841757088899612,22.318497335130814,49,100
L75,2,selected,RS,100,100,100.0,0,100,102,102,0.008019268992538854,0.002289591124281287,0.01911832392215732,0.031861008144915104,0.0698333917558196,2.5987286790041253e-05,0.12332334369421005,14.056867442131043,13.64403772354126,21.06086139678955,22.616039943695068,27.050317039489766,3.8246984481811523,31.178770065307617,14.048848173138504,13.639999488543253,21.060675582499243,22.61498397411196,27.05021056983764,3.7554053589701653,31.178744078020827,,
L75,3,entry,NS,885,1000,88.5,0,161,191,1030,10.713670440554619,10.72242021560669,15.514031314849854,17.077143383026122,21.402339630126953,0.9515511989593506,25.498741149902344,5.219504445964179,4.800328254699707,10.224168968200685,11.81171927452087,14.209851808547972,0.0005633435794152319,19.850553512573242,5.494165994590439,5.443977236747742,11.62242021560669,12.914697362482547,14.753255960941313,-7.807452440261841,19.600223668501712,,
L75,3,entry,PS,20,200,10.0,0,2,6,204,10.359788776487113,10.447408199310303,14.307286834716797,15.733964729309076,18.143659782409664,0.33918115496635437,18.861557006835938,4.953318370489869,4.581676006317139,9.468449878692626,10.689887142181396,13.92511640548704,0.004167087841778994,17.733196258544922,-5.406470405997243,-5.26592481136322,-0.0327099800109868,1.4879367351531954,3.93497412681578,-15.608677066862583,6.485050201416016,0,100
L75,3,entry,RS,10,100,10.0,0,1,3,102,10.499943822605855,10.642572402954102,15.385818672180177,16.147559547424315,18.946812610626225,5.7338023907504976e-05,19.969783782958984,4.6438857252403976,4.374515533447266,9.05357599258423,10.88558177947998,16.732121849060086,0.0003364712174516171,21.957489013671875,-5.856058097365458,-5.853683710098267,-0.7953985214233309,0.9501805782318099,3.7408892905877504,-16.751850485801697,21.957431675647967,,
L75,3,selected,NS,869,1000,86.9,0,164,194,1030,10.300114269256591,10.326542377471924,15.183295154571534,16.72375440597534,20.80474514007568,0.5716887712478638,25.306371688842773,5.202953390850802,4.7877197265625,10.119155979156496,11.728396558761595,14.37742588043213,0.0005933669744990766,19.985092163085938,5.09716087840579,5.046675205230713,11.13622948229313,12.496267826110124,14.598486388325691,-9.297245740890503,19.590741097927094,,
L75,3,selected,PS,186,200,93.0,0,117,121,204,2.1489378986309746,0.6593132019042969,6.144132423400879,7.616196441650385,10.284939451217634,0.0001629458274692297,14.245990753173828,9.650470275990665,9.602707386016846,14.942739868164063,16.361040019989012,21.60769481658934,0.036108486354351044,24.015989303588867,7.50153237735969,7.15194433927536,13.850890199095009,15.494370441418127,21.596375580625594,-5.92106169462204,24.008412409108132,41,100
L75,3,selected,RS,100,100,100.0,0,100,102,102,0.006105132246138964,0.002441400079987943,0.017526591755449773,0.022544681094586842,0.05749463260173804,2.8490614567999728e-05,0.06893932074308395,13.814618940353393,13.509975910186768,19.82362461090089,21.905109500885008,26.33037178039551,4.1975579261779785,26.40532875061035,13.808513808107255,13.507676826266106,19.82328930756486,21.90433296558767,26.3301874379523,4.178114062175155,26.40529167720888,,
L75,4,entry,NS,845,1000,84.5,0,210,210,1000,10.402776198409498,10.341753005981445,15.202683258056641,17.538124561309814,21.62301912307739,0.1094018742442131,24.40827178955078,5.4086005175814496,4.93567156791687,10.840194702148438,12.296205568313598,17.586603507995605,0.002781096613034606,20.595691680908203,4.9941756808280475,4.650599241256714,11.609485432505608,13.499163363873954,17.234295399188994,-9.341176986694336,20.4452011436224,,
L75,4,entry,PS,30,200,15.0,0,0,2,202,9.292539734840393,9.337522983551025,14.160877037048339,15.359572172164917,18.133213958740235,1.741809606552124,18.49005889892578,4.512377407802269,4.125530958175659,8.777575492858885,11.552671194076531,12.581714191436758,0.0021250303834676743,16.626405715942383,-4.780162327038124,-4.845572590827942,0.8828746795654294,2.8657109856605483,5.549774909019442,-17.511325478553772,9.305394887924194,0,100
L75,4,entry,RS,12,100,12.0,0,1,2,101,10.174503655433655,9.892472267150879,15.258281707763674,17.725743961334228,18.716912269592303,2.432494878768921,22.097774505615234,4.759332406788016,4.29060435295105,10.593027496337891,11.670119333267213,14.281213321685795,0.0006441186997108161,15.08387565612793,-5.415171248645638,-5.288307279348373,0.906854629516606,3.136128866672516,4.659127709865586,-18.276748326141387,7.74310564994812,,
L75,4,selected,NS,828,1000,82.8,0,197,197,1000,10.06730979117022,10.114062309265137,14.913080501556397,17.183286952972413,21.831993179321287,0.00015793983766343445,29.46967124938965,5.523822648416506,5.0366387367248535,11.005137348175051,12.642757606506347,17.833700103759757,0.002931704046204686,25.403919219970703,4.5434871427537145,4.347372889518738,11.005369794368745,12.773947493825107,16.73519841313362,-25.403761041758116,20.01160042732954,,
L75,4,selected,PS,194,200,97.0,0,148,150,202,1.3920088880388357,0.23921307921409607,4.298186922073365,7.076977920532223,10.365999259948719,0.0003289635351393372,11.78304672241211,10.432896101400257,10.15531587600708,17.09650955200195,19.668126106262207,22.189877834320033,0.0697314590215683,26.045759201049805,9.04088721336142,8.51283673197031,17.04636060850462,19.6498981264187,22.173592074192094,-4.898750185966492,26.04369008168578,57,100
L75,4,selected,RS,100,100,100.0,0,100,101,101,0.005204153845152177,0.002646695706062019,0.013848536554723994,0.021537227928638453,0.03168105676770211,4.708655978902243e-05,0.0324990339577198,14.299191403388978,14.395692348480225,19.669707298278812,21.315405273437495,24.42541505813599,5.56704044342041,25.1542911529541,14.293987249543825,14.39304566080682,19.669626859152054,21.314734035644502,24.419728474940097,5.544255277141929,25.154244066394313,,
L75,5,entry,NS,869,1000,86.9,0,245,245,1000,10.3436042278409,9.986049175262451,15.351575374603271,16.746120357513423,19.424030323028564,0.4769783616065979,21.654850006103516,4.8398484273090725,4.1465253829956055,10.447723770141604,11.932731771469115,15.71211227416992,0.0012176964664831758,19.691679000854492,5.5037558005318274,5.626074314117432,11.510768282413483,12.899039776623244,15.415058583393693,-8.370939493179321,19.733712077140808,,
L75,5,entry,PS,24,200,12.0,0,0,2,202,9.653593604564668,9.457624912261963,13.769863986968993,15.003479814529419,17.09836177825927,2.0870347023010254,18.05989646911621,4.491102511882782,3.8351856470108032,9.656007480621335,11.26438941955566,13.96772437095642,0.011391007341444492,14.837042808532715,-5.1624910926818846,-5.366892695426941,0.2127155303955076,1.2718047618865957,4.632747287750241,-18.003985449671745,6.202937126159668,0,100
