candidate_id,feasible,reasons,arm,batch,screen
N4,True,,TD,6,DYNAMIC
T0.75-0.5,False,PAST_MEAN,TD,6,DYNAMIC
T0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS;PAST_MEAN,TD,6,DYNAMIC
T0.75-1,False,PAST_MEAN;PAST_STRICT_IDS,TD,6,DYNAMIC
T1-0.5,False,PAST_MEAN,TD,6,DYNAMIC
T1-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS;PAST_MEAN,TD,6,DYNAMIC
T1-1,False,PAST_MEAN;PAST_STRICT_IDS,TD,6,DYNAMIC
N4,True,,TD,7,DYNAMIC
T0.75-0.5,False,CURRENT_MEAN,TD,7,DYNAMIC
T0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,TD,7,DYNAMIC
T0.75-1,True,,TD,7,DYNAMIC
T1-0.5,True,,TD,7,DYNAMIC
T1-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS,TD,7,DYNAMIC
T1-1,True,,TD,7,DYNAMIC
N4,True,,TD,8,DYNAMIC
T0.75-0.5,False,CURRENT_MEAN;CURRENT_STRICT_IDS;PAST_MEAN,TD,8,DYNAMIC
T0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS;PAST_MEAN,TD,8,DYNAMIC
T0.75-1,False,PAST_MEAN,TD,8,DYNAMIC
T1-0.5,False,CURRENT_STRICT_IDS;PAST_MEAN,TD,8,DYNAMIC
T1-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS;PAST_MEAN,TD,8,DYNAMIC
T1-1,False,PAST_MEAN,TD,8,DYNAMIC
N4,True,,TD,9,DYNAMIC
T0.75-0.5,False,PAST_MEAN,TD,9,DYNAMIC
T0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS;PAST_MEAN,TD,9,DYNAMIC
T0.75-1,False,PAST_MEAN,TD,9,DYNAMIC
T1-0.5,False,PAST_MEAN,TD,9,DYNAMIC
T1-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS;PAST_MEAN,TD,9,DYNAMIC
T1-1,False,PAST_MEAN,TD,9,DYNAMIC
N4,True,,TD,10,DYNAMIC
T0.75-0.5,False,CURRENT_MEAN;PAST_MEAN,TD,10,DYNAMIC
T0.75-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS;PAST_MEAN,TD,10,DYNAMIC
T0.75-1,False,PAST_MEAN,TD,10,DYNAMIC
T1-0.5,False,PAST_MEAN,TD,10,DYNAMIC
T1-0,False,CURRENT_MEAN;CURRENT_STRICT_IDS;PAST_MEAN,TD,10,DYNAMIC
T1-1,False,PAST_MEAN,TD,10,DYNAMIC
