arm,batch,candidate,status,action_norm_cpu,action_norm_stored,action_norm_abs_diff
T75,7,T0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,22.139929869496097,22.139929869496097,0.0
T75,8,T0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,22.91844174667307,22.91844174667307,0.0
T75,9,T0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,23.375509244062602,23.375509244062602,0.0
T75,10,T0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,23.371786548750606,23.371786548750606,0.0
L4D,1,N4,SELECTED_CP_HASH_VERIFIED; ALL_CANDIDATE_W0_RECONSTRUCTION_NOT_TESTED,,,
L4D,2,N4,CPU_EXACT_STORED_WEIGHT_HASH,7.71136987798354,7.71136987798354,0.0
L4D,2,L0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,5.783527408650132,5.783527408650132,0.0
L4D,3,N4,CPU_EXACT_STORED_WEIGHT_HASH,7.8385920077260876,7.8385920077260876,0.0
L4D,3,L0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,5.878944005820726,5.878944005820725,8.881784197001252e-16
L4D,4,N4,CPU_EXACT_STORED_WEIGHT_HASH,7.8014973235883645,7.8014973235883645,0.0
L4D,4,L0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,5.851122993048884,5.851122993048884,0.0
L4D,5,N4,CPU_EXACT_STORED_WEIGHT_HASH,7.824510436564866,7.824510436564866,0.0
L4D,5,L0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,5.868382827260224,5.868382827260223,8.881784197001252e-16
L4D,6,N4,CPU_EXACT_STORED_WEIGHT_HASH,8.213161757253289,8.213161757253289,0.0
L4D,6,L0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,6.159871318007871,6.159871318007871,0.0
L4D,7,N4,CPU_EXACT_STORED_WEIGHT_HASH,8.211082227704994,8.211082227704994,0.0
L4D,7,L0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,6.158311670266014,6.158311670266014,0.0
L4D,8,N4,CPU_EXACT_STORED_WEIGHT_HASH,8.135063794196299,8.135063794196299,0.0
L4D,8,L0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,6.10129784559198,6.101297845591979,8.881784197001252e-16
L4D,9,N4,CPU_EXACT_STORED_WEIGHT_HASH,8.604485628695697,8.604485628695699,1.7763568394002505e-15
L4D,9,L0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,6.453364221590852,6.453364221590852,0.0
L4D,10,N4,CPU_EXACT_STORED_WEIGHT_HASH,8.584048256682115,8.584048256682113,1.7763568394002505e-15
L4D,10,L0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,6.438036192714315,6.438036192714314,8.881784197001252e-16
LD,1,L0.75-0.5,SELECTED_CP_HASH_VERIFIED; ALL_CANDIDATE_W0_RECONSTRUCTION_NOT_TESTED,,,
LD,2,N4,CPU_EXACT_STORED_WEIGHT_HASH,7.666121511864613,7.666121511864614,8.881784197001252e-16
LD,2,L0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,5.749591133848565,5.749591133848565,0.0
LD,2,L0.75-0.5,CPU_EXACT_STORED_WEIGHT_HASH,6.444177763772718,6.444177763772718,0.0
LD,2,L0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,8.181461580265415,8.181461580265415,0.0
LD,2,L1-0.5,CPU_EXACT_STORED_WEIGHT_HASH,7.7829412256507124,7.782941225650713,8.881784197001252e-16
LD,2,L1-1,CPU_EXACT_STORED_WEIGHT_HASH,8.123326866771041,8.123326866771043,1.7763568394002505e-15
LD,3,N4,CPU_EXACT_STORED_WEIGHT_HASH,7.679774406482252,7.679774406482252,0.0
LD,3,L0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,5.759830804987021,5.759830804987022,8.881784197001252e-16
LD,3,L0.75-0.5,CPU_EXACT_STORED_WEIGHT_HASH,6.4708366538815545,6.470836653881555,8.881784197001252e-16
LD,3,L0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,8.243782826080222,8.243782826080222,0.0
LD,3,L1-0.5,CPU_EXACT_STORED_WEIGHT_HASH,7.709178777839327,7.709178777839327,0.0
LD,3,L1-1,CPU_EXACT_STORED_WEIGHT_HASH,7.796726550868835,7.796726550868835,0.0
LD,4,N4,CPU_EXACT_STORED_WEIGHT_HASH,7.709165326579581,7.709165326579581,0.0
LD,4,L0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,5.7818739951297,5.7818739951297005,8.881784197001252e-16
LD,4,L0.75-0.5,CPU_EXACT_STORED_WEIGHT_HASH,6.264176440931724,6.264176440931724,0.0
LD,4,L0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,7.527909752398293,7.527909752398294,8.881784197001252e-16
LD,4,L1-0.5,CPU_EXACT_STORED_WEIGHT_HASH,7.761885972033595,7.761885972033595,0.0
LD,4,L1-1,CPU_EXACT_STORED_WEIGHT_HASH,7.91794198465232,7.91794198465232,0.0
LD,5,N4,CPU_EXACT_STORED_WEIGHT_HASH,7.720750915984177,7.720750915984177,0.0
LD,5,L0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,5.790563186941207,5.790563186941207,0.0
LD,5,L0.75-0.5,CPU_EXACT_STORED_WEIGHT_HASH,6.197231192429311,6.197231192429311,0.0
LD,5,L0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,7.282227113949219,7.282227113949219,0.0
LD,5,L1-0.5,CPU_EXACT_STORED_WEIGHT_HASH,7.785012706559126,7.785012706559126,0.0
LD,5,L1-1,CPU_EXACT_STORED_WEIGHT_HASH,7.974691670806357,7.974691670806357,0.0
LD,6,N4,CPU_EXACT_STORED_WEIGHT_HASH,8.078379498221029,8.078379498221029,0.0
LD,6,L0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,6.058784623351708,6.058784623351707,8.881784197001252e-16
LD,6,L0.75-0.5,CPU_EXACT_STORED_WEIGHT_HASH,6.464220281996663,6.464220281996663,0.0
LD,6,L0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,7.551023909179313,7.551023909179312,8.881784197001252e-16
LD,6,L1-0.5,CPU_EXACT_STORED_WEIGHT_HASH,8.078379498262075,8.078379498262075,0.0
LD,6,L1-1,CPU_EXACT_STORED_WEIGHT_HASH,8.078379498383782,8.078379498383782,0.0
LD,7,N4,CPU_EXACT_STORED_WEIGHT_HASH,8.06259590207099,8.06259590207099,0.0
LD,7,L0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,6.046946926512481,6.046946926512481,0.0
LD,7,L0.75-0.5,CPU_EXACT_STORED_WEIGHT_HASH,6.634037407899623,6.634037407899623,0.0
LD,7,L0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,8.145250635784128,8.145250635784128,0.0
LD,7,L1-0.5,CPU_EXACT_STORED_WEIGHT_HASH,8.131747119217378,8.131747119217378,0.0
LD,7,L1-1,CPU_EXACT_STORED_WEIGHT_HASH,8.335759521893888,8.335759521893888,0.0
LD,8,N4,CPU_EXACT_STORED_WEIGHT_HASH,7.959710203329487,7.959710203329487,0.0
LD,8,L0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,5.969782652856918,5.969782652856918,0.0
LD,8,L0.75-0.5,CPU_EXACT_STORED_WEIGHT_HASH,6.444894840709889,6.44489484070989,8.881784197001252e-16
LD,8,L0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,7.6962174641084165,7.6962174641084165,0.0
LD,8,L1-0.5,CPU_EXACT_STORED_WEIGHT_HASH,7.95971020337437,7.95971020337437,0.0
LD,8,L1-1,CPU_EXACT_STORED_WEIGHT_HASH,7.959710203507553,7.959710203507553,0.0
LD,9,N4,CPU_EXACT_STORED_WEIGHT_HASH,8.414944819667177,8.414944819667177,0.0
LD,9,L0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,6.31120861455831,6.311208614558309,8.881784197001252e-16
LD,9,L0.75-0.5,CPU_EXACT_STORED_WEIGHT_HASH,6.708209084229622,6.70820908422962,1.7763568394002505e-15
LD,9,L0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,7.77857402996896,7.778574029968959,8.881784197001252e-16
LD,9,L1-0.5,CPU_EXACT_STORED_WEIGHT_HASH,8.448592441343516,8.448592441343516,0.0
LD,9,L1-1,CPU_EXACT_STORED_WEIGHT_HASH,8.548740726171939,8.548740726171939,0.0
LD,10,N4,CPU_EXACT_STORED_WEIGHT_HASH,8.349877972507494,8.349877972507493,1.7763568394002505e-15
LD,10,L0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,6.262408479181661,6.262408479181661,0.0
LD,10,L0.75-0.5,CPU_EXACT_STORED_WEIGHT_HASH,6.918626675414777,6.918626675414777,0.0
LD,10,L0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,8.591641310724215,8.591641310724215,0.0
LD,10,L1-0.5,CPU_EXACT_STORED_WEIGHT_HASH,8.519325799809263,8.519325799809263,0.0
LD,10,L1-1,CPU_EXACT_STORED_WEIGHT_HASH,9.008566027384806,9.008566027384806,0.0
TD,1,N4,SELECTED_CP_HASH_VERIFIED; ALL_CANDIDATE_W0_RECONSTRUCTION_NOT_TESTED,,,
TD,2,N4,CPU_EXACT_STORED_WEIGHT_HASH,7.71136987798354,7.71136987798354,0.0
TD,2,T0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,10.893824227102906,10.893824227102906,0.0
TD,2,T0.75-0.5,CPU_EXACT_STORED_WEIGHT_HASH,13.164708515905945,13.164708515905945,0.0
TD,2,T0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,18.363332550292935,18.363332550292935,0.0
TD,2,T1-0,CPU_EXACT_STORED_WEIGHT_HASH,14.525098968458027,14.525098968458027,0.0
TD,2,T1-0.5,CPU_EXACT_STORED_WEIGHT_HASH,16.50189217500877,16.50189217500877,0.0
TD,2,T1-1,CPU_EXACT_STORED_WEIGHT_HASH,21.361514021984448,21.361514021984448,0.0
TD,3,N4,CPU_EXACT_STORED_WEIGHT_HASH,7.8385920077260876,7.8385920077260876,0.0
TD,3,T0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,10.828684588379923,10.828684588379923,0.0
TD,3,T0.75-0.5,CPU_EXACT_STORED_WEIGHT_HASH,13.059084648204239,13.059084648204239,0.0
TD,3,T0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,18.176290535569727,18.176290535569727,0.0
TD,3,T1-0,CPU_EXACT_STORED_WEIGHT_HASH,14.438246118664026,14.438246118664026,0.0
TD,3,T1-0.5,CPU_EXACT_STORED_WEIGHT_HASH,16.36491775057012,16.36491775057012,0.0
TD,3,T1-1,CPU_EXACT_STORED_WEIGHT_HASH,21.115238075550202,21.115238075550202,0.0
TD,4,N4,CPU_EXACT_STORED_WEIGHT_HASH,7.8014973235883645,7.8014973235883645,0.0
TD,4,T0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,10.65645133905886,10.65645133905886,0.0
TD,4,T0.75-0.5,CPU_EXACT_STORED_WEIGHT_HASH,12.913897691055832,12.913897691055832,0.0
TD,4,T0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,18.06640940675395,18.06640940675395,0.0
TD,4,T1-0,CPU_EXACT_STORED_WEIGHT_HASH,14.208601785104962,14.208601785104962,0.0
TD,4,T1-0.5,CPU_EXACT_STORED_WEIGHT_HASH,16.17529718697581,16.17529718697581,0.0
TD,4,T1-1,CPU_EXACT_STORED_WEIGHT_HASH,20.997806131783182,20.997806131783186,3.552713678800501e-15
TD,5,N4,CPU_EXACT_STORED_WEIGHT_HASH,7.824510436564866,7.824510436564866,0.0
TD,5,T0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,10.696498245878567,10.696498245878567,0.0
TD,5,T0.75-0.5,CPU_EXACT_STORED_WEIGHT_HASH,12.966715785510395,12.966715785510395,0.0
TD,5,T0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,18.14656024910818,18.14656024910818,0.0
TD,5,T1-0,CPU_EXACT_STORED_WEIGHT_HASH,14.261997661445179,14.261997661445179,0.0
TD,5,T1-0.5,CPU_EXACT_STORED_WEIGHT_HASH,16.247200998023075,16.247200998023075,0.0
TD,5,T1-1,CPU_EXACT_STORED_WEIGHT_HASH,21.110955194805356,21.110955194805356,0.0
TD,6,N4,CPU_EXACT_STORED_WEIGHT_HASH,8.213161757253289,8.213161757253289,0.0
TD,6,T0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,10.80493035950737,10.804930359507368,1.7763568394002505e-15
TD,6,T0.75-0.5,CPU_EXACT_STORED_WEIGHT_HASH,12.981199268473397,12.981199268473395,1.7763568394002505e-15
TD,6,T0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,17.99462635214835,17.99462635214835,0.0
TD,6,T1-0,CPU_EXACT_STORED_WEIGHT_HASH,14.406573812593376,14.406573812593377,1.7763568394002505e-15
TD,6,T1-0.5,CPU_EXACT_STORED_WEIGHT_HASH,16.31108537767114,16.311085377671144,3.552713678800501e-15
TD,6,T1-1,CPU_EXACT_STORED_WEIGHT_HASH,21.01327955758256,21.01327955758256,0.0
TD,7,N4,CPU_EXACT_STORED_WEIGHT_HASH,8.211082227704994,8.211082227704994,0.0
TD,7,T0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,10.650631605260097,10.650631605260097,0.0
TD,7,T0.75-0.5,CPU_EXACT_STORED_WEIGHT_HASH,12.865981827550177,12.865981827550177,0.0
TD,7,T0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,17.93951205556622,17.93951205556622,0.0
TD,7,T1-0,CPU_EXACT_STORED_WEIGHT_HASH,14.2008421404617,14.2008421404617,0.0
TD,7,T1-0.5,CPU_EXACT_STORED_WEIGHT_HASH,16.1422638535174,16.1422638535174,0.0
TD,7,T1-1,CPU_EXACT_STORED_WEIGHT_HASH,20.911694736894447,20.911694736894447,0.0
TD,8,N4,CPU_EXACT_STORED_WEIGHT_HASH,8.135063794196299,8.135063794196299,0.0
TD,8,T0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,10.75638527443247,10.75638527443247,0.0
TD,8,T0.75-0.5,CPU_EXACT_STORED_WEIGHT_HASH,13.002349316965802,13.002349316965802,0.0
TD,8,T0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,18.142350413388147,18.142350413388147,0.0
TD,8,T1-0,CPU_EXACT_STORED_WEIGHT_HASH,14.3418470320484,14.3418470320484,0.0
TD,8,T1-0.5,CPU_EXACT_STORED_WEIGHT_HASH,16.31454545414303,16.31454545414303,0.0
TD,8,T1-1,CPU_EXACT_STORED_WEIGHT_HASH,21.156366527591576,21.15636652759158,3.552713678800501e-15
TD,9,N4,CPU_EXACT_STORED_WEIGHT_HASH,8.633953693329415,8.633953693329415,0.0
TD,9,T0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,10.941786095850293,10.941786095850293,0.0
TD,9,T0.75-0.5,CPU_EXACT_STORED_WEIGHT_HASH,13.121987762919389,13.121987762919389,0.0
TD,9,T0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,18.154288817930393,18.154288817930393,0.0
TD,9,T1-0,CPU_EXACT_STORED_WEIGHT_HASH,14.589048127218355,14.589048127218355,0.0
TD,9,T1-0.5,CPU_EXACT_STORED_WEIGHT_HASH,16.506809186681927,16.506809186681927,0.0
TD,9,T1-1,CPU_EXACT_STORED_WEIGHT_HASH,21.245658905504097,21.245658905504097,0.0
TD,10,N4,CPU_EXACT_STORED_WEIGHT_HASH,8.59634070037267,8.59634070037267,0.0
TD,10,T0.75-0,CPU_EXACT_STORED_WEIGHT_HASH,10.829526838782582,10.829526838782582,0.0
TD,10,T0.75-0.5,CPU_EXACT_STORED_WEIGHT_HASH,13.078852508311348,13.078852508311348,0.0
TD,10,T0.75-1,CPU_EXACT_STORED_WEIGHT_HASH,18.23155443464442,18.23155443464442,0.0
TD,10,T1-0,CPU_EXACT_STORED_WEIGHT_HASH,14.439369118197517,14.439369118197515,1.7763568394002505e-15
TD,10,T1-0.5,CPU_EXACT_STORED_WEIGHT_HASH,16.394340985259365,16.394340985259365,0.0
TD,10,T1-1,CPU_EXACT_STORED_WEIGHT_HASH,21.20404498635761,21.204044986357605,3.552713678800501e-15
