treatment,reference,population,metric,denominator,before,after,delta_pp,lost,gained,both_success,both_failure,conditional_loss_denominator,conditional_recovery_denominator,new_nll_delta_mean,new_nll_delta_median,new_nll_delta_p90,new_nll_delta_p95,new_nll_delta_p99,new_nll_delta_min,new_nll_delta_max,true_nll_delta_mean,true_nll_delta_median,true_nll_delta_p90,true_nll_delta_p95,true_nll_delta_p99,true_nll_delta_min,true_nll_delta_max,desired_margin_delta_mean,desired_margin_delta_median,desired_margin_delta_p90,desired_margin_delta_p95,desired_margin_delta_p99,desired_margin_delta_min,desired_margin_delta_max,desired_NLL_harmed,request_clusters,CI95_low,CI95_high,CI
L4D,N4,W10_ALL1000,PS,2000,1934,1922,-0.6,13,1,1921,65,1934,66,0.03755300119498861,0.00022617739159613848,0.16499247550964358,0.33601097166538213,1.6444969260692588,-2.29045569896698,3.986067533493042,-0.1275656209811568,-0.013569831848144531,0.2902279853820806,0.6770467758178709,1.8121405792236327,-13.666319370269775,5.820960998535156,-0.16511862217614542,-0.018962588161230087,0.29793412559956917,0.7016936460509887,2.1415864837169645,-13.974900456611067,5.8345030546188354,1088,1000,-1.05125,-0.25,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
L4D,N4,W10_ALL1000,NS,10000,8026,8063,0.37,38,75,7988,1899,8026,1974,0.023859203660997447,0.01552610844373703,0.2642678260803224,0.38830275535583486,0.7721799516677856,-4.357231140136719,4.972133159637451,-0.02101428145377431,-0.002013087272644043,0.1930511832237244,0.2965866684913635,0.6150203561782837,-6.370604515075684,5.247481346130371,0.04487348511477176,0.01742328703403473,0.3544548273086548,0.5490138053894037,1.1846548670530326,-5.566045761108398,5.210450321435928,4856,1000,0.16999999999999998,0.6,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
LD,N4,W10_ALL1000,RS,1000,999,999,0.0,1,1,998,0,999,1,0.004350520846261133,0.001487808331148699,0.014341290539596232,0.022591964120510965,0.08344888369785615,-4.715932130813599,10.449830055236816,-1.0105967577397823,-1.3577051162719727,3.228798389434816,5.3437915802001905,9.6146050453186,-11.457537174224854,14.191615581512451,-1.0149472785860434,-1.3610784396441886,3.2780748960678467,5.344248941582914,10.1272755686345,-11.494959172210656,14.243514069123194,789,1000,-0.3,0.3,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
LD,N4,W10_ALL1000,PS,2000,1934,1909,-1.25,48,23,1886,43,1934,66,0.17858099538693933,0.027224434074014425,1.3933839559555057,2.164256851188838,4.40274709701538,-9.604780673980713,9.239782460033894,-0.4101519410060719,-0.445587158203125,2.724836015701295,4.296745491027832,8.448597202301025,-11.775080859661102,14.535938262939453,-0.5887329363930112,-0.6809057833161205,3.039635446481407,4.998521629557944,8.926577307214028,-19.80727042630315,17.387996012344956,1308,1000,-2.1999999999999997,-0.35000000000000003,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
LD,N4,W10_ALL1000,NS,10000,8026,8310,2.8400000000000003,120,404,7906,1570,8026,1974,0.42874557278041103,0.29244518280029297,1.7286005973815919,2.429753732681274,4.4583091640472485,-7.864362597465515,9.405702114105225,-0.16070356677560194,-0.03159809112548828,0.8438443183898926,1.271311464905736,2.73487894058228,-13.69381833076477,9.110945701599121,0.589449139556013,0.35389626026153564,2.2651472091674814,3.2440795317292213,5.82076712265611,-10.916529417037964,13.68954586982727,4625,1000,2.31975,3.4000000000000004,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
TD,N4,W10_ALL1000,RS,1000,999,999,0.0,0,0,999,1,999,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1000,0.0,0.0,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
TD,N4,W10_ALL1000,PS,2000,1934,1934,0.0,0,0,1934,66,1934,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1000,0.0,0.0,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
TD,N4,W10_ALL1000,NS,10000,8026,8026,0.0,0,0,8026,1974,8026,1974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1000,0.0,0.0,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
LD,L4D,W10_ALL1000,RS,1000,999,999,0.0,1,1,998,0,999,1,0.0017343964895098908,0.0011943472127313726,0.013635545666329567,0.020942744094645596,0.08358761641313317,-5.49821925163269,10.388456106185913,-0.7493898278176785,-1.1440296173095703,3.5385869026184085,5.800312614440918,10.231733093261717,-9.789124488830566,15.885137796401978,-0.7511242243071884,-1.16320167700178,3.539873934869684,5.800380764112924,10.46164459350053,-9.79033435927704,15.917977087705367,742,1000,-0.3,0.3,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
LD,L4D,W10_ALL1000,PS,2000,1922,1909,-0.65,47,34,1875,44,1922,78,0.14102799419195072,0.022417784668505192,1.2980850160121928,2.14796008169651,4.203529905080794,-9.601172924041748,9.240794576704502,-0.282586320024915,-0.3531186580657959,2.955573940277101,4.434539413452148,8.739851412773133,-11.800573527812958,13.004935264587402,-0.42361431421686574,-0.5289078950881958,3.2579250272363423,5.136779901460976,9.047631923932931,-19.88391177728772,17.232064539566636,1254,1000,-1.6500000000000001,0.35000000000000003,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
LD,L4D,W10_ALL1000,NS,10000,8063,8310,2.4699999999999998,128,375,7935,1562,8063,1937,0.40488636911941356,0.27700042724609375,1.6970725059509277,2.3394321441650376,4.410845308303833,-8.337347984313965,9.261478185653687,-0.13968928532182762,-0.023828774690628052,0.8104059219360352,1.228606367111204,2.7211729145050083,-10.76791536808014,9.175838470458984,0.5445756544412412,0.32782816886901855,2.175945806503296,3.0822090163826923,5.600660791397096,-11.028743267059326,10.738402605056763,4670,1000,1.94,3.0199999999999996,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
LD,L75,W10_ALL1000,RS,1000,1000,999,-0.1,1,0,999,0,1000,0,-0.011156608195336048,-5.359514034353197e-06,0.008184200001414866,0.016006687215849497,0.05946981174172833,-10.607225894927979,2.889746194348845,-0.08273509097099305,-0.04734611511230469,3.3349188804626486,5.35186367034912,9.001800365447997,-19.537187576293945,15.502776622772217,-0.071578482775657,-0.02168514020740986,3.337016504129863,5.3793720927438695,9.014878906566008,-21.65603900478891,15.55046015107655,498,1000,-0.3,0.0,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
LD,L75,W10_ALL1000,PS,2000,1919,1909,-0.5,41,31,1878,50,1919,81,0.08041115901094145,0.0066492329351603985,1.1065957628190537,2.0353304177522658,5.5905066309589895,-9.451498031616211,10.165133938193321,-0.29887395157385616,-0.1415266990661621,2.6861892223358157,3.9620091199874876,6.803377228975296,-16.611505091190338,14.28919267654419,-0.37928511058479764,-0.20736169815063477,3.1180311309406537,4.639979004464111,8.071754317394225,-18.341055378317833,15.930880174040794,1126,1000,-1.4000000000000001,0.35000000000000003,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
LD,L75,W10_ALL1000,NS,10000,8227,8310,0.83,189,272,8038,1501,8227,1773,-0.13896664362129085,-0.08576488494873047,0.9291185379028327,1.4630100488662718,2.982745256423955,-12.235492706298828,9.491753458976746,-0.11996037279074663,-0.000917644239962101,0.8178729057312014,1.2629635453224155,2.645279558897021,-16.939735889434814,9.594789505004883,-0.019006270830544236,-0.07172775268554688,1.2888919353485107,2.1015725910663563,4.760520882606513,-10.816622495884076,17.27270502166357,4965,1000,0.3,1.3900000000000001,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
LD,REFIT4,W10_ALL1000,RS,1000,999,999,0.0,1,1,998,0,999,1,-0.008497463128886011,-0.0002447674414725043,0.007972282962873582,0.01611044635064899,0.07219982451293608,-5.464566707611084,2.658504143357277,0.40999799203872683,0.32468128204345703,3.9640277862548845,5.515320968627928,9.307405033111571,-13.864457130432129,16.85501003265381,0.41849545516761283,0.33594957541208714,4.031008104607464,5.5322213391627875,9.312330739633179,-13.879542272537947,16.877844676957466,437,1000,-0.3,0.3,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
LD,REFIT4,W10_ALL1000,PS,2000,1929,1909,-1.0,49,29,1880,42,1929,71,0.09140490062848948,-0.002040491090156138,1.1439541339874277,2.235826563835143,5.4479007263574735,-10.23584496974945,10.463215708732605,0.21656541299354284,0.1587681770324707,3.121702861785889,4.673242664337156,8.118145961761474,-17.1969633102417,18.881754159927368,0.12516051236505338,0.20321735925972462,3.415480613708497,5.0110199810005716,9.219170336192473,-27.451496745226905,25.986825227737427,959,1000,-1.9,-0.05,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
LD,REFIT4,W10_ALL1000,NS,10000,8187,8310,1.23,181,304,8006,1509,8187,1813,0.23548076604138224,0.17004680633544922,1.4664537906646737,2.116819596290588,3.953627796173097,-15.417970657348633,8.695872783660889,-0.08101864922650566,-0.013687588274478912,0.9216589450836182,1.4669690847396826,3.293289308547975,-12.261427879333496,9.783794045448303,0.3164994152678879,0.2089078426361084,1.834458879381419,2.6941325426101668,4.825186786651613,-14.049162983894348,20.330188009887934,4768,1000,0.74,1.78,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
LD,TD,W10_ALL1000,RS,1000,999,999,0.0,1,1,998,0,999,1,0.004350520846261133,0.001487808331148699,0.014341290539596232,0.022591964120510965,0.08344888369785615,-4.715932130813599,10.449830055236816,-1.0105967577397823,-1.3577051162719727,3.228798389434816,5.3437915802001905,9.6146050453186,-11.457537174224854,14.191615581512451,-1.0149472785860434,-1.3610784396441886,3.2780748960678467,5.344248941582914,10.1272755686345,-11.494959172210656,14.243514069123194,789,1000,-0.3,0.3,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
LD,TD,W10_ALL1000,PS,2000,1934,1909,-1.25,48,23,1886,43,1934,66,0.17858099538693933,0.027224434074014425,1.3933839559555057,2.164256851188838,4.40274709701538,-9.604780673980713,9.239782460033894,-0.4101519410060719,-0.445587158203125,2.724836015701295,4.296745491027832,8.448597202301025,-11.775080859661102,14.535938262939453,-0.5887329363930112,-0.6809057833161205,3.039635446481407,4.998521629557944,8.926577307214028,-19.80727042630315,17.387996012344956,1308,1000,-2.1999999999999997,-0.35000000000000003,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
LD,TD,W10_ALL1000,NS,10000,8026,8310,2.8400000000000003,120,404,7906,1570,8026,1974,0.42874557278041103,0.29244518280029297,1.7286005973815919,2.429753732681274,4.4583091640472485,-7.864362597465515,9.405702114105225,-0.16070356677560194,-0.03159809112548828,0.8438443183898926,1.271311464905736,2.73487894058228,-13.69381833076477,9.110945701599121,0.589449139556013,0.35389626026153564,2.2651472091674814,3.2440795317292213,5.82076712265611,-10.916529417037964,13.68954586982727,4625,1000,2.31975,3.4000000000000004,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
T75,L75,W10_ALL1000,RS,1000,1000,997,-0.3,3,0,997,0,1000,0,0.024134012704437737,-0.0013031866401433945,0.0021288207353791226,0.0063274429994635215,0.34675310625694683,-6.318149566650391,9.410699909669347,1.0055520026683806,1.2123045921325684,5.799039745330811,7.645641303062436,10.456899142265318,-18.121862411499023,14.644767761230469,0.981417989963943,1.2052323652023915,5.80158536269446,7.662676788726819,10.463460903367956,-23.264622688293457,14.652121604747663,315,1000,-0.7000000000000001,0.0,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
T75,L75,W10_ALL1000,PS,2000,1919,1942,1.15,34,57,1885,24,1919,81,-0.3584521875548644,-0.054477185010910034,0.8996811775490643,2.4123794985003717,5.688597970008847,-11.808409214019775,10.643771767616272,0.7615835701450705,0.794119119644165,5.4669820785522525,6.896750783920285,10.495093709379434,-15.838430881500244,16.220173835754395,1.120035757699935,1.25253077596426,6.3408250570297255,7.955538141727447,12.025479666970787,-21.643837213516235,22.0427619330585,627,1000,0.05,2.25,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
T75,L75,W10_ALL1000,NS,10000,8227,7161,-10.66,1353,287,6874,1486,8227,1773,-1.2809224105690635,-1.0780458450317383,1.7563755989074712,2.7801492452621446,5.167018747329716,-16.485368251800537,10.916082382202148,0.4298130412321334,0.14159488677978516,3.8529991000890735,5.218483281135559,8.434507101774217,-16.796345710754395,15.848938941955566,-1.710735451801197,-1.2393989562988281,1.906152153015137,3.0154610276222207,5.504889576137072,-27.950029462575912,16.86756282893475,5425,1000,-11.76,-9.540000000000001,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
