arm,from_checkpoint,to_checkpoint,span,metric,from_value,to_value,delta
QA,1500,2000,ADJACENT,ns,0.6742,0.64505,-0.02915000000000001
QA,1500,2000,ADJACENT,rewrite_acc,0.982,0.968,-0.014000000000000012
QA,1500,2000,ADJACENT,rephrase_acc,0.7143333333333334,0.7,-0.01433333333333342
QA,1500,2000,ADJACENT,rephrase_acc_strict_all_2,0.5666666666666667,0.5505,-0.016166666666666663
QA,1500,2000,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.0786,0.07005,-0.008550000000000002
QA,2000,3000,ADJACENT,rs,0.995,0.9683333333333334,-0.026666666666666616
QA,2000,3000,ADJACENT,ps,0.982,0.9081666666666667,-0.0738333333333333
QA,2000,3000,ADJACENT,ns,0.64505,0.6021333333333333,-0.042916666666666714
QA,2000,3000,ADJACENT,rewrite_acc,0.968,0.8766666666666667,-0.09133333333333327
QA,2000,3000,ADJACENT,rephrase_acc,0.7,0.5561666666666667,-0.14383333333333326
QA,2000,3000,ADJACENT,rephrase_acc_strict_all_2,0.5505,0.36833333333333335,-0.18216666666666664
QA,2000,3000,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.07005,0.053066666666666665,-0.016983333333333336
QA,3000,5000,ADJACENT,rs,0.9683333333333334,0.8542,-0.11413333333333342
QA,3000,5000,ADJACENT,ps,0.9081666666666667,0.7317,-0.17646666666666666
QA,3000,5000,ADJACENT,ns,0.6021333333333333,0.5614,-0.04073333333333329
QA,3000,5000,ADJACENT,rewrite_acc,0.8766666666666667,0.4306,-0.4460666666666667
QA,3000,5000,ADJACENT,rephrase_acc,0.5561666666666667,0.2231,-0.33306666666666673
QA,3000,5000,ADJACENT,rephrase_acc_strict_all_2,0.36833333333333335,0.1208,-0.24753333333333333
QA,3000,5000,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.053066666666666665,0.0135,-0.03956666666666667
QA,5000,7500,ADJACENT,rs,0.8542,0.6521333333333333,-0.20206666666666662
QA,5000,7500,ADJACENT,ps,0.7317,0.5609333333333333,-0.17076666666666673
QA,5000,7500,ADJACENT,ns,0.5614,0.5200266666666666,-0.04137333333333337
QA,5000,7500,ADJACENT,rewrite_acc,0.4306,0.12613333333333332,-0.30446666666666666
QA,5000,7500,ADJACENT,rephrase_acc,0.2231,0.046,-0.17709999999999998
QA,5000,7500,ADJACENT,rephrase_acc_strict_all_2,0.1208,0.019066666666666666,-0.10173333333333334
QA,5000,7500,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.0135,0.003533333333333333,-0.009966666666666667
QA,7500,10000,ADJACENT,rs,0.6521333333333333,0.6653,0.01316666666666666
QA,7500,10000,ADJACENT,ps,0.5609333333333333,0.56455,0.0036166666666667124
QA,7500,10000,ADJACENT,ns,0.5200266666666666,0.51934,-0.0006866666666666132
QA,7500,10000,ADJACENT,rewrite_acc,0.12613333333333332,0.1084,-0.017733333333333323
QA,7500,10000,ADJACENT,rephrase_acc,0.046,0.0343,-0.011700000000000002
QA,7500,10000,ADJACENT,rephrase_acc_strict_all_2,0.019066666666666666,0.0105,-0.008566666666666665
QA,7500,10000,ADJACENT,neighborhood_target_true_teacher_forced_acc,0.003533333333333333,0.00246,-0.0010733333333333333
QA,1000,10000,TOTAL_1K_TO_10K,rs,0.999,0.6653,-0.3337
QA,1000,10000,TOTAL_1K_TO_10K,ps,0.9835,0.56455,-0.41895000000000004
QA,1000,10000,TOTAL_1K_TO_10K,ns,0.7139,0.51934,-0.19455999999999996
QA,1000,10000,TOTAL_1K_TO_10K,rewrite_acc,0.988,0.1084,-0.8795999999999999
QA,1000,10000,TOTAL_1K_TO_10K,rephrase_acc,0.701,0.0343,-0.6667
QA,1000,10000,TOTAL_1K_TO_10K,rephrase_acc_strict_all_2,0.545,0.0105,-0.5345000000000001
QA,1000,10000,TOTAL_1K_TO_10K,neighborhood_target_true_teacher_forced_acc,0.0948,0.00246,-0.09233999999999999
