arm,h,M,T_z_equals_Mh,requests,new_nll_mean,new_nll_median,new_nll_p90,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_max,new_minus_true_margin_mean,new_minus_true_margin_median,new_minus_true_margin_p90,new_minus_true_margin_max,displacement_mean,displacement_median,displacement_p90,displacement_max,raw_field_norm_mean,raw_field_norm_median,raw_field_norm_p90,raw_field_norm_max,clamp_hits,clamp_denominator_request_microsteps,clamp_fraction,finite,target_sha256,prefix_identity_sha256,trajectory_file_sha256,interpretation
Z+,4.0,10,40.0,10,2.2531819343566895,1.052815556526184,6.392017841339111,6.640061855316162,11.902300834655762,12.34052848815918,17.19793701171875,18.19944190979004,9.64911937713623,10.956182479858398,17.19659996032715,18.191200256347656,4.622468948364258,4.652490615844727,4.886193752288818,5.129148006439209,7.173665523529053,4.367290496826172,18.193687438964844,23.667495727539062,76,100,0.76,True,391a07ac64c2ebf5cebf4a0c7338e89d8457b3e739ea4ee92e7df091516d9dd7,ba37e944058d0acca7d63bbb16c399510325e7873bc4bb12502f713bb5603a7c,119c2e4834cee24e33cb3d6f14aa43921d6d2c02c9eb204af91b25ac9f4f0295,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z±,0.0625,1,0.0625,10,9.661755561828613,9.66317367553711,11.754500389099121,15.890296936035156,7.2749786376953125,7.822909355163574,10.721721649169922,12.628188133239746,-2.3867781162261963,-2.6623620986938477,2.4717307090759277,4.509660720825195,0.5803308486938477,0.49465692043304443,0.8711226582527161,1.1237457990646362,6.939006805419922,5.962045669555664,12.195402145385742,12.662689208984375,0,10,0.0,True,8710f5cc9f3a3205f33333db94625ddfc7e1760de026cae01ee4f2971e8f12ef,d33eac3b543b94123cc75e96308369f46fc0e8b2f1c30bd4d95a00a13e979181,1482c54b3050e47e70c43c1c49cd873c0a9f62f943c1af952596cfcf63825fe7,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z±,0.0625,3,0.1875,10,5.766209125518799,4.777327060699463,9.585967063903809,14.42860221862793,8.50882339477539,8.670178413391113,10.78840160369873,11.348237991333008,2.742614984512329,4.637022018432617,6.756070613861084,7.360438346862793,1.2269703149795532,1.1752030849456787,1.7769705057144165,1.828351616859436,5.407591819763184,4.88218879699707,9.708847045898438,9.982714653015137,0,30,0.0,True,c1c4cf33374af7e94957c22aeda60ffdbe245a68b594ce88c94fb25fc4168ce6,8dc22df686037a1d3355a3e7bd4600cd5a00c296218c335a03c8ba45b811df1e,1482c54b3050e47e70c43c1c49cd873c0a9f62f943c1af952596cfcf63825fe7,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z±,0.0625,5,0.3125,10,3.0562729835510254,2.1897964477539062,6.88366174697876,7.080684185028076,9.410927772521973,9.747644424438477,11.131433486938477,11.915877342224121,6.354653835296631,6.981412887573242,9.320987701416016,10.585147857666016,1.60623300075531,1.6528820991516113,1.9439284801483154,1.9946883916854858,4.588263511657715,3.0207087993621826,9.247833251953125,10.274604797363281,0,50,0.0,True,30648971eb124f1f47107a7f392ad777659e84d4e710b61ddb1601b7df5cdef0,87c6b55c2de4acff71f60262c9dfffe8bd19056e1dbcc5a7599a51813243f4d9,1482c54b3050e47e70c43c1c49cd873c0a9f62f943c1af952596cfcf63825fe7,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z±,0.0625,10,0.625,10,0.2303752452135086,0.17591500282287598,0.3674928843975067,0.5993682742118835,10.324554443359375,10.933525085449219,12.90688419342041,13.210103988647461,10.094179153442383,10.744917869567871,12.358150482177734,13.117090225219727,1.9792829751968384,1.9720922708511353,2.361417293548584,2.420579671859741,1.594963788986206,0.9214354157447815,3.221656084060669,3.7994110584259033,0,100,0.0,True,fb6b4e7d227acef62ba3f7ca96c8cda1be4426e3c711cf0b5c6247e59a8cdb45,d606746cc04bc5689198de70255078a203a72bd1a78dbda7053fca394a01ba36,1482c54b3050e47e70c43c1c49cd873c0a9f62f943c1af952596cfcf63825fe7,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z±,0.25,1,0.25,10,8.213417053222656,8.668874740600586,10.084654808044434,14.183980941772461,7.803952217102051,8.518074989318848,10.322086334228516,11.65533447265625,-0.40946435928344727,-0.9309224486351013,3.1465330123901367,5.8762359619140625,2.3213229179382324,1.9786276817321777,3.4844906330108643,4.494982719421387,5.818916320800781,5.365329742431641,9.5748872756958,10.655179977416992,0,10,0.0,True,20a5bd72a6f2f6dad57e2d33da5c8832021bec1a2a46caf8351cbfad6ced2019,4c7d950a93c559c13bcb8430744ca6702b077bf4f22b42ec173f233f7b96e1d2,38178621dcd811eaf0c4a802ed4e50a844a2451a412dd846989f613f01d72740,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z±,0.25,3,0.75,10,2.1043999195098877,1.0071120262145996,4.752781391143799,5.709442138671875,9.477684020996094,9.096125602722168,11.455374717712402,11.955177307128906,7.373284339904785,7.80898380279541,9.457039833068848,11.629595756530762,3.4942893981933594,3.6158342361450195,4.2817511558532715,4.7807841300964355,3.7036616802215576,2.118459701538086,7.306180477142334,16.995655059814453,2,30,0.06666666666666667,True,5b3de0721b2b9363cd9ba5b20785bb4220dbe2b30d98936510e50d9206bd5abf,49dc48c0bf2c9fba17664c42c18f1a55fe1496a52345085233543d6a67af5005,38178621dcd811eaf0c4a802ed4e50a844a2451a412dd846989f613f01d72740,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z±,0.25,5,1.25,10,0.2864028513431549,0.12847886979579926,0.8783213496208191,0.9252386093139648,10.960939407348633,11.55894660949707,12.794726371765137,12.827228546142578,10.674535751342773,10.99633502960205,12.693994522094727,12.784818649291992,3.8730251789093018,3.879441499710083,4.8156280517578125,5.129162311553955,1.0431301593780518,0.48156824707984924,2.669985771179199,4.0896382331848145,6,50,0.12,True,63fa18c87a4f11fed06e94de7c195edaa9e3759b2dfada293eb33bd43295e834,2412d55a6ce38f9c370e022ba368849441cd058494e2561961f89739a92095f7,38178621dcd811eaf0c4a802ed4e50a844a2451a412dd846989f613f01d72740,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z±,0.25,10,2.5,10,0.041665107011795044,0.028573522344231606,0.07109152525663376,0.14920681715011597,12.706823348999023,13.630969047546387,14.304887771606445,14.936912536621094,12.665159225463867,13.595558166503906,14.290771484375,14.917486190795898,3.926583766937256,4.0028510093688965,4.815623760223389,5.129155158996582,0.22442202270030975,0.19916704297065735,0.3203791379928589,0.4144684970378876,21,100,0.21,True,49cfae4c123729ccc744472d2f65730549553e86f5edb4c41c2240cbeae791fb,8b4149c7847c146bccf31e2aa23db9543a3c29130535d8e72035d62b79b920ef,38178621dcd811eaf0c4a802ed4e50a844a2451a412dd846989f613f01d72740,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
Z±,1.0,1,1.0,10,7.257466793060303,7.957235813140869,9.240256309509277,9.289373397827148,8.098307609558105,8.495346069335938,10.15059757232666,11.823469161987305,0.8408406376838684,0.03666631877422333,3.53706955909729,5.512233734130859,4.593343257904053,4.662744045257568,4.871111869812012,4.978265285491943,5.7632646560668945,4.548374176025391,9.529450416564941,11.269169807434082,9,10,0.9,True,dce3ca15b0ef007a6e6cafbb65dc7758e8179710e99874c59a1493c489a31a1c,70c561fa75733915392e5d8b16c6333cd18a9baca0f15d33a50ac30d217eaebe,e492c941247c86cf1ea6ede669c87f2ef51817d2afb9a97432d922eae3108aa5,FIXED_H_STRENGTH_CURVE_T_Z_CHANGES_WITH_M
