state,family,variant,edits,task,branch,label,support,predicted,tp,fp,fn,f1
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,mmlu,alternative,1,25,21,16,5,9,0.6956521739130435
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,mmlu,alternative,2,25,35,16,19,9,0.5333333333333333
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,mmlu,alternative,3,25,22,15,7,10,0.6382978723404256
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,nli,generation,0,50,40,29,11,21,0.6444444444444445
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,nli,generation,1,50,60,39,21,11,0.7090909090909091
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,nli,alternative,0,50,40,29,11,21,0.6444444444444445
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,nli,alternative,1,50,60,39,21,11,0.7090909090909091
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,sst2,generation,-1,0,16,0,16,0,0.0
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,sst2,generation,0,50,45,42,3,8,0.8842105263157894
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,sst2,generation,1,50,39,39,0,11,0.8764044943820225
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,sst2,alternative,0,50,53,49,4,1,0.9514563106796117
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,sst2,alternative,1,50,47,46,1,4,0.9484536082474226
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,mrpc,generation,0,50,25,20,5,30,0.5333333333333333
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,mrpc,generation,1,50,75,45,30,5,0.72
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,mrpc,alternative,0,50,25,20,5,30,0.5333333333333333
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,mrpc,alternative,1,50,75,45,30,5,0.72
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,cola,generation,-1,0,1,0,1,0,0.0
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,cola,generation,0,50,66,43,23,7,0.7413793103448276
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,cola,generation,1,50,33,27,6,23,0.6506024096385542
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,cola,alternative,0,50,73,45,28,5,0.7317073170731707
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,cola,alternative,1,50,27,22,5,28,0.5714285714285714
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,rte,generation,0,50,80,47,33,3,0.7230769230769231
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,rte,generation,1,50,20,17,3,33,0.4857142857142857
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,rte,alternative,0,50,80,47,33,3,0.7230769230769231
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,rte,alternative,1,50,20,17,3,33,0.4857142857142857
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,mmlu,generation,-1,0,15,0,15,0,0.0
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,mmlu,generation,0,25,18,10,8,15,0.46511627906976744
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,mmlu,generation,1,25,16,13,3,12,0.6341463414634146
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,mmlu,generation,2,25,33,14,19,11,0.4827586206896552
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,mmlu,generation,3,25,18,12,6,13,0.5581395348837209
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,mmlu,alternative,0,25,21,11,10,14,0.4782608695652174
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,mmlu,alternative,1,25,20,15,5,10,0.6666666666666666
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,mmlu,alternative,2,25,36,17,19,8,0.5573770491803278
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,mmlu,alternative,3,25,23,16,7,9,0.6666666666666666
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,nli,generation,0,50,38,29,9,21,0.6590909090909091
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,nli,generation,1,50,62,41,21,9,0.7321428571428571
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,nli,alternative,0,50,37,28,9,22,0.6436781609195402
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,nli,alternative,1,50,63,41,22,9,0.7256637168141593
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,sst2,generation,-1,0,13,0,13,0,0.0
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,sst2,generation,0,50,46,43,3,7,0.8958333333333334
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,sst2,generation,1,50,41,41,0,9,0.9010989010989011
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,sst2,alternative,0,50,52,49,3,1,0.9607843137254902
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,sst2,alternative,1,50,48,47,1,3,0.9591836734693877
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,mrpc,generation,0,50,28,23,5,27,0.5897435897435898
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,mrpc,generation,1,50,72,45,27,5,0.7377049180327869
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,mrpc,alternative,0,50,28,23,5,27,0.5897435897435898
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,mrpc,alternative,1,50,72,45,27,5,0.7377049180327869
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,cola,generation,-1,0,2,0,2,0,0.0
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,cola,generation,0,50,71,44,27,6,0.7272727272727273
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,cola,generation,1,50,27,23,4,27,0.5974025974025974
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,cola,alternative,0,50,76,45,31,5,0.7142857142857143
